julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-10.05996559,-12.32979075,-10.68976409,-15.2916575,,,,,,,
1,60,-10.09840641,-10.30909057,-10.86256446,-11.28029386,,,,,,,
1,120,-10.24846483,-9.937990563,-11.02614345,-10.42560888,,,,,,,
1,180,-10.42580013,-9.841379157,-11.24660802,-10.1473631,,,,,,,
1,240,-10.59575804,-9.826686134,-11.44789419,-10.04738945,,,,,,,
1,300,-10.75197157,-9.772946968,-11.61024137,-9.895318116,,,,,,,
1,360,-11.02414358,-9.763704718,-11.89646484,-9.834166754,,,,,,,
1,420,-11.35952623,-9.82652631,-12.28457968,-9.903195505,,,,,,,
1,480,-10.32647947,-9.738611897,-10.91968116,-9.879343255,,,,,,,
1,540,-6.909809066,-8.811917124,-5.713150562,-9.338342344,,,,,,,
1,600,-2.769747328,-7.22476153,0.714219396,-8.253265597,,,,,,,
1,660,0.179739755,-5.391319457,4.891965978,-6.826932234,,,,,,,
1,720,1.833300965,-3.713358659,7.275284389,-5.234312341,,,,,,,
1,780,2.057147023,-2.559091622,7.042529027,-3.368653154,,,,,,,
1,840,1.214741434,-3.105347845,5.813274308,-3.852167424,,,,,,,
1,900,-1.279726686,-4.033207359,2.146156891,-3.96350154,,,,,,,
1,960,-4.794929875,-6.046613566,-3.097629893,-5.851324399,,,,,,,
1,1020,-7.072415605,-6.933177609,-6.821720754,-6.518096727,,,,,,,
1,1080,-8.055002094,-7.639019701,-8.345243047,-7.446426965,,,,,,,
1,1140,-8.620078949,-7.932238235,-9.063884279,-7.59174301,,,,,,,
1,1200,-9.042195,-8.375361172,-9.559936378,-8.146815458,,,,,,,
1,1260,-9.43453484,-8.577879912,-10.05943873,-8.26269502,,,,,,,
1,1320,-9.692481759,-8.855432532,-10.33056769,-8.593768489,,,,,,,
1,1380,-9.992719215,-9.009471168,-10.73142935,-8.714186157,,,,,,,
2,0,-10.15688421,-9.17586148,-10.88625904,-8.89731199,,,,,,,
2,60,-10.36052241,-9.264388154,-11.16294361,-8.989619427,,,,,,,
2,120,-10.54562751,-9.338557783,-11.39075152,-9.056006865,,,,,,,
2,180,-10.7407334,-9.401159815,-11.62400133,-9.104433489,,,,,,,
2,240,-10.95308692,-9.449856799,-11.87098235,-9.133642605,,,,,,,
2,300,-11.19449503,-9.47922885,-12.14332563,-9.138906876,,,,,,,
2,360,-11.53879823,-9.457608886,-12.49917218,-9.094103987,,,,,,,
2,420,-11.84988524,-9.412418912,-12.8060282,-9.016583899,,,,,,,
2,480,-10.55817656,-9.394883606,-11.09379515,-9.034615251,,,,,,,
2,540,-7.1824979,-8.613328386,-5.952199681,-8.679494858,,,,,,,
2,600,-3.243373615,-7.28774867,0.0819366,-8.059273656,,,,,,,
2,660,-0.053273128,-5.382858405,4.761170092,-6.449659591,,,,,,,
2,720,1.364205809,-3.72447479,6.634645266,-4.841241473,,,,,,,
2,780,1.803286277,-2.84730112,6.890808875,-3.59709918,,,,,,,
2,840,1.095456615,-3.247699229,5.957780981,-3.758587822,,,,,,,
2,900,-1.687766203,-4.348608016,1.637371688,-4.266322956,,,,,,,
2,960,-5.013148468,-6.2020495,-3.197839484,-5.813233664,,,,,,,
2,1020,-7.394834984,-7.232548408,-7.149497191,-6.795637071,,,,,,,
2,1080,-8.397913063,-7.818899864,-8.719755935,-7.468761474,,,,,,,
2,1140,-8.963671858,-8.210350692,-9.441436072,-7.829257221,,,,,,,
2,1200,-9.382438141,-8.577738396,-9.93152421,-8.226355198,,,,,,,
2,1260,-9.778709342,-8.833684411,-10.44010253,-8.458138394,,,,,,,
2,1320,-10.03125848,-9.075042125,-10.7004733,-8.716537751,,,,,,,
2,1380,-10.33673979,-9.248369998,-11.11237939,-8.879604561,,,,,,,
3,0,-10.49516964,-9.403313732,-11.25552827,-9.042009083,,,,,,,
3,60,-10.70258104,-9.490399099,-11.53877786,-9.135541814,,,,,,,
3,120,-10.88984379,-9.558988105,-11.76949221,-9.195552395,,,,,,,
3,180,-11.08754679,-9.613694786,-12.00601043,-9.234197066,,,,,,,
3,240,-11.30322295,-9.651710257,-12.25694284,-9.250020169,,,,,,,
3,300,-11.54920743,-9.666482217,-12.53447292,-9.237370118,,,,,,,
3,360,-11.90155737,-9.618933993,-12.89848162,-9.16396586,,,,,,,
3,420,-12.21746891,-9.545173896,-13.2109286,-9.052766862,,,,,,,
3,480,-10.8999313,-9.550091978,-11.46640394,-9.076334847,,,,,,,
3,540,-7.502600845,-8.786246999,-6.28607196,-8.733137657,,,,,,,
3,600,-3.55802769,-7.505955498,-0.235367586,-8.182830916,,,,,,,
3,660,-0.371042086,-5.635266478,4.446655448,-6.626677849,,,,,,,
3,720,1.043272535,-4.002606725,6.322014496,-5.056607559,,,,,,,
3,780,1.47584635,-3.138769264,6.567034086,-3.839074404,,,,,,,
3,840,0.775130448,-3.534882663,5.64643042,-3.995172139,,,,,,,
3,900,-2.008208828,-4.635524401,1.316887909,-4.512050111,,,,,,,
3,960,-5.322879107,-6.478099315,-3.505403561,-6.046545465,,,,,,,
3,1020,-7.717304858,-7.511804702,-7.482900207,-7.034842234,,,,,,,
3,1080,-8.723506028,-8.094452972,-9.062423846,-7.703398415,,,,,,,
3,1140,-9.288496631,-8.484832977,-9.784418618,-8.064605994,,,,,,,
3,1200,-9.70612826,-8.849629362,-10.27363094,-8.458806909,,,,,,,
3,1260,-10.10176092,-9.103754743,-10.78203642,-8.689079402,,,,,,,
3,1320,-10.35354631,-9.343278626,-11.04169432,-8.945735037,,,,,,,
3,1380,-10.65867455,-9.514410299,-11.45348451,-9.10617573,,,,,,,
4,0,-10.81690273,-9.667649425,-11.59662662,-9.266874806,,,,,,,
4,60,-11.024912,-9.751577524,-11.88067604,-9.356379596,,,,,,,
4,120,-11.21328224,-9.816022561,-12.11298821,-9.41086342,,,,,,,
4,180,-11.41250613,-9.865482172,-12.35159403,-9.44250464,,,,,,,
4,240,-11.63027253,-9.896722562,-12.60523534,-9.449420417,,,,,,,
4,300,-11.87918382,-9.902417706,-12.8862952,-9.42520578,,,,,,,
4,360,-12.23623634,-9.839624687,-13.25529858,-9.334403599,,,,,,,
4,420,-12.55372723,-9.749932213,-13.57044417,-9.203546601,,,,,,,
4,480,-11.21391355,-9.765325701,-11.79432261,-9.228600438,,,,,,,
4,540,-7.798676147,-9.011119974,-6.579481559,-8.891157808,,,,,,,
4,600,-3.851869281,-7.757232145,-0.516779915,-8.379068447,,,,,,,
4,660,-0.670432175,-5.908286716,4.164284761,-6.853698805,,,,,,,
4,720,0.738195232,-4.293472774,6.037748102,-5.308177268,,,,,,,
4,780,1.162797098,-3.438732434,6.268352232,-4.107652423,,,,,,,
4,840,0.470052146,-3.831511859,5.361899417,-4.26025701,,,,,,,
4,900,-2.314742002,-4.92952222,1.019994011,-4.780808124,,,,,,,
4,960,-5.617966298,-6.76245663,-3.787962462,-6.305362406,,,,,,,
4,1020,-8.026681162,-7.797959804,-7.794442902,-7.295782337,,,,,,,
4,1080,-9.036433101,-8.377827596,-9.38445501,-7.961660363,,,,,,,
4,1140,-9.600638872,-8.766126686,-10.10699214,-8.321259758,,,,,,,
4,1200,-10.01701238,-9.128797959,-10.59531107,-8.713384112,,,,,,,
4,1260,-10.41198295,-9.380788794,-11.10372683,-8.941281616,,,,,,,
4,1320,-10.66279737,-9.618651748,-11.36246254,-9.196327995,,,,,,,
4,1380,-10.96755622,-9.787725212,-11.77432191,-9.354173065,,,,,,,
5,0,-11.12532106,-9.939393372,-11.91713898,-9.513158656,,,,,,,
5,60,-11.33366813,-10.0208506,-12.20181465,-9.599417569,,,,,,,
