julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,1.452225301,0.481370647,1.41065625,-0.817523079,,,,,,,
1,60,1.32413206,1.25456074,1.125408307,0.969481293,,,,,,,
1,120,1.231077815,1.321987127,1.021545095,1.220042992,,,,,,,
1,180,1.138561715,1.317831127,0.907603702,1.287792447,,,,,,,
1,240,1.07032105,1.288147648,0.837530643,1.284453905,,,,,,,
1,300,0.982615557,1.273875115,0.724608327,1.299604211,,,,,,,
1,360,0.908975078,1.287014803,0.642292215,1.3545872,,,,,,,
1,420,0.807951699,1.285918153,0.524029735,1.366916487,,,,,,,
1,480,0.843826528,1.252818685,0.616504394,1.325085055,,,,,,,
1,540,1.549559438,1.430944987,1.62984062,1.390308983,,,,,,,
1,600,3.035400496,2.483010943,3.337388534,2.116736683,,,,,,,
1,660,5.28260308,3.938861918,6.40910021,3.236058212,,,,,,,
1,720,6.585064277,5.220974636,7.81121105,4.258113847,,,,,,,
1,780,7.041743981,6.15615613,8.159635695,5.852910666,,,,,,,
1,840,6.40846709,5.552426691,7.336843868,5.12803456,,,,,,,
1,900,4.84444579,4.481217669,5.449935806,4.521811678,,,,,,,
1,960,3.499012467,3.48864507,3.71095714,3.684732396,,,,,,,
1,1020,2.910812002,3.042691124,2.845560259,3.175681116,,,,,,,
1,1080,2.522425177,2.707117125,2.38531861,2.842646037,,,,,,,
1,1140,2.218373151,2.43568184,2.053008818,2.585056351,,,,,,,
1,1200,1.994643353,2.193928626,1.849836804,2.332047402,,,,,,,
1,1260,1.709782516,2.018084607,1.445598152,2.182483821,,,,,,,
1,1320,1.649768216,1.840380158,1.533047669,1.982813189,,,,,,,
1,1380,1.339632572,1.728672541,0.99571276,1.901373035,,,,,,,
2,0,1.398521811,1.599230263,1.287402985,1.74804292,,,,,,,
2,60,1.214485884,1.539366075,0.96802844,1.696153552,,,,,,,
2,120,1.115173341,1.48059439,0.847020542,1.644873057,,,,,,,
2,180,1.017153995,1.426528386,0.733253511,1.601379117,,,,,,,
2,240,0.922539198,1.378517838,0.631603426,1.567049695,,,,,,,
2,300,0.829365796,1.339265784,0.538592876,1.545058596,,,,,,,
2,360,0.720284385,1.313397988,0.423010989,1.540273295,,,,,,,
2,420,0.559815517,1.313354456,0.23489379,1.563743459,,,,,,,
2,480,0.557184578,1.298995701,0.294900813,1.581809066,,,,,,,
2,540,1.385475751,1.492196481,1.414584521,1.630205572,,,,,,,
2,600,2.911014649,2.491961476,3.206415045,2.280168572,,,,,,,
2,660,5.115910922,3.861992877,6.190530716,3.229209493,,,,,,,
2,720,6.438263815,4.96486899,7.649258305,3.81147686,,,,,,,
2,780,6.892792477,5.847890969,7.997880094,5.276203901,,,,,,,
2,840,6.260931608,5.537682138,7.173228938,5.307068253,,,,,,,
2,900,4.703159933,4.403261549,5.28861517,4.522317151,,,,,,,
2,960,3.357264951,3.388749587,3.549379534,3.629020629,,,,,,,
2,1020,2.767383922,2.940949965,2.676692148,3.111161075,,,,,,,
2,1080,2.379625098,2.606718126,2.215593333,2.777908972,,,,,,,
2,1140,2.076847174,2.337007139,1.88450999,2.521468172,,,,,,,
2,1200,1.854071412,2.09614849,1.682175042,2.267925132,,,,,,,
2,1260,1.570590667,1.921906948,1.280128738,2.119818979,,,,,,,
2,1320,1.510469528,1.745125265,1.366510511,1.92019768,,,,,,,
2,1380,1.201697358,1.634869122,0.831829754,1.840219711,,,,,,,
3,0,1.260300837,1.506474731,1.122544529,1.68752735,,,,,,,
3,60,1.075840562,1.448482239,0.802765429,1.637913691,,,,,,,
3,120,0.975622891,1.392069379,0.680490183,1.589708089,,,,,,,
3,180,0.876356089,1.340948697,0.565012242,1.550160972,,,,,,,
3,240,0.780000629,1.296690747,0.461026769,1.520905833,,,,,,,
3,300,0.68434012,1.262379546,0.364769757,1.50554841,,,,,,,
3,360,0.571690952,1.243318629,0.24479596,1.509656364,,,,,,,
3,420,0.406125415,1.253647455,0.051243078,1.545799612,,,,,,,
