julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-7.486227482,-9.742996906,-8.014471858,-12.65465635,,,,,,,
1,60,-7.545462281,-7.773146859,-8.233354461,-8.690949152,,,,,,,
1,120,-7.68638058,-7.439292536,-8.387906523,-7.90373426,,,,,,,
1,180,-7.85185633,-7.358727273,-8.59518199,-7.656152774,,,,,,,
1,240,-8.004544456,-7.355133947,-8.774033836,-7.577707725,,,,,,,
1,300,-8.190332286,-7.310712418,-8.998772709,-7.44156409,,,,,,,
1,360,-8.489407619,-7.307680931,-9.339128528,-7.389487057,,,,,,,
1,420,-8.735310353,-7.380279232,-9.587441703,-7.472756037,,,,,,,
1,480,-7.802987668,-7.299822704,-8.359434067,-7.460207213,,,,,,,
1,540,-4.635881226,-6.398302118,-3.520288269,-6.92020936,,,,,,,
1,600,-0.783053265,-4.843864322,2.468036378,-5.818254003,,,,,,,
1,660,1.9713533,-3.056817654,6.344482826,-4.390032912,,,,,,,
1,720,3.53100865,-1.464570119,8.564381371,-2.889481974,,,,,,,
1,780,3.776230615,-0.341138899,8.399734438,-1.040570666,,,,,,,
1,840,2.929782417,-0.930607052,7.12430463,-1.654580057,,,,,,,
1,900,0.569520116,-1.986322464,3.646106912,-2.117177244,,,,,,,
1,960,-2.713843629,-3.653643607,-1.239352797,-3.340111263,,,,,,,
1,1020,-4.765352911,-4.670814461,-4.575634507,-4.366212996,,,,,,,
1,1080,-5.647992288,-5.21139527,-5.92283782,-4.964713012,,,,,,,
1,1140,-6.17250852,-5.605576361,-6.580861289,-5.348764411,,,,,,,
1,1200,-6.556846007,-5.947058216,-7.016740485,-5.704859016,,,,,,,
1,1260,-6.948485862,-6.205963405,-7.533642217,-5.952973732,,,,,,,
1,1320,-7.152883025,-6.373213935,-7.70502731,-6.063489261,,,,,,,
1,1380,-7.48488103,-6.507041611,-8.186173186,-6.151056522,,,,,,,
2,0,-7.573337767,-6.713435164,-8.193580893,-6.425519575,,,,,,,
2,60,-7.794064068,-6.832980947,-8.51632521,-6.584788087,,,,,,,
2,120,-7.967871475,-6.910475585,-8.731955798,-6.660030762,,,,,,,
2,180,-8.149073342,-6.973854696,-8.949095816,-6.711317561,,,,,,,
2,240,-8.344318466,-7.023530411,-9.175718426,-6.742775882,,,,,,,
2,300,-8.565951608,-7.056533295,-9.425618644,-6.753763826,,,,,,,
2,360,-8.887451109,-7.041837338,-9.761473366,-6.71656585,,,,,,,
2,420,-9.185527002,-7.000923383,-10.05683425,-6.644506999,,,,,,,
2,480,-8.204791176,-6.984307019,-8.845753655,-6.663921336,,,,,,,
2,540,-4.968748444,-6.213395557,-3.885257032,-6.286705612,,,,,,,
2,600,-1.135394146,-4.913691809,2.067654871,-5.642794383,,,,,,,
2,660,1.65548089,-3.072462688,6.02808064,-4.065861746,,,,,,,
2,720,3.173993457,-1.478884597,8.162878434,-2.505025974,,,,,,,
2,780,3.459194307,-0.647250214,8.09364909,-1.321417692,,,,,,,
2,840,2.601124831,-1.051710243,6.787959934,-1.518761311,,,,,,,
2,900,0.243036742,-2.118656971,3.305275655,-2.0201086,,,,,,,
2,960,-3.035664545,-3.929640818,-1.58117656,-3.57946524,,,,,,,
2,1020,-5.095115625,-4.894363024,-4.933698814,-4.489000343,,,,,,,
2,1080,-5.979250909,-5.467451686,-6.286475015,-5.163338111,,,,,,,
2,1140,-6.502721672,-5.823766453,-6.943936098,-5.468410448,,,,,,,
2,1200,-6.88594349,-6.195379149,-7.378679591,-5.893044978,,,,,,,
2,1260,-7.276734001,-6.41896909,-7.894664741,-6.068703353,,,,,,,
2,1320,-7.48064841,-6.671798032,-8.065616609,-6.362669838,,,,,,,
2,1380,-7.812011064,-6.818491066,-8.545746186,-6.478030762,,,,,,,
3,0,-7.900815289,-6.983779687,-8.553956603,-6.668455509,,,,,,,
3,60,-8.122354685,-7.061663724,-8.877359729,-6.745703813,,,,,,,
3,120,-8.297890726,-7.128106939,-9.095181876,-6.803152512,,,,,,,
3,180,-8.481427184,-7.182795801,-9.315244018,-6.842653923,,,,,,,
3,240,-8.679844282,-7.222532261,-9.545721461,-6.861582382,,,,,,,
3,300,-8.905866672,-7.240743454,-9.800690446,-6.853676013,,,,,,,
3,360,-9.23512536,-7.200424526,-10.14441452,-6.787590256,,,,,,,
3,420,-9.537888168,-7.132551096,-10.44501771,-6.684340322,,,,,,,
3,480,-8.536284123,-7.139763729,-9.210000633,-6.712660611,,,,,,,
3,540,-5.271847361,-6.383766436,-4.197070507,-6.34279239,,,,,,,
3,600,-1.442234411,-5.124289805,1.755332678,-5.759381676,,,,,,,
3,660,1.353219648,-3.322731751,5.735597192,-4.24773023,,,,,,,
3,720,2.856446976,-1.750470349,7.846105587,-2.716170421,,,,,,,
3,780,3.147116523,-0.935887547,7.793230145,-1.567870323,,,,,,,
3,840,2.288694831,-1.330607298,6.482842306,-1.747429289,,,,,,,
3,900,-0.064503926,-2.402481875,3.001440082,-2.270344501,,,,,,,
3,960,-3.338521132,-4.195531758,-1.886341711,-3.801957588,,,,,,,
3,1020,-5.407141516,-5.169674132,-5.257716797,-4.731701311,,,,,,,
3,1080,-6.293170346,-5.732359387,-6.617368259,-5.386703392,,,,,,,
3,1140,-6.815633342,-6.093653832,-7.274751257,-5.705758733,,,,,,,
3,1200,-7.197665825,-6.457187195,-7.708586288,-6.115604173,,,,,,,
3,1260,-7.587609845,-6.683470149,-8.224036053,-6.299396045,,,,,,,
3,1320,-7.790848277,-6.930994647,-8.394516322,-6.584226018,,,,,,,
3,1380,-8.121572817,-7.07798055,-8.87399195,-6.702111141,,,,,,,
4,0,-8.210420428,-7.240096256,-8.882749127,-6.887722941,,,,,,,
4,60,-8.43233458,-7.315453424,-9.20655756,-6.962058607,,,,,,,
4,120,-8.608874852,-7.378069432,-9.42584833,-7.014391223,,,,,,,
4,180,-8.793818263,-7.427849706,-9.647864992,-7.047278479,,,,,,,
4,240,-8.994209424,-7.461219209,-9.88093549,-7.057740383,,,,,,,
4,300,-9.223039046,-7.470880633,-10.13934023,-7.0388145,,,,,,,
4,360,-9.556987768,-7.41594635,-10.48806088,-6.955845837,,,,,,,
4,420,-9.861411006,-7.332411183,-10.79130506,-6.83326252,,,,,,,
4,480,-8.841820776,-7.350177715,-9.532135452,-6.863758807,,,,,,,
