julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-7.381183671,-9.600407277,-7.965410219,-12.48131255,,,,,,,
1,60,-7.422061194,-7.655603217,-8.138675862,-8.603382406,,,,,,,
1,120,-7.564367038,-7.301852871,-8.293241619,-7.783721151,,,,,,,
1,180,-7.731906302,-7.210603222,-8.501160214,-7.517387561,,,,,,,
1,240,-7.890425517,-7.198382954,-8.687571161,-7.423366667,,,,,,,
1,300,-8.032563479,-7.148754517,-8.831788744,-7.279053141,,,,,,,
1,360,-8.284064452,-7.142737149,-9.094119582,-7.222648038,,,,,,,
1,420,-8.607345513,-7.207947235,-9.468187743,-7.294466666,,,,,,,
1,480,-7.667492788,-7.124180087,-8.237348939,-7.273819852,,,,,,,
1,540,-4.473705811,-6.23242605,-3.3908714,-6.752605455,,,,,,,
1,600,-0.504763957,-4.697058574,2.773052051,-5.694600181,,,,,,,
1,660,2.318286208,-2.921703951,6.761943659,-4.302466793,,,,,,,
1,720,3.934869746,-1.302010884,9.101945346,-2.760131027,,,,,,,
1,780,4.149451581,-0.201225296,8.871845729,-0.982887466,,,,,,,
1,840,3.327719574,-0.727897468,7.663422422,-1.449178341,,,,,,,
1,900,0.926587458,-1.625490679,4.127593531,-1.559163262,,,,,,,
1,960,-2.430887979,-3.569392018,-0.873421369,-3.388606933,,,,,,,
1,1020,-4.558688942,-4.408942172,-4.342000199,-4.014110567,,,,,,,
1,1080,-5.477881255,-5.090440074,-5.756086205,-4.915523634,,,,,,,
1,1140,-6.014975003,-5.365478668,-6.435669193,-5.040001249,,,,,,,
1,1200,-6.415883168,-5.79785587,-6.903354374,-5.588470733,,,,,,,
1,1260,-6.794156165,-5.985477367,-7.387239083,-5.684504179,,,,,,,
1,1320,-7.03407178,-6.258349562,-7.631647034,-6.015924074,,,,,,,
1,1380,-7.328896742,-6.401393758,-8.03103308,-6.12099455,,,,,,,
2,0,-7.474240856,-6.565044784,-8.15477246,-6.304647646,,,,,,,
2,60,-7.672785867,-6.649100618,-8.427847101,-6.391002927,,,,,,,
2,120,-7.848333867,-6.720666499,-8.643447128,-6.454981198,,,,,,,
2,180,-8.032747775,-6.781455754,-8.863143145,-6.502244544,,,,,,,
2,240,-8.232793873,-6.829141291,-9.094738787,-6.531377855,,,,,,,
2,300,-8.459740253,-6.85849471,-9.349575941,-6.53773733,,,,,,,
