julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,8.33225183,7.615343411,7.208404406,5.711363165
1,60,8.066702072,9.263437209,6.842893803,9.275980106
1,120,7.790530878,9.473517417,6.531524064,9.85134494
1,180,7.508776575,9.53220739,6.203128047,10.0572704
1,240,7.229416724,9.573597187,5.89406431,10.17556176
1,300,6.759511837,9.799763427,5.429171627,10.49143365
1,360,6.141774246,10.17697682,4.88185389,10.91112025
1,420,6.634962812,9.884385089,5.155266524,10.85002267
1,480,10.70365927,10.56729987,11.05311268,10.79407506
1,540,17.18298052,12.72886426,20.96109868,11.99518018
1,600,23.51072224,15.92162487,30.41075023,14.41275783
1,660,28.0310592,19.36005455,36.511028,17.51018785
1,720,30.21988975,22.18975149,39.19494078,20.44722876
1,780,31.07521209,23.53237449,39.94610131,22.33607486
1,840,29.70420234,22.87653937,37.87002733,22.06270879
1,900,25.7753496,20.9994524,32.07348069,21.11161876
1,960,20.04385042,17.74294233,23.56293227,18.32879258
1,1020,14.22496304,14.51367192,15.19268866,15.84339689
1,1080,12.07967123,13.10013594,11.7550895,14.03310357
1,1140,10.96419329,12.21610353,10.27021732,13.03717882
1,1200,10.16131912,11.55829481,9.293085624,12.34881445
1,1260,9.616533972,11.03709521,8.732813068,11.80671137
1,1320,8.876742196,10.62168228,7.640061557,11.37343487
1,1380,8.806237329,10.28739908,7.887706139,11.01940058
2,0,8.280825804,10.02054167,7.101017075,10.73387495
2,60,7.974906906,9.888946977,6.707248627,10.5985016
2,120,7.691902393,9.790658844,6.381936126,10.52143731
2,180,7.387671889,9.725014872,6.04151444,10.49271488
2,240,7.049375254,9.705068075,5.67530502,10.52421015
2,300,6.485548562,9.863354452,5.111900718,10.73697703
2,360,5.875242287,10.21710382,4.630701413,11.12365327
2,420,6.708541778,9.96241951,5.371950761,11.07661948
2,480,10.5618482,10.56559636,10.8923182,10.89944064
2,540,17.02373314,12.68233994,20.77335615,12.03185626
2,600,23.34258322,15.83088369,30.21641673,14.37724251
2,660,27.85555446,19.24685868,36.31376078,17.4443937
2,720,30.03891365,22.04999358,38.99402325,20.33761282
2,780,30.89161452,23.38645392,39.74352682,22.21683294
2,840,29.52496992,22.72702125,37.67311044,21.93046926
2,900,25.60799416,20.85658692,31.89135983,20.98288645
2,960,19.89234977,17.60765909,23.39998536,18.20140771
2,1020,14.08256915,14.3875294,15.03396286,15.72147308
2,1080,11.93546404,12.97465886,11.59417948,13.91458426
2,1140,10.82220833,12.09156441,10.11082358,12.91703439
2,1200,10.0216309,11.43539082,9.136133284,12.22932609
2,1260,9.478910317,10.91553945,8.578393004,11.6878027
2,1320,8.740174034,10.5014156,7.486277921,11.25541435
2,1380,8.671437342,10.16845695,7.736727119,10.90268113
3,0,8.146528506,9.902663509,6.95019524,10.61816943
3,60,7.840234424,9.771024785,6.555808519,10.48191594
3,120,7.556335095,9.673209292,6.229093967,10.40506733
3,180,7.250723246,9.608119146,5.886698515,10.37672142
3,240,6.910321054,9.588804494,5.51774682,10.40871425
3,300,6.341434183,9.747606855,4.94883974,10.62191936
3,360,5.72674014,10.09967162,4.462485428,11.00784365
3,420,6.571961784,9.846851335,5.216793278,10.96052526
3,480,10.43659115,10.44962261,10.7584895,10.78326041
3,540,16.89511548,12.562158,20.64187419,11.91482445
3,600,23.20068118,15.7016984,30.07112453,14.25437854
3,660,27.70264316,19.10687443,36.15896283,17.31284054
3,720,29.96937839,21.89983584,39.04528259,20.19562836
3,780,30.75024989,23.23135584,39.6314054,22.0680117
3,840,29.36856583,22.57370715,37.52105689,21.7814662
3,900,25.46031524,20.70934677,31.74671787,20.83643677
3,960,19.75867569,17.47073851,23.27033459,18.06304154
3,1020,13.95607466,14.2600171,14.90434034,15.58972873
3,1080,11.80575862,12.84743438,11.45974112,13.78626447
3,1140,10.69421466,11.96664077,9.976640052,12.79032858
3,1200,9.895647897,11.31269243,9.00361401,12.10474359
3,1260,9.35483603,10.79470608,8.447899741,11.56506662
3,1320,8.616944191,10.38212654,7.355783541,11.13423873
3,1380,8.550042037,10.05041941,7.60898005,10.78276559
4,0,8.025544692,9.785614025,6.822199433,10.49922104
4,60,7.719190479,9.654711198,6.427363494,10.36388686
4,120,7.43492329,9.557474023,6.099748025,10.28764763
4,180,7.128645496,9.492906134,5.756101686,10.25981564
4,240,6.787124091,9.474077525,5.38541425,10.29226573
4,300,6.215756002,9.632819111,4.8134653,10.50544582
4,360,5.600021368,9.982087037,4.324328207,10.88971817
4,420,6.453083143,9.732187917,5.089040779,10.84249801
4,480,10.32823103,10.33609756,10.65214204,10.66710008
4,540,16.78232749,12.44560445,20.5366517,11.79943297
4,600,23.07364321,15.57710797,29.95059733,14.13458379
4,660,27.56374194,18.97208031,36.02742756,17.18520248
4,720,29.82000737,21.75539277,38.90147529,20.058393
4,780,30.59709943,23.08218896,39.48305091,21.92435984
4,840,29.21902154,22.4263322,37.37638952,21.63774055
4,900,25.32160522,20.56801103,31.61453928,20.69542596
4,960,19.63435066,17.33947735,23.15434146,17.92993625
4,1020,13.83821914,14.13795066,14.78718603,15.4632483
4,1080,11.68398345,12.72513648,11.33684957,13.66278114
4,1140,10.57407845,11.84652762,9.853873931,12.6683007
4,1200,9.777549254,11.19474995,8.882575554,11.98479354
4,1260,9.238766708,10.67859372,8.329129688,11.44694226
4,1320,8.501571368,10.26753223,7.23665624,11.01765912
4,1380,8.4368786,9.937051197,7.493343142,10.66742216
5,0,7.912699319,9.673211883,6.706047418,10.38482095
5,60,7.606463422,9.543053012,6.310950688,10.25043746
5,120,7.322110579,9.446388836,5.982786843,10.17481006
5,180,7.015528105,9.382336972,5.638328432,10.14749136
5,240,6.673366258,9.363989174,5.266462781,10.18039775
5,300,6.100708069,9.522635652,4.692680367,10.39352165
5,360,5.485592073,9.868900105,4.201995016,10.77599603
5,420,6.34504653,9.622123207,4.976566374,10.72889569
5,480,10.23127727,10.22753919,10.56269673,10.55558648
5,540,16.68121121,12.33449053,20.44909957,11.68910624
5,600,22.95827509,15.45839976,29.8477915,14.02026468
5,660,27.436332,18.84354225,35.91323092,17.06341618
5,720,29.68162638,21.61748653,38.77419666,19.92732277
5,780,30.45486571,22.93970087,39.35095109,21.78709844
5,840,29.08023215,22.28558894,37.2476277,21.50039862
5,900,25.19322825,20.43317801,31.49751848,20.56079089
5,960,19.51964063,17.2144178,23.05225677,17.80296896
5,1020,13.7286617,14.02174921,14.68145879,15.34269955
5,1080,11.56948008,12.60816561,11.22377802,13.54476712
5,1140,10.46094962,11.73158818,9.740408407,12.55151138
5,1200,9.66635091,11.08189614,8.770643162,11.86997737
5,1260,9.12959341,10.56750829,8.219474355,11.33387854
5,1320,8.392919265,10.15791659,7.126267564,10.90608143
5,1380,8.330648196,9.828619387,7.386882718,10.55702395
6,0,7.806678313,9.56570942,6.598816624,10.2753134
6,60,7.500636993,9.436283858,6.203523959,10.14187181
6,120,7.216342551,9.340175698,5.874989884,10.0668339
6,180,6.909646802,9.276623159,5.529953376,10.04000615
6,240,6.567104242,9.2587409,5.1572166,10.07334757
6,300,5.993837071,9.417250821,4.582299338,10.28636669
6,360,5.380368138,9.760304201,4.090821744,10.66688128
6,420,6.24563609,9.516828252,4.875378184,10.61989973
6,480,10.1439436,10.12411172,10.48660882,10.44887333
6,540,16.59044545,12.22900459,20.37633672,11.58400044
6,600,22.85362142,15.34580688,29.76038098,13.91160417
6,660,27.31972244,18.72154684,35.81445269,16.9477097
6,720,29.5538065,21.48645096,38.66193397,19.80269312
6,780,30.32319402,22.8042491,39.23374646,21.65653761
6,840,28.95184504,22.15182044,37.13345198,21.36973728
6,900,25.07479171,20.30516339,31.39431458,20.43281931
6,960,19.41408841,17.09581938,22.96268367,17.68237305
6,1020,13.62688987,13.91162634,14.58572843,15.22828634
6,1080,11.46170616,12.49671621,11.11905723,13.43239529
6,1140,10.35426488,11.6220029,9.634758944,12.4401172
6,1200,9.561473332,10.97430053,8.666325592,11.76043952
6,1260,9.026722811,10.46161035,8.117439688,11.22600991
6,1320,8.290375991,10.05343267,7.023109787,10.79963154
6,1380,8.23072906,9.725270525,7.288095486,10.45168923
7,0,7.706840862,9.463247548,6.498989204,10.17080988
7,60,7.401025218,9.334539683,6.103520748,10.03829537
7,120,7.116870679,9.238964495,5.774725123,9.963816842
7,180,6.810172645,9.175887413,5.429255345,9.937448508
7,240,6.467402454,9.158446517,5.055839243,9.971192433
7,300,5.89395001,9.316762323,4.48023451,10.18403981
7,360,5.282833408,9.656381455,3.988483268,10.56241083
7,420,6.153805789,9.416391892,4.783532915,10.5155469
7,480,10.06541102,10.02593312,10.42216954,10.34702585
7,540,16.50947221,12.12930896,20.31701691,11.48421867
7,600,22.75934528,15.23955127,29.68734231,13.80876112
7,660,27.21373952,18.60637581,35.73030504,16.83830002
7,720,29.43652842,21.3626208,38.56413021,19.6847814
7,780,30.20211073,22.67619349,39.13096668,21.53299266
7,840,28.83387975,22.02537551,37.03340397,21.2460665
7,900,24.96627112,20.18428951,31.30443082,20.31181396
7,960,19.31760374,16.98395092,22.88505898,17.56840268
7,1020,13.53275864,13.80780598,14.49939181,15.12023518
7,1080,11.36048612,12.39099398,11.02203637,13.32586373
7,1140,10.25382823,11.51796501,9.536252525,12.33430314
7,1200,9.462705689,10.87214676,8.568937711,11.65635539
