julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,6.363098211,5.691248516,5.240553654,3.842930772
1,60,6.232516766,7.054941087,5.073846493,6.74489669
1,120,6.031359429,7.249153914,4.843185751,7.253570405
1,180,5.816685132,7.28822646,4.584376196,7.411794871
1,240,5.598471996,7.288817985,4.329795046,7.467505622
1,300,5.374867528,7.340309161,4.091057539,7.590578179
1,360,5.028696649,7.419079958,3.744729656,7.715893468
1,420,4.73398359,7.448853526,3.424582549,7.758324351
1,480,6.187150664,7.468590936,5.401931813,7.726796039
1,540,9.937770299,8.532559589,11.06940633,8.320719294
1,600,14.30089998,10.2790852,17.68768455,9.368971676
1,660,17.88974223,12.21540504,22.88982137,10.61114555
1,720,19.42220533,14.6264596,24.70972026,13.56288393
1,780,20.11306369,15.3098233,25.41853249,14.25427618
1,840,18.96254771,15.16515165,23.57318099,14.82007788
1,900,16.08583689,13.51302089,19.28886669,13.4092541
1,960,12.18890208,11.62883345,13.5272899,12.25870541
1,1020,9.685503691,10.20585122,9.566092781,10.73390824
1,1080,8.65764086,9.54293888,7.986103274,9.954107187
1,1140,8.041787511,9.094054739,7.206755518,9.522862721
1,1200,7.633949525,8.673430297,6.786374078,9.050867196
1,1260,7.067502252,8.390641475,5.944740134,8.796355524
1,1320,7.003485906,8.122341233,6.121731105,8.506133447
1,1380,6.363149352,7.926775562,5.024312202,8.317565308
2,0,6.306370093,7.830756732,5.122544349,8.293666795
2,60,6.129288938,7.671793856,4.925009583,8.059272987
2,120,5.921867368,7.586581932,4.679420082,7.974656966
2,180,5.695981272,7.522779961,4.41629816,7.926787185
2,240,5.442603676,7.479392581,4.126876763,7.90848505
2,300,5.148046936,7.460384911,3.800996399,7.919543854
2,360,4.721621895,7.508514138,3.369937913,7.998878317
2,420,4.423000079,7.567183678,3.086771647,8.108491985
2,480,5.996545933,7.621739476,5.145460867,8.094013798
2,540,9.793590509,8.620669845,10.88990699,8.595953831
2,600,14.17428539,10.23632827,17.53925526,9.396037093
2,660,17.76964645,12.49190583,22.75419714,11.33731476
2,720,19.31119078,14.41310156,24.59488136,13.21473425
