julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,9.264152085,7.889907927,8.305846905,5.308610858,,,,,,,
1,60,8.938842756,9.766155014,7.66572065,9.419530415,,,,,,,
1,120,8.70282039,9.916019225,7.382709018,9.873128166,,,,,,,
1,180,8.439878728,9.94133447,7.050133723,10.01944574,,,,,,,
1,240,8.215084235,9.91152096,6.816353915,10.02422839,,,,,,,
1,300,7.690591907,9.954252349,6.248609975,10.11772516,,,,,,,
1,360,6.978464539,10.10791379,5.622136163,10.32586885,,,,,,,
1,420,7.51736829,9.983628071,5.852460495,10.2963264,,,,,,,
1,480,9.928461264,10.77815498,9.093558086,10.76565875,,,,,,,
1,540,14.42293267,12.40810872,15.9606708,11.73917616,,,,,,,
1,600,19.58603912,14.79781665,24.19238928,13.64921718,,,,,,,
1,660,22.84592601,17.38105892,28.66664423,16.12335459,,,,,,,
1,720,24.3769612,19.3525863,30.45230708,18.11326783,,,,,,,
1,780,24.91202382,20.45706429,30.79130215,19.8506535,,,,,,,
1,840,23.76837676,19.67379312,28.88029708,18.91361551,,,,,,,
1,900,20.87497213,18.26693868,24.43701724,18.14675541,,,,,,,
1,960,16.69765835,16.01308775,18.00922937,16.3737236,,,,,,,
1,1020,13.02449359,13.52925376,13.03215812,14.22628328,,,,,,,
1,1080,11.76478125,12.45059521,11.10431698,12.71030531,,,,,,,
1,1140,10.99744561,12.16571449,10.1142888,12.82121576,,,,,,,
1,1200,10.41253238,11.53812614,9.400828533,11.9802564,,,,,,,
1,1260,9.948749154,11.12915701,8.849713121,11.52378827,,,,,,,
1,1320,9.684411034,10.82095229,8.65735262,11.20123386,,,,,,,
1,1380,9.080536654,10.57913744,7.640365564,10.95253647,,,,,,,
2,0,9.226489646,10.37821728,8.223704864,10.73563082,,,,,,,
2,60,8.7997568,10.26874134,7.505726768,10.61896508,,,,,,,
2,120,8.545800437,10.17989605,7.189038196,10.54137862,,,,,,,
2,180,8.268374927,10.10848572,6.855911037,10.49096265,,,,,,,
2,240,7.971865566,10.06211638,6.529803076,10.47523599,,,,,,,
2,300,7.421524916,10.11553395,5.960392526,10.56951185,,,,,,,
2,360,6.627851375,10.30326302,5.248521797,10.78138483,,,,,,,
2,420,7.253818818,10.10901799,5.52267302,10.67434578,,,,,,,
2,480,9.72372578,10.6352801,8.868227723,10.66471353,,,,,,,
2,540,14.2018535,12.30782345,15.70653365,11.73186754,,,,,,,
2,600,19.34896113,14.70773275,23.91130266,13.67482998,,,,,,,
2,660,22.56835055,17.24514182,28.29533148,16.05605138,,,,,,,
2,720,24.1719923,19.27611104,30.25005472,18.2044317,,,,,,,
2,780,24.70569096,20.16288646,30.58631206,19.40938442,,,,,,,
2,840,23.5625956,19.73030584,28.6732546,19.32801404,,,,,,,
2,900,20.53294798,18.07558856,23.89307612,17.95552365,,,,,,,
2,960,16.41938929,15.84524819,17.61053637,16.23640823,,,,,,,
2,1020,12.79099768,13.36153592,12.7346634,14.08678402,,,,,,,
2,1080,11.55538964,12.43816193,10.86670992,12.9375254,,,,,,,
2,1140,10.80012492,11.82324554,9.903384845,12.27807789,,,,,,,
2,1200,10.21887866,11.36557712,9.197242779,11.82949567,,,,,,,
2,1260,9.755303757,10.92952899,8.645722862,11.31024168,,,,,,,
2,1320,9.380065149,10.6991995,8.204483618,11.16191774,,,,,,,
2,1380,9.112716817,10.36088068,7.934063686,10.69718955,,,,,,,
3,0,8.736818137,10.27651223,7.371910843,10.73532871,,,,,,,
3,60,8.581495774,10.11453654,7.247781247,10.50169001,,,,,,,
3,120,8.348098051,10.02334999,6.975218692,10.41688249,,,,,,,
3,180,8.083108301,9.954551047,6.667379812,10.36918169,,,,,,,
3,240,7.763531013,9.914852349,6.297603505,10.36306599,,,,,,,
3,300,7.15946828,9.98195274,5.640324652,10.47384044,,,,,,,
3,360,6.430942348,10.19096348,5.038968768,10.70836492,,,,,,,
3,420,7.03045312,9.982795087,5.261717309,10.59594476,,,,,,,
3,480,9.550887566,10.49456226,8.701430149,10.56395433,,,,,,,
3,540,13.98952479,12.15898969,15.46539922,11.6179717,,,,,,,
3,600,19.16227999,14.55091838,23.73526259,13.54796834,,,,,,,
3,660,22.36308811,17.08267943,28.08333328,15.92173169,,,,,,,
3,720,23.96081851,19.10710023,30.02496477,18.0614114,,,,,,,
3,780,24.49305935,19.98413433,30.35824333,19.24454412,,,,,,,
3,840,23.35269684,19.56435563,28.44875147,19.19408384,,,,,,,
3,900,20.33146438,17.88733499,23.68095016,17.76486255,,,,,,,
3,960,16.22786915,15.66836481,17.41231631,16.07086362,,,,,,,
3,1020,12.60233687,13.18671208,12.53682529,13.92414666,,,,,,,
3,1080,11.3138334,12.26159682,10.54756493,12.7746569,,,,,,,
3,1140,10.58492649,11.64736336,9.645118841,12.11524824,,,,,,,
3,1200,10.02532434,11.19139147,8.988186775,11.669378,,,,,,,
3,1260,9.569925716,10.7539632,8.454450725,11.1456636,,,,,,,
3,1320,9.196549363,10.52796797,8.016607921,11.00642515,,,,,,,
3,1380,8.88732537,10.18552205,7.652824202,10.53129332,,,,,,,
4,0,8.64921357,10.10814298,7.392438678,10.58441708,,,,,,,
4,60,8.405031073,9.944413582,7.073472084,10.34571109,,,,,,,
4,120,8.16400612,9.854716091,6.784622891,10.26291238,,,,,,,
4,180,7.893481311,9.788159804,6.465841542,10.21844955,,,,,,,
4,240,7.579105247,9.751779396,6.106556738,10.21709919,,,,,,,
4,300,6.99596397,9.826268024,5.485755705,10.33718773,,,,,,,
4,360,6.27776256,10.04635865,4.89277281,10.58470742,,,,,,,
4,420,6.835554018,9.832034711,5.048234074,10.46962518,,,,,,,
4,480,9.382609248,10.33787094,8.538846342,10.42699106,,,,,,,
4,540,13.80038789,12.00041642,15.26709011,11.47805926,,,,,,,
4,600,18.97783057,14.38876794,23.55746752,13.40304566,,,,,,,
4,660,22.16601834,16.91736068,27.88272606,15.77395853,,,,,,,
4,720,23.75831754,18.93716529,29.81273419,17.9082955,,,,,,,
4,780,24.28935902,19.80705702,30.14366161,19.07591546,,,,,,,
4,840,23.15195191,19.39676864,28.23828049,19.04844281,,,,,,,
4,900,20.13910697,17.70263543,23.48290925,17.57506676,,,,,,,
4,960,16.04508332,15.4927299,17.22744923,15.90085543,,,,,,,
4,1020,12.42165532,13.01274998,12.35074257,13.7564108,,,,,,,
4,1080,11.13644115,12.08562123,10.37245512,12.60663634,,,,,,,
4,1140,10.40814622,11.47207414,9.469619475,11.94733229,,,,,,,
4,1200,9.847908861,11.01785631,8.809851129,11.50438044,,,,,,,
4,1260,9.392514019,10.57891533,8.27502145,10.97596883,,,,,,,
4,1320,9.019520357,10.35740967,7.837146792,10.84627768,,,,,,,
4,1380,8.710781623,10.0105168,7.473709711,10.36010044,,,,,,,
5,0,8.473576754,9.940372514,7.214779469,10.42889884,,,,,,,
5,60,8.228932981,9.774391321,6.894354511,10.1843129,,,,,,,
