julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.133338219,-2.620738308,-3.257805251,-4.315944189
1,60,-2.37507479,-1.210395643,-3.579490567,-1.1161309
1,120,-2.669406432,-1.102947175,-3.920909047,-0.703227766
1,180,-2.9710245,-1.104230424,-4.289966303,-0.581322167
1,240,-3.268987392,-1.118048148,-4.64447059,-0.535812859
1,300,-3.620086121,-1.06190662,-5.065252325,-0.408888249
1,360,-4.052494863,-0.886981359,-5.540954196,-0.145453383
1,420,-3.674826361,-0.824283536,-4.84371118,0.003182609
1,480,-0.555506621,-0.563935161,0.040464188,0.024389118
1,540,5.379450846,1.260949029,9.144448798,0.691327431
1,600,11.53744356,4.762991455,18.08740605,3.385763718
1,660,16.23891042,8.614274496,24.0604261,6.742400887
1,720,18.69102336,11.97238931,26.72051759,10.308545
1,780,19.72425039,13.42432388,27.63881502,12.2496421
1,840,18.30816183,12.6351539,25.67396246,11.93805512
1,900,14.21612995,10.27750326,19.99445881,10.54456114
1,960,8.339324036,6.457667244,11.64269295,7.170447848
1,1020,3.600369989,3.73210603,4.469544919,4.779605446
1,1080,1.671549015,2.394125273,1.305526,2.989067574
1,1140,0.576368076,1.776111895,-0.140050058,2.625965848
1,1200,-0.224080169,0.891023784,-1.097036513,1.44580512
1,1260,-0.753349793,0.443792477,-1.592481498,1.106382486
1,1320,-1.571236813,0.022173137,-2.85586999,0.69362172
1,1380,-1.852204047,-0.33909694,-3.015688184,0.312890477
2,0,-2.200138886,-0.606937691,-3.402828588,0.055989456
2,60,-2.489810073,-0.774918672,-3.758033676,-0.131070046
2,120,-2.788822364,-0.902184807,-4.113792258,-0.238730611
2,180,-3.111201441,-1.002598486,-4.492334782,-0.303869005
2,240,-3.469958132,-1.067494336,-4.90707437,-0.318950048
2,300,-3.888406683,-1.078074783,-5.37904197,-0.265458444
2,360,-4.418464995,-0.989789733,-5.947186267,-0.102592302
2,420,-4.139651879,-1.001672465,-5.339680557,-0.001415926
2,480,-0.798383987,-0.591559871,-0.298030952,0.096548372
2,540,5.185751165,1.163398907,8.90117507,0.643368293
2,600,11.34383466,4.649203638,17.85572431,3.324166258
2,660,16.0384089,8.45937716,23.82934426,6.611487093
2,720,18.48513979,11.81350174,26.48856614,10.18848993
2,780,19.51523201,13.23836956,27.40556999,12.0700054
2,840,18.10413836,12.46572631,25.44673149,11.79218196
2,900,14.02544616,10.10967914,19.78254028,10.38584928
2,960,8.166054197,6.29248558,11.45053914,6.996748693
2,1020,3.435736083,3.603466306,4.29288454,4.687730165
2,1080,1.50338129,2.207170207,1.115173853,2.755219025
2,1140,0.408918085,1.683392165,-0.332752687,2.60604332
2,1200,-0.38932194,0.682219144,-1.287758776,1.156144818
2,1260,-0.916156825,0.486298472,-1.780020867,1.382216691
2,1320,-1.73493516,-0.286833302,-3.047286841,0.179028941
2,1380,-2.013503973,-0.304575582,-3.203019336,0.556921029
3,0,-2.360412747,-0.906776639,-3.588811687,-0.432502976
3,60,-2.650565113,-0.929517229,-3.944675208,-0.304201883
3,120,-2.950753222,-1.040017389,-4.302237629,-0.377244926
3,180,-3.274916345,-1.135775229,-4.683352133,-0.433884248
3,240,-3.636341074,-1.201333215,-5.101690182,-0.451230936
3,300,-4.058862416,-1.209096952,-5.578727852,-0.393506701
3,360,-4.594453543,-1.116354109,-6.153183674,-0.223768337
3,420,-4.288785559,-1.131655651,-5.501596626,-0.127897591
3,480,-0.94000726,-0.725823298,-0.448870929,-0.04011715
3,540,5.039203486,1.029372091,8.748010503,0.513763994
3,600,11.18454778,4.503088152,17.69079978,3.184533245
3,660,15.86634355,8.301155901,23.65422748,6.464255069
3,720,18.3022943,11.64041307,26.30294146,10.02369689
3,780,19.32777176,13.06083418,27.21500557,11.90086142
3,840,17.92097319,12.28950856,25.2601961,11.619977
3,900,13.85494422,9.943040472,19.60947784,10.22035841
3,960,8.012162686,6.139561248,11.29523314,6.842944861
3,1020,3.289908467,3.452081068,4.152471014,4.534301274
3,1080,1.352533805,2.062896692,0.9573263,2.612980251
3,1140,0.258244803,1.536920076,-0.494458161,2.454534142
3,1200,-0.537926885,0.546062733,-1.448059696,1.024656483
3,1260,-1.062177693,0.342895478,-1.937069695,1.231601828
3,1320,-1.882473936,-0.232822359,-3.209903487,0.466063894
3,1380,-2.158189076,-0.60115833,-3.360830781,0.065463937
4,0,-2.503924071,-0.874554764,-3.745265703,-0.206820827
4,60,-2.794043648,-1.043548614,-4.101309955,-0.398035011
4,120,-3.094667219,-1.169440413,-4.459849547,-0.504642
4,180,-3.419640815,-1.268203468,-4.842418427,-0.568178351
4,240,-3.782431269,-1.331227409,-5.262863939,-0.581301205
4,300,-4.207226225,-1.339730725,-5.742980328,-0.525653511
4,360,-4.745523455,-1.250079518,-6.320846738,-0.361264971
4,420,-4.408559297,-1.263307277,-5.617766486,-0.26123218
4,480,-1.056787237,-0.848132761,-0.558065078,-0.159725517
4,540,4.913132711,0.898888613,8.629836079,0.384255177
4,600,11.04371956,4.365246709,17.55773305,3.054480034
4,660,15.71115502,8.147242696,23.50823492,6.317424422
4,720,18.13440468,11.47664281,26.14317193,9.870868895
4,780,19.15483739,12.88790688,27.04919228,11.7321241
4,840,17.75210254,12.12203781,25.09774398,11.45832211
4,900,13.69836433,9.783198941,19.45959856,10.06088197
4,960,7.871604103,5.991092323,11.16183365,6.689905335
4,1020,3.15718124,3.312570896,4.034342952,4.400270317
4,1080,1.213335588,1.915058017,0.81825966,2.454072508
4,1140,0.118726851,1.409892538,-0.638616772,2.339716394
4,1200,-0.675459096,0.399190276,-1.591098474,0.860745289
4,1260,-1.30978227,0.224469183,-2.331065012,1.129528147
4,1320,-1.808709829,-0.562657014,-2.886946958,-0.109854138
4,1380,-2.304833789,-0.559488347,-3.530419794,0.310915116
5,0,-2.575021516,-1.1761799,-3.751717103,-0.713398316
5,60,-2.921359622,-1.189764592,-4.230676509,-0.566859852
5,120,-3.226359823,-1.2978209,-4.598895113,-0.636421738
5,180,-3.553676951,-1.391750161,-4.986364507,-0.690933957
5,240,-3.914546625,-1.455719521,-5.402972981,-0.706688428
5,300,-4.333823711,-1.461576171,-5.872674455,-0.646892912
5,360,-4.872301576,-1.367787041,-6.451475073,-0.475803321
5,420,-4.514905835,-1.385036022,-5.715506777,-0.381926967
5,480,-1.157316336,-0.973015685,-0.642296987,-0.290321154
5,540,4.802366564,0.776530075,8.535656765,0.263854389
5,600,10.9173417,4.231979682,17.44734456,2.925472632
5,660,15.5697166,8.00303117,23.38367323,6.182639766
5,720,17.97925466,11.31797575,26.00311073,9.718951235
5,780,18.99444945,12.72529211,26.9025395,11.57696022
5,840,17.59561076,11.96052885,24.95401342,11.29972976
5,900,13.55380222,9.631089546,19.32767601,9.908993311
5,960,7.742461006,5.852620175,11.04520684,6.55022125
5,1020,3.035823509,3.173565579,3.933891949,4.258323231
5,1080,1.08393049,1.784027311,0.693135336,2.325468044
5,1140,-0.011543915,1.274986504,-0.770121136,2.198075148
5,1200,-0.803967522,0.276616083,-1.722021863,0.743815979
5,1260,-1.43672191,0.092103798,-2.461213054,0.987768987
5,1320,-1.933347021,-0.486564549,-3.01417096,0.210867417
5,1380,-2.429984052,-0.852576259,-3.660595156,-0.188264017
6,0,-2.696388791,-1.12321386,-3.87502355,-0.457458626
6,60,-3.043820744,-1.290651431,-4.357086404,-0.647068164
6,120,-3.348781475,-1.414959463,-4.725800803,-0.751994365
6,180,-3.676196892,-1.512157591,-5.113885417,-0.81389914
6,240,-4.037348461,-1.573590272,-5.531232588,-0.825374655
6,300,-4.457316803,-1.580380521,-6.002046134,-0.767959368
6,360,-4.99620432,-1.490145675,-6.581821117,-0.602862882
6,420,-4.88375012,-1.505548708,-6.265532781,-0.5050549
6,480,-1.291572257,-1.082844482,-0.797340791,-0.398558437
6,540,4.705130372,0.659475994,8.461448912,0.146370246
6,600,10.80675475,4.108774333,17.36206782,2.808928434
6,660,15.44296479,7.864388266,23.28208122,6.049894032
6,720,17.83741107,11.17019204,25.88341121,9.581319556
6,780,18.84697733,12.56840495,26.77519549,11.42338812
6,840,17.45170521,11.80912053,24.82878385,11.15348701
6,900,13.42131693,9.487059569,19.21319463,9.764854979
6,960,7.624661517,5.719203943,10.94460532,6.411555864
6,1020,2.925894015,3.048265253,3.85072264,4.139007979
6,1080,0.964171001,1.649017566,0.581095939,2.178187765
6,1140,-0.132825919,1.16224081,-0.890060495,2.098414449
6,1200,-0.923718918,0.141957497,-1.841912626,0.590376724
6,1260,-1.554889153,-0.011903766,-2.580306679,0.901280539
6,1320,-2.049122969,-0.573309533,-3.130166701,0.160200081
6,1380,-2.546564092,-0.964611503,-3.78022298,-0.297247373
7,0,-2.80875339,-1.245371879,-3.986875887,-0.589973505
7,60,-3.170370201,-1.409637292,-4.483027727,-0.763822632
7,120,-3.493201379,-1.5347967,-4.87055061,-0.863870502
7,180,-3.844201805,-1.629084463,-5.283907908,-0.916712095
7,240,-4.239145551,-1.679551098,-5.736870298,-0.909943301
7,300,-4.922282707,-1.545491079,-6.465870581,-0.706695021
7,360,-5.79671483,-1.156750581,-7.216085646,-0.286413747
7,420,-5.244543369,-1.492405924,-7.129990657,-0.394608609
7,480,-1.032477905,-0.875272435,-0.888927069,-0.580712599
7,540,5.238303584,1.382768817,8.771300001,0.723710113
7,600,11.25529593,4.711921738,17.65643328,3.304544845
7,660,15.65886472,8.289395647,23.44562144,6.59805898
7,720,17.84576527,11.16173566,25.93178648,9.585010133
7,780,18.72726137,12.4897563,26.70269965,11.44796468
7,840,17.43658105,11.77474629,24.81943503,11.09450671
7,900,13.70158724,9.703960755,19.44606661,9.843480866
7,960,8.239469592,6.406568709,11.47878159,7.117417025
7,1020,2.58613395,2.858421555,3.396152076,4.03774897
7,1080,0.654412014,1.577131361,0.235868604,2.388136371
7,1140,-0.414256098,0.729975256,-1.160962978,1.479987292
7,1200,-1.202409717,0.080053536,-2.110513759,0.817158754
7,1260,-1.71558781,-0.468700504,-2.59396829,0.220063884
7,1320,-2.518534886,-0.861317606,-3.850651509,-0.155116451
7,1380,-2.77959983,-1.221581559,-3.991669358,-0.560729662
8,0,-3.10900085,-1.460248553,-4.362388745,-0.779316784
8,60,-3.393224213,-1.616207315,-4.714085246,-0.959886223
8,120,-3.693284827,-1.724281906,-5.076039523,-1.047186273
8,180,-4.024268121,-1.800810595,-5.469475626,-1.085519457
8,240,-4.404525963,-1.833545189,-5.912325188,-1.063915846
8,300,-5.077941184,-1.683716418,-6.637680313,-0.848077295
8,360,-5.930710903,-1.286813552,-7.367908465,-0.420555583
8,420,-5.3552311,-1.604416251,-7.253502259,-0.516885756
