julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.305351084,3.916240391,3.148906422,2.316506515
1,60,4.091826908,5.265309158,2.868236545,5.315442782
1,120,3.833844441,5.393542568,2.568131089,5.729326243
1,180,3.567358444,5.409540163,2.244568573,5.85877245
1,240,3.301660581,5.407319793,1.933416667,5.909772841
1,300,2.985638392,5.46286678,1.562712709,6.026658676
1,360,2.594116836,5.620894219,1.146993491,6.260312933
1,420,2.921794695,5.684617208,1.750595717,6.397466983
1,480,6.004427913,5.862561552,6.658521384,6.391369484
1,540,11.59935004,7.524692411,15.58465465,7.338095816
1,600,17.17266219,10.02446384,24.11103254,8.829947524
1,660,21.22713233,13.28417045,29.5943362,11.8370989
1,720,23.10016036,15.88777205,31.73874456,14.41958593
1,780,23.88580103,17.18129801,32.35203314,16.25246301
1,840,22.57686107,16.54842685,30.36529143,16.01404137
1,900,18.88165189,14.51130471,24.8987663,14.58740761
1,960,13.58260807,11.59206611,16.93782137,12.28459743
1,1020,9.280533864,9.316149688,10.07225771,10.15472196
1,1080,7.56516688,8.346017797,7.187828886,8.977925427
1,1140,6.624924096,7.663457335,5.908450398,8.264836307
1,1200,5.943917224,7.125371856,5.068693082,7.72071646
1,1260,5.517816883,6.674723674,4.678123849,7.246104311
1,1320,4.76691342,6.332448395,3.476201101,6.910730156
1,1380,4.561020711,6.035127261,3.39868061,6.593145185
2,0,4.270520336,5.815467732,3.074395204,6.379403506
2,60,4.021324871,5.68036533,2.769700471,6.229456184
2,120,3.76145433,5.57871127,2.460532664,6.143640875
2,180,3.480606425,5.499730058,2.132228758,6.093378334
2,240,3.16724599,5.450440902,1.773306499,6.084578033
2,300,2.801216172,5.446086184,1.366590538,6.132021706
2,360,2.331592918,5.525709328,0.87496655,6.271013441
2,420,2.567437046,5.526614467,1.385715842,6.364887352
2,480,5.833365674,5.829426906,6.432961364,6.425542759
2,540,11.46328308,7.479912021,15.42838592,7.365655416
2,600,17.03356844,9.929911098,23.95913382,8.772162424
2,660,21.08081285,13.16050474,29.4406946,11.73329615
2,720,22.94734322,15.74741512,31.5817439,14.29231158
2,780,23.73007911,17.02675173,32.19322961,16.0963015
2,840,22.42584822,16.41252949,30.21263345,15.89720779
2,900,18.74236786,14.37288369,24.76034828,14.45091217
2,960,13.45745873,11.46378492,16.81522186,12.15462593
2,1020,9.158945532,9.190902585,9.954528356,10.02852195
2,1080,7.437619933,8.22325366,7.05231102,8.853391284
2,1140,6.497371027,7.542874662,5.76977271,8.141999042
2,1200,5.818161747,7.006506484,4.931592316,7.599109594
2,1260,5.391491352,6.557603359,4.537822618,7.126262242
2,1320,4.647730949,6.216242022,3.350106314,6.791198962
2,1380,4.439605963,5.920278583,3.266488623,6.475213839
3,0,4.149371744,5.701037437,2.941884919,6.261297351
3,60,3.900005056,5.566457925,2.636732924,6.111927078
3,120,3.639738549,5.465042471,2.326807993,6.026133963
3,180,3.358215801,5.386172982,1.997422662,5.975703942
3,240,3.043769271,5.336826002,1.636975745,5.966501346
3,300,2.675989413,5.332166736,1.228087172,6.013223694
3,360,2.204530108,5.410448289,0.734349734,6.150418094
3,420,2.463265829,5.4096962,1.282056608,6.242039882
3,480,5.732546056,5.715710864,6.336218419,6.304502618
3,540,11.35543308,7.361497573,15.32499258,7.23975727
3,600,16.91425007,9.80270207,23.84457396,8.63929772
3,660,20.95086643,13.02759105,29.31808829,11.60289104
3,720,22.80797292,15.60123335,31.45052656,14.14422
3,780,23.58699308,16.88159198,32.05822137,15.95583193
3,840,22.28709294,16.26289533,30.08272133,15.74097252
3,900,18.61501991,14.23543733,24.64381929,14.310254
3,960,13.34386335,11.33825111,16.71360187,12.0249617
3,1020,9.048584184,9.068421775,9.857663569,9.903596984
3,1080,7.320145877,8.1035794,6.934847748,8.730934806
3,1140,6.379444356,7.425691172,5.648007633,8.021986495
3,1200,5.701909312,6.89131667,4.811000574,7.480976639
3,1260,5.274840338,6.444369619,4.414281553,7.010376943
3,1320,4.537593833,6.104148439,3.239233677,6.676125785
3,1380,4.327588779,5.809698168,3.150149099,6.362072088
4,0,4.037700133,5.591069996,2.825242006,6.148385564
4,60,3.788409327,5.457185747,2.519846063,5.999916175
4,120,3.528095277,5.35621731,2.209528163,5.914519339
4,180,3.246353273,5.277705859,1.879555988,5.864337751
4,240,2.931426045,5.228609889,1.518245076,5.855220641
4,300,2.562729236,5.224063026,1.10807165,5.901831447
4,360,2.090788686,5.301598619,0.613556763,6.038026877
4,420,2.375884398,5.299521164,1.203924647,6.127999938
4,480,5.646301885,5.608653623,6.263204477,6.192261252
4,540,11.25998645,7.249837385,15.24214017,7.122758714
4,600,16.80607154,9.682091679,23.74848482,8.514855036
4,660,20.83122271,12.900773,29.21245721,11.4796881
4,720,22.67792008,15.46129444,31.33458044,14.00368437
4,780,23.45302305,16.74213096,31.93794482,15.82157975
4,840,22.15735325,16.11957076,29.96724939,15.59246197
4,900,18.49653633,14.10386879,24.5413908,14.17645428
4,960,13.2388623,11.21834802,16.62555863,11.90185683
4,1020,8.946726649,8.9510019,9.774900345,9.78480004
4,1080,7.210016824,7.98886956,6.828743445,8.614411396
4,1140,6.268438011,7.313439901,5.536588861,7.907851351
4,1200,5.592492787,6.781050548,4.700519197,7.368708374
4,1260,5.165237018,6.336043868,4.301271646,6.900318367
4,1320,4.433872657,5.996984313,3.137429325,6.566917723
4,1380,4.222362835,5.704039538,3.043640587,6.25476375
5,0,3.932901983,5.486063589,2.718535116,6.041373124
5,60,3.683832427,5.352919518,2.413054941,5.893854494
5,120,3.423662359,5.252479791,2.102568568,5.808969434
5,180,3.141946182,5.174438368,1.772298282,5.759194552
5,240,2.826857916,5.12574977,1.410494054,5.750378847
5,300,2.457676925,5.121543992,0.999519616,5.797180083
5,360,1.985984942,5.198665454,0.504969114,5.932792
5,420,2.301214362,5.195376387,1.144275172,6.021360978
5,480,5.571390692,5.507627626,6.207550568,6.087363911
5,540,11.17452898,7.14435771,15.17461155,7.013160062
5,600,16.70725032,9.567669268,23.66664789,8.397540375
