julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-0.1668011,-0.712605502,-1.023471571,-2.197928376
1,60,-0.256520337,0.386678018,-1.124252735,0.225990377
1,120,-0.42086106,0.519005898,-1.320242601,0.599201395
1,180,-0.596925401,0.543167174,-1.541853048,0.714922957
1,240,-0.779658173,0.540136337,-1.767386071,0.75194888
1,300,-0.972769789,0.583301955,-1.990069781,0.852775711
1,360,-1.278005111,0.668774243,-2.31740754,0.983030468
1,420,-1.558777453,0.719452483,-2.631822621,1.049447092
1,480,-0.203084891,0.692600344,-0.673784723,0.99060023
1,540,3.1001937,1.585251526,4.579558947,1.528109237
1,600,6.746802449,3.048871447,10.34601085,2.44178599
1,660,9.647440288,4.608630175,14.67249563,3.374951095
1,720,10.85834738,6.618015534,16.17233339,5.920502606
1,780,11.17508714,7.105147986,16.14859239,6.308719218
1,840,10.33773153,6.849446405,14.84580834,6.485510027
1,900,7.942955516,5.645004436,11.16237304,5.704357096
1,960,4.651558559,3.902824222,6.098014126,4.336149343
1,1020,2.557077682,2.756232477,2.613204568,3.077337483
1,1080,1.712514619,2.36270299,1.274677224,2.774850946
1,1140,1.210072277,1.863058585,0.626020689,2.117054563
1,1200,0.82289122,1.674608821,0.156185706,2.080051734
1,1260,0.520703334,1.303499295,-0.189944176,1.558372918
1,1320,0.217186395,1.211845688,-0.592349712,1.603052407
1,1380,0.049437987,0.947062091,-0.738056511,1.218774962
2,0,-0.22103241,0.894588897,-1.140165996,1.260417494
2,60,-0.34456899,0.785524311,-1.262475015,1.109884917
2,120,-0.513442774,0.720750819,-1.469571523,1.050951282
2,180,-0.699659494,0.671117823,-1.695836559,1.017553882
2,240,-0.911861902,0.638156854,-1.950472701,1.008301958
2,300,-1.162234501,0.627196761,-2.242680148,1.026444217
2,360,-1.529820389,0.677602904,-2.633635094,1.108473813
2,420,-1.815838731,0.744308696,-2.91869072,1.221302185
2,480,-0.361942306,0.763753819,-0.897653882,1.194633739
2,540,2.977816049,1.620570539,4.419734401,1.685689007
2,600,6.633956348,2.99467244,10.20806638,2.429140332
2,660,9.534691565,4.807436493,14.5406583,3.942107983
2,720,10.74972392,6.412432685,16.05525497,5.570123238
2,780,11.06099303,7.149083358,16.02140912,6.564610861
2,840,10.22894218,6.794333564,14.72859286,6.49780833
2,900,7.840008704,5.568708759,11.05162218,5.657470336
2,960,4.553188849,3.857887861,5.98905886,4.353098318
2,1020,2.450170071,2.652092993,2.486877018,2.957413063
2,1080,1.603738734,2.326107742,1.142181404,2.808728839
2,1140,1.101952207,1.735902689,0.493600986,1.941024294
2,1200,0.715537624,1.649940873,0.024431894,2.134861815
2,1260,0.413749762,1.177412349,-0.321573228,1.383846053
2,1320,0.111236315,1.178806255,-0.722260859,1.63384484
2,1380,-0.057190245,0.840754785,-0.869759377,1.087588776
