julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,,
1,0,4.667949658,4.255379266,3.468141455,2.594671878,,,,,,,,
1,60,4.327865935,5.676045429,2.963424302,5.747246704,,,,,,,,
1,120,4.019364786,5.791135838,2.609389457,6.167028245,,,,,,,,
1,180,3.707403682,5.791997871,2.237439508,6.291942854,,,,,,,,
1,240,3.411463902,5.777744487,1.904120635,6.337809515,,,,,,,,
1,300,3.051677442,5.830612234,1.485646028,6.459840674,,,,,,,,
1,360,2.621939745,6.002305709,1.041096881,6.716226378,,,,,,,,
1,420,2.584618649,6.076543804,1.052007297,6.872621279,,,,,,,,
1,480,5.599347579,6.294593868,5.575898903,6.872698002,,,,,,,,
1,540,11.57069323,8.090607466,14.49137553,7.519838919,,,,,,,,
1,600,17.8941181,11.58432642,23.50105633,10.1573177,,,,,,,,
1,660,23.04086575,15.49103526,30.23547387,13.5467689,,,,,,,,
1,720,25.60765008,18.92152695,33.02059573,17.15802404,,,,,,,,
1,780,26.79417068,20.44089705,34.27129718,19.19839823,,,,,,,,
1,840,25.09643692,19.64533753,31.70908404,18.8865637,,,,,,,,
1,900,20.8446783,17.27855081,25.83487146,17.51999786,,,,,,,,
1,960,14.79627085,13.41921992,17.32788843,14.14626657,,,,,,,,
1,1020,10.22625937,10.72184172,10.61260973,11.74687374,,,,,,,,
1,1080,8.408737075,9.408018282,7.781562314,10.04638489,,,,,,,,
1,1140,7.324633301,8.731867707,6.394479146,9.551636208,,,,,,,,
1,1200,6.511656722,7.894499048,5.431931582,8.501700426,,,,,,,,
1,1260,5.86078185,7.413384146,4.681439302,8.090219687,,,,,,,,
1,1320,5.360561277,6.982152149,4.143503411,7.662899025,,,,,,,,
1,1380,4.8199048,6.616017818,3.42696132,7.278256837,,,,,,,,
2,0,4.592911858,6.340964445,3.309275873,7.010149189,,,,,,,,
2,60,4.211451767,6.16986667,2.775814639,6.819656937,,,,,,,,
2,120,3.899987281,6.039813879,2.410931874,6.707514091,,,,,,,,
2,180,3.568396311,5.937094008,2.031348988,6.638251146,,,,,,,,
