julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,2.567225114,1.932296978,1.917574932,0.612929605
1,60,2.358524113,2.981470905,1.571917953,2.82284264
1,120,2.17762129,3.15249433,1.357414544,3.265598057
1,180,1.99520449,3.196128005,1.13540606,3.418983037
1,240,1.819349843,3.214243713,0.930534737,3.49535392
1,300,1.643844091,3.278081614,0.741649581,3.627373207
1,360,1.373748401,3.378298021,0.463894218,3.76978467
1,420,1.122250082,3.448821575,0.18511884,3.861867843
1,480,2.413395566,3.437912705,2.004176046,3.842871169
1,540,5.885948325,4.374758914,7.249579073,4.328425663
1,600,9.980232488,5.911190211,13.44132548,5.130917236
1,660,13.35466942,7.971561775,18.31726392,6.823216958
1,720,14.87013866,9.807991063,20.23126746,8.633537782
1,780,15.44559011,10.73420201,20.72291404,9.928798596
1,840,14.62159154,10.31586775,19.58892455,9.80462367
1,900,11.66279366,9.076685491,15.02115529,9.193932972
1,960,8.206516511,7.048757429,10.11473995,7.528662265
1,1020,5.63249923,5.86098249,5.88988313,6.395653923
1,1080,4.597814962,5.240412463,4.260496491,5.669691045
1,1140,4.011973575,4.831811907,3.511426004,5.291904918
1,1200,3.596603807,4.444902692,3.042797828,4.866542694
1,1260,3.150004194,4.18456108,2.436297184,4.637142856
1,1320,2.950816059,3.928961424,2.298376575,4.356412804
1,1380,2.557897577,3.756308034,1.708504461,4.201041368
2,0,2.501686912,3.592645982,1.782907551,4.024601643
2,60,2.24427815,3.508749903,1.398422965,3.937657288
2,120,2.056095488,3.443596547,1.168121792,3.884157774
2,180,1.861621449,3.394236886,0.940006825,3.854648475
2,240,1.653933985,3.364542391,0.705876095,3.851793664
2,300,1.419282801,3.362870798,0.450119971,3.883082753
2,360,1.083335902,3.434013955,0.109452373,3.985456427
2,420,0.813590459,3.518456198,-0.157521152,4.119507479
2,480,2.210445511,3.535583424,1.72223608,4.100547622
2,540,5.730275476,4.414644126,7.044452781,4.501637637
2,600,9.844071891,5.85414037,13.27164603,5.124597674
2,660,13.22646638,7.926212177,18.16494546,6.851004216
2,720,14.74996007,9.715989706,20.09790719,8.568960437
2,780,15.32370616,10.65764928,20.5874252,9.901084716
2,840,14.50468028,10.21514653,19.46339578,9.719420275
2,900,11.54611305,8.999241597,14.89302997,9.156277453
2,960,8.08998586,6.953026173,9.983283442,7.444565652
2,1020,5.502602248,5.781941579,5.734958212,6.353087496
2,1080,4.463326429,5.14184558,4.095079798,5.582534922
2,1140,3.876957831,4.750262954,3.344485161,5.240433602
2,1200,3.461087335,4.349165998,2.874543178,4.783168535
2,1260,3.015663651,4.100629451,2.270559909,4.577878752
2,1320,2.814345033,3.836665468,2.12816561,4.278447598
2,1380,2.424224361,3.670438863,1.544467345,4.135602837
3,0,2.363708868,3.503363403,1.610238637,3.951258743
3,60,2.106987634,3.421554419,1.228542704,3.867527516
3,120,1.917064351,3.357919086,0.996326393,3.81586585
3,180,1.720243068,3.310388062,0.76554523,3.788540752
3,240,1.509355586,3.283077648,0.527771979,3.788543553
3,300,1.270408653,3.284707396,0.267372566,3.823756996
3,360,0.927932319,3.360993251,-0.079422189,3.931761526
3,420,0.655844561,3.449264766,-0.348906872,4.071022072
3,480,2.076090384,3.463826829,1.560079578,4.050965833
3,540,5.617129429,4.339173801,6.917431271,4.4476356
3,600,9.740778507,5.769167989,13.16427674,5.056070242
3,660,13.12577687,7.833626838,18.06589944,6.771975548
3,720,14.65203811,9.616244926,20.00905373,8.479683912
3,780,15.22205618,10.55492984,20.49174296,9.806430116
3,840,14.40795022,10.11430497,19.37730962,9.627134105
3,900,11.44887708,8.900558599,14.80248222,9.064297736
3,960,7.991257066,6.859524472,9.885681515,7.359430524
3,1020,5.389759596,5.68480832,5.612698561,6.265387051
3,1080,4.345315401,5.045333435,3.960838789,5.494953094
3,1140,3.758183652,4.654233129,3.207992062,5.152729908
3,1200,3.341790587,4.254277959,2.736462868,4.696961757
3,1260,2.897235292,4.0059607,2.134087182,4.491241821
3,1320,2.694113324,3.743226669,1.987659696,4.193659335
3,1380,2.306334655,3.577123537,1.408891911,4.050373861
4,0,2.242183748,3.411135349,1.467136247,3.867669797
4,60,1.986251427,3.329940908,1.087852757,3.784521905
4,120,1.795175415,3.267308851,0.854246803,3.73411901
4,180,1.596772211,3.221059352,0.621535581,3.70843603
4,240,1.383674223,3.195389366,0.381086249,3.710519821
4,300,1.141662776,3.199189871,0.117161924,3.748394594
4,360,0.795195711,3.278434068,-0.233532365,3.85979571
4,420,0.523085951,3.368276331,-0.50336556,4.001756979
4,480,1.964113816,3.383048514,1.434588296,3.98183906
4,540,5.523665649,4.256727312,6.824170212,4.375747578
4,600,9.654791589,5.681300535,13.08726557,4.976274661
4,660,13.04056902,7.741194101,17.99428193,6.687141301
4,720,14.56764158,9.51829633,19.94454853,8.387382334
4,780,15.13274529,10.45505757,20.4176325,9.711132614
4,840,14.32440293,10.01587631,19.31460877,9.533345963
4,900,11.36332794,8.804801441,14.73185183,8.972257245
4,960,7.904740218,6.768201281,9.809232454,7.272938661
4,1020,5.287578379,5.589904736,5.508706886,6.177315897
4,1080,4.237413448,4.950465777,3.84355468,5.405822174
4,1140,3.64938637,4.56025768,3.088086737,5.064479137
4,1200,3.232551251,4.161052239,2.615054028,4.60944747
4,1260,2.78859524,3.913196498,2.013598254,4.403902103
4,1320,2.584071578,3.651455847,1.86387968,4.107741626
4,1380,2.198172851,3.485564464,1.288935551,3.964276732
5,0,2.1310812,3.320529814,1.340964657,3.783007421
5,60,1.875863533,3.239842657,0.963654777,3.700350733
5,120,1.683939431,3.178020157,0.72895373,3.650965822
5,180,1.48434581,3.13279065,0.494709832,3.626588962
5,240,1.269590337,3.108412127,0.252189887,3.63030661
5,300,1.025297495,3.113908539,-0.014388102,3.67024956
5,360,0.676239758,3.19521583,-0.367688139,3.784068143
5,420,0.405188511,3.285584543,-0.637011314,3.927532546
5,480,1.866459437,3.301606723,1.331132377,3.908001626
5,540,5.4437382,4.174527492,6.752614987,4.29975538
5,600,9.581270539,5.595430694,13.03056822,4.895018565
5,660,12.96688319,7.652136054,17.94149893,6.603199539
5,720,14.493681,9.424452387,19.89717307,8.297154839
5,780,15.05314584,10.35972821,20.35893884,9.618896488
5,840,14.25125328,9.921728747,19.26882358,9.44211914
5,900,11.28694223,8.713439063,14.6752847,8.883274406
5,960,7.828098743,6.680762301,9.748512709,7.188690656
