julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-6.960181872,-7.631384745,-7.977300049,-9.451404209,,,,,,,
1,60,-7.008387768,-6.208605917,-7.94393721,-6.232371785,,,,,,,
1,120,-7.249042015,-6.102051757,-8.207955818,-5.823394523,,,,,,,
1,180,-7.503268708,-6.111150651,-8.517110012,-5.716761166,,,,,,,
1,240,-7.756916406,-6.140222517,-8.824510909,-5.69531675,,,,,,,
1,300,-8.007166953,-6.111952545,-9.106162644,-5.606070782,,,,,,,
1,360,-8.36451757,-5.971586298,-9.495707923,-5.388331743,,,,,,,
1,420,-8.625300647,-5.881101569,-9.816314002,-5.233272091,,,,,,,
1,480,-6.51728989,-5.803312535,-6.650616151,-5.290964946,,,,,,,
1,540,-1.715241063,-4.233746572,0.461945941,-4.730399243,,,,,,,
1,600,3.615472861,-1.095894475,7.932162882,-2.373545722,,,,,,,
1,660,8.159003765,2.473791831,13.78687846,0.740667213,,,,,,,
1,720,10.66146452,5.587066237,16.58024215,4.017626488,,,,,,,
1,780,11.6738304,6.965287724,17.54564444,5.888772322,,,,,,,
1,840,10.26582296,6.188853454,15.52090367,5.517665401,,,,,,,
1,900,6.65198794,3.997391131,10.71546633,4.262177311,,,,,,,
1,960,1.553140823,0.437826433,3.767703526,1.082227775,,,,,,,
1,1020,-2.081962199,-1.773178404,-1.697910468,-0.961752898,,,,,,,
1,1080,-3.534038762,-2.853505477,-3.893300024,-2.287481285,,,,,,,
1,1140,-4.436223173,-3.552221303,-5.002115801,-2.938373172,,,,,,,
1,1200,-5.133093114,-4.163625264,-5.807732207,-3.569531373,,,,,,,
1,1260,-5.650768015,-4.660112485,-6.342406268,-4.081716609,,,,,,,
1,1320,-6.244493399,-5.048814114,-7.161019423,-4.465433575,,,,,,,
1,1380,-6.441882763,-5.388940337,-7.177051398,-4.833334085,,,,,,,
2,0,-7.035091265,-5.634915094,-8.141816997,-5.066732548,,,,,,,
2,60,-7.153865177,-5.793044242,-8.155473933,-5.243125913,,,,,,,
2,120,-7.403461774,-5.915666356,-8.442316525,-5.348904481,,,,,,,
2,180,-7.67660621,-6.016203176,-8.759683871,-5.41905174,,,,,,,
2,240,-7.987278745,-6.088171322,-9.125120948,-5.448240337,,,,,,,
2,300,-8.349995919,-6.117535784,-9.547496582,-5.422716007,,,,,,,
2,360,-8.824445907,-6.043974182,-10.05725082,-5.285885182,,,,,,,
2,420,-9.082447289,-5.997461944,-10.29931828,-5.145154251,,,,,,,
2,480,-6.844144559,-5.80392442,-7.121890009,-5.14110867,,,,,,,
2,540,-1.963746121,-4.321501741,0.129211377,-4.730573161,,,,,,,
2,600,3.399239665,-1.207878651,7.668613284,-2.405733576,,,,,,,
2,660,7.94884763,2.316632014,13.5455702,0.626075627,,,,,,,
2,720,10.45281521,5.42433403,16.35056165,3.90762349,,,,,,,
2,780,11.46430623,6.775214277,17.31861832,5.715496206,,,,,,,
2,840,10.06019017,6.016658776,15.29941602,5.382957855,,,,,,,
2,900,6.454114184,3.824130761,10.501818,4.111385055,,,,,,,
2,960,1.338079762,0.264713555,3.499543221,0.916279337,,,,,,,
2,1020,-2.290753204,-1.912806279,-1.945525567,-1.044895739,,,,,,,
2,1080,-3.739057849,-3.058374663,-4.134433227,-2.528994207,,,,,,,
2,1140,-4.639320849,-3.65544505,-5.240965936,-2.945098518,,,,,,,
2,1200,-5.334651532,-4.402055397,-6.044740428,-3.892622346,,,,,,,
2,1260,-5.852694712,-4.760482685,-6.58155804,-4.090207181,,,,,,,
2,1320,-6.441837394,-5.273068734,-7.39053791,-4.756756906,,,,,,,
2,1380,-6.644926305,-5.482337665,-7.420017571,-4.833338879,,,,,,,
3,0,-7.229774195,-5.85363524,-8.366288253,-5.345252705,,,,,,,
3,60,-7.354170679,-5.953649573,-8.391254096,-5.395195013,,,,,,,
3,120,-7.606214162,-6.068138192,-8.681806771,-5.485200627,,,,,,,
3,180,-7.882396802,-6.164862426,-9.003444612,-5.549350145,,,,,,,
3,240,-8.196808161,-6.23444978,-9.373622102,-5.575962843,,,,,,,
3,300,-8.564536585,-6.259018311,-9.801769971,-5.544007375,,,,,,,
3,360,-9.047795865,-6.177830202,-10.32120987,-5.397475991,,,,,,,
3,420,-9.307671758,-6.128886932,-10.5663177,-5.253082571,,,,,,,
3,480,-7.041351186,-5.94013914,-7.352030658,-5.255193114,,,,,,,
3,540,-2.143006908,-4.466096182,-0.068026786,-4.85534868,,,,,,,
3,600,3.222843268,-1.364885181,7.483530205,-2.545319037,,,,,,,
3,660,7.770130702,2.146499355,13.36648093,0.471527245,,,,,,,
3,720,10.26933725,5.242426753,16.17151628,3.738261225,,,,,,,
3,780,11.27828863,6.588330946,17.13800468,5.538148215,,,,,,,
3,840,9.877274187,5.834035835,15.12214255,5.210979007,,,,,,,
3,900,6.278192029,3.647040654,10.33045729,3.940106807,,,,,,,
3,960,1.168894906,0.100354185,3.331408056,0.760919747,,,,,,,
3,1020,-2.472156709,-2.080032128,-2.136789409,-1.202792354,,,,,,,
3,1080,-3.923770613,-3.224455322,-4.336360044,-2.687703929,,,,,,,
3,1140,-4.823264672,-3.816389979,-5.443593416,-3.095082057,,,,,,,
3,1200,-5.517433176,-4.566186267,-6.246688143,-4.052473861,,,,,,,
3,1260,-6.035482445,-4.915816375,-6.785124499,-4.232232312,,,,,,,
3,1320,-6.621400012,-5.435396728,-7.587876641,-4.916372234,,,,,,,
3,1380,-6.828195001,-5.634394205,-7.626669819,-4.971634906,,,,,,,
4,0,-7.407213593,-6.012737237,-8.560416655,-5.500356761,,,,,,,
4,60,-7.535323145,-6.108177288,-8.593202163,-5.541426464,,,,,,,
4,120,-7.788888529,-6.220822764,-8.886315402,-5.628725869,,,,,,,
4,180,-8.066984705,-6.315705998,-9.210875528,-5.690409465,,,,,,,
4,240,-8.383750109,-6.383143141,-9.584226035,-5.714255934,,,,,,,
4,300,-8.754639359,-6.404778643,-10.01614192,-5.678554525,,,,,,,
4,360,-9.243042182,-6.319668816,-10.54143463,-5.527250925,,,,,,,
4,420,-9.501976744,-6.269256069,-10.78610713,-5.379999046,,,,,,,
4,480,-7.211611289,-6.079790151,-7.537062782,-5.381953559,,,,,,,
4,540,-2.299247013,-4.611301851,-0.225587297,-4.989297056,,,,,,,
4,600,3.066739304,-1.519324756,7.333584769,-2.688769529,,,,,,,
4,660,7.609812047,1.980341983,13.21905338,0.315284078,,,,,,,
4,720,10.10211094,5.066381615,16.02029608,3.570792522,,,,,,,
4,780,11.10805936,6.407407872,16.98396533,5.362852737,,,,,,,
4,840,9.709903258,5.657752514,14.9707693,5.042152884,,,,,,,
