julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,5.210142811,4.756289845,4.77928543,3.903402752,,,,,,,
1,60,4.926266792,6.53927884,4.398466698,7.436895331,,,,,,,
1,120,4.6629355,7.092618078,4.081972877,8.53490147,,,,,,,
1,180,4.421579425,7.424840715,3.794052813,9.125460473,,,,,,,
1,240,4.195653797,7.751095974,3.535443302,9.608287047,,,,,,,
1,300,3.928820164,8.341348332,3.269794944,10.28473679,,,,,,,
1,360,3.723232637,8.915732272,3.067781375,10.96589717,,,,,,,
1,420,5.123401521,8.668466552,5.124358553,11.10426657,,,,,,,
1,480,10.51806847,9.161320696,13.22924201,10.79429095,,,,,,,
1,540,17.84479065,10.79855472,24.43882872,11.19085672,,,,,,,
1,600,24.59526434,13.2826355,34.54537576,12.454096,,,,,,,
1,660,29.33916966,16.06446652,41.20058182,14.42661233,,,,,,,
1,720,31.78900965,18.48989869,44.91540254,16.61481923,,,,,,,
1,780,32.43675143,19.71994108,45.28928961,18.2278453,,,,,,,
1,840,31.4132873,19.38731399,43.93952308,18.53650412,,,,,,,
1,900,27.83624583,17.79351207,38.97612022,17.92336135,,,,,,,
1,960,22.05923359,15.20232939,30.59797433,16.33634018,,,,,,,
1,1020,15.0590319,12.24837694,20.06194801,14.26343475,,,,,,,
1,1080,10.64621148,10.53491468,12.70514587,12.47746109,,,,,,,
1,1140,8.622486114,9.665784266,9.412855612,11.52861084,,,,,,,
1,1200,7.528466628,8.98691449,7.861380082,10.79230521,,,,,,,
1,1260,6.737232941,8.482964035,6.795830307,10.2710714,,,,,,,
1,1320,6.122010543,8.116698556,5.983950173,9.915798835,,,,,,,
1,1380,5.635780405,7.816183488,5.35115192,9.604921377,,,,,,,
2,0,5.24462391,7.537978791,4.845829882,9.271734229,,,,,,,
2,60,4.949439455,7.467322201,4.450965412,9.19439568,,,,,,,
2,120,4.687522867,7.462783805,4.132830691,9.22033029,,,,,,,
2,180,4.430053039,7.524587038,3.837886105,9.333659991,,,,,,,
2,240,4.166575122,7.672981962,3.552000945,9.545310664,,,,,,,
2,300,3.843855935,8.074153381,3.237513529,9.960194901,,,,,,,
2,360,3.571010272,8.490692748,2.976164478,10.45867181,,,,,,,
