julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,3.097613412,2.673762666,2.626466865,1.805048318,,,,,,,
1,60,2.80090808,4.454162322,2.227292903,5.354066648,,,,,,,
1,120,2.521618847,4.993217902,1.891378182,6.43846799,,,,,,,
1,180,2.263460581,5.314451178,1.582201757,7.017817061,,,,,,,
1,240,2.019712369,5.633447215,1.30143288,7.494329803,,,,,,,
1,300,1.72766611,6.224598656,1.008305237,8.174774754,,,,,,,
1,360,1.497927873,6.809079672,0.780692098,8.867083784,,,,,,,
1,420,2.910346958,6.554077744,2.840136791,9.002443829,,,,,,,
1,480,8.437940485,7.094351296,11.10832058,8.688938648,,,,,,,
1,540,15.97508948,8.861409508,22.57939043,9.153381806,,,,,,,
1,600,22.94306177,11.53358351,32.9304678,10.55640006,,,,,,,
1,660,27.87575928,14.5175707,39.77499282,12.71127563,,,,,,,
1,720,30.4537568,17.11502648,43.60871615,15.08263674,,,,,,,
1,780,31.14595979,18.42795752,44.01568998,16.81709356,,,,,,,
1,840,30.09151422,18.06601068,42.65658702,17.12962852,,,,,,,
1,900,26.39158484,16.36587311,37.58223438,16.46301163,,,,,,,
1,960,20.42512821,13.60000649,29.00760341,14.74393657,,,,,,,
1,1020,13.20833558,10.45337545,18.22480718,12.51427167,,,,,,,
1,1080,8.705722253,8.637794127,10.74153024,10.60191753,,,,,,,
1,1140,6.637868494,7.720168214,7.397227827,9.602178348,,,,,,,
1,1200,5.507913051,6.998040779,5.807976445,8.816133372,,,,,,,
1,1260,4.686378781,6.463760311,4.709995602,8.264006034,,,,,,,
1,1320,4.045272481,6.079622051,3.869261262,7.89683353,,,,,,,
1,1380,3.537557895,5.760019957,3.212171379,7.566598168,,,,,,,
2,0,3.128065732,5.452238423,2.685483159,7.189706813,,,,,,,
2,60,2.817651563,5.37517473,2.271401118,7.1086326,,,,,,,
2,120,2.539224811,5.363425681,1.932952517,7.129297786,,,,,,,
2,180,2.263567816,5.419136488,1.616106081,7.239112298,,,,,,,
2,240,1.979457319,5.563705322,1.306128191,7.450439252,,,,,,,
2,300,1.628748962,5.965370115,0.961847527,7.87156902,,,,,,,
2,360,1.328530555,6.392722914,0.672721665,8.383757144,,,,,,,
2,420,2.84740567,6.226430706,2.785732201,8.49960467,,,,,,,
2,480,8.427181106,6.772204976,11.14212964,8.162679612,,,,,,,
2,540,15.99644004,8.570856047,22.66770827,8.656759468,,,,,,,
2,600,22.98542813,11.27754291,33.05345879,10.10117343,,,,,,,
2,660,27.92804858,14.29742197,39.91295967,12.30645238,,,,,,,
2,720,30.50359475,16.93394307,43.74311241,14.73409455,,,,,,,
2,780,31.19436291,18.26848417,44.14470267,16.51193391,,,,,,,
2,840,30.13360729,17.9060486,42.77370009,16.82747918,,,,,,,
2,900,26.41874885,16.20583197,37.67460136,16.16893212,,,,,,,
2,960,20.4295701,13.43212623,29.06320664,14.44471282,,,,,,,
2,1020,13.18488952,10.27802116,18.23534155,12.21208507,,,,,,,
2,1080,8.659341298,8.454806412,10.71485198,10.29461977,,,,,,,
2,1140,6.583197503,7.534308603,7.356311553,9.293319568,,,,,,,
2,1200,5.450512511,6.809789784,5.76323662,8.506302694,,,,,,,
2,1260,4.627211912,6.272901481,4.662912144,7.952486052,,,,,,,
2,1320,3.984611654,5.885691316,3.820061661,7.582543235,,,,,,,
2,1380,3.475850247,5.562995717,3.161502827,7.249479612,,,,,,,
3,0,3.065474086,5.252597088,2.633484535,6.87076052,,,,,,,
3,60,2.754830619,5.168847248,2.21885093,6.783216824,,,,,,,
3,120,2.4765013,5.146536949,1.88036254,6.791506949,,,,,,,
3,180,2.201124632,5.188026045,1.56367333,6.884439396,,,,,,,
3,240,1.917523152,5.313449582,1.254054873,7.07364109,,,,,,,
3,300,1.56863115,5.679628241,0.911069503,7.460223803,,,,,,,
3,360,1.26989317,6.070398988,0.622790562,7.933203137,,,,,,,
3,420,2.802887765,5.924703711,2.760760876,8.039169916,,,,,,,
3,480,8.412988949,6.51103662,11.16793472,7.74447245,,,,,,,
3,540,16.01128719,8.349145879,22.74213167,8.28815954,,,,,,,
3,600,23.02114398,11.09425992,33.16212707,9.786717834,,,,,,,
3,660,27.9740195,14.14563549,40.03716573,12.03833768,,,,,,,
3,720,30.54794927,16.81264103,43.86499071,14.51165381,,,,,,,
3,780,31.23740135,18.16323106,44.26153383,16.32109606,,,,,,,
3,840,30.17064422,17.80113775,42.8792746,16.64052749,,,,,,,
3,900,26.4412274,16.09951786,37.75595857,15.986203,,,,,,,
3,960,20.42981574,13.31832994,29.10840576,14.25645987,,,,,,,
3,1020,13.15765278,10.15608384,18.23586134,12.0183591,,,,,,,
3,1080,8.608734724,8.324866787,10.6773963,10.09435163,,,,,,,
3,1140,6.524160346,7.401210444,7.304281019,9.089905424,,,,,,,
3,1200,5.38875649,6.674321978,5.70743002,8.300952744,,,,,,,
3,1260,4.563707718,6.134971193,4.604853401,7.74471561,,,,,,,
3,1320,3.919599033,5.744884991,3.759933549,7.371346436,,,,,,,
3,1380,3.409782466,5.419505866,3.099982104,7.035180295,,,,,,,
4,0,2.998482728,5.107280649,2.570664905,6.655041055,,,,,,,
4,60,2.687410361,5.018996785,2.155397747,6.562657752,,,,,,,
4,120,2.408816551,4.989849078,1.816548313,6.562627606,,,,,,,
4,180,2.133235704,5.022292311,1.499569733,6.644535833,,,,,,,
4,240,1.849494417,5.135695691,1.18972579,6.819553007,,,,,,,
4,300,1.501180491,5.479701177,0.847083456,7.184293324,,,,,,,
4,360,1.203018429,5.847109242,0.558932587,7.632267722,,,,,,,
4,420,2.75245119,5.713906434,2.723922644,7.730867035,,,,,,,
4,480,8.395107324,6.325847144,11.1851441,7.461068085,,,,,,,
4,540,16.02349595,8.190502798,22.80984422,8.036402159,,,,,,,
4,600,23.05456978,10.96247754,33.26493357,9.571068179,,,,,,,
4,660,28.01785998,14.03659144,40.15601967,11.85474983,,,,,,,
4,720,30.59036858,16.72519074,43.98186431,14.35958232,,,,,,,
4,780,31.27872866,18.08698336,44.3739221,16.19039617,,,,,,,
4,840,30.20603768,17.72446399,42.98047558,16.51160121,,,,,,,
4,900,26.46238234,16.02008134,37.8332916,15.85801788,,,,,,,
4,960,20.42921094,13.23118179,29.15006867,14.12159055,,,,,,,
4,1020,13.12998124,10.06024484,18.23316325,11.87621481,,,,,,,
4,1080,8.557270319,8.220605691,10.63590189,9.944604986,,,,,,,
4,1140,6.464138748,7.293585858,7.247835038,8.936089008,,,,,,,
4,1200,5.326039364,6.564325311,5.647216749,8.144696551,,,,,,,
4,1260,4.499272747,6.022611111,4.5424391,7.585741113,,,,,,,
4,1320,3.853652464,5.62980745,3.695452882,7.208760717,,,,,,,
4,1380,3.342786328,5.302021186,3.034144455,6.869521491,,,,,,,
5,0,2.930538152,4.988403559,2.503517673,6.488269118,,,,,,,
5,60,2.618933992,4.89667716,2.087565711,6.391978626,,,,,,,
