julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.138532342,3.625038783,3.716932388,2.608894167
1,60,4.004254522,4.390752209,3.481947208,4.295794694
1,120,3.868418719,4.50181175,3.324653885,4.62258581
1,180,3.731692733,4.526830401,3.157938693,4.737907387
1,240,3.602795888,4.535750953,3.00672573,4.795542954
1,300,3.479212514,4.581908192,2.873504849,4.898962245
1,360,3.282075253,4.670258918,2.667399356,5.024828119
1,420,3.045730549,4.755471682,2.413791788,5.120786576
1,480,3.948519165,4.684881509,3.716606897,5.077420689
1,540,6.200465424,5.467835548,6.967898041,5.494644445
1,600,9.634288816,6.806147678,12.24950585,6.202319468
1,660,12.21065815,8.294525134,15.78904485,6.994284341
1,720,13.61273776,10.22765789,17.55926336,9.348427954
1,780,14.1835072,10.77133515,18.14829109,9.871741014
1,840,13.38947642,10.64938506,16.96386209,10.37549639
1,900,11.2321957,9.291238523,13.85109981,9.226243331
1,960,8.303670503,7.770132638,9.619377735,8.359921303
1,1020,6.580785334,6.609578756,6.808134133,6.875447615
1,1080,5.818163086,6.346440228,5.641049779,6.863706954
1,1140,5.345895723,5.757990703,5.046972717,5.990824504
1,1200,4.995281525,5.657618194,4.647747304,6.148339393
1,1260,4.653549195,5.226949809,4.20199588,5.486439444
1,1320,4.460601616,5.193120972,4.035374702,5.656899365
1,1380,4.180960476,4.891301319,3.634591904,5.187581829
2,0,4.089939825,4.874013819,3.612077391,5.303985575
2,60,3.91032703,4.75693592,3.350528566,5.133172798
2,120,3.767826693,4.693752086,3.17743391,5.074675481
2,180,3.621001767,4.648112927,3.005627795,5.046278733
2,240,3.465048677,4.620037668,2.829069806,5.043168463
2,300,3.291071613,4.61354715,2.637518999,5.065931501
2,360,3.042161555,4.67356309,2.382647668,5.153310521
2,420,2.796458526,4.777777774,2.150440368,5.291045169
2,480,3.533530039,4.736128048,3.037495382,5.260933319
2,540,6.12615915,5.482791317,6.922965251,5.628817436
2,600,9.477370713,6.745719698,12.03393903,6.191718124
2,660,12.11371407,8.473355365,15.70641551,7.529443077
2,720,13.6416352,10.04361121,17.78753458,9.058979334
2,780,14.00145461,10.80499583,17.86642575,10.11203969
2,840,13.25112289,10.43862234,16.78689815,10.02350605
2,900,11.11464429,9.317039155,13.72019538,9.436335228
2,960,8.192787604,7.568891074,9.499998373,8.02704666
2,1020,6.462133994,6.627497178,6.676333071,7.062971462
2,1080,5.697257264,6.146948425,5.503123562,6.544035278
2,1140,5.224889101,5.770025262,4.90820764,6.156934333
2,1200,4.874483253,5.452372475,4.509026166,5.81846012
2,1260,4.53292323,5.169428509,4.063357297,5.489336575
2,1320,4.340022469,4.947408309,3.896687622,5.241378879
2,1380,4.060673696,4.838013154,3.496470006,5.196141966
3,0,3.969274135,4.833075234,3.473198224,5.337366269
3,60,3.78924168,4.675245693,3.211364004,5.077136296
3,120,3.645837032,4.607486765,3.0371511,5.007720949
3,180,3.497810174,4.562327798,2.863880122,4.978908166
3,240,3.340233356,4.53682994,2.685400179,4.979208144
3,300,3.164010242,4.53270538,2.491328948,5.004371839
3,360,2.911277264,4.597577321,2.232726723,5.096857622
3,420,2.663562306,4.708492178,1.998161523,5.243653664
3,480,3.41374392,4.664817303,2.900767557,5.214981997
3,540,6.022777138,5.408738297,6.81567379,5.580108895
3,600,9.369363646,6.661800126,11.91850727,6.12631623
3,660,12.00959402,8.383130406,15.60281734,7.455344572
3,720,13.52982368,9.946322706,17.66897172,8.974294745
3,780,13.8949417,10.70505532,17.76228732,10.02264058
3,840,13.14546807,10.3397955,16.6830944,9.935081809
3,900,11.01288841,9.21979715,13.62146446,9.347709341
3,960,8.093800987,7.475338392,9.403288937,7.942945822
3,1020,6.354069485,6.530154188,6.564607088,6.976375045
3,1080,5.586788408,6.049793799,5.38473171,6.456620113
3,1140,5.114373775,5.67385219,4.788915099,6.07068151
3,1200,4.764191009,5.358866727,4.38962058,5.737284117
3,1260,4.42297305,5.079117135,3.944217494,5.414401749
3,1320,4.230072216,4.857341983,3.777192859,5.166098176
3,1380,3.951259014,4.742237864,3.377861601,5.107592708
4,0,3.859409889,4.72944058,3.353461811,5.231325663
4,60,3.679355709,4.581531491,3.091796056,4.991827794
4,120,3.535485699,4.51608504,2.916929291,4.926481086
4,180,3.386803904,4.47254241,2.742777822,4.900042109
4,240,3.228300329,4.448711695,2.563114622,4.902525255
4,300,3.050752773,4.447075981,2.367474712,4.930985714
4,360,2.796069288,4.515724275,2.106877214,5.027927887
4,420,2.548394266,4.628979715,1.871626903,5.17814827
4,480,3.310008064,4.584278787,2.790321568,5.148724819
4,540,5.933323735,5.327705488,6.732234932,5.513166663
4,600,9.273972258,6.576603399,11.82530847,6.053288674
4,660,11.88640384,8.292214123,15.45117852,7.374325057
