julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,,
1,0,2.715100844,2.161417482,2.071833075,0.922169548,,,,,,,,
1,60,2.482127331,3.135411806,1.677460101,3.002562021,,,,,,,,
1,120,2.301955313,3.286557685,1.459365849,3.405176277,,,,,,,,
1,180,2.121173317,3.323919671,1.236815454,3.544678776,,,,,,,,
1,240,1.946333771,3.338910137,1.031603588,3.613819285,,,,,,,,
1,300,1.769457638,3.398150819,0.839572435,3.737508251,,,,,,,,
1,360,1.491257561,3.495822304,0.550240639,3.876751209,,,,,,,,
1,420,1.231923103,3.565980661,0.260492721,3.968811601,,,,,,,,
1,480,2.528767773,3.550996958,2.095457107,3.944748269,,,,,,,,
1,540,5.937279615,4.458377494,7.313925394,4.428228643,,,,,,,,
1,600,9.903146299,5.940744517,13.3951197,5.21823213,,,,,,,,
1,660,13.14166695,7.910783114,18.13477904,6.840979932,,,,,,,,
1,720,14.55607891,9.664992477,19.92505742,8.581326377,,,,,,,,
1,780,15.0731298,10.53653518,20.31932456,9.797754386,,,,,,,,
1,840,14.30751597,10.13054982,19.27522355,9.667910662,,,,,,,,
1,900,11.38615942,8.931928799,14.65428873,9.057610895,,,,,,,,
1,960,8.10389964,6.983674502,9.973991363,7.441960627,,,,,,,,
1,1020,5.61830308,5.847641755,5.839884355,6.353519288,,,,,,,,
1,1080,4.626589513,5.257729301,4.26135266,5.661488244,,,,,,,,
1,1140,4.066608486,4.871149463,3.539964219,5.307226254,,,,,,,,
1,1200,3.681322194,4.498506273,3.11505251,4.891724774,,,,,,,,
1,1260,3.228632414,4.257169051,2.47542148,4.687759338,,,,,,,,
1,1320,3.077396525,4.006030587,2.427956285,4.403154343,,,,,,,,
1,1380,2.647360461,3.85009889,1.744987271,4.273346602,,,,,,,,
2,0,2.661298266,3.686522207,1.96011785,4.088884309,,,,,,,,
2,60,2.378122395,3.610101475,1.514613705,4.013501508,,,,,,,,
2,120,2.191118204,3.548514249,1.281478743,3.963970103,,,,,,,,
2,180,1.998380924,3.501444076,1.052364094,3.936393663,,,,,,,,
2,240,1.793040943,3.472982684,0.819184104,3.934100587,,,,,,,,
2,300,1.559659737,3.471544101,0.563422055,3.964982186,,,,,,,,
2,360,1.218786331,3.539449335,0.213439769,4.064410996,,,,,,,,
2,420,0.940086347,3.620551392,-0.067757099,4.194021213,,,,,,,,
2,480,2.340929659,3.635340957,1.829736533,4.172015251,,,,,,,,
2,540,5.792344981,4.490473981,7.121238212,4.580667333,,,,,,,,
2,600,9.771531286,5.882188744,13.23142939,5.204896201,,,,,,,,
2,660,13.01206331,7.859868045,17.98188923,6.857902274,,,,,,,,
2,720,14.43052765,9.567292508,19.78665825,8.508063644,,,,,,,,
2,780,14.94313681,10.45318185,20.17400174,9.761101605,,,,,,,,
2,840,14.18470359,10.0237643,19.14333961,9.573344677,,,,,,,,
2,900,11.26621536,8.851341197,14.52064128,9.013971717,,,,,,,,
2,960,7.989152022,6.887269729,9.841932497,7.351477659,,,,,,,,
2,1020,5.4953051,5.772195164,5.691388952,6.311493157,,,,,,,,
2,1080,4.501046185,5.161657719,4.105197121,5.570647077,,,,,,,,
2,1140,3.941627146,4.79626986,3.383550678,5.260782671,,,,,,,,
2,1200,3.556851302,4.406232636,2.958656181,4.805248367,,,,,,,,
2,1260,3.105597429,4.181718228,2.321377083,4.635965955,,,,,,,,
2,1320,2.953333106,3.918147655,2.271230947,4.323297056,,,,,,,,
2,1380,2.52578313,3.77323828,1.593303595,4.215555103,,,,,,,,
3,0,2.536714928,3.602942438,1.802127852,4.015942777,,,,,,,,
3,60,2.254014678,3.530052433,1.358681914,3.946784971,,,,,,,,
3,120,2.065447283,3.470133782,1.12370395,3.899428397,,,,,,,,
3,180,1.870546025,3.424793667,0.89200625,3.873923536,,,,,,,,
3,240,1.662190833,3.398449933,0.655268795,3.874132616,,,,,,,,
3,300,1.424639558,3.399920068,0.39484685,3.908471546,,,,,,,,
3,360,1.077244264,3.472185961,0.038525227,4.012719569,,,,,,,,
3,420,0.79632503,3.556290732,-0.245204247,4.146490481,,,,,,,,
3,480,2.219784868,3.568943496,1.68131937,4.123387371,,,,,,,,
3,540,5.688608001,4.419709181,7.004764709,4.528150206,,,,,,,,
3,600,9.671790306,5.800941947,13.12852448,5.139481227,,,,,,,,
3,660,12.90924227,7.767799639,17.8810557,6.779852677,,,,,,,,
3,720,14.32668816,9.465522173,19.6917234,8.418133394,,,,,,,,
3,780,14.83302626,10.34667251,20.06780278,9.663444472,,,,,,,,
3,840,14.08153068,9.919734433,19.04981915,9.478026278,,,,,,,,
3,900,11.16549471,8.75145296,14.42430343,8.919630489,,,,,,,,
3,960,7.891296854,6.795833778,9.741973655,7.266071187,,,,,,,,
3,1020,5.38876064,5.679611861,5.574511631,6.225870921,,,,,,,,
3,1080,4.39143113,5.070724381,3.979308035,5.486174098,,,,,,,,
3,1140,3.832335907,4.706853485,3.256693699,5.177548377,,,,,,,,
3,1200,3.448033896,4.318342734,2.83153377,4.723591553,,,,,,,,
3,1260,2.997914407,4.094828393,2.195724571,4.554997815,,,,,,,,
3,1320,2.844934991,3.832649227,2.143331374,4.244068783,,,,,,,,
3,1380,2.419419431,3.688359538,1.469218919,4.136591031,,,,,,,,
4,0,2.427999803,3.519280655,1.672834924,3.938632851,,,,,,,,
4,60,2.145880357,3.447119923,1.23109442,3.870218922,,,,,,,,
4,120,1.956322449,3.388208788,0.99479108,3.824093073,,,,,,,,
4,180,1.760022871,3.344077718,0.761270752,3.800094039,,,,,,,,
4,240,1.549660508,3.319214238,0.522000107,3.802140794,,,,,,,,
4,300,1.309281198,3.322577912,0.258253325,3.838772911,,,,,,,,
4,360,0.95792513,3.397297879,-0.102096293,3.945856056,,,,,,,,
4,420,0.676922401,3.48249258,-0.386486774,4.081680966,,,,,,,,
4,480,2.120384698,3.495536552,1.568786461,4.058753047,,,,,,,,
4,540,5.60397417,4.343657928,6.921263948,4.460921026,,,,,,,,
4,600,9.588938638,5.717812971,13.05533319,5.064758629,,,,,,,,
4,660,12.82166247,7.676831742,17.80718938,6.697864764,,,,,,,,
4,720,14.23630554,9.366163001,19.62090071,8.326336394,,,,,,,,
4,780,14.73523465,10.24371703,19.98297392,9.566495497,,,,,,,,
4,840,13.99148386,9.818620796,18.97947595,9.382098503,,,,,,,,
4,900,11.07647797,8.655133222,14.34792822,8.826527444,,,,,,,,
4,960,7.805059722,6.706926328,9.662001567,7.180030474,,,,,,,,
4,1020,5.292570325,5.589817482,5.475391035,6.141082809,,,,,,,,
4,1080,4.291625256,4.98172113,3.869911514,5.400760921,,,,,,,,
4,1140,3.732699503,4.619993295,3.145941119,5.094883588,,,,,,,,
4,1200,3.348943749,4.232368154,2.720610317,4.641205887,,,,,,,,
4,1260,2.899643062,4.010285506,2.085500176,4.474330914,,,,,,,,
4,1320,2.746384597,3.749079535,2.031701904,4.164327571,,,,,,,,
4,1380,2.322363076,3.605624138,1.360139507,4.0576476,,,,,,,,
5,0,2.329361005,3.437530776,1.560040033,3.860931294,,,,,,,,
5,60,2.047696102,3.366036948,1.119467876,3.793248129,,,,,,,,
5,120,1.857448481,3.307967558,0.882141136,3.748149562,,,,,,,,
5,180,1.660150797,3.264818519,0.647227099,3.725364053,,,,,,,,
5,240,1.44829549,3.241132227,0.405970947,3.728858145,,,,,,,,
5,300,1.205697425,3.245978438,0.139477169,3.767267726,,,,,,,,
