julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,,
1,0,2.71545692,2.162241504,2.072777859,2.162241504,,,,,,,,
1,60,2.482218655,3.135932664,1.677825997,3.135932664,,,,,,,,
1,120,2.302024697,3.28708843,1.459663995,3.28708843,,,,,,,,
1,180,2.121234494,3.324516263,1.237080855,3.324516263,,,,,,,,
1,240,1.946395736,3.339610327,1.031862154,3.339610327,,,,,,,,
1,300,1.769510147,3.398984584,0.839818512,3.398984584,,,,,,,,
1,360,1.491419094,3.496838718,0.55056647,3.496838718,,,,,,,,
1,420,1.232768534,3.566974876,0.261357733,3.566974876,,,,,,,,
1,480,2.533296162,3.552358359,2.102970023,3.552358359,,,,,,,,
1,540,5.945387418,4.45997276,7.328693432,4.45997276,,,,,,,,
1,600,9.912402581,5.942135795,13.41318844,5.942135795,,,,,,,,
1,660,13.15057727,7.911966296,18.15336804,7.911966296,,,,,,,,
1,720,14.56421903,9.665526665,19.9436782,9.665526665,,,,,,,,
1,780,15.07935257,10.5368868,20.33375682,10.5368868,,,,,,,,
1,840,14.31569146,10.13094576,19.29377318,10.13094576,,,,,,,,
1,900,11.39207629,8.932765903,14.66692487,8.932765903,,,,,,,,
1,960,8.109310178,6.984856647,9.984799474,6.984856647,,,,,,,,
1,1020,5.620261596,5.847956877,5.844614552,5.847956877,,,,,,,,
1,1080,4.62721557,5.257635455,4.263089542,5.257635455,,,,,,,,
1,1140,4.066940186,4.871322964,3.541029872,4.871322964,,,,,,,,
1,1200,3.681742232,4.498428872,3.116282324,4.498428872,,,,,,,,
1,1260,3.228559911,4.257314788,2.475556302,4.257314788,,,,,,,,
1,1320,3.077882533,4.00603314,2.429252461,4.00603314,,,,,,,,
1,1380,2.647057463,3.850243846,1.744583878,3.850243846,,,,,,,,
2,0,2.661917886,3.686615041,1.961609856,3.686615041,,,,,,,,
2,60,2.378281213,3.610257326,1.51512403,3.610257326,,,,,,,,
2,120,2.191234947,3.54872315,1.281883753,3.54872315,,,,,,,,
2,180,1.99848232,3.501716651,1.052723637,3.501716651,,,,,,,,
2,240,1.793149603,3.473337919,0.819548257,3.473337919,,,,,,,,
2,300,1.559772841,3.472015349,0.563796485,3.472015349,,,,,,,,
2,360,1.219021755,3.540031992,0.213900896,3.540031992,,,,,,,,
2,420,0.941004983,3.620928721,-0.066777374,3.620928721,,,,,,,,
2,480,2.345553405,3.636219141,1.837414228,3.636219141,,,,,,,,
2,540,5.800514057,4.491611478,7.136131738,4.491611478,,,,,,,,
2,600,9.780824789,5.883262841,13.24958367,5.883262841,,,,,,,,
2,660,13.02100524,7.860878624,18.00055232,7.860878624,,,,,,,,
2,720,14.43868561,9.567694277,19.80532195,9.567694277,,,,,,,,
2,780,14.94939265,10.45346013,20.18850999,10.45346013,,,,,,,,
2,840,14.19289377,10.02404874,19.16192454,10.02404874,,,,,,,,
2,900,11.27214317,8.852113047,14.53330961,8.852113047,,,,,,,,
2,960,7.994632862,6.888339871,9.852911419,6.888339871,,,,,,,,
2,1020,5.497300254,5.772453695,5.696197923,5.772453695,,,,,,,,
2,1080,4.501701693,5.161470742,4.106996185,5.161470742,,,,,,,,
2,1140,3.941987216,4.796385107,3.384675629,4.796385107,,,,,,,,
2,1200,3.557297057,4.40606961,2.959939057,4.40606961,,,,,,,,
2,1260,3.105557311,4.181799666,2.321578979,4.181799666,,,,,,,,
2,1320,2.95384098,3.918070289,2.272571238,3.918070289,,,,,,,,
2,1380,2.525517497,3.773311981,1.592976669,3.773311981,,,,,,,,
3,0,2.5373525,3.602957506,1.803655215,3.602957506,,,,,,,,
3,60,2.254202353,3.530128002,1.359249287,3.530128002,,,,,,,,
3,120,2.065594933,3.470256664,1.124169017,3.470256664,,,,,,,,
3,180,1.870680145,3.424972305,0.89242813,3.424972305,,,,,,,,
3,240,1.662333738,3.398700541,0.655696748,3.398700541,,,,,,,,
3,300,1.424788164,3.40027202,0.3952859,3.40027202,,,,,,,,
3,360,1.077524146,3.472620775,0.039059432,3.472620775,,,,,,,,
3,420,0.797314323,3.556485077,-0.244121751,3.556485077,,,,,,,,
3,480,2.224468723,3.569663977,1.689107111,3.569663977,,,,,,,,
3,540,5.696808575,4.42069859,7.019729323,4.42069859,,,,,,,,
3,600,9.681098382,5.801907766,13.14671974,5.801907766,,,,,,,,
3,660,12.91819823,7.768739795,17.8997563,7.768739795,,,,,,,,
3,720,14.334851,9.465873677,19.71040054,9.465873677,,,,,,,,
3,780,14.83930507,10.34691662,20.08236405,10.34691662,,,,,,,,
3,840,14.08972294,9.919975501,19.06841098,9.919975501,,,,,,,,
3,900,11.17142586,8.752188593,14.43698723,8.752188593,,,,,,,,
3,960,7.896833524,6.796854463,9.75309131,6.796854463,,,,,,,,
3,1020,5.390782573,5.67983939,5.579377325,5.67983939,,,,,,,,
3,1080,4.392106644,5.070501076,3.981148278,5.070501076,,,,,,,,
3,1140,3.832714833,4.70693703,3.257856988,4.70693703,,,,,,,,
3,1200,3.448496029,4.318144216,2.832849358,4.318144216,,,,,,,,
3,1260,2.997896819,4.094875643,2.195972272,4.094875643,,,,,,,,
3,1320,2.8454557,3.83253587,2.144696537,3.83253587,,,,,,,,
3,1380,2.419180821,3.688396187,1.46894665,3.688396187,,,,,,,,
4,0,2.42864635,3.519257794,1.674378992,3.519257794,,,,,,,,
4,60,2.146086989,3.447154647,1.231698632,3.447154647,,,,,,,,
4,120,1.956490681,3.38828704,0.995295549,3.38828704,,,,,,,,
4,180,1.760178925,3.344206833,0.761733851,3.344206833,,,,,,,,
4,240,1.549826523,3.319408897,0.522470561,3.319408897,,,,,,,,
4,300,1.309454592,3.322865193,0.258736889,3.322865193,,,,,,,,
4,360,0.958235941,3.397651671,-0.101511469,3.397651671,,,,,,,,
4,420,0.677958569,3.48258816,-0.385332037,3.48258816,,,,,,,,
4,480,2.125111655,3.496169502,1.576656304,3.496169502,,,,,,,,
4,540,5.612193026,4.344562744,6.936275739,4.344562744,,,,,,,,
4,600,9.598250693,5.718714978,13.07354896,5.718714978,,,,,,,,
4,660,12.83062399,7.677728339,17.82591022,7.677728339,,,,,,,,
4,720,14.24446698,9.366484668,19.63957742,9.366484668,,,,,,,,
4,780,14.74153117,10.24394045,19.99757647,10.24394045,,,,,,,,
4,840,13.99967188,9.818836093,18.99806078,9.818836093,,,,,,,,
4,900,11.08240946,8.655844381,14.36062122,8.655844381,,,,,,,,
4,960,7.810642417,6.707914236,9.673236445,6.707914236,,,,,,,,
4,1020,5.294614401,5.590025456,5.480303122,5.590025456,,,,,,,,
4,1080,4.292316381,4.98147768,3.871783152,4.98147768,,,,,,,,
4,1140,3.73309271,4.620057059,3.147132652,4.620057059,,,,,,,,
4,1200,3.349417919,4.232149581,2.72194914,4.232149581,,,,,,,,
4,1260,2.899642883,4.01031141,2.08578261,4.01031141,,,,,,,,
4,1320,2.74691412,3.748945084,2.033083367,3.748945084,,,,,,,,
4,1380,2.322145785,3.605637641,1.359909843,3.605637641,,,,,,,,
5,0,2.330012832,3.437484834,1.561593125,3.437484834,,,,,,,,
5,60,2.047916773,3.366046266,1.120098875,3.366046266,,,,,,,,
5,120,1.857632045,3.308017744,0.882674498,3.308017744,,,,,,,,
5,180,1.660323386,3.264916203,0.647720839,3.264916203,,,,,,,,
5,240,1.448478752,3.241291079,0.40647269,3.241291079,,,,,,,,
5,300,1.205888381,3.246223997,0.139991862,3.246223997,,,,,,,,
5,360,0.852004956,3.322689827,-0.223105183,3.322689827,,,,,,,,
5,420,0.573101049,3.407799662,-0.506106111,3.407799662,,,,,,,,
5,480,2.039636659,3.422714758,1.485753776,3.422714758,,,,,,,,
5,540,5.540703025,4.269274059,6.874001005,4.269274059,,,,,,,,
5,600,9.527629396,5.637906348,13.02032225,5.637906348,,,,,,,,
5,660,12.7545217,7.59047724,17.77072591,7.59047724,,,,,,,,
5,720,14.16464314,9.271530213,19.58594593,9.271530213,,,,,,,,
5,780,14.65363642,10.14589242,19.92829202,10.14589242,,,,,,,,
5,840,13.92015677,9.72230662,18.9447295,9.72230662,,,,,,,,
5,900,11.00268224,8.564218446,14.29851513,8.564218446,,,,,,,,
5,960,7.73393161,6.623049653,9.608348072,6.623049653,,,,,,,,
5,1020,5.206492192,5.504046584,5.393617692,5.504046584,,,,,,,,
5,1080,4.200040301,4.89581695,3.773622255,4.89581695,,,,,,,,
5,1140,3.64083854,4.53676407,3.047296252,4.53676407,,,,,,,,
5,1200,3.257774965,4.149392621,2.622075958,4.149392621,,,,,,,,
5,1260,2.808518021,3.929156524,1.985926577,3.929156524,,,,,,,,
5,1320,2.655907089,3.668514221,1.932640395,3.668514221,,,,,,,,
5,1380,2.232114877,3.526132843,1.260860452,3.526132843,,,,,,,,
6,0,2.239097226,3.358803501,1.46023734,3.358803501,,,,,,,,
6,60,1.957257418,3.287984453,1.019348572,3.287984453,,,,,,,,
6,120,1.766445963,3.230689604,0.781065082,3.230689604,,,,,,,,
6,180,1.568353437,3.188427548,0.544945955,3.188427548,,,,,,,,
6,240,1.355333721,3.165794769,0.302083376,3.165794769,,,,,,,,
6,300,1.110983295,3.171966285,0.033397756,3.171966285,,,,,,,,
6,360,0.7552479,3.249665904,-0.331772944,3.249665904,,,,,,,,
6,420,0.478465085,3.33438043,-0.613317995,3.33438043,,,,,,,,
6,480,1.964663899,3.3512266,1.410168143,3.3512266,,,,,,,,
6,540,5.479770101,4.196554452,6.827761538,4.196554452,,,,,,,,
6,600,9.46721796,5.560728031,12.98273079,5.560728031,,,,,,,,
6,660,12.68825676,7.507860834,17.73050726,7.507860834,,,,,,,,
6,720,14.09412767,9.181710649,19.54640156,9.181710649,,,,,,,,
6,780,14.57457464,10.05332506,19.87187693,10.05332506,,,,,,,,
6,840,13.85005104,9.631012593,18.90562634,9.631012593,,,,,,,,
6,900,10.93121277,8.477809302,14.24812149,8.477809302,,,,,,,,
6,960,7.665771725,6.542845292,9.556137855,6.542845292,,,,,,,,
6,1020,5.125437755,5.422377203,5.316932892,5.422377203,,,,,,,,
6,1080,4.114305944,4.814085145,3.684312076,4.814085145,,,,,,,,
6,1140,3.554978813,4.457538632,2.956017102,4.457538632,,,,,,,,
6,1200,3.172588565,4.070421766,2.530914437,4.070421766,,,,,,,,
6,1260,2.723540454,3.851909044,1.894108406,3.851909044,,,,,,,,
6,1320,2.571439419,3.591780597,1.841071839,3.591780597,,,,,,,,
6,1380,2.148086891,3.45040172,1.169518295,3.45040172,,,,,,,,
7,0,2.154876537,3.283752233,1.368017297,3.283752233,,,,,,,,
7,60,1.873043442,3.213524901,0.927123433,3.213524901,,,,,,,,
7,120,1.681786377,3.156888645,0.68804742,3.156888645,,,,,,,,
7,180,1.48303827,3.115368024,0.450901408,3.115368024,,,,,,,,
7,240,1.269049802,3.093602754,0.206678765,3.093602754,,,,,,,,
7,300,1.023246435,3.100852129,-0.063826344,3.100852129,,,,,,,,
7,360,0.666194874,3.179479073,-0.430556398,3.179479073,,,,,,,,
7,420,0.392096681,3.263381651,-0.710153845,3.263381651,,,,,,,,
7,480,1.898650592,3.282619741,1.34699128,3.282619741,,,,,,,,
7,540,5.428210657,4.127239453,6.7951167,4.127239453,,,,,,,,
7,600,9.416079577,5.487820047,12.95869493,5.487820047,,,,,,,,
7,660,12.63107034,7.430362379,17.70345017,7.430362379,,,,,,,,
7,720,14.03234855,9.097439882,19.51941794,9.097439882,,,,,,,,
7,780,14.50387802,9.966588954,19.82704008,9.966588954,,,,,,,,
7,840,13.78883902,9.545336712,18.87936719,9.545336712,,,,,,,,
7,900,10.8675533,8.396939655,14.20822461,8.396939655,,,,,,,,
7,960,7.605737164,6.467656517,9.515457132,6.467656517,,,,,,,,
7,1020,5.05103824,5.345325185,5.249127571,5.345325185,,,,,,,,
7,1080,4.034705779,4.736630763,3.602752866,4.736630763,,,,,,,,
7,1140,3.475103039,4.382693543,2.872201674,4.382693543,,,,,,,,
7,1200,3.093446033,3.995578334,2.447380035,3.995578334,,,,,,,,
7,1260,2.644289257,3.778891369,1.809239009,3.778891369,,,,,,,,
7,1320,2.493088662,3.519082217,1.757300585,3.519082217,,,,,,,,
7,1380,2.069624945,3.378777993,1.084789718,3.378777993,,,,,,,,
8,0,2.07691268,3.212672128,1.28385363,3.212672128,,,,,,,,
8,60,1.794806005,3.143018995,0.842309734,3.143018995,,,,,,,,
8,120,1.603146883,3.086982316,0.602466101,3.086982316,,,,,,,,
8,180,1.403832277,3.046126539,0.364394562,3.046126539,,,,,,,,
8,240,1.189007486,3.025132788,0.118974459,3.025132788,,,,,,,,
8,300,0.941919055,3.033339313,-0.153154405,3.033339313,,,,,,,,
8,360,0.583907321,3.112659322,-0.52111746,3.112659322,,,,,,,,
8,420,0.31307425,3.19541576,-0.798159621,3.19541576,,,,,,,,
8,480,1.840876468,3.217437835,1.294803651,3.217437835,,,,,,,,
8,540,5.385460781,4.061835931,6.774835966,4.061835931,,,,,,,,
8,600,9.373760954,5.419592981,12.94713384,5.419592981,,,,,,,,
8,660,12.58259627,7.358315511,17.68859932,7.358315511,,,,,,,,
8,720,13.97903933,9.019019795,19.50417863,9.019019795,,,,,,,,
8,780,14.44133853,9.885954895,19.79309369,9.885954895,,,,,,,,
8,840,13.73628087,9.465564416,18.86520375,9.465564416,,,,,,,,
8,900,10.81152053,8.321860768,14.17821274,8.321860768,,,,,,,,
8,960,7.352659678,6.397745204,9.031258787,6.397745204,,,,,,,,
8,1020,4.946775653,5.273128865,5.108190079,5.273128865,,,,,,,,
8,1080,3.957800021,4.663711442,3.52111592,4.663711442,,,,,,,,
8,1140,3.40126326,4.312470299,2.795772954,4.312470299,,,,,,,,
8,1200,3.011789755,3.925115473,2.352674158,3.925115473,,,,,,,,
8,1260,2.580281591,3.710350245,1.751612889,3.710350245,,,,,,,,
8,1320,2.407826054,3.450670588,1.653427341,3.450670588,,,,,,,,
8,1380,2.011988132,3.311514203,1.038587309,3.311514203,,,,,,,,
9,0,1.987553707,3.145817269,1.170913128,3.145817269,,,,,,,,
9,60,1.720785004,3.076727634,0.761174445,3.076727634,,,,,,,,
9,120,1.530156077,3.021240696,0.523432779,3.021240696,,,,,,,,
9,180,1.330790843,2.980985246,0.285386001,2.980985246,,,,,,,,
9,240,1.114780772,2.960683218,0.038045337,2.960683218,,,,,,,,
9,300,0.865865029,2.969748719,-0.236729626,2.969748719,,,,,,,,
9,360,0.507709389,3.049568697,-0.604682079,3.049568697,,,,,,,,
9,420,0.242506495,3.130894914,-0.875635247,3.130894914,,,,,,,,
9,480,1.791226195,3.156054818,1.253282268,3.156054818,,,,,,,,
9,540,5.351246445,4.000700016,6.766255462,4.000700016,,,,,,,,
9,600,9.340020203,5.356351531,12.94740388,5.356351531,,,,,,,,
9,660,12.54263747,7.291984708,17.68536558,7.291984708,,,,,,,,
9,720,13.9340681,8.94669994,19.50018038,8.94669994,,,,,,,,
9,780,14.386863,9.811656388,19.76961745,9.811656388,,,,,,,,
9,840,13.44807496,9.391935316,18.30070692,9.391935316,,,,,,,,
9,900,10.89053542,8.252790323,14.44863131,8.252790323,,,,,,,,
9,960,7.328297542,6.333329075,9.056912346,6.333329075,,,,,,,,
9,1020,4.886619077,5.205993497,5.059632263,5.205993497,,,,,,,,
9,1080,3.88968092,4.59554131,3.452724709,4.59554131,,,,,,,,
9,1140,3.332646971,4.247076329,2.724754353,4.247076329,,,,,,,,
9,1200,2.944268277,3.859243762,2.28281529,3.859243762,,,,,,,,
9,1260,2.511887323,3.646496126,1.6788129,3.646496126,,,,,,,,
9,1320,2.341250727,3.386755145,1.583736329,3.386755145,,,,,,,,
9,1380,1.944140048,3.248823737,0.965477052,3.248823737,,,,,,,,
10,0,1.92160987,3.083399185,1.10132304,3.083399185,,,,,,,,
10,60,1.653952813,3.014867533,0.689584701,3.014867533,,,,,,,,
10,120,1.462966587,2.959886197,0.451094815,2.959886197,,,,,,,,
10,180,1.263142503,2.920173896,0.212250698,2.920173896,,,,,,,,
10,240,1.046469525,2.900493608,-0.036058961,2.900493608,,,,,,,,
10,300,0.796489652,2.910333641,-0.312178818,2.910333641,,,,,,,,
10,360,0.437861218,2.990486118,-0.680922544,2.990486118,,,,,,,,
