julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-2.037294942,-2.565506228,-3.197192331,-4.326517689,,,,,,,
1,60,-2.170296151,-1.014744155,-3.243151638,-0.834905815,,,,,,,
1,120,-2.465362691,-0.870003948,-3.570417824,-0.339387778,,,,,,,
1,180,-2.764081478,-0.858730661,-3.924449131,-0.189662538,,,,,,,
1,240,-3.064655961,-0.857517511,-4.281288136,-0.117879598,,,,,,,
1,300,-3.374226617,-0.780804291,-4.630453117,0.036203538,,,,,,,
1,360,-3.752808019,-0.574246839,-5.033960123,0.333934565,,,,,,,
1,420,-3.348063573,-0.493939348,-4.298222787,0.517874283,,,,,,,
1,480,-0.225161635,-0.211756318,0.51912692,0.544400732,,,,,,,
1,540,5.963112002,1.732638242,9.736974086,1.17142876,,,,,,,
1,600,12.59141753,5.490314214,19.11373234,3.933394156,,,,,,,
1,660,17.76819356,9.692869576,25.58244218,7.534548139,,,,,,,
1,720,20.5885044,13.37162739,28.69636702,11.37790995,,,,,,,
1,780,21.78160085,15.01422281,29.84008175,13.60029467,,,,,,,
1,840,20.31048306,14.18921162,27.91513517,13.35243485,,,,,,,
1,900,15.94973855,11.62200949,22.07255352,11.86837438,,,,,,,
1,960,9.631830988,7.515490482,13.3371466,8.393022888,,,,,,,
1,1020,4.474193151,4.449644557,5.713955458,5.657152136,,,,,,,
1,1080,2.292315166,3.010445356,2.132325195,3.777603411,,,,,,,
1,1140,1.075373506,2.283640497,0.52283476,3.26264409,,,,,,,
1,1200,0.200369727,1.342510575,-0.515840972,2.046371497,,,,,,,
1,1260,-0.44596575,0.950291279,-1.208182929,1.889221138,,,,,,,
1,1320,-1.155889128,0.280675533,-2.170649473,0.979077757,,,,,,,
1,1380,-1.429585203,0.072595187,-2.28188181,0.971530386,,,,,,,
2,0,-2.10739015,-0.394376956,-3.347057164,0.31539627,,,,,,,
2,60,-2.269614155,-0.506780269,-3.412531211,0.261192069,,,,,,,
2,120,-2.565701413,-0.632712415,-3.747915617,0.166575065,,,,,,,
