julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,1.988741129,1.51346072,1.046644732,0.029852134,,,,,,,
1,60,1.89057286,2.67600089,0.959884444,2.599174608,,,,,,,
1,120,1.695741326,2.804766926,0.73238036,2.984146977,,,,,,,
1,180,1.490518927,2.822945893,0.478679786,3.100712396,,,,,,,
1,240,1.280003755,2.818495389,0.222284034,3.141478919,,,,,,,
1,300,1.061032688,2.871549371,-0.027114279,3.259806423,,,,,,,
1,360,0.737107436,2.982260395,-0.37060016,3.422397696,,,,,,,
1,420,0.487469117,3.044056365,-0.65391081,3.511083057,,,,,,,
1,480,2.113982136,3.040502217,1.727814052,3.449200411,,,,,,,
1,540,6.002018622,4.201471878,7.750981163,4.134555982,,,,,,,
1,600,10.33058473,6.061559935,14.35086652,5.265560534,,,,,,,
1,660,13.86224472,8.396026484,19.41870475,7.228549021,,,,,,,
1,720,15.48625484,10.47296273,21.40577465,9.366560184,,,,,,,
1,780,15.9818396,11.41199311,21.60554266,10.63124459,,,,,,,
1,840,14.91241271,10.96281089,19.95210347,10.54911944,,,,,,,
1,900,12.03799686,9.420641803,15.69905861,9.523311697,,,,,,,
1,960,8.079068331,7.205396137,9.834219401,7.791739806,,,,,,,
1,1020,5.429931461,5.635378179,5.599270096,6.074986568,,,,,,,
1,1080,4.369262215,5.131618115,3.942030597,5.689831887,,,,,,,
1,1140,3.733906338,4.458819923,3.131454913,4.776348755,,,,,,,
1,1200,3.245260819,4.251492194,2.545342195,4.804171506,,,,,,,
1,1260,2.870014503,3.738326875,2.125991148,4.053490391,,,,,,,
1,1320,2.477450546,3.65130017,1.599878094,4.175258382,,,,,,,
1,1380,2.289008622,3.292798071,1.466153216,3.641536988,,,,,,,
2,0,1.92548387,3.230842414,0.911315121,3.703937918,,,,,,,
2,60,1.794047183,3.092548379,0.803420003,3.513546049,,,,,,,
2,120,1.595399919,3.010624023,0.565470422,3.438908551,,,,,,,
2,180,1.377527542,2.94843845,0.306036655,3.397309412,,,,,,,
2,240,1.130207641,2.908194978,0.013767517,3.387281854,,,,,,,
2,300,0.840220973,2.897231657,-0.320682628,3.413550103,,,,,,,
2,360,0.437255077,2.961751338,-0.745967836,3.518801815,,,,,,,
2,420,0.178235423,3.027310801,-0.997144576,3.647391356,,,,,,,
2,480,1.931871893,3.094162594,1.467617306,3.627528085,,,,,,,
2,540,5.859542768,4.21497703,7.561262998,4.257808617,,,,,,,
2,600,10.19445421,5.980626102,14.17907037,5.210974297,,,,,,,
2,660,13.72257124,8.3299035,19.24855114,7.222598841,,,,,,,
2,720,15.35054677,10.35350311,21.25222828,9.252877525,,,,,,,
2,780,15.83981294,11.31613472,21.44135136,10.57868827,,,,,,,
2,840,14.77764904,10.84300485,19.80116673,10.43444504,,,,,,,
2,900,11.91301819,9.321337881,15.56009936,9.445354198,,,,,,,
2,960,7.963876051,7.114395537,9.704281344,7.718492584,,,,,,,
2,1020,5.308586243,5.530312312,5.455917387,5.969294494,,,,,,,
2,1080,4.246881382,4.950797331,3.793437912,5.40715061,,,,,,,
2,1140,3.612948494,4.462573842,2.983871764,4.911621259,,,,,,,
2,1200,3.125743445,4.071706224,2.399291051,4.522689561,,,,,,,
2,1260,2.75117739,3.73958645,1.980174637,4.174127363,,,,,,,
2,1320,2.360732761,3.485960765,1.457819909,3.926371459,,,,,,,
2,1380,2.170896213,3.268536697,1.320432176,3.699060652,,,,,,,
3,0,1.81057666,3.102086071,0.772153248,3.534980813,,,,,,,
3,60,1.676919483,3.002678771,0.660195299,3.427001379,,,,,,,
3,120,1.476900941,2.926533947,0.420336148,3.363354556,,,,,,,
3,180,1.257217245,2.866767621,0.158526965,3.325448123,,,,,,,
3,240,1.007520349,2.827930848,-0.136617234,3.316841029,,,,,,,
3,300,0.714244749,2.819879944,-0.474718128,3.346962532,,,,,,,
3,360,0.30592986,2.888363311,-0.905476504,3.457059861,,,,,,,
3,420,0.046292725,2.954528358,-1.157893036,3.586515459,,,,,,,
3,480,1.820007677,3.019211535,1.3343525,3.563445731,,,,,,,
3,540,5.757294604,4.135400096,7.44780221,4.189474029,,,,,,,
3,600,10.08877266,5.892136033,14.06655306,5.134550283,,,,,,,
3,660,13.60856127,8.22858463,19.12917466,7.131412463,,,,,,,
3,720,15.23477608,10.24242788,21.13881731,9.151324033,,,,,,,
3,780,15.71744035,11.1996353,21.31649185,10.4684589,,,,,,,
3,840,14.66139208,10.7294931,19.68663076,10.32689437,,,,,,,
3,900,11.80589414,9.214860753,15.45600063,9.343072685,,,,,,,
3,960,7.865751828,7.016103375,9.607525962,7.621438089,,,,,,,
3,1020,5.202807442,5.436215855,5.342944779,5.883345659,,,,,,,
3,1080,4.139513167,4.856225147,3.67380903,5.316780888,,,,,,,
3,1140,3.506769261,4.369837676,2.86456202,4.822724265,,,,,,,
3,1200,3.020879411,3.980583666,2.281047691,4.435195347,,,,,,,
3,1260,2.646979244,3.650173202,1.86192658,4.088599027,,,,,,,
3,1320,2.258511799,3.397617812,1.342783459,3.841672659,,,,,,,
3,1380,2.067511075,3.181512031,1.201986757,3.615966237,,,,,,,
4,0,1.710195145,3.015848363,0.659554415,3.452522093,,,,,,,
4,60,1.574891036,2.917349674,0.544197574,3.345686951,,,,,,,
4,120,1.374143262,2.842142331,0.303116902,3.283175889,,,,,,,
4,180,1.153475212,2.783435685,0.039840027,3.24655976,,,,,,,
4,240,0.90247764,2.745847115,-0.257005338,3.239470507,,,,,,,
4,300,0.607362914,2.73935975,-0.59722075,3.271465323,,,,,,,
4,360,0.19645887,2.809641388,-1.030756121,3.383669681,,,,,,,
4,420,-0.061709063,2.876085843,-1.282297072,3.514123706,,,,,,,
4,480,1.729217336,2.942032354,1.236563472,3.491639313,,,,,,,
4,540,5.673266784,4.054703162,7.366263311,4.114109442,,,,,,,
4,600,9.999146074,5.802966021,13.98251059,5.050729795,,,,,,,
4,660,13.5090997,8.130921256,19.03557336,7.041391063,,,,,,,
4,720,15.13198191,10.13429376,21.04855169,9.048526683,,,,,,,
4,780,15.60685504,11.08877273,21.21178646,10.36335032,,,,,,,
4,840,14.55724931,10.61923715,19.59300331,10.21893937,,,,,,,
4,900,11.71053902,9.113672985,15.37215514,9.245611737,,,,,,,
4,960,7.778763479,6.920966689,9.529866253,7.524778331,,,,,,,
4,1020,5.10683433,5.345848938,5.246795808,5.800163654,,,,,,,
4,1080,4.041515751,4.764932854,3.569999073,5.228303623,,,,,,,
4,1140,3.409813289,4.280169487,2.760718043,4.735370481,,,,,,,
4,1200,2.925178715,3.892612312,2.178093523,4.34954206,,,,,,,
4,1260,2.551975306,3.563583499,1.758973205,4.004272488,,,,,,,
4,1320,2.165370389,3.312255302,1.242702416,3.758602102,,,,,,,
4,1380,1.973439062,3.097237442,1.098908712,3.534067024,,,,,,,
5,0,1.618919103,2.932441655,0.561753511,3.371496273,,,,,,,
5,60,1.482348401,2.834716159,0.443549517,3.265601198,,,,,,,
5,120,1.281220755,2.760315787,0.201667864,3.20405116,,,,,,,
5,180,1.060007537,2.702505154,-0.062553915,3.168507019,,,,,,,
5,240,0.808267289,2.665950708,-0.360457384,3.162652539,,,,,,,
5,300,0.512051346,2.660732569,-0.701974872,3.196139456,,,,,,,
5,360,0.099992655,2.732258309,-1.136856665,3.309812533,,,,,,,
5,420,-0.155378422,2.798353148,-1.386071393,3.440504111,,,,,,,
5,480,1.652019834,2.866374101,1.160243129,3.418956448,,,,,,,
5,540,5.601932696,3.976199798,7.305410724,4.038221281,,,,,,,
5,600,9.921353905,5.717119443,13.91779085,4.967839928,,,,,,,
5,660,13.42083448,8.038016875,18.96005967,6.954754076,,,,,,,
5,720,15.03963563,10.03126696,20.97508845,8.949384744,,,,,,,
