julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,11.25949105,10.48642753,9.073305903,7.516643871
1,60,11.02834983,12.82658463,8.750683028,12.27895729
1,120,10.68573486,13.19090508,8.366048263,13.1390142
1,180,10.29606201,13.29976405,7.911444631,13.44201803
1,240,9.881948248,13.34390872,7.462777784,13.57922431
1,300,9.159183997,13.45650913,6.764627358,13.76760484
1,360,8.436137091,13.64163852,6.048624639,14.03645748
1,420,9.439040097,13.62769634,6.857286124,14.11002501
1,480,13.61935344,14.64705263,12.69881775,14.60645546
1,540,20.06131396,16.53163554,22.41442046,15.51629665
1,600,26.45174559,19.49536454,32.07954458,17.90627203
1,660,31.19796062,22.48556014,38.94087083,20.55181855
1,720,33.41210287,25.07738161,41.98539152,23.33786142
1,780,34.12594953,26.24793594,42.57732413,24.95160027
1,840,32.45270757,25.75931985,39.73336155,24.87638532
1,900,28.49195475,24.15320224,33.61699106,24.06500351
1,960,22.94857869,21.36613167,25.22171358,21.76721963
1,1020,17.60228811,18.53095078,17.6101076,19.61972014
1,1080,15.13281915,16.77038904,13.91255738,17.4242419
1,1140,13.95673402,16.22933367,12.29031705,17.11812724
1,1200,13.14466403,15.33437445,11.28107456,15.88748051
1,1260,12.62575992,15.09124016,10.7587883,15.89267499
1,1320,11.79005158,14.49024151,9.482611258,15.04563613
1,1380,11.52762447,14.35690776,9.315344927,15.07964216
2,0,11.18355449,13.98219752,8.920397941,14.55582276
2,60,10.84820159,13.89590754,8.522214768,14.50081839
2,120,10.48127747,13.80825572,8.097219421,14.43294639
2,180,10.06590048,13.74792348,7.628883401,14.4027553
2,240,9.575420048,13.72944153,7.096535869,14.42553288
2,300,8.759972747,13.84128738,6.294219128,14.58049767
2,360,8.098100471,14.01095405,5.728827577,14.80987847
2,420,9.2976652,13.92119362,6.758432534,14.77185056
2,480,13.37021382,14.62383491,12.40748127,14.73696673
2,540,19.82003468,16.61568698,22.13577051,15.86622234
2,600,26.21896265,19.44122111,31.81604714,17.98985252
2,660,30.97028174,22.46281686,38.68453777,20.70502433
2,720,33.18909865,24.95345796,41.73223728,23.28102218
2,780,33.90510069,26.16445135,42.32716705,24.98493572
2,840,32.233262,25.61974264,39.48555896,24.78587332
2,900,28.27383302,24.03919906,33.37162269,24.03630528
2,960,22.73090799,21.21467381,24.97710336,21.6627487
2,1020,17.37962651,18.38391279,17.35682253,19.53293884
2,1080,14.90793607,16.60650518,13.65790356,17.30512024
2,1140,13.73196675,16.07010998,12.03575489,17.00915228
2,1200,12.91968756,15.16378656,11.02640134,15.75316673
2,1260,12.28252043,14.93546753,10.25826838,15.78936352
2,1320,11.7875214,14.30922635,9.687136531,14.88876747
2,1380,11.28626028,14.20808523,9.028466523,14.98842112
3,0,11.02603275,13.79503364,8.803452716,14.38572112
3,60,10.62575117,13.72795602,8.275441989,14.36770792
3,120,10.25129393,13.64573711,7.837315713,14.30822114
3,180,9.82979731,13.59058773,7.359655637,14.2849915
3,240,9.337290484,13.57891627,6.826581475,14.31636176
3,300,8.520782841,13.70530935,6.027680928,14.48806191
3,360,7.855274199,13.89140471,5.458511215,14.73710707
3,420,9.055791642,13.79206378,6.480303967,14.69707135
3,480,13.15177272,14.48037169,12.16698578,14.63843678
3,540,19.61548916,16.46886222,21.92209549,15.75839155
3,600,26.01782065,19.29325273,31.60966074,17.87521519
3,660,30.77006244,22.31699778,38.47837887,20.59104077
3,720,32.98930201,24.80433396,41.52242028,23.15964074
3,780,33.70613467,26.01354319,42.11743459,24.85929008
3,840,32.03514873,25.46540259,39.27666766,24.6545077
3,900,28.07669039,23.87918897,33.16404549,23.89820096
3,960,22.5338532,21.04640004,24.76914019,21.51339742
3,1020,17.17686645,18.20756976,17.13830377,19.37457861
3,1080,14.70240113,16.42405394,13.43685865,17.1384065
3,1140,13.52645866,15.88877202,11.81424501,16.84544021
3,1200,12.7139519,14.97950318,10.80438983,15.58231462
3,1260,12.07665773,14.75528346,10.03606666,15.62757901
3,1320,11.58245451,14.12380912,9.466744494,14.71525537
3,1380,11.07865436,14.02959889,8.802824474,14.82933178
4,0,10.82176974,13.60967836,8.584992907,14.21192597
4,60,10.41827811,13.54722181,8.05099757,14.20255615
4,120,10.04173865,13.46731975,7.609653314,14.14665203
4,180,9.61746453,13.41491257,7.127944604,14.12737537
4,240,9.12122435,13.40703417,6.589870028,14.16393316
4,300,8.297456661,13.54107422,5.782319847,14.34493131
4,360,7.627475333,13.73545813,5.207026688,14.60462501
4,420,8.837675497,13.63266025,6.237669069,14.56437081
4,480,12.95567556,14.31674785,11.96135767,14.49591509
4,540,19.43115273,16.3087425,21.74054624,15.61727898
4,600,25.83500028,19.13747026,31.43261392,17.73685118
4,660,30.58667275,22.16634782,38.29926358,20.45868173
4,720,32.80463552,24.65363844,41.33709233,23.02577088
4,780,33.52181404,25.86244211,41.93115966,24.72428053
4,840,31.85150923,25.31091791,39.09070683,24.51393947
4,900,27.89389418,23.71992321,32.97892132,23.75281732
4,960,22.35091228,20.87880333,24.58291791,21.35654377
4,1020,16.98759737,18.03262974,16.93998003,19.21027438
4,1080,14.50987986,16.24269611,13.2351549,16.96545549
4,1140,13.33396574,15.7088217,11.61185117,16.67611957
4,1200,12.52129616,14.79666984,10.601419,15.40600298
4,1260,11.88395416,14.57660349,9.832875062,15.46051279
4,1320,11.39068063,13.9399259,9.265458919,14.53657399
4,1380,10.88432064,13.85267196,8.596058596,14.66524413
5,0,10.63105691,13.42567385,8.38581482,14.03278902
5,60,10.22456527,13.36755628,7.845918748,14.0318434
5,120,9.846368409,13.28934807,7.401804253,13.97871071
5,180,9.419869789,13.23878958,6.916635462,13.96221119
5,240,8.920644424,13.23341401,6.3743461,14.00230043
5,300,8.091105572,13.3725379,5.559578984,14.18970192
5,360,7.418147671,13.57204308,4.979365146,14.45643565
5,420,8.636410465,13.46769978,6.018136962,14.41602082
5,480,12.77562415,14.15101505,11.77838573,14.34231685
5,540,19.26213123,16.1488903,21.58095388,15.46875754
5,600,25.66668925,18.98378625,31.2764621,17.59429745
5,660,30.41707314,22.01874977,38.14004436,20.32390037
5,720,32.63283839,24.50710661,41.17038561,22.89149497
5,780,33.35010787,25.71599879,41.76299324,24.59001132
5,840,31.68039339,25.16110094,38.92256139,24.37410456
5,900,27.72352417,23.56571285,32.81125799,23.6088907
5,960,22.18016304,20.71639828,24.41349925,21.20127938
5,1020,16.8098904,17.86311603,16.75694951,19.04795483
5,1080,14.32843067,16.06675175,13.04791573,16.79476563
5,1140,13.15255163,15.53408357,11.42375951,16.50855177
5,1200,12.33979193,14.61948726,10.41274369,15.2323241
5,1260,11.70248452,14.40317081,9.644008789,15.29521844
5,1320,11.21026859,13.76171051,9.078638459,14.3605195
5,1380,10.70133226,13.68106831,8.403595056,14.50311353
6,0,10.45193756,13.24712153,8.201344864,13.8558754
6,60,10.04256073,13.19309838,7.655581018,13.86302775
6,120,9.662973724,13.11623223,7.208999124,13.81217147
6,180,9.234595719,13.06703607,6.720761173,13.79777935
6,240,8.732850815,13.06346627,6.174774995,13.84047683
6,300,7.898430465,13.20630049,5.353691048,14.03269381
6,360,7.223523141,13.40916667,4.769419418,14.30444812
6,420,8.449019176,13.30432246,5.816102289,14.26387266
6,480,12.6094056,13.98868491,11.61342707,14.187294
6,540,19.10680658,15.99364661,21.43953905,15.32069106
6,600,25.51171708,18.8355618,31.13813242,17.45375354
6,660,30.26041327,21.87699746,37.99818544,20.1919182
6,720,32.47338132,24.36692997,41.02029899,22.76097502
6,780,33.19057626,25.57614969,41.61113955,24.46007362
6,840,31.52138477,25.01793069,38.770514,24.23865768
6,900,27.56516103,23.41839882,32.65936054,23.46972658
6,960,22.02116636,20.56115225,24.2591767,21.05114383
6,1020,16.6432891,17.70085481,16.58748866,18.89080196
6,1080,14.15757336,15.89819444,12.87338966,16.62981187
6,1140,12.98172938,15.36635481,11.24822633,16.34579855
6,1200,12.16894985,14.44994212,10.23663716,15.06472119
6,1260,11.53175479,14.23677982,9.467754491,15.13469838
6,1320,11.04071326,13.59117773,8.90457108,14.19053087
6,1380,10.52918536,13.51661398,8.223750828,14.34595389
7,0,10.28387919,13.07606429,8.02986865,13.68461347
7,60,9.871687988,13.02589012,7.478246075,13.69946136
7,120,9.490901363,12.95013368,7.029424278,13.65053379
7,180,9.060889132,12.90199148,6.538408835,13.63780903
7,240,8.556955849,12.89978642,5.989112424,13.68251638
7,300,7.718266509,13.04545745,5.162363078,13.87851898
7,360,7.042215927,13.25052053,4.574734058,14.15395346
7,420,8.274473677,13.14588429,5.629330377,14.11323078
7,480,12.45633042,13.83245271,11.46466157,14.0352762
7,540,19.1152482,15.84521111,21.61096583,15.1767633
7,600,25.42369348,18.69457748,31.12694852,17.31820238
7,660,30.12786668,21.74262183,37.89670521,20.06529395
7,720,32.33126922,24.23438462,40.89730002,22.63632715
7,780,33.04643214,25.44406336,41.48202945,24.33634231
7,840,31.37671182,24.88260768,38.63875334,24.10952789
7,900,27.53384542,23.27913375,32.77771169,23.33711755
7,960,21.90907448,20.41429344,24.19653043,20.90806633
7,1020,16.49660298,17.54702873,16.45006697,18.74060845
7,1080,14.0021719,15.73828311,12.7213594,16.47253963
7,1140,12.82486824,15.20681321,11.0917484,16.18960851
7,1200,12.01137067,14.28931786,10.0779086,14.9051611
7,1260,11.37391705,14.07860581,9.307936423,14.98066829
7,1320,10.88388437,13.42964601,8.746460182,14.02861572
7,1380,10.36949581,13.36049531,8.059180071,14.195478
8,0,10.12831695,12.91385068,7.873649278,13.52103695
8,60,9.713282836,12.86725715,7.315940017,13.54309392
8,120,9.331409883,12.79243586,6.864918089,13.49581833
8,180,8.899952183,12.74512771,6.371272519,13.4844363
8,240,8.39412471,12.74397375,5.818944147,13.53071834
8,300,7.551798055,12.89185195,4.987139884,13.72974992
8,360,6.87539031,13.09824153,4.396781211,14.00785805
8,420,8.113774191,12.99436784,5.459110738,13.96702361
8,480,12.31725037,13.68398135,11.33314004,13.8887791
8,540,18.98693677,15.70499185,21.50361629,15.03911288
