julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-8.925295685,-9.760264818,-9.366001072,-11.28893325,,,,,,,
1,60,-9.167841709,-8.63427387,-9.836204003,-8.640168606,,,,,,,
1,120,-9.404457759,-8.627679286,-10.10632331,-8.416876164,,,,,,,
1,180,-9.6466283,-8.676287864,-10.4113856,-8.372126607,,,,,,,
1,240,-9.845829921,-8.738030357,-10.63522207,-8.3983667,,,,,,,
1,300,-10.10723481,-8.739610221,-10.97418879,-8.343388189,,,,,,,
1,360,-10.42269776,-8.669239095,-11.32383014,-8.225019396,,,,,,,
1,420,-10.7799728,-8.539585985,-11.75355234,-8.025932564,,,,,,,
1,480,-9.336108855,-8.530988767,-9.624905386,-8.05157626,,,,,,,
1,540,-5.313644622,-7.003580961,-3.926498469,-7.541263776,,,,,,,
1,600,-0.370968297,-3.687389121,2.684215736,-4.892509383,,,,,,,
1,660,3.980291197,0.02208705,7.894066284,-1.637619821,,,,,,,
1,720,6.65949633,3.300694366,10.70161885,1.918054936,,,,,,,
1,780,7.730024082,4.662821267,11.73675959,3.715753209,,,,,,,
1,840,6.460347077,3.72067353,10.12400669,3.027098534,,,,,,,
1,900,2.952184602,1.261270577,5.693430863,1.355945114,,,,,,,
1,960,-1.85957009,-2.285061642,-0.490051688,-1.570503006,,,,,,,
1,1020,-4.673218171,-4.338267745,-4.520676532,-3.679025335,,,,,,,
1,1080,-5.878550668,-5.343884917,-6.154836353,-4.825920651,,,,,,,
1,1140,-6.731526683,-6.103182763,-7.150339693,-5.606199764,,,,,,,
1,1200,-7.41316846,-6.691491599,-7.918839022,-6.166172641,,,,,,,
1,1260,-7.96760575,-7.257965057,-8.534293626,-6.831998235,,,,,,,
1,1320,-8.377569164,-7.567945563,-8.92923024,-7.012025499,,,,,,,
1,1380,-8.888940314,-8.029403353,-9.660724237,-7.65274161,,,,,,,
2,0,-9.006575014,-8.141880291,-9.553187197,-7.56179704,,,,,,,
2,60,-9.358044332,-8.379213759,-10.10327653,-7.909297897,,,,,,,
2,120,-9.608330265,-8.521195983,-10.40696682,-8.042875942,,,,,,,
2,180,-9.868787222,-8.640695438,-10.71625964,-8.135993421,,,,,,,
2,240,-10.13926504,-8.73281675,-11.02472852,-8.186028702,,,,,,,
2,300,-10.45870102,-8.789249326,-11.39793996,-8.18861762,,,,,,,
2,360,-10.88010869,-8.74451564,-11.85426636,-8.079286263,,,,,,,
2,420,-11.33368474,-8.657149249,-12.36695337,-7.908378866,,,,,,,
2,480,-9.697523078,-8.607661281,-10.12389561,-7.992784962,,,,,,,
2,540,-5.601720175,-7.118701125,-4.293788689,-7.540284505,,,,,,,
2,600,-0.639625158,-3.84108655,2.358976456,-4.958531909,,,,,,,
2,660,3.715949025,-0.150198891,7.585189061,-1.728917223,,,,,,,
2,720,6.397642168,3.068920835,10.40317006,1.694676438,,,,,,,
2,780,7.466886046,4.518194175,11.43928551,3.725012738,,,,,,,
2,840,6.19930685,3.411968134,9.828006491,2.6046723,,,,,,,
2,900,2.697065855,1.045439754,5.401803091,1.163381494,,,,,,,
2,960,-2.108802723,-2.487709426,-0.77929254,-1.741836657,,,,,,,
2,1020,-4.931935004,-4.547956523,-4.824171622,-3.858941825,,,,,,,
2,1080,-6.13609921,-5.552427947,-6.458150622,-5.006862516,,,,,,,
2,1140,-6.987691952,-6.310206821,-7.452203322,-5.786655158,,,,,,,
2,1200,-7.668436584,-6.897157444,-8.21994482,-6.346098047,,,,,,,
2,1260,-8.222247714,-7.462524947,-8.83487094,-7.011750897,,,,,,,
2,1320,-8.630173536,-7.770735936,-9.22553008,-7.189608918,,,,,,,
2,1380,-9.145751001,-8.232095547,-9.967276486,-7.832086511,,,,,,,
3,0,-9.257125208,-8.341843538,-9.845017554,-7.736368929,,,,,,,
3,60,-9.613720004,-8.578328129,-10.40538832,-8.083866389,,,,,,,
3,120,-9.867057597,-8.718057272,-10.71382478,-8.214464247,,,,,,,
3,180,-10.13148723,-8.834606953,-11.02900212,-8.303527843,,,,,,,
3,240,-10.40701549,-8.922715489,-11.3443811,-8.3479761,,,,,,,
3,300,-10.73419195,-8.973451582,-11.72794938,-8.342770459,,,,,,,
3,360,-11.16927654,-8.91850884,-12.20002327,-8.220591592,,,,,,,
3,420,-11.6357314,-8.821999898,-12.72999559,-8.03695569,,,,,,,
3,480,-9.958912027,-8.779818346,-10.43515198,-8.128037381,,,,,,,
3,540,-5.835916397,-7.302374732,-4.555742989,-7.695769803,,,,,,,
3,600,-0.867939908,-4.031019512,2.113960614,-5.119208293,,,,,,,
3,660,3.48522086,-0.352823308,7.343553545,-1.906880512,,,,,,,
3,720,6.163057936,2.855819251,10.15990263,1.504130344,,,,,,,
3,780,7.229634304,4.305275591,11.19325269,3.53956164,,,,,,,
3,840,5.963559441,3.183159069,9.581642885,2.373417017,,,,,,,
3,900,2.466545294,0.831503837,5.158028384,0.96051,,,,,,,
3,960,-2.334379982,-2.695046484,-1.022791986,-1.939358197,,,,,,,
3,1020,-5.168921957,-4.760657736,-5.085430477,-4.058755421,,,,,,,
3,1080,-6.372359645,-5.763503362,-6.72061269,-5.206123916,,,,,,,
3,1140,-7.222699261,-6.519525315,-7.713848212,-5.984493316,,,,,,,
3,1200,-7.902569119,-7.10424075,-8.481227501,-6.540941013,,,,,,,
3,1260,-8.455709504,-7.669803585,-9.095884982,-7.209239723,,,,,,,
3,1320,-8.861448492,-7.973907881,-9.482302591,-7.379047117,,,,,,,
3,1380,-9.381217698,-8.437988625,-10.2346895,-8.029601588,,,,,,,
4,0,-9.485937395,-8.541502167,-10.09723359,-7.920658829,,,,,,,
4,60,-9.847048896,-8.779210027,-10.66736564,-8.27232658,,,,,,,
4,120,-10.10241308,-8.917518972,-10.97927244,-8.401104252,,,,,,,
4,180,-10.3694621,-9.032141042,-11.29861423,-8.487484445,,,,,,,
4,240,-10.6482129,-9.117606948,-11.61858504,-8.528155309,,,,,,,
4,300,-10.98062173,-9.164715716,-12.00944839,-8.517896647,,,,,,,
4,360,-11.4245715,-9.103897878,-12.49206531,-8.38817659,,,,,,,
4,420,-11.89804859,-9.003399594,-13.03262798,-8.1981636,,,,,,,
4,480,-10.18760428,-8.961815145,-10.69079693,-8.290679729,,,,,,,
4,540,-6.043193279,-7.48861108,-4.770709258,-7.867335628,,,,,,,
4,600,-1.072832377,-4.219768859,1.909756987,-5.289859288,,,,,,,
4,660,3.275722792,-0.551234167,7.138534092,-2.089139912,,,,,,,
4,720,5.947182602,2.648962305,9.948526076,1.312998286,,,,,,,
4,780,7.010640544,4.098278133,10.97781932,3.352559554,,,,,,,
4,840,5.745862801,3.19799052,9.365266521,2.757326358,,,,,,,
4,900,2.253685532,0.654163243,4.943409055,0.835508495,,,,,,,
4,960,-2.542978761,-2.890210383,-1.238430162,-2.121187646,,,,,,,
4,1020,-5.390687444,-4.965659399,-5.321752102,-4.252520913,,,,,,,
4,1080,-6.593715008,-5.968639244,-6.959025506,-5.403617189,,,,,,,
4,1140,-7.4428446,-6.723372452,-7.951675011,-6.181590965,,,,,,,
4,1200,-8.121817019,-7.304337402,-8.718784622,-6.73123618,,,,,,,
4,1260,-8.674229805,-7.873840231,-9.333203587,-7.411105986,,,,,,,
4,1320,-9.077664334,-8.168828898,-9.715282691,-7.560809611,,,,,,,
4,1380,-9.601591475,-8.642281299,-10.47843454,-8.23497955,,,,,,,
5,0,-9.699410731,-8.731901725,-10.32542255,-8.094916548,,,,,,,
5,60,-10.0646927,-8.974817855,-10.90495044,-8.45973567,,,,,,,
5,120,-10.32153227,-9.112399017,-11.21959449,-8.58797535,,,,,,,
5,180,-10.5904852,-9.225674497,-11.54214884,-8.672595905,,,,,,,
5,240,-10.87150108,-9.309086049,-11.86545494,-8.710296088,,,,,,,
5,300,-11.20783851,-9.353490653,-12.26197715,-8.696264314,,,,,,,
5,360,-11.65814918,-9.288873594,-12.75237754,-8.561697556,,,,,,,
5,420,-12.13540763,-9.186907327,-13.29980663,-8.368467753,,,,,,,
5,480,-10.39411512,-9.142618058,-10.91198249,-8.459811372,,,,,,,
5,540,-6.230688779,-7.6703888,-4.954669306,-8.040705312,,,,,,,
5,600,-1.25945753,-4.402076587,1.733808187,-5.459261319,,,,,,,
5,660,3.083514222,-0.741818927,6.959817838,-2.267817426,,,,,,,
5,720,5.747293351,2.451062881,9.761002369,1.127464319,,,,,,,
5,780,6.807443823,3.900192298,10.78564289,3.170924529,,,,,,,
5,840,5.543848231,2.998272783,9.171838978,2.567414886,,,,,,,
5,900,2.05620076,0.458081021,4.751167227,0.645365917,,,,,,,
5,960,-2.736797519,-3.081566169,-1.432726661,-2.30954027,,,,,,,
5,1020,-5.599393752,-5.164547358,-5.539526163,-4.445203014,,,,,,,
5,1080,-6.802310416,-6.166269196,-7.179669797,-5.59641458,,,,,,,
5,1140,-7.650272553,-6.919388563,-8.171893336,-6.373103628,,,,,,,
5,1200,-8.328336376,-7.498092886,-8.938779701,-6.919500622,,,,,,,
5,1260,-8.879984953,-8.068223825,-9.552960342,-7.602890063,,,,,,,
5,1320,-9.281028337,-8.358752257,-9.93059442,-7.74352504,,,,,,,
5,1380,-9.809116252,-8.835700578,-10.7046319,-8.427437556,,,,,,,
6,0,-9.899839146,-8.918480728,-10.53572758,-8.2725586,,,,,,,
6,60,-10.26910296,-9.163382303,-11.12445752,-8.642964913,,,,,,,
6,120,-10.52709524,-9.300142534,-11.44139571,-8.770314268,,,,,,,
6,180,-10.79753428,-9.412261853,-11.76659133,-8.853417989,,,,,,,
6,240,-11.08025669,-9.494068365,-12.09248144,-8.888863006,,,,,,,
6,300,-11.41976907,-9.536346158,-12.49369762,-8.871905283,,,,,,,
6,360,-11.87497409,-9.468896994,-12.99024265,-8.733655783,,,,,,,
6,420,-12.35395295,-9.366921838,-13.542166,-8.539022182,,,,,,,
6,480,-10.58273828,-9.318186455,-11.10771847,-8.628189869,,,,,,,
6,540,-6.401242578,-7.844763014,-5.114421274,-8.210315974,,,,,,,
6,600,-1.429803412,-4.575756222,1.580784288,-5.623204265,,,,,,,
6,660,2.907128855,-0.922806783,6.803043865,-2.439466746,,,,,,,
6,720,5.562460606,2.263442113,9.593977799,0.950074815,,,,,,,
6,780,6.619223778,3.712325474,10.6136662,2.997174514,,,,,,,
6,840,5.356737193,2.808983899,8.998436443,2.386040636,,,,,,,
6,900,1.873357621,0.272379134,4.578503228,0.463926799,,,,,,,
6,960,-2.916519365,-3.262756456,-1.608356824,-2.489208114,,,,,,,
6,1020,-5.795693611,-5.354186787,-5.741352957,-4.629889932,,,,,,,
6,1080,-6.998799197,-6.354783118,-7.385122137,-5.781475868,,,,,,,
6,1140,-7.8456399,-7.106343442,-8.37706024,-6.556961279,,,,,,,
6,1200,-8.52279248,-7.682817995,-9.143759345,-7.100142265,,,,,,,
6,1260,-9.073653426,-8.253644859,-9.757699373,-7.78717872,,,,,,,
6,1320,-9.472239296,-8.539707245,-10.13079335,-7.91869782,,,,,,,
6,1380,-10.00450251,-9.020251765,-10.91582296,-8.612558636,,,,,,,
7,0,-10.08797651,-9.09616911,-10.73074867,-8.44277739,,,,,,,
7,60,-10.46110596,-9.343184924,-11.32856214,-8.818996524,,,,,,,
7,120,-10.72004222,-9.479263546,-11.64750059,-8.945680723,,,,,,,
7,180,-10.99169796,-9.590409123,-11.97496083,-9.027555023,,,,,,,
7,240,-11.27576621,-9.670857383,-12.30293907,-9.061120739,,,,,,,
7,300,-11.61797014,-9.711362227,-12.7082174,-9.041753675,,,,,,,
7,360,-12.07711185,-9.64181194,-13.20982233,-8.900763188,,,,,,,
7,420,-12.55632998,-9.540884213,-13.76452875,-8.706041813,,,,,,,
7,480,-10.75523053,-9.486237034,-11.28206228,-8.792003603,,,,,,,
