julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,3.835005115,3.249147197,3.069817261,1.846596682
1,60,3.544999855,4.72235144,2.659473499,5.052010496
1,120,3.260190802,4.906975484,2.335025443,5.580449019
1,180,2.979755926,4.968419775,2.004096343,5.78624984
1,240,2.711332941,5.039257482,1.701000127,5.942528969
1,300,2.307681979,5.346957119,1.286389916,6.346625642
1,360,1.845313188,5.800925101,0.836620422,6.869405381
1,420,2.412350569,5.476814468,1.40164303,6.8049261
1,480,7.418729131,6.251099821,8.879492404,6.654018454
1,540,14.39271623,8.738326612,19.41676768,8.012094183
1,600,20.92519067,12.3642569,28.79099071,10.72318393
1,660,26.01055354,16.26072308,35.59702195,14.21924463
1,720,28.44664675,19.44593735,38.51586797,17.50544845
1,780,29.44918048,20.96270308,39.44658651,19.63654239
1,840,27.85372368,20.22942644,36.99639005,19.34741983
1,900,23.75501421,18.10315778,31.24283198,18.27239473
1,960,17.72531957,14.41294539,22.67446143,15.14055343
1,1020,10.97073181,10.71449593,12.87394047,12.29650725
1,1080,8.079748988,8.930384169,8.211327281,10.10994809
1,1140,6.805676569,7.889800061,6.522006193,8.91778115
1,1200,5.895151477,7.126456365,5.420876656,8.113836065
1,1260,5.177138439,6.52474857,4.569980577,7.485614501
1,1320,4.614386439,6.0468044,3.921175535,6.985472512
1,1380,4.099175551,5.66256466,3.271169419,6.576274226
2,0,3.782185091,5.356738964,2.959533626,6.247065707
2,60,3.450514723,5.212923928,2.520246383,6.101524999
2,120,3.158431311,5.109612993,2.181071484,6.025961344
2,180,2.851748462,5.047534324,1.83555032,6.010797776
2,240,2.519195131,5.0439759,1.47322366,6.071936414
2,300,2.023937164,5.253253843,0.971519079,6.348907659
2,360,1.538002852,5.633920708,0.548083904,6.798837445
2,420,2.162833875,5.394064222,1.058446933,6.757705582
2,480,7.244039446,6.137018606,8.662358555,6.551780512
2,540,14.23141043,8.614558891,19.22532116,7.893191303
2,600,20.76356327,12.2272544,28.60182181,10.58105916
2,660,25.84750372,16.12048766,35.40880412,14.07527122
2,720,28.28326387,19.2980655,38.32827232,17.34838258
2,780,29.28525633,20.8158223,39.25955299,19.48394149
2,840,27.69249173,20.07729106,36.8137419,19.18110566
2,900,23.59980241,17.95687173,31.06878122,18.11539532
2,960,17.57819485,14.26442389,22.51184503,14.9727851
2,1020,10.82868298,10.57287813,12.71634358,12.13973244
2,1080,7.932818338,8.785065373,8.046935499,9.94964019
2,1140,6.658660548,7.743936079,6.355883709,8.754809276
2,1200,5.749072187,6.981135911,5.255710084,7.95099882
2,1260,5.031909661,6.379895974,4.405854726,7.32301622
2,1320,4.469956115,5.902301717,3.758202154,6.823081783
2,1380,3.954836934,5.518226301,3.107997058,6.4138837
3,0,3.638705889,5.212302551,2.797997208,6.084292412
3,60,3.305994873,5.067765462,2.357137671,5.937871539
3,120,3.012587456,4.96295047,2.016132574,5.860115713
3,180,2.704060867,4.898672472,1.668179723,5.841818696
3,240,2.368903105,4.891922901,1.302637688,5.898611482
3,300,1.867871421,5.093725903,0.794778542,6.167146218
3,360,1.37684358,5.461840471,0.366006084,6.604363205
3,420,2.014027145,5.229490426,0.888753545,6.5622168
3,480,7.111985517,5.98441112,8.521532392,6.371114046
3,540,14.09995316,8.47017425,19.0884493,7.726993293
3,600,20.62648556,12.08692362,28.4583484,10.42571873
3,660,25.7055473,15.9800105,35.26037294,13.924253
3,720,28.13753136,19.15679851,38.1747442,17.19959453
3,780,29.13791847,20.6737482,39.10415785,19.33547735
3,840,27.54740294,19.93481325,36.66143276,19.03011094
3,900,23.46043425,17.81754292,30.92403595,17.96730101
3,960,17.44660819,14.127184,22.37749511,14.82359123
3,1020,10.70153981,10.43969692,12.58533421,11.9949596
3,1080,7.799708423,8.649092759,7.90710396,9.80390305
3,1140,6.525181992,7.60839157,6.213473402,8.608437171
3,1200,5.616457103,6.846500546,5.113877057,7.80541616
3,1260,4.900125847,6.246040293,4.264800393,7.178192238
3,1320,4.338992621,5.769022507,3.618123458,6.678785781
3,1380,3.82398222,5.392196804,2.967526403,6.284401594
4,0,3.508810065,5.097473352,2.659136706,5.977667592
4,60,3.175425526,4.937579136,2.216974269,5.799238324
4,120,2.881278557,4.830006507,1.874746963,5.716207666
4,180,2.571684113,4.764113533,1.525190732,5.695290789
4,240,2.234977781,4.755731156,1.157550044,5.749839035
4,300,1.73068589,4.952939291,0.645964158,6.013077289
4,360,1.237291348,5.312626332,0.213947876,6.442095671
4,420,1.884973476,5.08606009,0.749638231,6.39982825
4,480,6.997407342,5.849080997,8.408816657,6.218136666
4,540,13.98424189,8.340455027,18.9773902,7.584351458
4,600,20.50377537,11.9589542,28.33867864,10.28988312
4,660,25.57682004,15.85062551,35.13399799,13.79056673
4,720,28.00365975,19.02511113,38.04118114,17.06545306
4,780,29.0020747,20.54068927,38.96791087,19.2003819
4,840,27.4136756,19.80148183,36.5278145,18.89268324
4,900,23.33230687,17.68708455,30.79750409,17.83197939
4,960,17.32605362,13.99916615,22.2606994,14.68782657
4,1020,10.58485674,10.31534316,12.47049621,11.86266918
4,1080,7.676038813,8.521709421,7.781675361,9.670664154
4,1140,6.400921793,7.481417248,6.084867849,8.474433476
4,1200,5.493037045,6.720458596,4.985693073,7.672162948
4,1260,4.777554746,6.120818658,4.137326958,7.045693375
4,1320,4.217287486,5.644437847,3.491614867,6.546849789
4,1380,3.702414637,5.268143797,2.840574947,6.152976632
5,0,3.388296501,4.973770547,2.533880864,5.846518096
5,60,3.054434486,4.813826262,2.09058935,5.667985674
5,120,2.759857022,4.705906591,1.747492552,5.584364459
5,180,2.44959799,4.639395726,1.396793907,5.562483752
5,240,2.111884266,4.630039078,1.027658252,5.615629857
5,300,1.605595374,4.824440694,0.513601689,5.875777182
5,360,1.111265137,5.177885863,0.079461469,6.299103536
5,420,1.768950741,4.955798668,0.629052142,6.256277073
5,480,6.895492697,5.725207114,8.314785688,6.081497601
5,540,13.88071047,8.221010402,18.8846251,7.456087765
5,600,20.39271037,11.84026979,28.23665787,10.16665953
5,660,25.45918862,15.72990986,35.02450887,13.66841916
5,720,27.88010248,18.90141045,37.92338004,16.94165957
5,780,28.87635288,20.41531979,38.8470011,19.07496407
5,840,27.2899817,19.67595378,36.40922946,18.76514025
5,900,23.21408394,17.56427886,30.68558578,17.70610907
5,960,17.21515233,13.87902038,22.15785417,14.56195586
5,1020,10.47720791,10.19860407,12.36821445,11.73972431
5,1080,7.560360177,8.401630545,7.667030608,9.546669088
5,1140,6.284417785,7.361717769,5.96646918,8.349566463
5,1200,5.377338402,6.601700415,4.867583912,7.548020944
5,1260,4.662709642,6.002902528,4.019880167,6.922304874
5,1320,4.103338451,5.527191474,3.375137367,6.424044343
5,1380,3.588613189,5.151468108,2.723613338,6.030713164
6,0,3.275621406,4.85749279,2.418703156,5.724576614
6,60,2.941387934,4.697618991,1.974377287,5.546086186
6,120,2.646555975,4.589539093,1.630620819,5.462126256
6,180,2.335860947,4.522667711,1.2790512,5.439628517
6,240,1.997447016,4.512700229,0.908776662,5.491848977
6,300,1.489865795,4.70504383,0.392959961,5.749759225
6,360,0.995458283,5.053167383,-0.04262767,6.168451377
6,420,1.663222419,4.835196298,0.521969386,6.125166319
6,480,6.804330517,5.610268695,8.235540237,5.956132099
6,540,13.7880077,8.110059316,18.80710034,7.338284798
6,600,20.29233476,11.7296426,28.14985773,10.05305408
6,660,25.35197557,15.61699474,34.92992565,13.55542238
6,720,27.76645197,18.7851762,37.81979514,16.82641751
6,780,28.76042504,20.2972955,38.74005368,18.95782244
6,840,27.17599961,19.55782476,36.3043483,18.64597097
6,900,23.10541239,17.44881474,30.58693638,17.58844814
6,960,17.11349417,13.76630941,22.06755772,14.44451844
6,1020,10.37812723,10.08912822,12.27703536,11.62492827
6,1080,7.452176027,8.288453509,7.561676044,9.430631399
6,1140,6.175156006,7.248870935,5.856773639,8.232532829
6,1200,5.268833345,6.489791811,4.758042571,7.431685502
6,1260,4.555049269,5.891844724,3.910950025,6.806717778
6,1320,3.996590565,5.416820867,3.267177219,6.309050843
6,1380,3.482007924,5.04168967,2.615121549,5.916278502
7,0,3.170198946,4.748139486,2.312075962,5.610490825
7,60,2.835652359,4.588401539,1.866763957,5.43212103
7,120,2.540673779,4.480262379,1.522481273,5.347958204
7,180,2.229682897,4.413169639,1.170213124,5.3250306
7,240,1.890755442,4.402787986,0.79902294,5.376582561
7,300,1.382324118,4.593462855,0.281906237,5.632700323
7,360,0.888405704,4.936683761,-0.15468817,6.047264534
7,420,1.566603267,4.722730608,0.426097775,6.003601349
7,480,6.723147706,5.503221884,8.169348899,5.839789009
7,540,13.70565832,8.006902751,18.7435281,7.229206478
7,600,20.20239681,11.62667124,28.07733515,9.947816132
7,660,25.25508804,15.51165906,34.84954968,13.45060793
7,720,27.66276134,18.67638331,37.72995557,16.71908573
7,780,28.65438834,20.18667228,38.64668575,18.84848902
7,840,27.07182002,19.44713102,36.2127957,18.53468387
7,900,23.00634441,17.34075021,30.50114087,17.47860138
7,960,17.02107055,13.66102343,21.98932111,14.33502561
7,1020,10.28754859,9.9869184,12.19640619,11.5178822
7,1080,7.351388552,8.182151158,7.465007366,9.322102357
7,1140,6.073020885,7.142837658,5.755157368,8.122875604
7,1200,5.1673931,6.384684051,4.656434311,7.322694696
7,1260,4.454432879,5.787586969,3.809892583,6.698464237
7,1320,3.896891729,5.313257279,3.167081976,6.201392768
7,1380,3.382434795,4.938728876,2.514437169,5.809186252
8,0,3.071853575,4.645618916,2.213327805,5.503761802
8,60,2.737024091,4.486053941,1.767048215,5.325556683
8,120,2.44196798,4.377913481,1.422327826,5.241268417
8,180,2.130771602,4.310679831,1.06947646,5.218018597
8,240,1.791451121,4.299998297,0.697520182,5.269050567
8,300,1.282465722,4.489218154,0.179420387,5.523619596
8,360,0.789442219,4.827714086,-0.257869761,5.934293514
8,420,1.593297818,4.617806708,0.543144529,5.890322324
8,480,6.726316214,5.403706369,8.258022767,5.731519586
8,540,13.64792322,7.911357492,18.72240199,7.128156724
8,600,20.12826052,11.53133385,28.03002081,9.850495776
8,660,25.171746,15.41398789,34.78995878,13.35367837
8,720,27.57112023,18.57522987,37.65815226,16.61954376
8,780,28.5598804,20.08369624,38.57011609,18.74693985
8,840,26.9788014,19.34410533,36.13713561,18.4312422
8,900,22.91801674,17.24031843,30.43027677,17.37657538
8,960,16.93882758,13.56334308,21.92482977,14.23342166
8,1020,10.28926846,9.892144417,12.31509878,11.41856352
8,1080,7.364918729,8.082870522,7.615709243,9.221021987
8,1140,5.99600732,7.043754136,5.701087434,8.020525135
8,1200,5.075850611,6.286504464,4.568612158,7.220971626
8,1260,4.45319356,5.690248459,3.916475253,6.597460334
8,1320,3.644599548,5.216611804,2.732439333,6.100978266
8,1380,3.53303351,4.842688926,2.936100186,5.70933643
9,0,2.966707691,4.550026122,2.093131599,5.404280498
9,60,2.645629129,4.39065532,1.675198965,5.226264115
9,120,2.351597577,4.282548179,1.332178689,5.141896002
9,180,2.040702448,4.215222656,0.97959204,5.118388909
9,240,1.700540209,4.204311893,0.605878005,5.168991633
9,300,1.190214194,4.392199116,0.085195301,5.422150535
9,360,0.699046252,4.726025567,-0.351571188,5.829033079
9,420,1.514630505,4.520254501,0.468709627,5.784818228
9,480,6.665187812,5.31167503,8.217398975,5.630971854
9,540,13.58681393,7.823476837,18.68683308,7.034916287
9,600,20.06001959,11.4437828,27.98655663,9.761010587
9,660,25.09653154,15.324207,34.73875603,13.26464455
9,720,27.48852655,18.48201661,37.59676885,16.52791067
9,780,28.4748515,19.98870115,38.50494047,18.65335541
9,840,26.89540043,19.24907105,36.07320258,18.33581879
9,900,22.83919521,17.14783336,30.3709706,17.28256212
9,960,16.8657191,13.47353691,21.87122944,14.13985064
9,1020,10.21621452,9.805053423,12.25557684,11.32712378
9,1080,7.279402266,7.990839199,7.536378316,9.127510177
9,1140,5.908684481,6.9518377,5.615769493,7.925591111
9,1200,4.989017407,6.195461962,4.482856529,7.126617859
9,1260,4.368480324,5.600030735,3.834124511,6.503800335
9,1320,3.556915767,5.127079073,2.642548258,6.007894216
9,1380,3.45167562,4.753758049,2.858989633,5.616808822
10,0,2.882910743,4.461543128,2.010043499,5.312119485
10,60,2.561530051,4.302377652,1.591055762,5.134302982
10,120,2.267503951,4.19432441,1.247703847,5.04988138
10,180,1.956520595,4.12693755,0.89468835,5.026156744
10,240,1.616124982,4.115842871,0.520413628,5.076387327
10,300,1.105671184,4.302468179,-0.000779628,5.328214785
10,360,0.616005203,4.631614635,-0.43778711,5.731327555
10,420,1.443504982,4.430103611,0.402110633,5.686930084
10,480,6.613168712,5.22722826,8.187392617,5.538074802
10,540,13.53577943,7.743425676,18.66366311,6.949490762
10,600,20.00241065,11.36425289,27.95654181,9.679451843
10,660,25.03217296,15.24260882,34.70143606,13.18366338
10,720,27.41670453,18.39709305,37.5492395,16.44441924
10,780,28.40061918,19.90206244,38.45362741,18.56801338
