julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,3.56924207,3.25202375,2.217869971,1.528877135
1,60,3.409548637,4.681334606,2.045021963,4.736764746
1,120,3.13852913,4.749980508,1.734454379,5.047779396
1,180,2.849895065,4.741892114,1.380794028,5.144602728
1,240,2.565002066,4.709106458,1.046740685,5.150104954
1,300,2.207160643,4.748000937,0.613563975,5.251061434
1,360,1.763650023,4.908889572,0.140171236,5.502607088
1,420,1.615315728,4.965918916,-0.025474424,5.622499889
1,480,4.48517867,5.100832832,4.377001698,5.546930287
1,540,9.959319561,6.94979466,12.87568761,6.710273665
1,600,15.49001132,9.808628712,21.00154487,8.683205862
1,660,19.93659761,13.22321714,26.96977802,11.72567115
1,720,21.98578543,16.16649055,29.08085916,14.85817901
1,780,22.95043706,17.30274981,30.0236849,16.22042333
1,840,21.5348255,16.68328907,27.88273169,16.12963583
1,900,17.70430417,14.45933721,22.32969243,14.54001942
1,960,12.33740653,11.2658313,14.49449971,11.94630827
1,1020,8.401609208,8.898295499,8.518078946,9.687701339
1,1080,6.932314508,7.884466265,6.258078155,8.477629832
1,1140,6.018419591,7.155218787,5.094478644,7.716679824
1,1200,5.311437074,6.594657638,4.242978058,7.17062288
1,1260,4.743375893,6.069201219,3.576111562,6.566526942
1,1320,4.278791216,5.762837848,3.037584218,6.345030787
1,1380,3.924983926,5.358810266,2.662236071,5.817886035
2,0,3.504214237,5.221250096,2.076630616,5.806003513
2,60,3.288336442,5.024329564,1.862657479,5.536761283
2,120,3.011595785,4.903956477,1.536687885,5.427268378
2,180,2.70735613,4.808216236,1.180231773,5.358932801
2,240,2.357769643,4.743264941,0.771594588,5.335877848
2,300,1.934460229,4.721686127,0.28294841,5.368295671
2,360,1.369955694,4.78747498,-0.329736965,5.497509837
2,420,1.368083162,4.788394352,-0.180540447,5.588216684
2,480,4.261522294,5.09108628,4.076678239,5.653635944
2,540,9.768390458,6.60105665,12.63610021,6.145634727
2,600,15.3033366,9.699503439,20.77740882,8.624330628
2,660,19.74725831,13.03938923,26.75039822,11.51550147
2,720,21.79483339,16.00964948,28.86517781,14.7231206
2,780,22.7575925,17.27789885,29.8080847,16.41280767
2,840,21.34620187,16.41275752,27.6728419,15.71902134
2,900,17.5261849,14.29290736,22.13268838,14.36959894
2,960,12.17177695,11.11368249,14.31153521,11.79492716
2,1020,8.234723052,8.750957914,8.331582368,9.547464992
2,1080,6.763694036,7.740675434,6.063515753,8.341366271
2,1140,5.85120562,7.013672862,4.900198337,7.582093395
2,1200,5.146032823,6.454423108,4.050563129,7.036166466
2,1260,4.579465727,5.93146686,3.385352074,6.43534503
2,1320,4.116031455,5.625232627,2.848125283,6.212216663
2,1380,3.762804348,5.223725725,2.473178187,5.689008958
3,0,3.343286738,5.085587894,1.889693136,5.67457537
3,60,3.126200885,4.890254212,1.673721843,5.407763873
3,120,2.848004428,4.770930856,1.345575074,5.299484063
3,180,2.541702456,4.676345996,0.98619131,5.232480902
3,240,2.189214088,4.612761795,0.573699094,5.211024249
3,300,1.761709646,4.592980159,0.079934308,5.245582598
3,360,1.191379007,4.660984441,-0.539205521,5.377456293
3,420,1.202677112,4.662158283,-0.36935219,5.469030375
3,480,4.112232773,4.966080849,3.91140147,5.53510463
3,540,9.622918279,6.471508013,12.48194815,6.022290212
3,600,15.15129593,9.562479415,20.6193924,8.495922482
3,660,19.58688825,12.89099226,26.58671677,11.37565038
3,720,21.62755292,15.85195402,28.69565936,14.57428094
3,780,22.58710589,17.1151703,29.6353794,16.25645983
3,840,21.17926666,16.25118229,27.50397527,15.56083726
3,900,17.36912772,14.13892123,21.97508369,14.21788625
3,960,12.02640429,10.96906825,14.16608341,11.650804
