julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,3.635592919,2.926104841,2.825808128,1.298000897,,,,,,,
1,60,3.448112226,4.384030408,2.560786741,4.520389268,,,,,,,
1,120,3.192827605,4.528631242,2.277589757,4.986948146,,,,,,,
1,180,2.930239964,4.559574105,1.964543598,5.149623015,,,,,,,
1,240,2.680914518,4.588835388,1.682524223,5.250363475,,,,,,,
1,300,2.275423653,4.786281042,1.257422876,5.51607532,,,,,,,
1,360,1.749024709,5.194576014,0.76169138,5.982496336,,,,,,,
1,420,2.150889245,4.945351489,1.021976048,6.029344729,,,,,,,
1,480,6.160278396,5.637008029,6.876293461,5.855709786,,,,,,,
1,540,12.38242534,8.028817386,16.2851932,7.262046281,,,,,,,
1,600,18.47593232,11.49805617,25.13349769,9.955589161,,,,,,,
1,660,22.98829381,15.20066647,30.9919167,13.35269055,,,,,,,
1,720,25.34549957,18.18274995,33.78633687,16.45399956,,,,,,,
1,780,26.21133465,19.59074908,34.47629317,18.45587805,,,,,,,
1,840,24.8831195,18.82471535,32.55203607,18.0195437,,,,,,,
1,900,21.06459702,16.80261042,27.12849115,16.9969784,,,,,,,
1,960,15.47753984,13.25795947,19.09147147,13.86414221,,,,,,,
1,1020,9.650644512,9.67623053,10.85909118,10.91876918,,,,,,,
1,1080,7.50487345,8.227976891,7.466348318,9.136124641,,,,,,,
1,1140,6.363020079,7.314355306,5.969269082,8.143310862,,,,,,,
1,1200,5.533708349,6.623056245,4.975161776,7.437749962,,,,,,,
1,1260,4.997824915,6.039231914,4.473668331,6.801400227,,,,,,,
1,1320,4.164994141,5.620401262,3.182064285,6.396906174,,,,,,,
1,1380,3.901083924,5.243966295,3.04866727,5.978389837,,,,,,,
2,0,3.568987646,4.98494259,2.682380747,5.731489353,,,,,,,
2,60,3.302436262,4.82451255,2.361274572,5.548154264,,,,,,,
2,120,3.032562579,4.713609195,2.049989716,5.459575545,,,,,,,
2,180,2.744420886,4.637495354,1.723770203,5.424388876,,,,,,,
2,240,2.425828732,4.609630812,1.370733897,5.454421342,,,,,,,
2,300,1.919049035,4.774099915,0.843835762,5.686093932,,,,,,,
2,360,1.367828222,5.149619059,0.375742645,6.110381788,,,,,,,
2,420,2.118626812,4.866396185,1.10536537,6.029932931,,,,,,,
2,480,5.941169869,5.55193176,6.617318475,5.858098367,,,,,,,
2,540,12.161239,7.912422255,16.01807878,7.211975391,,,,,,,
2,600,18.26024011,11.35281922,24.8775259,9.85311692,,,,,,,
2,660,22.77608785,15.04341156,30.74555179,13.2314873,,,,,,,
2,720,25.13615304,18.01265986,33.54692447,16.31080587,,,,,,,
2,780,26.00246148,19.40351876,34.23978806,18.27288016,,,,,,,
2,840,24.6764754,18.66572956,32.31963338,17.90247624,,,,,,,
2,900,20.86269456,16.59368783,26.90348136,16.75598796,,,,,,,
2,960,15.28111805,13.12651245,18.87451878,13.80056134,,,,,,,
2,1020,9.453767555,9.506752358,10.63725701,10.76083276,,,,,,,
2,1080,7.301972243,8.051286578,7.236609985,8.96679552,,,,,,,
2,1140,6.160205044,7.137822991,5.738444071,7.972400096,,,,,,,
2,1200,5.33163994,6.447442499,4.745091104,7.267317662,,,,,,,
2,1260,4.796686878,5.863767267,4.24501909,6.629981703,,,,,,,
2,1320,3.963498368,5.445979617,2.952269123,6.226706969,,,,,,,
2,1380,3.700215795,5.069525172,2.820055513,5.807246573,,,,,,,
3,0,3.368193642,4.811387398,2.453940761,5.561514924,,,,,,,
3,60,3.100352106,4.651210206,2.13121695,5.378121909,,,,,,,
3,120,2.828407972,4.540846587,1.817098703,5.290047644,,,,,,,
3,180,2.537438137,4.465430355,1.487142459,5.255603528,,,,,,,
3,240,2.214877123,4.438501002,1.129132563,5.286691142,,,,,,,
3,300,1.698804281,4.604371386,0.592177795,5.519954702,,,,,,,
3,360,1.137626742,4.979581968,0.11436983,5.945061115,,,,,,,
3,420,1.908618807,4.697764488,0.86483316,5.864561802,,,,,,,
