julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.037716291,-2.562235646,-3.140993748,-4.279718106
1,60,-2.27196608,-1.133652328,-3.457272579,-1.049652826
1,120,-2.562368959,-1.019744293,-3.792939949,-0.624145215
1,180,-2.860632413,-1.018673538,-4.157659062,-0.498208595
1,240,-3.154124916,-1.030710887,-4.506099492,-0.449763358
1,300,-3.499926987,-0.974044885,-4.920220364,-0.322183518
1,360,-3.925279303,-0.799699304,-5.387480032,-0.060044403
1,420,-3.575245716,-0.735216993,-4.736657868,0.090649709
1,480,-0.50575879,-0.479734854,0.061884982,0.111510337
1,540,5.37518559,1.32713586,9.073015662,0.765265343
1,600,11.49746802,4.795987126,17.96277008,3.420290486
1,660,16.17959859,8.620519242,23.91774516,6.749149872
1,720,18.62766895,11.95488881,26.58386266,10.2838999
1,780,19.65796925,13.40194728,27.50465982,12.2227349
1,840,18.25524487,12.62148782,25.56367076,11.92280055
1,900,14.19423586,10.27739408,19.93363182,10.53600242
1,960,8.359059559,6.495667546,11.64580794,7.216973823
1,1020,3.656620199,3.781463481,4.524995706,4.818833092
1,1080,1.740738276,2.465883884,1.384215155,3.073743094
1,1140,0.653265216,1.835398646,-0.049216764,2.676198296
1,1200,-0.141758473,0.968812523,-0.99839095,1.534113896
1,1260,-0.680753451,0.623001698,-1.519462252,1.419752163
1,1320,-1.458192019,0.112469803,-2.695401635,0.803416179
1,1380,-1.756748053,-0.249971976,-2.897058088,0.417593383
2,0,-2.105571353,-0.524999059,-3.288306162,0.143094709
2,60,-2.393612392,-0.693643312,-3.641989601,-0.046550162
2,120,-2.689916541,-0.82008948,-3.994203401,-0.153582205
2,180,-3.008962598,-0.919492501,-4.368344023,-0.217719178
2,240,-3.36349816,-0.983348104,-4.777572558,-0.231775402
2,300,-3.776347333,-0.99307581,-5.242489501,-0.177637778
2,360,-4.299015945,-0.903900482,-5.801791569,-0.014404361
2,420,-4.048791507,-0.913402683,-5.242624813,0.089359082
2,480,-0.758118671,-0.511963509,-0.287170306,0.182369715
2,540,5.174141268,1.225608936,8.821642043,0.71613323
2,600,11.29911464,4.678589466,17.72592643,3.356014591
2,660,15.97661738,8.464328815,23.68376833,6.618060488
2,720,18.42108452,11.79523293,26.35094874,10.16273753
2,780,19.4489982,13.21639499,27.27141644,12.04398556
2,840,18.05081962,12.4525988,25.33621004,11.77899166
2,900,14.00159077,10.10601056,19.72003691,10.37178832
2,960,8.181531942,6.331173965,11.44960143,7.050986613
2,1020,3.485547042,3.640927167,4.34130564,4.707078496
2,1080,1.565664492,2.283216279,1.186444106,2.858561008
2,1140,0.478489246,1.723477917,-0.249749582,2.621056341
2,1200,-0.314681675,0.76955067,-1.197308567,1.275540456
2,1260,-0.851699548,0.530496499,-1.715876833,1.400680437
2,1320,-1.629871797,-0.194432261,-2.895038095,0.303066514
2,1380,-1.926456807,-0.256358239,-3.09333222,0.581175765
3,0,-2.274457771,-0.811106638,-3.483489538,-0.306086401
3,60,-2.56311861,-0.853443042,-3.837995623,-0.221541438
3,120,-2.860728338,-0.965018417,-4.192151058,-0.297935849
3,180,-3.181695189,-1.060203825,-4.569007086,-0.354434976
3,240,-3.539045491,-1.124370742,-4.981985367,-0.37006903
3,300,-3.9561205,-1.131241332,-5.452119118,-0.31166677
3,360,-4.48453824,-1.037854501,-6.017937554,-0.142079253
3,420,-4.208984898,-1.050413421,-5.417216411,-0.042937349
3,480,-0.909207048,-0.652365836,-0.448678116,0.041405858
3,540,5.020607375,1.085422402,8.66096189,0.580743373
3,600,11.13544557,4.528311962,17.5564446,3.212333029
3,660,15.80243212,8.303524975,23.5063597,6.467513078
3,720,18.23787929,11.62163769,26.16493913,9.997221453
3,780,19.26191498,13.03871255,27.08139803,11.87412688
3,840,17.86757182,12.27612617,25.14996617,11.60667881
3,900,13.8294282,9.937803552,19.54578687,10.20534013
3,960,8.023657897,6.17420502,11.29068912,6.893438742
3,1020,3.333482861,3.485157562,4.194152279,4.551265565
3,1080,1.408159463,2.131863883,1.021564801,2.708314074
3,1140,0.320751421,1.572595813,-0.418877346,2.468235238
3,1200,-0.470699935,0.624592309,-1.365389793,1.133109094
3,1260,-1.005614032,0.382912298,-1.881444469,1.249911201
3,1320,-1.784973693,-0.335202974,-3.065137751,0.165429206
3,1380,-2.079246811,-0.400838806,-3.259612106,0.433777055
4,0,-2.426289577,-0.950002763,-3.648701388,-0.442700462
4,60,-2.715056371,-0.993212742,-4.003560943,-0.360863272
4,120,-3.013224602,-1.104170652,-4.358826193,-0.436755628
4,180,-3.335131031,-1.198561747,-4.737274503,-0.492406087
4,240,-3.69398069,-1.261808701,-5.152497608,-0.506992845
4,300,-4.11347412,-1.267656655,-5.625855281,-0.447456383
4,360,-4.644801069,-1.173602863,-6.195288374,-0.277044537
4,420,-4.339616231,-1.186855014,-5.545856911,-0.178389293
4,480,-1.035150892,-0.785667014,-0.568134574,-0.09192333
4,540,4.887999204,0.949563821,8.535997428,0.446870333
4,600,10.99056885,4.384889441,17.41932608,3.07493364
4,660,15.64543452,8.148331541,23.35854356,6.32009034
4,720,18.06991857,11.4559752,26.00522101,9.840015208
4,780,19.08963613,12.86711175,26.91654248,11.70800779
4,840,17.69889097,12.10758546,24.98820083,11.44267722
4,900,13.67145207,9.776306426,19.39509461,10.04443728
4,960,7.879370146,6.023655484,11.1540317,6.741071875
4,1020,3.194702956,3.33720044,4.069472777,4.405040344
4,1080,1.262541677,1.983766287,0.875768496,2.557043648
4,1140,0.174419745,1.431922599,-0.570137714,2.330545362
4,1200,-0.615388817,0.480570092,-1.515884441,0.984577651
4,1260,-1.148023518,0.247221501,-2.029143099,1.117912983
4,1320,-1.929055441,-0.475950827,-3.2185851,0.019966542
4,1380,-2.220630114,-0.533529227,-3.408511631,0.304632701
5,0,-2.566592772,-1.087842137,-3.796412099,-0.584528934
5,60,-2.855181722,-1.127531681,-4.151309082,-0.495803047
5,120,-3.153518995,-1.23741454,-4.507209938,-0.570196351
5,180,-3.475859632,-1.330942076,-4.886631685,-0.624829385
5,240,-3.835548385,-1.393380417,-5.303310381,-0.63855307
5,300,-4.256550719,-1.398239026,-5.778844841,-0.577903076
5,360,-4.789319893,-1.303596093,-6.350341659,-0.406710654
5,420,-4.450006074,-1.317841362,-5.644631723,-0.308968457
5,480,-1.143251227,-0.91314448,-0.659806315,-0.220419258
5,540,4.770969574,0.820349009,8.43534597,0.318822209
5,600,10.86043219,4.248608203,17.30525729,2.943898912
5,660,15.50246736,8.000733565,23.23253279,6.179665272
5,720,17.91495723,11.29811109,25.86556394,9.690024789
5,780,18.93015316,12.70348467,26.77118067,11.54946963
5,840,17.54283659,11.9469163,24.84547934,11.28608766
5,900,13.52574356,9.622610695,19.26267175,9.891001431
5,960,7.74675106,5.880696393,11.03444902,6.596038806
5,1020,3.067478877,3.196069931,3.962607195,4.265484597
5,1080,1.126969554,1.842463355,0.744189966,2.412421985
5,1140,0.03760447,1.297843251,-0.708443829,2.199094158
5,1200,-0.750724719,0.343338001,-1.653838271,0.842758238
5,1260,-1.280961933,0.117998774,-2.164079999,0.99193074
5,1320,-2.063942982,-0.609932939,-3.359954661,-0.118805228
5,1380,-2.352572995,-0.659786049,-3.544847655,0.181466399
6,0,-2.697393409,-1.219006952,-3.931496768,-0.719850306
6,60,-2.985641684,-1.255299621,-4.286233214,-0.624485165
6,120,-3.283933857,-1.364153374,-4.64249845,-0.697457425
6,180,-3.606434763,-1.456863492,-5.022549154,-0.751144844
6,240,-3.966599828,-1.518548655,-5.440235099,-0.764087321
6,300,-4.388599372,-1.522494738,-5.917329605,-0.702434438
6,360,-4.921957242,-1.427425034,-6.489961558,-0.530659607
6,420,-4.543665312,-1.442857931,-5.719756623,-0.434080753
6,480,-1.236343063,-1.034127289,-0.729447445,-0.343166587
6,540,4.667539883,0.698257759,8.354515539,0.197137901
6,600,10.74350017,4.120016075,17.2103842,2.819878921
6,660,15.37238731,7.86122438,23.12511274,6.046721992
6,720,17.77226673,11.14863458,25.74344098,9.547924112
6,780,18.78284353,12.54834631,26.64302796,11.39898925
6,840,17.39880502,11.79469735,24.71960285,11.13755842
6,900,13.39168734,9.477224673,19.1463562,9.745554606
6,960,7.625161272,5.745781825,10.9297978,6.458787745
6,1020,2.95137171,3.062299248,3.871930395,4.133256368
6,1080,1.00085894,1.708278442,0.624892871,2.274625759
6,1140,-0.090344305,1.170984096,-0.835851365,2.074769564
6,1200,-0.877408909,0.213104588,-1.781390351,0.707586912
6,1260,-1.40512375,-0.004070863,-2.288343743,0.872987443
6,1320,-2.190350418,-0.7369784,-3.491345348,-0.251012325
6,1380,-2.475805436,-0.778939326,-3.670718444,0.065261581
7,0,-2.819444581,-1.343284687,-4.056067941,-0.848679964
7,60,-3.120075021,-1.380634165,-4.420898693,-0.74662691
7,120,-3.436003825,-1.490712809,-4.795510048,-0.81555505
7,180,-3.781871305,-1.580554336,-5.20051175,-0.860323917
7,240,-4.175425623,-1.631046385,-5.653219303,-0.854622936
7,300,-4.854992574,-1.493531421,-6.380308658,-0.647279484
7,360,-5.718008208,-1.097909085,-7.115275011,-0.221628846
7,420,-5.17413692,-1.437755075,-7.034136586,-0.328527405
7,480,-1.027963272,-0.830323996,-0.909796706,-0.522355067
7,540,5.195991377,1.408707104,8.661892647,0.75734148
7,600,11.19203252,4.718794183,17.50996792,3.312551676
7,660,15.58971376,8.279741171,23.29415876,6.583040958
7,720,17.78261003,11.14305361,25.79649419,9.55848356
7,780,18.66570751,12.47000609,26.57534263,11.42284461
7,840,17.38490922,11.75492009,24.71305435,11.06532344
7,900,13.67027064,9.706879215,19.37844689,9.858096206
7,960,8.23474056,6.397945254,11.45922509,7.088593798
7,1020,2.614363851,2.881251651,3.436972185,4.065845409
7,1080,0.688691416,1.607528409,0.280270175,2.423482246
7,1140,-0.376133483,0.762834211,-1.110177676,1.518623771
7,1200,-1.160963749,0.113311499,-2.054137415,0.854843105
7,1260,-1.686375081,-0.431161786,-2.566833963,0.265988682
7,1320,-2.449161618,-0.826584012,-3.734924925,-0.116635098
7,1380,-2.729727404,-1.181240206,-3.920698056,-0.510746903
8,0,-3.061159174,-1.42418395,-4.296913222,-0.73943522
8,60,-3.344446088,-1.577212307,-4.647899499,-0.914326228
8,120,-3.642376187,-1.684201238,-5.006887866,-1.000085955
8,180,-3.970522555,-1.759630373,-5.396385047,-1.037003786
8,240,-4.346891611,-1.791172521,-5.833990116,-1.013999047
8,300,-5.010845282,-1.639393005,-6.547434661,-0.796675173
8,360,-5.8553381,-1.237535313,-7.268459141,-0.366363126
