julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,1.751294071,1.13704275,0.418869204,-0.904653618,,,,,,,
1,60,1.728586866,2.788103621,0.536538033,2.76134479,,,,,,,
1,120,1.480678757,2.96077835,0.263267133,3.282759269,,,,,,,
1,180,1.215578109,2.98751085,-0.054993362,3.442610592,,,,,,,
1,240,0.938085667,2.98698436,-0.388451567,3.502233275,,,,,,,
1,300,0.645338882,3.046218696,-0.718285031,3.629023289,,,,,,,
1,360,0.274074688,3.212607347,-1.107528101,3.878317697,,,,,,,
1,420,0.563059175,3.277881182,-0.568670395,4.023042512,,,,,,,
1,480,3.418766503,3.482139837,3.905940322,4.026038155,,,,,,,
1,540,8.916399959,5.237001867,12.49852598,5.000149222,,,,,,,
1,600,14.58733608,7.872275959,21.00220439,6.540523354,,,,,,,
1,660,18.82283083,11.34814614,26.62235035,9.781582429,,,,,,,
1,720,20.90751578,14.07484688,28.99670853,12.45151116,,,,,,,
1,780,21.77345407,15.48474973,29.73028225,14.50228626,,,,,,,
1,840,20.47361691,14.74936032,27.83518361,14.09469534,,,,,,,
1,900,16.74862567,12.64728045,22.4710763,12.71474313,,,,,,,
1,960,11.39240341,9.572543711,14.60196759,10.31310924,,,,,,,
1,1020,7.093349983,7.150365456,7.923369682,8.056444433,,,,,,,
1,1080,5.322729947,6.118257649,4.961467939,6.799702804,,,,,,,
1,1140,4.343969944,5.393701945,3.642289644,6.042762564,,,,,,,
1,1200,3.637277929,4.821321786,2.784185057,5.462570636,,,,,,,
1,1260,3.139149974,4.347555055,2.266005677,4.968725064,,,,,,,
1,1320,2.501533393,3.980274509,1.335432942,4.603860105,,,,,,,
1,1380,2.378869081,3.723068583,1.459336227,4.393734876,,,,,,,
2,0,1.689402834,3.541622529,0.285512609,4.276476821,,,,,,,
2,60,1.616295985,3.306058361,0.369027364,3.917232939,,,,,,,
2,120,1.362491375,3.188558227,0.080107885,3.805368291,,,,,,,
2,180,1.079551575,3.104004004,-0.245968431,3.750034284,,,,,,,
2,240,0.749592308,3.054782848,-0.631254472,3.746023289,,,,,,,
2,300,0.379003883,3.051652526,-1.04120529,3.79805264,,,,,,,
2,360,-0.101552821,3.137501408,-1.548934208,3.946624137,,,,,,,
2,420,0.132728522,3.140480101,-1.035646414,4.053380935,,,,,,,
2,480,3.194715769,3.473062223,3.600036206,4.127598757,,,,,,,
2,540,8.738207519,5.210510593,12.27714974,5.087544927,,,,,,,
