julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,6.067386604,5.623079423,5.858899529,4.834625508
1,60,5.885616921,6.159377764,5.505526228,6.119949499
1,120,5.768627837,6.216508041,5.361782528,6.33740319
1,180,5.65632686,6.224069838,5.220312231,6.415793027
1,240,5.555857067,6.222447103,5.102143881,6.45146947
1,300,5.43802294,6.250328244,4.955945535,6.523730898
1,360,5.247477804,6.326086368,4.729548837,6.636922268
1,420,5.073896472,6.405649461,4.553184094,6.731537275
1,480,5.913176733,6.330611136,5.855133994,6.666628179
1,540,7.894106523,7.050318237,8.882203276,7.081523395
1,600,10.40072113,8.293012638,12.64661211,7.835494527
1,660,12.73257575,9.643659651,16.06393083,8.625240957
1,720,13.65864093,11.22246655,16.89490729,10.51668402
1,780,14.21864816,11.70535804,17.58683374,11.00671137
1,840,13.56300975,11.48318582,16.59745113,11.20362057
1,900,11.78604333,10.42890957,14.01144985,10.52619345
1,960,9.380381925,8.902858128,10.50719684,9.293249655
1,1020,8.002544837,8.091516864,8.228219401,8.452034989
1,1080,7.391677364,7.668191546,7.285194902,7.973232514
1,1140,6.99998002,7.360191925,6.790798536,7.676976983
1,1200,6.725346668,7.076856339,6.502605984,7.357203262
1,1260,6.398659195,6.892161582,6.023983565,7.209061572
1,1320,6.309632702,6.696180569,6.062647247,6.978958482
1,1380,5.97762388,6.581697437,5.485273784,6.897916399
2,0,6.034522584,6.45082522,5.783137164,6.74285151
2,60,5.822684793,6.394771913,5.410741367,6.694537727
2,120,5.702453277,6.345238286,5.257239356,6.656970591
2,180,5.581728668,6.305254528,5.111763502,6.634425646
2,240,5.458130156,6.278061139,4.971643939,6.629912368
2,300,5.322550501,6.270221319,4.823509483,6.650076153
2,360,5.121136678,6.318484769,4.60859176,6.727109134
2,420,4.901873139,6.403328174,4.383349483,6.84338109
2,480,5.766062824,6.361406231,5.636961537,6.795569599
2,540,7.666161035,7.06729371,8.479496995,7.200188731
2,600,10.36057912,8.266437585,12.65642021,7.871471768
2,660,12.55773802,9.539889779,15.76206253,8.487204801
2,720,13.65980802,11.18326559,17.04077463,10.55022582
2,780,14.13236121,11.60346669,17.50628704,10.87853334
2,840,13.47383561,11.35969622,16.50630886,11.01792359
2,900,11.69858141,10.32260514,13.91705993,10.37986471
2,960,9.297246811,8.840714082,10.41472174,9.252983532
2,1020,7.914910382,7.960810477,8.127319748,8.242898334
2,1080,7.303773152,7.654229863,7.181656043,8.054529399
2,1140,6.912753759,7.218170908,6.687662697,7.4397591
2,1200,6.63890072,7.087715309,6.400499286,7.492700793
2,1260,6.312513459,6.746845305,5.921715257,6.965678566
2,1320,6.224303099,6.70793193,5.962068702,7.10956621
2,1380,5.892096525,6.446697986,5.383536041,6.681662194
3,0,5.949832836,6.447465882,5.683558,6.8317872
3,60,5.737279963,6.338679695,5.309687654,6.66040079
3,120,5.616381449,6.284149578,5.155212666,6.610491082
3,180,5.494738347,6.2441259,5.008475948,6.586696184
3,240,5.369861278,6.21939987,4.866708464,6.585939243
3,300,5.23242129,6.213512324,4.716322028,6.608267672
3,360,5.027444971,6.264482091,4.49760428,6.687533543
