julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-1.826748608,-2.398599411,-2.890264508,-4.124553603,,,,,,,
1,60,-2.066497421,-0.941721699,-3.249157009,-0.883139594,,,,,,,
1,120,-2.346357679,-0.815366944,-3.573575857,-0.444546189,,,,,,,
1,180,-2.636555509,-0.808827465,-3.930020116,-0.315350109,,,,,,,
1,240,-2.918321572,-0.818087661,-4.262240043,-0.265833901,,,,,,,
1,300,-3.25629786,-0.763209673,-4.667780701,-0.143026709,,,,,,,
1,360,-3.674816023,-0.593625648,-5.123303879,0.110040781,,,,,,,
1,420,-3.512173896,-0.519464622,-4.781258807,0.265883767,,,,,,,
1,480,-0.580602141,-0.32079719,-0.227915264,0.264246793,,,,,,,
1,540,5.134648759,1.605685116,8.578805421,1.382938646,,,,,,,
1,600,10.96859909,4.501960712,17.06808343,3.125819919,,,,,,,
1,660,15.68200251,8.258708155,23.33705375,6.587009835,,,,,,,
1,720,17.91930933,11.26905275,25.71860998,9.582839806,,,,,,,
1,780,18.98363671,12.74655819,26.80469638,11.67143582,,,,,,,
1,840,17.4536525,12.02128681,24.48283832,11.41712226,,,,,,,
1,900,13.55796158,9.653552752,19.04863986,9.742538241,,,,,,,
1,960,7.945631393,6.275347096,11.0129562,7.068954663,,,,,,,
1,1020,3.482252737,3.682313329,4.158144959,4.625985244,,,,,,,
1,1080,1.708756038,2.567643545,1.289432216,3.277837434,,,,,,,
1,1140,0.693042042,1.779651782,-0.033170178,2.456284145,,,,,,,
1,1200,-0.059884805,1.157807468,-0.930764587,1.828820386,,,,,,,
1,1260,-0.58332746,0.636365485,-1.45295395,1.279972452,,,,,,,
1,1320,-1.293268434,0.240756968,-2.502685431,0.894002385,,,,,,,
1,1380,-1.384481056,-0.103844163,-2.274608065,0.525949145,,,,,,,
2,0,-1.899840503,-0.357698075,-3.048026863,0.280550401,,,,,,,
2,60,-2.207777853,-0.515255823,-3.454544636,0.105621808,,,,,,,
2,120,-2.496733549,-0.634243201,-3.800812944,0.005416449,,,,,,,
2,180,-2.80683523,-0.727567344,-4.165832161,-0.05428912,,,,,,,
2,240,-3.149326554,-0.787216905,-4.560378511,-0.066698277,,,,,,,
2,300,-3.546484951,-0.795783526,-5.005291903,-0.014803314,,,,,,,
2,360,-4.061663268,-0.70663976,-5.555039535,0.143987174,,,,,,,
2,420,-4.018520436,-0.699669451,-5.341796911,0.258355442,,,,,,,
2,480,-0.857087322,-0.367516009,-0.60661501,0.321109587,,,,,,,
2,540,4.919236063,1.23062629,8.310087424,0.786691875,,,,,,,
2,600,10.76436023,4.458300068,16.82262726,3.223384924,,,,,,,
2,660,15.48009573,8.035490684,23.1001245,6.298359522,,,,,,,
2,720,17.72017559,11.18878476,25.48933784,9.63886899,,,,,,,
2,780,18.78454509,12.54826883,26.57802196,11.44374119,,,,,,,
2,840,17.2580405,11.82390382,24.26225874,11.18974583,,,,,,,
2,900,13.36906936,9.603541517,18.83773828,9.860933143,,,,,,,
2,960,7.7645323,6.041566753,10.81270538,6.743535809,,,,,,,
2,1020,3.298751932,3.543347563,3.95694743,4.529040026,,,,,,,
2,1080,1.521278955,2.29877974,1.07669959,2.87702085,,,,,,,
2,1140,0.505199027,1.726015334,-0.248277164,2.549160431,,,,,,,
2,1200,-0.246919025,0.875213936,-1.145136721,1.398346949,,,,,,,
2,1260,-0.769058729,0.59423314,-1.665157184,1.390070062,,,,,,,
2,1320,-1.4805112,-0.035749547,-2.718856498,0.480740687,,,,,,,
2,1380,-1.569065448,-0.150561288,-2.485098844,0.617486699,,,,,,,
3,0,-2.085415542,-0.621562347,-3.260844845,-0.100714475,,,,,,,
3,60,-2.394541348,-0.685527258,-3.669001791,-0.073613116,,,,,,,
3,120,-2.685158849,-0.793298655,-4.017544785,-0.150821735,,,,,,,
3,180,-2.997536542,-0.883355005,-4.385597041,-0.204641209,,,,,,,
3,240,-3.343193522,-0.942944663,-4.784188169,-0.217744691,,,,,,,
3,300,-3.744937432,-0.948869378,-5.234616528,-0.161925726,,,,,,,
3,360,-4.266379605,-0.855976984,-5.791350375,0.002374268,,,,,,,
3,420,-4.207319933,-0.851349455,-5.552509464,0.113541035,,,,,,,
