julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,16.79194517,17.54054806,17.02377756,18.56321271
1,60,16.60697456,18.31766859,16.75682515,20.15545664
1,120,16.47365998,18.65251426,16.56251229,20.71831516
1,180,16.36547575,19.01640582,16.40621753,21.21293698
1,240,16.27181148,19.69692231,16.27332785,21.92463612
1,300,16.18836928,20.31249402,16.16088804,22.73783365
1,360,16.95366856,19.99564659,17.43167089,22.78622369
1,420,20.22748825,19.88331888,22.85063573,22.20541708
1,480,24.82243762,20.37859079,30.72635035,21.98515953
1,540,28.65322211,21.36643437,37.1331177,22.22287054
1,600,32.15079011,22.66739626,43.01289508,22.94187772
1,660,34.55174392,23.96191212,46.96544893,23.87850928
1,720,35.21047437,24.97353806,48.26188386,24.78672282
1,780,35.54940057,25.44474868,48.54430438,25.37249563
1,840,34.90976718,25.27038646,47.38906443,25.46459993
1,900,33.07738922,24.49850825,44.43144874,25.08338865
1,960,30.07001882,23.24436128,39.52113499,24.26111081
1,1020,26.29181047,21.72561815,33.27393338,23.15729588
1,1080,22.17858026,20.18009199,26.31443491,21.92800483
1,1140,19.56758433,19.27597646,21.59516268,20.96132164
1,1200,18.41924682,18.83833108,19.55536977,20.45711446
1,1260,17.83492907,18.51274739,18.63860146,20.08174601
1,1320,17.43822683,18.29074511,18.04697036,19.84215272
1,1380,17.12231334,18.15328574,17.56970869,19.71571938
2,0,16.90802999,18.05298562,17.26249565,19.6169949
2,60,16.76234042,18.04778338,17.03039515,19.58390947
2,120,16.64367646,18.15167084,16.85673198,19.73224244
2,180,16.53763426,18.35543546,16.7088543,20.00329738
2,240,16.45040975,18.82060591,16.58404114,20.49602144
2,300,16.34727972,19.24720324,16.45684903,21.08193512
2,360,17.12279707,19.05807473,17.71761632,21.12515201
2,420,20.37017155,19.1150415,23.10634555,20.75240578
2,480,24.93328757,19.75524106,30.93348587,20.74341814
2,540,28.75117497,20.86908816,37.32253716,21.18600431
2,600,32.23448074,22.2652016,43.17846824,22.06759739
2,660,34.62713099,23.63434905,47.11695544,23.13771461
2,720,35.27983019,24.71802356,48.40534805,24.17000048
2,780,35.61759512,25.23144259,48.68449429,24.85220635
2,840,34.97903208,25.0596921,47.53076581,24.95553178
2,900,33.1488578,24.30479159,44.57742016,24.61903307
2,960,30.14454064,23.04816545,39.67290004,23.79800405
2,1020,26.36898468,21.53958422,33.42995978,22.723754
2,1080,22.25824694,19.99190336,26.47346529,21.49618184
2,1140,19.65019961,19.09416536,21.75619726,20.54689141
2,1200,18.50150452,18.65455479,19.71363294,20.04314107
2,1260,17.9167078,18.32973685,18.79432892,19.67420804
2,1320,17.51990928,18.10518331,18.20102131,19.43414285
2,1380,17.20497806,17.95925806,17.72426023,19.29518297
3,0,16.99104418,17.85051821,17.41616312,19.18454236
3,60,16.85009503,17.83838891,17.18883119,19.15308169
3,120,16.7381562,17.91703856,17.02234066,19.27141029
3,180,16.64143971,18.08190193,16.88401629,19.49585668
3,240,16.57181293,18.47238014,16.77404277,19.91189021
3,300,16.4773649,18.83224325,16.65477631,20.41084309
3,360,17.23651566,18.680486,17.90651393,20.44970878
3,420,20.45298526,18.80357231,23.25010121,20.15551075
3,480,25.00323363,19.50116856,31.05995359,20.22736702
3,540,28.80609587,20.66483954,37.42297515,20.74755747
3,600,32.28609048,22.09922595,43.2743909,21.69118878
3,660,34.67616031,23.49874594,47.20845275,22.81260278
3,720,35.3280761,24.61311161,48.49712634,23.89511309
3,780,35.66678249,25.14403736,48.77764217,24.61697276
3,840,35.03004012,24.97163738,47.62772652,24.72197322
3,900,33.20218404,24.22250084,44.67982438,24.40310776
3,960,30.20056718,22.96253477,39.78145642,23.57996605
3,1020,26.4270141,21.45652769,33.54258512,22.5170872
3,1080,22.31800325,19.90576345,26.58861845,21.28782675
3,1140,19.71281373,19.00998467,21.87380643,20.34435926
3,1200,18.56371917,18.56791623,19.82898091,19.83802204
3,1260,17.97830553,18.24187289,18.90741465,19.46920813
3,1320,17.58126436,18.01458631,18.31267638,19.2261498
3,1380,17.26711187,17.86325766,17.836545,19.07879499
4,0,17.0533649,17.74912016,17.52778576,18.96006883
4,60,16.91578301,17.73079676,17.30394569,18.92463148
4,120,16.80868653,17.79389126,17.14279178,19.02329987
4,180,16.71869657,17.93539737,17.01156078,19.21874538
4,240,16.66174044,18.28203668,16.91249704,19.58843934
4,300,16.57382936,18.6021398,16.79940539,20.0347528
4,360,17.31990129,18.46970945,18.0424603,20.06811005
4,420,20.51188954,18.62953265,23.34925242,19.81630513
4,480,25.05376503,19.35957098,31.1479254,19.93216702
4,540,28.84655252,20.55185506,37.49275819,20.49479351
4,600,32.32618317,22.00869397,43.34401919,21.47258673
4,660,34.7161376,23.42634635,47.27747164,22.62262766
4,720,35.3695736,24.55941354,48.56992731,23.73425591
4,780,35.71009971,25.10080127,48.85364662,24.47944229
4,840,35.07526676,24.92739648,47.70810644,24.58471189
4,900,33.24931292,24.18080334,44.76541003,24.27593648
4,960,30.24957085,22.91749947,39.87229633,23.45066045
4,1020,26.47695602,21.41171435,33.63619071,22.39398127
4,1080,22.368566,19.8576897,26.68333981,21.16263529
4,1140,19.76591929,18.96272238,21.9707433,20.22189431
4,1200,18.61626452,18.51841435,19.92369238,19.71278973
4,1260,18.03002717,18.19087709,18.99976276,19.34280221
4,1320,17.63254145,17.96120327,18.40348651,19.09670262
4,1380,17.31893042,17.80588836,17.927799,18.94306053
5,0,17.10517955,17.68772212,17.61828734,18.81813325
5,60,16.97014082,17.66447172,17.39704149,18.77844391
5,120,16.86681234,17.71653773,17.24007502,18.86278762
5,180,16.78209359,17.84168357,17.11445926,19.03756337
5,240,16.73514123,18.15804923,17.02405906,19.37471825
5,300,16.65252757,18.45054669,16.91601812,19.78410284
5,360,17.38708633,18.33038235,18.15031838,19.81257134
5,420,20.55815586,18.51489682,23.42489929,19.58859297
5,480,25.09470097,19.26718983,31.21665442,19.73345397
5,540,28.8804629,20.47951414,37.54799308,20.32417579
5,600,32.36180858,21.95251112,43.40214078,21.32483167
5,660,34.75327403,23.38347662,47.33738749,22.49436271
5,720,35.40954087,24.5303428,48.63552261,23.62641855
5,780,35.75236249,25.07932923,48.92335162,24.38817929
5,840,35.11931447,24.90489826,47.78218466,24.49349653
5,900,33.29467028,24.15939256,44.84399242,24.19168193
5,960,30.29581234,22.89263253,39.954812,23.36440141
5,1020,26.52292069,21.38583037,33.71978835,22.31165017
5,1080,22.4139204,19.82828875,26.76632065,21.07806983
5,1140,19.81342987,18.93362635,22.05548047,20.13877428
5,1200,18.6630314,18.4872626,20.00611587,19.62706428
5,1260,18.07576264,18.15820978,19.07963777,19.25556425
5,1320,17.67763469,17.92643599,18.48163827,19.00668813
5,1380,17.36434144,17.76793532,18.00614572,18.84803587
6,0,17.15041084,17.64651426,17.69572596,18.71805344
6,60,17.01733372,17.61925128,17.47638477,18.67452081
6,120,16.91704496,17.66282528,17.32278487,18.74768748
6,180,16.83662494,17.77547125,17.20175482,18.90653566
6,240,16.7979417,18.06896098,17.1185047,19.21885435
6,300,16.71978732,18.34060629,17.01470708,19.60013404
6,360,17.44375593,18.22919573,18.24009036,19.6244976
6,420,20.59637038,18.43220112,23.48561834,19.42092299
6,480,25.1300905,19.20158878,31.27405373,19.58711775
6,540,28.91114874,20.42971466,37.59539145,20.19866552
6,600,32.39596877,21.91586651,43.45498628,21.21655366
6,660,34.79025669,23.35790263,47.39390208,22.40108716
6,720,35.45027237,24.51617063,48.6989881,23.54921663
6,780,35.79571484,25.07135345,48.99148285,24.32413985
6,840,35.16424932,24.89593154,47.85447925,24.42957288
6,900,33.34025209,24.15063735,44.91991423,24.13306892
6,960,30.34121486,22.88019308,40.03317703,23.30384047
6,1020,26.56675999,21.37147635,33.79739315,22.25368153
6,1080,22.4558567,19.8100677,26.84144119,21.01768948
6,1140,19.85710725,18.91537832,22.13181938,20.07910699
6,1200,18.70578319,18.4670732,20.08002812,19.56497017
6,1260,18.1172895,18.13651473,19.1508126,19.19185686
6,1320,17.71833846,17.90284808,18.55090245,18.94047516
6,1380,17.40516137,17.74168009,18.07536123,18.77768554
7,0,17.19089741,17.61750657,17.76387978,18.64343145
7,60,17.05933336,17.58688588,17.54588981,18.5965074
7,120,16.96153952,17.6236118,17.39502867,18.66060051
7,180,16.88469817,17.72624258,17.27780839,18.806635
7,240,16.85302442,18.00159344,17.20059041,19.0991252
