julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,19.54165682,20.27925913,19.3179161,20.93137552,,,,,,,
1,60,19.39154966,20.4760688,19.19950016,21.48930269,,,,,,,
1,120,19.24781067,20.52720111,19.01354175,21.60508389,,,,,,,
1,180,19.12162833,20.63792122,18.85627257,21.77613193,,,,,,,
1,240,18.94070874,21.02534623,18.64495373,22.21445467,,,,,,,
1,300,18.76305397,21.6599289,18.45717674,22.95782393,,,,,,,
1,360,18.92149321,21.34375452,18.64818199,23.00245958,,,,,,,
1,420,22.03905284,21.21996329,23.90269297,22.30796487,,,,,,,
1,480,26.6932831,22.032721,32.11054479,22.49327696,,,,,,,
1,540,31.01923902,23.47963527,39.66205267,23.36147264,,,,,,,
1,600,34.45751465,25.31300877,45.43230069,24.87048542,,,,,,,
1,660,36.81480084,27.02693563,49.18286743,26.41113757,,,,,,,
1,720,37.23713726,28.37812954,49.69100903,27.8603654,,,,,,,
1,780,37.50344536,28.91839922,49.70404808,28.54850915,,,,,,,
1,840,36.62946855,28.66112865,48.0207927,28.55928714,,,,,,,
1,900,34.42080438,27.63223697,44.26063828,27.83257239,,,,,,,
1,960,31.05180539,26.05177814,38.57385214,26.58870776,,,,,,,
1,1020,26.90408503,24.18076896,31.46783136,25.00409714,,,,,,,
1,1080,22.91210784,22.33658008,24.68297591,23.33088515,,,,,,,
1,1140,21.53102021,21.5989348,22.19851196,22.35637565,,,,,,,
1,1200,20.87088227,21.24743796,21.19839325,22.06403342,,,,,,,
1,1260,20.42342622,20.83752545,20.57543322,21.51643919,,,,,,,
1,1320,20.09217014,20.67502013,20.13058217,21.43914221,,,,,,,
1,1380,19.87543894,20.40937398,19.87685966,21.06049501,,,,,,,
2,0,19.57557956,20.34866313,19.39212001,21.08319247,,,,,,,
2,60,19.49125821,20.26750184,19.3227919,20.96143175,,,,,,,
2,120,19.36026524,20.26147198,19.15997946,20.98471551,,,,,,,
2,180,19.22164703,20.30658083,18.99349295,21.08107643,,,,,,,
2,240,19.03485683,20.54692642,18.78775294,21.37819608,,,,,,,
2,300,18.86690404,20.96593126,18.63015405,21.89230252,,,,,,,
2,360,19.17731794,20.7799294,19.055981,21.93851714,,,,,,,
2,420,22.14727323,20.85239908,24.05527118,21.53245543,,,,,,,
2,480,26.76988771,21.78176475,32.20999095,21.90879345,,,,,,,
2,540,31.07891642,23.320747,39.73362375,22.9464739,,,,,,,
2,600,34.5054743,25.20065797,45.48375798,24.54296636,,,,,,,
2,660,36.8555524,26.95717902,49.22139422,26.17126224,,,,,,,
2,720,37.27481099,28.33037437,49.72191302,27.65893912,,,,,,,
2,780,37.54039881,28.90191941,49.73332077,28.42504238,,,,,,,
2,840,36.66844753,28.62353517,48.05346077,28.38568104,,,,,,,
2,900,34.4647725,27.62289914,44.30158839,27.72846265,,,,,,,
2,960,31.10367764,26.0279321,38.62793049,26.4496128,,,,,,,
2,1020,26.96630287,24.16207974,31.53918295,24.8771032,,,,,,,
2,1080,22.98479418,22.34061456,24.77188136,23.257088,,,,,,,
2,1140,21.60848608,21.72241992,22.29556784,22.56064577,,,,,,,
2,1200,20.95015057,21.2458464,21.29820345,21.97858029,,,,,,,
2,1260,20.50379188,20.87343784,20.67668712,21.51743207,,,,,,,
2,1320,20.17343223,20.57244786,20.23295471,21.12957999,,,,,,,
2,1380,19.95780456,20.34373348,19.98094145,20.83721892,,,,,,,
3,0,19.65796391,20.23750441,19.49527682,20.76406849,,,,,,,
3,60,19.57583721,20.23552342,19.42917231,20.82289165,,,,,,,
3,120,19.44723211,20.22840256,19.26936585,20.85225937,,,,,,,
3,180,19.31179732,20.25884795,19.10667684,20.93021946,,,,,,,
3,240,19.13217957,20.45637932,18.90786117,21.17762733,,,,,,,
3,300,18.96990622,20.81114152,18.75398825,21.61641139,,,,,,,
3,360,19.26978508,20.64854147,19.1702975,21.65162963,,,,,,,
3,420,22.22848163,20.77567421,24.15550779,21.32301787,,,,,,,
3,480,26.83355365,21.73919459,32.2831071,21.75435296,,,,,,,
3,540,31.12795073,23.30491141,39.78273325,22.84106582,,,,,,,
3,600,34.54416116,25.19860702,45.51513243,24.46406068,,,,,,,
3,660,36.88810253,26.96706221,49.2418298,26.11755415,,,,,,,
3,720,37.30561888,28.34735499,49.73713008,27.61818949,,,,,,,
3,780,37.57080476,28.92790852,49.74774151,28.40747841,,,,,,,
3,840,36.70100264,28.64203422,48.07166109,28.35021656,,,,,,,
3,900,34.50243208,27.65047762,44.32835314,27.71471389,,,,,,,
3,960,31.14934239,26.05050859,38.66801774,26.42256911,,,,,,,
3,1020,27.02237843,24.18725371,31.59663499,24.85475399,,,,,,,
3,1080,23.0513718,22.37300805,24.84691979,23.25024769,,,,,,,
3,1140,21.67976534,21.57505234,22.37871474,22.13486464,,,,,,,
3,1200,21.02318364,21.3254137,21.38415342,22.08019949,,,,,,,
3,1260,20.57787722,20.77972347,20.76414097,21.22364486,,,,,,,
3,1320,20.24835677,20.77635451,20.32156594,21.50907577,,,,,,,
3,1380,20.0337155,20.3383897,20.07117675,20.74775876,,,,,,,
4,0,19.73392519,20.4408385,19.5848363,21.1338074,,,,,,,
4,60,19.653479,20.27853211,19.52133774,20.84296091,,,,,,,
4,120,19.52659225,20.24700074,19.36375104,20.8246359,,,,,,,
4,180,19.39341262,20.26343673,19.20380368,20.88020536,,,,,,,
4,240,19.21873488,20.43938808,19.00981237,21.10317306,,,,,,,
4,300,19.06035237,20.75920453,18.85853181,21.50043347,,,,,,,
4,360,19.35275578,20.60791228,19.26786268,21.52804871,,,,,,,
4,420,22.30122497,20.76319124,24.23967299,21.23894543,,,,,,,
4,480,26.89043606,21.74420484,32.34274939,21.69858586,,,,,,,
4,540,31.17142662,23.32340439,39.82051873,22.81062335,,,,,,,
4,600,34.57811308,25.22356377,45.53676416,24.44690636,,,,,,,
4,660,36.91648983,26.99746137,49.25370391,26.11286566,,,,,,,
4,720,37.33289707,28.38085275,49.74503543,27.61971036,,,,,,,
4,780,37.59782586,28.96566326,49.75525949,28.4205345,,,,,,,
4,840,36.73023771,28.67569728,48.08313578,28.35332734,,,,,,,
4,900,34.53683114,27.68892836,44.34848522,27.72866119,,,,,,,
4,960,31.19178652,26.08713776,38.70147359,26.43036667,,,,,,,
4,1020,27.07523313,24.22512616,31.64735068,24.86345127,,,,,,,
4,1080,23.11470236,22.41656357,24.91507012,23.27032249,,,,,,,
4,1140,21.74769183,21.60959261,22.45480231,22.13290842,,,,,,,
4,1200,21.09281144,21.3754088,21.46301069,22.11443236,,,,,,,
4,1260,20.64851783,20.80872148,20.84449756,21.20952788,,,,,,,
4,1320,20.31979114,20.829644,20.40306394,21.55077335,,,,,,,
4,1380,20.10603094,20.36433616,20.15415396,20.72826171,,,,,,,
5,0,19.80636473,20.49246699,19.66739164,21.17203851,,,,,,,
5,60,19.72728224,20.31612118,19.60605924,20.8521181,,,,,,,
5,120,19.6017588,20.27911831,19.45025732,20.82489084,,,,,,,
5,180,19.47034861,20.28892328,19.29248249,20.87085516,,,,,,,
5,240,19.29947039,20.4500172,19.10222804,21.0763677,,,,,,,
5,300,19.14405493,20.74699188,18.95293239,21.44644087,,,,,,,
5,360,19.43048699,20.60278093,19.35649631,21.46866471,,,,,,,
5,420,22.36925167,20.7761323,24.31524658,21.20492093,,,,,,,
5,480,26.94354393,21.76820754,32.39530305,21.68277877,,,,,,,
5,540,31.21182656,23.35560125,39.85251271,22.81084512,,,,,,,
5,600,34.6094374,25.25926003,45.55354838,24.45522069,,,,,,,
5,660,36.94253466,27.03591276,49.26140523,26.12850021,,,,,,,
5,720,37.35811746,28.42069558,49.74942917,27.63875434,,,,,,,
5,780,37.62283986,29.00785806,49.75944327,28.4464669,,,,,,,
5,840,36.75748971,28.71520268,48.09132862,28.37255546,,,,,,,
5,900,34.56926411,27.73173106,44.36530961,27.75482753,,,,,,,
5,960,31.23225429,26.12930075,38.73149531,26.45289086,,,,,,,
5,1020,27.12605366,24.26851296,31.69438929,24.88645215,,,,,,,
5,1080,23.17591786,22.4646328,24.97925971,23.30199663,,,,,,,
5,1140,21.81337196,21.65153972,22.52667623,22.14912015,,,,,,,
5,1200,21.16013686,21.42833218,21.53758335,22.15636122,,,,,,,
5,1260,20.71682044,20.84684787,20.92054161,21.21707617,,,,,,,
5,1320,20.38884958,20.8850305,20.480216,21.59812111,,,,,,,
