julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.101955758,-2.851662999,-2.970168754,-4.564486212
1,60,-2.341134991,-1.24263798,-3.270843658,-0.998731827
1,120,-2.624194048,-0.982977584,-3.596016317,-0.306407881
1,180,-2.905567785,-0.881042209,-3.931817308,-0.019319943
1,240,-3.187537602,-0.781263323,-4.260955231,0.189280362
1,300,-3.60656328,-0.444259063,-4.691537931,0.631707081
1,360,-4.062073772,0.051192141,-5.098273133,1.181498399
1,420,-3.418392185,-0.291122077,-4.412361882,1.162377464
1,480,0.949429565,0.442180247,1.984732868,1.003868625
1,540,7.573283435,2.773609832,11.97125563,2.128237009
1,600,14.09327846,6.221079442,21.46695973,4.547213941
1,660,18.94697941,9.950627855,27.87387878,7.760178455
1,720,21.48178635,13.04529229,31.01932308,10.90003084
1,780,22.48033286,14.51792432,31.96524418,12.97654779
1,840,21.22478801,13.85575925,30.27112453,12.8479056
1,900,17.33091733,11.77990099,24.86489483,11.8561146
1,960,11.54735261,8.276907818,16.66366199,9.069391079
1,1020,5.068688046,4.661913286,7.254074517,6.318437614
1,1080,2.253752826,2.815642779,2.563865988,3.843618094
1,1140,0.917658901,2.135866967,0.683239064,3.429558893
1,1200,0.008566435,1.143271931,-0.447966543,2.082999905
1,1260,-0.689915242,0.773797484,-1.280433781,1.948309927
1,1320,-1.293985061,0.149840929,-2.037735541,1.110356991
1,1380,-1.722230512,-0.089465515,-2.515606493,1.001354908
2,0,-2.151120304,-0.454701279,-3.074721425,0.532860738
2,60,-2.424459548,-0.573059346,-3.397938458,0.431319506
2,120,-2.713632612,-0.661124335,-3.736395104,0.377237174
2,180,-3.020991709,-0.707240772,-4.087416815,0.383335125
2,240,-3.359995472,-0.693323332,-4.464496337,0.466077378
2,300,-3.869073636,-0.455848727,-4.981934038,0.764261852
2,360,-4.408913522,-0.022911888,-5.457107109,1.243703058
2,420,-3.601908144,-0.296312184,-4.649061056,1.245385611
2,480,0.788982606,0.379124457,1.787499117,0.994764157
2,540,7.418607687,2.680669122,11.79435129,2.075791721
2,600,13.93063239,6.095130406,21.28928151,4.444918784
2,660,18.77437662,9.805814151,27.69191768,7.63635386
2,720,21.30050498,12.88056212,30.83060184,10.74695493
2,780,22.2948731,14.3475832,31.77222483,12.81597216
2,840,21.04239861,13.68269619,30.07976625,12.67531614
2,900,17.15884085,11.61604164,24.68230785,11.69036012
2,960,11.39023219,8.120924331,16.49492976,8.901897788
2,1020,4.923850153,4.520704011,7.092891022,6.1654313
2,1080,2.106032901,2.672814217,2.396640806,3.687765923
2,1140,0.772788711,1.997692245,0.518254436,3.280159289
2,1200,-0.133573913,1.005330211,-0.610036604,1.93074005
2,1260,-0.830937903,0.63972968,-1.442463995,1.802181037
2,1320,-1.432784456,0.015160603,-2.196738966,0.960870761
2,1380,-1.86057667,-0.221252787,-2.674961765,0.856716509
3,0,-2.287674412,-0.58721413,-3.231208248,0.385559868
3,60,-2.561782903,-0.705155959,-3.555800544,0.284825617
3,120,-2.852002429,-0.79379662,-3.895877732,0.229678051
3,180,-3.16096636,-0.841043724,-4.249168445,0.233922784
3,240,-3.502402747,-0.82896573,-4.629378859,0.313950223
3,300,-4.017341699,-0.596485478,-5.152992388,0.606603664
3,360,-4.562790998,-0.173388201,-5.634045957,1.076965071
3,420,-3.739521085,-0.440509784,-4.807162687,1.077444858
3,480,0.663064771,0.240537808,1.652971389,0.835526201
3,540,7.291053343,2.541237152,11.66828616,1.923189642
3,600,13.79054117,5.948611093,21.15470203,4.293031955
3,660,18.70513764,9.6486926,27.73527528,7.479197638
3,720,21.16441662,12.71377274,30.74309051,10.58246637
3,780,22.2043751,14.1759887,31.79915634,12.64590804
3,840,20.9061114,13.51276348,29.99094475,12.50371055
3,900,17.01007583,11.45422375,24.54796959,11.52305511
3,960,11.25174293,7.970543911,16.36323896,8.741217086
3,1020,4.795272816,4.383392301,6.96315183,6.015429557
3,1080,1.973746279,2.536484256,2.259376595,3.541516326
3,1140,0.64167321,1.864211749,0.379195711,3.136246094
3,1200,-0.262549515,0.874552102,-0.747724061,1.789465166
3,1260,-0.958393065,0.511449891,-1.579448921,1.663922937
3,1320,-1.55949488,-0.111977095,-2.3341673,0.823033687
3,1380,-1.985312391,-0.34627464,-2.809681852,0.721954849
4,0,-2.412551596,-0.711946596,-3.36743983,0.250213814
4,60,-2.686206999,-0.829289155,-3.691324172,0.150442864
4,120,-2.976857881,-0.917981785,-4.032355463,0.095023417
4,180,-3.286668775,-0.965656424,-4.387128049,0.098448172
4,240,-3.629539125,-0.954469648,-4.769465763,0.177077806
4,300,-4.147864623,-0.72511904,-5.296967671,0.466350622
4,360,-4.695776451,-0.309309763,-5.781434667,0.930430986
4,420,-3.858926286,-0.571246856,-4.936218675,0.930158109
4,480,0.553700942,0.113614904,1.546132992,0.694496091
4,540,7.178469021,2.412102838,11.56777157,1.786512331
4,600,13.66418878,5.811287321,21.04376429,4.155006875
4,660,18.56468399,9.500058832,27.61286764,7.334532287
4,720,21.01099983,12.55472114,30.60682462,10.42908809
4,780,22.04535346,14.01176868,31.65519484,12.48605875
4,840,20.74955703,13.35032619,29.84688221,12.34258194
4,900,16.86318859,11.29965645,24.41092042,11.36567725
4,960,11.11889735,7.827529695,16.23783148,8.590841403
4,1020,4.672949814,4.253089641,6.841367351,5.875115959
4,1080,1.847327782,2.406943826,2.129843612,3.405089586
4,1140,0.516653838,1.737192314,0.248383917,3.001390837
4,1200,-0.385249834,0.750467887,-0.876783594,1.657741702
4,1260,-1.079195481,0.389643659,-1.707006982,1.53468388
4,1320,-1.679652361,-0.232425464,-2.462438008,0.694640196
4,1380,-2.10303386,-0.464733022,-2.934304749,0.596306357
5,0,-2.530642523,-0.829948635,-3.494132081,0.124275971
5,60,-2.803445457,-0.946583734,-3.816621891,0.02555129
5,120,-3.094221037,-1.035096723,-4.158171381,-0.029838537
5,180,-3.404516775,-1.082871641,-4.513947258,-0.026801852
5,240,-3.748365938,-1.072113157,-4.897853946,0.051024306
5,300,-4.269030165,-0.844931194,-5.428158678,0.337969671
5,360,-4.818068635,-0.43516261,-5.914969084,0.797120509
5,420,-3.968101117,-0.692520106,-5.050648743,0.796201995
5,480,0.454831268,-0.004743847,1.454995673,0.56540737
5,540,7.076343639,2.290949564,11.4831783,1.660624445
5,600,13.54812597,5.681492001,20.94853887,4.026734041
5,660,18.43428017,9.358721431,27.50575831,7.199019244
5,720,20.86714146,12.4026624,30.48510748,10.28420011
5,780,21.89580243,13.85441444,31.52551584,12.33433672
5,840,20.60239318,13.19478838,29.71689722,12.18969127
5,900,16.72547242,11.15181783,24.28753369,11.21627145
5,960,10.99480654,7.69118643,16.12533554,8.448552151
5,1020,4.558508502,4.129138174,6.730808318,5.742501811
5,1080,1.727682088,2.283403642,2.009658962,3.276243836
5,1140,0.398104393,1.615927926,0.126248208,2.873588611
5,1200,-0.501693631,0.632247309,-0.997645301,1.533330118
5,1260,-1.193917903,0.273544944,-1.826768405,1.41240848
5,1320,-1.793165472,-0.347071078,-2.58169892,0.573410397
5,1380,-2.214657872,-0.57746238,-3.05113686,0.477643429
6,0,-2.642063545,-0.942134249,-3.61184855,0.005487152
6,60,-2.914161439,-1.058020635,-3.933361596,-0.092173084
6,120,-3.204936502,-1.146242849,-4.275293131,-0.147388775
6,180,-3.515528784,-1.193956767,-4.631845829,-0.144526492
6,240,-3.860090209,-1.183395059,-5.017001651,-0.067206111
6,300,-4.382376443,-0.957917854,-5.549333993,0.217922652
6,360,-4.931713786,-0.553631846,-6.037898145,0.672792531
6,420,-4.068774114,-0.806602336,-5.153734044,0.671321412
6,480,0.365212814,-0.116215486,1.376884793,0.444740861
6,540,6.983816363,2.176620023,11.41236199,1.54276541
6,600,13.44179437,5.558518119,20.86730883,3.906165426
6,660,18.31359753,9.22428095,27.41254986,7.071089077
6,720,20.73274273,12.25749679,30.3768736,10.14672013
6,780,21.75570006,13.70396434,31.40920571,12.1899582
6,840,20.46459844,13.0461553,29.60012108,12.04422023
6,900,16.59686073,11.01072892,24.17693024,11.07415407
6,960,10.87933055,7.561422083,16.02482719,8.313530308
6,1020,4.451734852,4.011426312,6.630507622,5.616853696
6,1080,1.614565185,2.165679935,1.89782214,3.154115759
6,1140,0.285727945,1.500269286,0.011704449,2.752089082
6,1200,-0.612149865,0.519678431,-1.111298295,1.415369515
6,1260,-1.302720187,0.162966928,-1.939453123,1.296318573
6,1320,-1.900476434,-0.456137705,-2.693262678,0.458509082
6,1380,-2.320416378,-0.684688885,-3.161009912,0.365148195
7,0,-2.747272352,-1.04876544,-3.721879807,-0.107025797
7,60,-3.018768286,-1.163890265,-4.042695224,-0.203626464
7,120,-3.309466995,-1.251765802,-4.384923647,-0.258593954
7,180,-3.620238486,-1.299333629,-4.742107414,-0.255791462
7,240,-3.965324871,-1.288842916,-5.128269052,-0.178813725
7,300,-4.488839693,-1.064831248,-5.662249625,0.104764712
7,360,-5.037867549,-0.665795126,-6.152114552,0.555657678
7,420,-4.212983842,-0.914401734,-5.338630254,0.553692449
7,480,0.257567682,-0.221395552,1.258699132,0.331067453
7,540,6.894856503,2.068779745,11.34255884,1.43186095
7,600,13.34293493,5.442278252,20.79469508,3.792583775
7,660,18.20148154,9.096827913,27.32999442,6.95026719
7,720,20.60730761,12.11949378,30.28010776,10.016446
7,780,21.62481122,13.56076302,31.30484066,12.05286972
7,840,20.33604372,12.90474997,29.49542906,11.90610148
7,900,16.47724845,10.87669309,24.07813933,10.93930262
7,960,10.77233815,7.438446088,15.93540118,8.185656103
7,1020,4.327491812,3.900111755,6.482110511,5.498056688
7,1080,1.495947592,2.053878654,1.766461842,3.038501842
7,1140,0.176885664,1.390330498,-0.101617266,2.636735701
7,1200,-0.717852739,0.412835512,-1.220887597,1.303637307
7,1260,-1.406820975,0.057988768,-2.048119491,1.18622265
7,1320,-2.001984069,-0.559542578,-2.798348176,0.349769403
7,1380,-2.421478413,-0.78637452,-3.266776673,0.258571753
8,0,-2.846250502,-1.149807547,-3.824503875,-0.213505233
8,60,-3.117788118,-1.264180398,-4.146000638,-0.30907921
8,120,-3.408402452,-1.351683209,-4.488521636,-0.363763421
8,180,-3.719291782,-1.399059037,-4.846233097,-0.36095725
8,240,-4.064787953,-1.388566753,-5.233210925,-0.28422686
8,300,-4.589307365,-1.165891266,-5.768580143,-0.002052938
8,360,-5.137665075,-0.7720402,-6.259486066,0.444979202
8,420,-4.297769707,-1.016213417,-5.421653064,0.442583512
8,480,0.185348758,-0.32043469,1.203675983,0.223817449
8,540,6.820711853,1.967444309,11.29648304,1.327553766
8,600,13.25581373,5.332940309,20.73935803,3.685819861
8,660,18.10046556,8.97666668,27.26309731,6.836556612
8,720,20.49250984,11.98907191,30.1979737,9.89353083
8,780,21.50445203,13.42528874,31.21469953,11.92333635
8,840,20.21781261,12.77102505,29.40456585,11.77557399
8,900,16.36751996,10.75013544,23.99251026,10.81197944
8,960,10.67453317,7.322591982,15.85809201,8.065097171
8,1020,4.236726084,3.795468291,6.402436357,5.386261931
8,1080,1.3962326,1.948224281,1.67076597,2.929468613
8,1140,0.076937605,1.286339922,-0.202037225,2.527629594
8,1200,-0.816332985,0.311908773,-1.321290132,1.198169624
8,1260,-1.503554928,-0.041193846,-2.147250578,1.082186332
8,1320,-2.097292634,-0.657128518,-2.896440754,0.247186737
8,1380,-2.515436626,-0.882345243,-3.363579728,0.157958265
9,0,-2.939417036,-1.245108702,-3.920930413,-0.313944249
9,60,-3.210468911,-1.358750596,-4.242018711,-0.408536482
9,120,-3.500940016,-1.445872476,-4.584752944,-0.462925479
9,180,-3.811896819,-1.493033512,-4.942944899,-0.460082345
9,240,-4.157749443,-1.482497793,-5.330704366,-0.383543232
9,300,-4.683133251,-1.261089214,-5.867417217,-0.102694301
9,360,-5.230418728,-0.872435686,-6.359085713,0.340507518
9,420,-4.374505552,-1.112070688,-5.494737596,0.337729272
9,480,0.121957768,-0.413274008,1.160042157,0.122825539
9,540,6.756106471,1.872777404,11.26292056,1.229789329
9,600,13.17881282,5.230788463,20.69729672,3.585953524
9,660,18.00993205,8.864189421,27.20981137,6.730156195
9,720,20.38827661,11.86671925,30.12946579,9.778293451
9,780,21.39477233,13.29807372,31.13827702,11.8017518
