julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,4.098397604,3.689399205,2.789542765,1.929612474,,,,,,,
1,60,3.852314772,5.196755737,2.473039241,5.230747662,,,,,,,
1,120,3.557308205,5.339743356,2.138057577,5.694534211,,,,,,,
1,180,3.25425535,5.353120476,1.777790194,5.835833718,,,,,,,
1,240,2.956236626,5.346577471,1.436582377,5.890836015,,,,,,,
1,300,2.604283351,5.40294166,1.030440091,6.015473733,,,,,,,
1,360,2.171643446,5.573434365,0.580541899,6.267994538,,,,,,,
1,420,2.130194093,5.650941912,0.583315167,6.426377721,,,,,,,
1,480,5.198317861,5.84892383,5.216782349,6.423501964,,,,,,,
1,540,11.15583224,7.778087581,14.23100351,7.507671459,,,,,,,
1,600,17.35887077,10.70928724,23.2116015,9.246863548,,,,,,,
1,660,22.34769869,14.56581897,29.86361965,12.78886069,,,,,,,
1,720,24.73951281,17.66429132,32.50234186,15.85162364,,,,,,,
1,780,25.85603273,19.2400681,33.66640005,18.09648989,,,,,,,
1,840,24.19607849,18.45588762,31.12048223,17.72541819,,,,,,,
1,900,20.05373889,16.09753005,25.30664997,16.15490118,,,,,,,
1,960,14.13237216,12.66274478,16.83844333,13.46937045,,,,,,,
1,1020,9.601584494,10.02186571,10.03874572,10.99326162,,,,,,,
1,1080,7.795820559,8.87662151,7.182000633,9.612968323,,,,,,,
1,1140,6.745144697,8.070130518,5.821490541,8.771831327,,,,,,,
1,1200,5.963764733,7.432376402,4.889326587,8.125394875,,,,,,,
1,1260,5.44761004,6.902370932,4.401019576,7.57173387,,,,,,,
1,1320,4.638454889,6.4929009,3.169200756,7.165145642,,,,,,,
1,1380,4.366723887,6.145039063,3.012648795,6.798951713,,,,,,,
2,0,4.02493693,5.87975608,2.635089694,6.534897553,,,,,,,
2,60,3.736093407,5.720015412,2.289307684,6.358667735,,,,,,,
2,120,3.437417104,5.59869239,1.942620825,6.254879888,,,,,,,
2,180,3.11563369,5.504026149,1.574990312,6.192608639,,,,,,,
2,240,2.758467902,5.443889774,1.174543775,6.178299694,,,,,,,
2,300,2.344563997,5.435432432,0.723526066,6.228421666,,,,,,,
2,360,1.81178211,5.526207004,0.175542301,6.385694916,,,,,,,
2,420,1.900904864,5.535837697,0.466053248,6.501133856,,,,,,,
2,480,4.976284387,5.861980044,4.913508186,6.556572559,,,,,,,
2,540,10.97021183,7.46421423,13.99231584,7.012937174,,,,,,,
2,600,17.17810807,10.71895732,22.98766755,9.421960653,,,,,,,
2,660,22.16542121,14.37026042,29.64563165,12.54108384,,,,,,,
2,720,24.55720082,17.61142155,32.29075715,15.94462839,,,,,,,
2,780,25.6722976,19.04101332,33.45592042,17.84992105,,,,,,,
2,840,24.0181886,18.3174484,30.91964258,17.61660841,,,,,,,
2,900,19.88742512,16.07308506,25.1214772,16.2978881,,,,,,,
2,960,13.97972509,12.46266733,16.67056489,13.19275159,,,,,,,
2,1020,9.449342665,9.902257723,9.872389161,10.90102326,,,,,,,
2,1080,7.639513845,8.654638548,7.003074732,9.286326571,,,,,,,
2,1140,6.589352373,8.03257237,5.64111711,8.854736415,,,,,,,
2,1200,5.809709464,7.204155988,4.710794149,7.783446965,,,,,,,
2,1260,5.293945681,6.873222422,4.221826604,7.663935792,,,,,,,
2,1320,4.488991332,6.273667877,2.99796504,6.84357919,,,,,,,
2,1380,4.216475445,6.110947837,2.838901559,6.872528991,,,,,,,
3,0,3.875054441,5.674442056,2.461591213,6.244860276,,,,,,,
3,60,3.585538121,5.588095789,2.114941398,6.22247133,,,,,,,
3,120,3.285674673,5.476172019,1.766618188,6.137039366,,,,,,,
3,180,2.962196968,5.3845805,1.396754376,6.079818172,,,,,,,
3,240,2.60260421,5.32512474,0.993278655,6.065687423,,,,,,,
3,300,2.185122227,5.319509958,0.538103388,6.119681118,,,,,,,
