julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.091548841,-2.624548034,-3.088835878,-4.228586412
1,60,-2.400215273,-1.205856489,-3.502707855,-1.013182123
1,120,-2.716006885,-1.089953142,-3.866790121,-0.573070626
1,180,-3.027954327,-1.089564411,-4.241163901,-0.441023501
1,240,-3.330516298,-1.094627328,-4.595694914,-0.377408485
1,300,-3.67355395,-1.023580217,-4.998897125,-0.229759593
1,360,-4.083476138,-0.823577106,-5.444656961,0.061148091
1,420,-3.620621205,-0.74749836,-4.609487736,0.238607208
1,480,-0.448986449,-0.450446394,0.276734639,0.273981897
1,540,5.834992926,1.546407802,9.629327496,0.945064
1,600,12.55175852,5.404249311,19.1106388,3.828840203
1,660,17.78704475,9.693590445,25.61785951,7.526437766
1,720,20.64536072,13.44779736,28.74545964,11.47002607
1,780,21.85254628,15.10743602,29.89373288,13.7042673
1,840,20.34555834,14.25967346,27.91237898,13.43110597
1,900,15.90395261,11.63617867,21.95660525,11.89189484
1,960,9.489585277,7.43566609,13.09981025,8.30061854
1,1020,4.287364684,4.318981603,5.444344131,5.517516426
1,1080,2.107188179,2.852045464,1.890913116,3.597735223
1,1140,0.879828809,2.121405797,0.277300563,3.093147676
1,1200,-0.007437762,1.155818257,-0.773148719,1.836894378
1,1260,-0.643115852,0.766914862,-1.429042878,1.699461777
1,1320,-1.415678889,0.071986473,-2.519042294,0.743285068
1,1380,-1.610257848,-0.121704345,-2.449379908,0.775062903
2,0,-2.162976661,-0.621966249,-3.241575126,0.053678346
2,60,-2.499322725,-0.725092732,-3.674119788,0.023950821
2,120,-2.815614876,-0.854165072,-4.04542585,-0.072672731
2,180,-3.150608128,-0.959108648,-4.431398472,-0.135686584
2,240,-3.515473008,-1.025653907,-4.843307273,-0.147066248
2,300,-3.931660171,-1.027533154,-5.301307002,-0.076740058
2,360,-4.445608413,-0.918576506,-5.8429752,0.114650886
2,420,-4.087288174,-0.930348093,-5.098277117,0.231325271
2,480,-0.681909763,-0.477717512,-0.060209528,0.324919476
2,540,5.654423428,1.463970969,9.393148352,0.905344873
2,600,12.37106748,5.300224,18.88757244,3.766054961
2,660,17.59893844,9.554308928,25.39694167,7.410600705
2,720,20.45108187,13.29637294,28.52405256,11.34787478
2,780,21.65443771,14.93506444,29.67035706,13.53928159
2,840,20.15293332,14.10108432,27.69514994,13.29187399
2,900,15.72637543,11.47499076,21.75590229,11.72778226
2,960,9.331865705,7.299170363,12.92084571,8.170280352
2,1020,4.141341434,4.18036519,5.28619029,5.376522667
2,1080,1.956882663,2.719595415,1.716880173,3.464964365
2,1140,0.729807977,1.993834023,0.099504291,2.966826214
2,1200,-0.155091728,1.026290159,-0.948976144,1.702248346
2,1260,-0.788365488,0.64569573,-1.602066629,1.580360676
2,1320,-1.561057071,-0.053351856,-2.694368136,0.612523499
2,1380,-1.751869669,-0.241383657,-2.617803844,0.654749738
3,0,-2.304939099,-0.741861919,-3.411818858,-0.06877555
3,60,-2.642097584,-0.844319986,-3.845683965,-0.097925872
3,120,-2.959758143,-0.972844358,-4.219090886,-0.194201655
3,180,-3.296765527,-1.077328456,-4.607948678,-0.256992027
3,240,-3.66457472,-1.143527997,-5.023783265,-0.268296492
3,300,-4.08517426,-1.145210974,-5.48719731,-0.198077291
3,360,-4.605280794,-1.036852251,-6.035749798,-0.007559684
3,420,-4.216014214,-1.050149735,-5.240297021,0.107141242
3,480,-0.80446606,-0.594094581,-0.194027562,0.202887284
3,540,5.524745457,1.344695543,9.253821677,0.784793356
3,600,12.22698184,5.170120814,18.73547582,3.640213466
3,660,17.44094755,9.408822152,25.23513536,7.272724106
3,720,20.28111078,13.13665632,28.3515016,11.19642705
3,780,21.47897765,14.76807145,29.49181372,13.37776376
3,840,19.98217314,13.93767078,27.52060425,13.13189472
3,900,15.56993531,11.32125869,21.59599802,11.5722539
3,960,9.194429964,7.161387815,12.78066966,8.02835052
3,1020,4.015169801,4.046965933,5.166725387,5.240341663
3,1080,1.824682602,2.589765569,1.577310533,3.331166888
3,1140,0.597173,1.868643685,-0.045684819,2.839076107
3,1200,-0.285558667,0.90283204,-1.092879059,1.574577289
3,1260,-0.916382429,0.52599581,-1.743322176,1.458156506
3,1320,-1.689417337,-0.172364678,-2.838677211,0.489324466
3,1380,-1.876131337,-0.357405665,-2.754786745,0.536209365
4,0,-2.429635847,-0.857770605,-3.551124696,-0.188693541
4,60,-2.780397104,-0.963683796,-3.996005651,-0.215521127
4,120,-3.116730351,-1.093711089,-4.388273821,-0.307725662
4,180,-3.47782701,-1.194873833,-4.802171123,-0.360590741
4,240,-3.879045411,-1.248408924,-5.252341956,-0.351236342
4,300,-4.535206726,-1.091957756,-5.939424627,-0.122099446
4,360,-5.344006107,-0.652266514,-6.621305532,0.344968679
4,420,-4.850280265,-1.017236535,-6.551512334,0.2539538
4,480,-0.561773949,-0.342894836,-0.396327173,0.027160842
4,540,6.138358638,2.148978327,9.60365888,1.398480914
4,600,12.75330326,5.866544727,19.08651737,4.219119563
4,660,17.69812223,9.886277787,25.43054496,7.868462747
4,720,20.29111771,13.15201525,28.39594877,11.25029718
4,780,21.34140215,14.68646509,29.39407108,13.4112171
4,840,19.96053875,13.8825221,27.48905503,13.01770139
4,900,15.8816161,11.63644386,21.83541482,11.81797627
4,960,9.88655412,7.814903073,13.36319311,8.519685826
4,1020,3.659062603,3.983516299,4.711491241,5.462829404
4,1080,1.48275851,2.458484868,1.192846295,3.429999115
4,1140,0.286761753,1.484981638,-0.349172449,2.36990167
4,1200,-0.591673023,0.754643665,-1.391284337,1.631208046
4,1260,-1.219486097,0.124689868,-2.047650128,0.936401226
4,1320,-1.97074579,-0.319402242,-3.112233003,0.511012506
4,1380,-2.16193532,-0.722979982,-3.05708057,0.061604015
5,0,-2.928942029,-1.002152205,-4.329230918,-0.206859607
5,60,-3.039325842,-1.173833543,-4.284862737,-0.402292898
5,120,-3.338296583,-1.293862985,-4.623753145,-0.499513665
5,180,-3.672663899,-1.3772872,-5.006721982,-0.54059911
5,240,-4.06369472,-1.410542986,-5.457130705,-0.513925996
5,300,-4.668315421,-1.237895596,-6.069481162,-0.273245276
5,360,-5.553060857,-0.789798156,-6.881620903,0.200442785
5,420,-4.966426424,-1.133247096,-6.683408938,0.125243708
5,480,-0.663786738,-0.450934507,-0.500605248,-0.088649055
5,540,6.03523158,2.039434705,9.50884493,1.288310878
5,600,12.63557861,5.747090116,18.97930584,4.104686483
5,660,17.56639741,9.753365235,25.31240938,7.743854494
5,720,20.14672827,13.00656224,28.26493619,11.11338633
5,780,21.1919243,14.53502288,29.25693089,13.26624159
5,840,19.81503608,13.73405995,27.35503163,12.87383644
5,900,15.74839008,11.49637577,21.71363966,11.67813886
5,960,9.769746279,7.689149556,13.25770354,8.392362279
5,1020,3.550179459,3.86985457,4.603521089,5.343931703
5,1080,1.367524871,2.343875379,1.076056704,3.315053411
5,1140,0.173291761,1.373125354,-0.466496396,2.256735165
5,1200,-0.70278973,0.64594297,-1.506901472,1.521558217
5,1260,-1.328513258,0.017664676,-2.161448548,0.827575381
5,1320,-2.078867369,-0.423824984,-3.22637969,0.405613039
5,1380,-2.267238038,-0.826400252,-3.166782897,-0.043484778
6,0,-3.035382533,-1.10370547,-4.442928893,-0.309408333
6,60,-3.144289862,-1.27468497,-4.395919232,-0.504230293
6,120,-3.44321681,-1.393916646,-4.735151624,-0.600623219
6,180,-3.777877985,-1.476546128,-5.118938005,-0.640892354
6,240,-4.169707826,-1.508988122,-5.570794121,-0.613392065
6,300,-4.776088451,-1.336064815,-6.185431888,-0.37239686
6,360,-5.660140435,-0.892089741,-7.000101702,0.099191838
6,420,-5.067695095,-1.231083449,-6.793476912,0.02434593
6,480,-0.748452818,-0.547031961,-0.577226181,-0.187269124
6,540,5.947857122,1.939298234,9.439185818,1.190204686
6,600,12.53239501,5.635982735,18.89492527,3.99970358
6,660,17.44835426,9.628564737,25.21528198,7.627763066
6,720,20.01504432,12.86908853,28.15309383,10.98437532
6,780,21.05491147,14.39157934,29.13826242,13.12908505
6,840,19.68174511,13.59341652,27.23890989,12.73747864
6,900,15.62689385,11.36391231,21.60889723,11.54563931
6,960,9.663916432,7.570608092,13.16795905,8.271991522
6,1020,3.450945343,3.762949149,4.508822433,5.231596725
6,1080,1.260754474,2.235358978,0.97068232,3.206076578
6,1140,0.067961468,1.267155142,-0.573058091,2.149203631
6,1200,-0.805940404,0.543028547,-1.61209606,1.417423629
6,1260,-1.429636696,-0.083704776,-2.264938476,0.724053813
6,1320,-2.179079538,-0.522634294,-3.330200305,0.305486879
6,1380,-2.36457338,-0.9242966,-3.266048968,-0.143447151
7,0,-3.134123288,-1.199765482,-4.546790841,-0.406857686
7,60,-3.241277402,-1.37010896,-4.496653899,-0.601170649
7,120,-3.539984357,-1.488612308,-4.8359914,-0.696837888
7,180,-3.874714741,-1.570529785,-5.22030575,-0.736409401
