julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.079985199,-2.658729955,-3.29809769,-4.542001711
1,60,-2.18270993,-1.06891886,-3.30115641,-0.96805175
1,120,-2.465043101,-0.918438644,-3.615555193,-0.467781759
1,180,-2.755739289,-0.904811345,-3.963174477,-0.317869463
1,240,-3.052349204,-0.907510909,-4.318510945,-0.254393117
1,300,-3.36142708,-0.839923291,-4.669454238,-0.112998231
1,360,-3.747463693,-0.649502192,-5.082270029,0.166154282
1,420,-3.444863476,-0.574493081,-4.516178065,0.3353139
1,480,-0.354441488,-0.320975083,0.288837715,0.3521563
1,540,5.640591632,1.504672042,9.375615623,0.964356647
1,600,11.95277139,5.023464258,18.46103873,3.573283388
1,660,16.8255038,8.953508192,24.6475406,6.957468475
1,720,19.40816784,12.38737937,27.50823316,10.55680722
1,780,20.49840389,13.9127204,28.52050796,12.61962638
1,840,19.08467221,13.13100132,26.61393585,12.36379565
1,900,14.93287356,10.72757171,20.94106012,10.9658581
1,960,8.927942079,6.879609925,12.49461017,7.680877543
1,1020,4.031033202,4.048070988,5.11012486,5.149780783
1,1080,1.998913787,2.712899048,1.762097054,3.407384345
1,1140,0.866264883,2.035568927,0.262753378,2.929416855
1,1200,0.046368183,1.160637725,-0.715403454,1.79841755
1,1260,-0.553384177,0.794615875,-1.353446702,1.653560019
1,1320,-1.23763165,0.168379438,-2.300720601,0.798908851
1,1380,-1.468790865,-0.019595941,-2.348054736,0.807501866
2,0,-2.144731676,-0.466411549,-3.43725818,0.169978227
2,60,-2.282949831,-0.565641331,-3.463965181,0.133221643
2,120,-2.567688036,-0.683943363,-3.788787479,0.044845416
2,180,-2.879595859,-0.779586507,-4.146919147,-0.01165111
2,240,-3.234067627,-0.839708258,-4.556152341,-0.020264489
2,300,-3.647868939,-0.840549259,-5.025204356,0.045905584
2,360,-4.144173172,-0.737714979,-5.546983128,0.224667625
2,420,-3.858242819,-0.742199044,-4.929699625,0.339629242
2,480,-0.57491183,-0.344142906,-0.020115405,0.416637367
2,540,5.464370185,1.422565122,9.150733701,0.928760104
2,600,11.77836453,4.923014636,18.24942758,3.517186669
2,660,16.64651818,8.819491184,24.43961423,6.846842305
