julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,2.505277698,1.717908498,1.710684676,-0.00282363
1,60,2.323285358,3.199878356,1.449070201,3.303160582
1,120,2.071436046,3.343309598,1.167809567,3.772522097
1,180,1.811524477,3.372131096,0.855179354,3.933716151
1,240,1.563040136,3.396435967,0.570676314,4.027925625
1,300,1.156671152,3.584427481,0.140301939,4.28439561
1,360,0.616788776,3.980807814,-0.372891964,4.73773951
1,420,1.0177262,3.735103946,-0.120051868,4.783620121
1,480,4.972929158,4.426800284,5.695705245,4.62119529
1,540,11.05830753,6.801478355,14.94336415,6.033716179
1,600,17.00012162,10.23224892,23.58851847,8.71009621
1,660,21.41593406,13.88585652,29.32261596,12.07344904
1,720,23.71880242,16.81677072,32.03123125,15.12388137
1,780,24.57199181,18.19647389,32.70960704,17.09201543
1,840,23.28009877,17.43201039,30.84215658,16.64292725
1,900,19.55808846,15.42652357,25.55849766,15.61838432
1,960,14.10540687,11.93596034,17.70596227,12.53566336
1,1020,8.393410361,8.394184758,9.603142639,9.604970205
1,1080,6.300235108,6.981753776,6.26720636,7.859311278
1,1140,5.182339452,6.085286154,4.799233634,6.886448371
1,1200,4.369646498,5.40648886,3.824727694,6.195227196
1,1260,3.840031831,4.830619308,3.326197249,5.565097217
1,1320,3.034744744,4.421766273,2.077587916,5.175085332
1,1380,2.769360717,4.047729839,1.935732428,4.754867853
2,0,2.442324086,3.797135898,1.57368219,4.522084656
2,60,2.179727257,3.63699866,1.255194473,4.337468567
2,120,1.913206575,3.526303963,0.945310531,4.248790416
2,180,1.628047296,3.449222485,0.619618127,4.212096615
2,240,1.31182132,3.418831901,0.265811765,4.238891488
2,300,0.805712964,3.576212539,-0.265404593,4.46360911
2,360,0.242048128,3.945569344,-0.750329006,4.880576973
2,420,0.987666788,3.660630399,-0.029801395,4.794656637
2,480,4.756767486,4.34515993,5.442369796,4.632461789
2,540,10.8404181,6.687951026,14.68143375,5.989931581
2,600,16.788887,10.09123606,23.33860364,8.614548439
2,660,21.20926783,13.73344994,29.08295786,11.95846363
2,720,23.51591207,16.65381026,31.79933782,14.990688
2,780,24.37000513,18.01369345,32.48109636,16.91137439
2,840,23.07997726,17.28320402,30.61747619,16.54357611
2,900,19.3615814,15.21735291,25.34014554,15.37008059
2,960,13.91280328,11.81607286,17.49416036,12.49741662
2,1020,8.19889382,8.228048542,9.385209357,9.45401068
2,1080,6.099036686,6.806819042,6.040454681,7.693831946
2,1140,4.980765254,5.910029565,4.57084287,6.718786388
2,1200,4.168464997,5.231890399,3.596703574,6.027860779
2,1260,3.639515708,4.655762715,3.099334868,5.39611977
2,1320,2.833607895,4.247894933,1.849208741,5.007446553
2,1380,2.568704281,3.873524959,1.708415715,4.585750285
