julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,0.063131669,-0.43395405,-1.208698807,-2.274944442
1,60,-0.04116075,1.073755052,-1.260542526,1.070908067
1,120,-0.300356434,1.233188295,-1.551980057,1.564978086
1,180,-0.573441632,1.254795914,-1.881236025,1.716156448
1,240,-0.853891541,1.254495005,-2.216014011,1.777962142
1,300,-1.146855965,1.310404818,-2.543113468,1.900247346
1,360,-1.53989131,1.473332364,-2.957659581,2.141013747
1,420,-1.554307883,1.555552988,-2.907232169,2.301779123
1,480,1.184922531,1.715890007,1.29503417,2.294492461
1,540,6.679312488,3.454638393,9.784084982,3.251320955
1,600,12.33887973,6.099116276,18.12849626,4.765264145
1,660,16.8928485,9.602877179,24.31048249,7.974367939
1,720,19.03094884,12.40738527,26.68485904,10.7298728
1,780,20.03632388,13.84812561,27.72031265,12.81404395
1,840,18.56827399,13.09465113,25.46671917,12.39587534
1,900,14.83224821,10.96569281,20.18534029,11.03465344
1,960,9.448529346,7.837233176,12.38148935,8.603394732
1,1020,5.224680687,5.467018088,5.808396553,6.371181737
1,1080,3.539685433,4.43235598,3.068639398,5.121138607
1,1140,2.588321542,3.701675486,1.826450665,4.359979705
1,1200,1.882247631,3.122027836,0.980871711,3.771833523
1,1260,1.354845837,2.645611416,0.406337454,3.279570993
1,1320,0.778117186,2.270329216,-0.379491458,2.903315875
1,1380,0.54606853,1.991516414,-0.489719075,2.65123148
2,0,-0.005243494,1.779748688,-1.355363087,2.473433534
2,60,-0.15693773,1.582501538,-1.43721435,2.20028637
2,120,-0.421347581,1.467421119,-1.743237696,2.095912609
2,180,-0.712242637,1.381909928,-2.080270649,2.040716462
2,240,-1.044022007,1.330028945,-2.464346968,2.03350616
2,300,-1.434322169,1.324302019,-2.906408114,2.082981061
2,360,-1.932303117,1.414367662,-3.427308271,2.234799438
2,420,-1.952123435,1.437316846,-3.318784203,2.360318793
2,480,0.955801343,1.712274245,0.980420943,2.404378839
2,540,6.491373649,3.150988107,9.546138378,2.779615324
2,600,12.15383753,6.083438046,17.9056935,4.907296375
2,660,16.70301894,9.396638384,24.09180358,7.722331129
