julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,7.121707112,6.967001714,5.620179513,5.286207067,,,,,,,
1,60,6.944710915,8.322856732,5.429491677,8.328839045,,,,,,,
1,120,6.66583271,8.402866002,5.109037381,8.659427446,,,,,,,
1,180,6.369114275,8.402609576,4.748419864,8.77005091,,,,,,,
1,240,6.070114044,8.378808602,4.399492402,8.792183301,,,,,,,
1,300,5.697604411,8.420333499,3.95686519,8.89727849,,,,,,,
1,360,5.237006872,8.571785396,3.470968494,9.135587802,,,,,,,
1,420,5.234584532,8.620722666,3.530960762,9.249456507,,,,,,,
1,480,8.246670085,8.810368778,8.154555278,9.223149258,,,,,,,
1,540,13.78693282,10.63252456,16.7820419,10.34685193,,,,,,,
1,600,19.39032181,13.40547023,25.11482201,12.2066752,,,,,,,
1,660,23.83744288,16.81290602,31.1820054,15.32723892,,,,,,,
1,720,25.83048743,19.6352714,33.28945909,18.25491648,,,,,,,
1,780,26.76943152,20.81972073,34.20449216,19.76574136,,,,,,,
1,840,25.32437417,20.1984232,31.96119806,19.6301406,,,,,,,
1,900,21.46120109,18.03883216,26.25850167,18.09981716,,,,,,,
1,960,16.05258576,14.93042021,18.24605546,15.59582565,,,,,,,
1,1020,12.05369672,12.54452516,12.19696573,13.34497341,,,,,,,
1,1080,10.50198023,11.53720009,9.736613163,12.13367501,,,,,,,
1,1140,9.569784347,10.81900656,8.520323053,11.38283485,,,,,,,
1,1200,8.861801738,10.26442913,7.657800153,10.83704874,,,,,,,
1,1260,8.29474052,9.75809097,6.986340267,10.26578708,,,,,,,
1,1320,7.831213653,9.442155059,6.44511634,10.01271881,,,,,,,
1,1380,7.476535443,9.067917375,6.064028848,9.544717893,,,,,,,
2,0,7.059627856,8.905885163,5.486165049,9.471798894,,,,,,,
2,60,6.836821565,8.727060192,5.261762741,9.238186442,,,,,,,
2,120,6.55355617,8.611543323,4.928812484,9.134577121,,,,,,,
2,180,6.240754564,8.520017437,4.563866983,9.07037097,,,,,,,
2,240,5.879835587,8.458850634,4.145154298,9.050129588,,,,,,,
2,300,5.440706435,8.441580405,3.644126817,9.085644327,,,,,,,
2,360,4.867080359,8.506015886,3.029309105,9.211970249,,,,,,,
2,420,5.104189155,8.494544293,3.559989369,9.289287944,,,,,,,
2,480,8.053518889,8.831070376,7.898057316,9.372764547,,,,,,,
2,540,13.61058368,10.3316602,16.55926722,9.867057707,,,,,,,
2,600,19.20986896,13.36286479,24.89369944,12.27737128,,,,,,,
2,660,23.64968889,16.62525952,30.95845722,15.09710415,,,,,,,
2,720,25.63904545,19.52910382,33.06597766,18.23199319,,,,,,,
2,780,26.57514921,20.75510823,33.97964888,19.84949793,,,,,,,
2,840,25.13600104,19.97637269,31.74503896,19.32767402,,,,,,,
2,900,21.28703718,17.89072372,26.06098801,17.96100119,,,,,,,
2,960,15.89629891,14.79222697,18.07094787,15.4623616,,,,,,,
2,1020,11.9046625,12.41194963,12.0342198,13.22121249,,,,,,,
2,1080,10.35089828,11.40848295,9.564034411,12.01388013,,,,,,,
2,1140,9.420346956,10.69278619,8.34789733,11.26478215,,,,,,,
2,1200,8.714623608,10.13999046,7.48773574,10.71980786,,,,,,,
2,1260,8.149420062,9.635736046,6.818319098,10.15053442,,,,,,,
2,1320,7.687371055,9.320915512,6.278763893,9.897814261,,,,,,,
2,1380,7.333966699,8.948172679,5.899305359,9.431249633,,,,,,,
3,0,6.917596623,8.787023528,5.32168955,9.35883773,,,,,,,
3,60,6.69449199,8.609198082,5.096950071,9.126239909,,,,,,,
3,120,6.41020742,8.494756541,4.762383945,9.023781514,,,,,,,
3,180,6.095841126,8.404460757,4.395122609,8.960950502,,,,,,,
3,240,5.732548403,8.344781707,3.97312685,8.942436685,,,,,,,
3,300,5.289761578,8.329450488,3.467435269,8.980247026,,,,,,,
3,360,4.711135759,8.396348746,2.846857205,9.109487395,,,,,,,
3,420,4.971616115,8.385243106,3.415301965,9.187796542,,,,,,,
3,480,7.926340533,8.722287323,7.76130017,9.27163583,,,,,,,
3,540,13.47711797,10.21676337,16.4171197,9.759856966,,,,,,,
3,600,19.06315977,13.2388881,24.73692508,12.16430571,,,,,,,
3,660,23.32975896,16.48775395,30.42639465,14.97052271,,,,,,,
3,720,25.44544648,19.3805623,32.82548238,18.09482789,,,,,,,
3,780,26.26443314,20.60064683,33.46006452,19.70361397,,,,,,,
3,840,24.92635164,19.82226206,31.46608442,19.17737357,,,,,,,
3,900,21.11814712,17.74558937,25.86520275,17.8186267,,,,,,,
3,960,15.75012127,14.65797982,17.90985423,15.32842641,,,,,,,
3,1020,11.76834017,12.28026034,11.8928759,13.09118184,,,,,,,
3,1080,10.21335593,11.28013609,9.414817917,11.88692731,,,,,,,
3,1140,9.285123126,10.56722486,8.200341185,11.14050604,,,,,,,
3,1200,8.581991498,10.0169165,7.343198301,10.59817769,,,,,,,
3,1260,8.018768252,9.514281281,6.675960052,10.03004702,,,,,,,
3,1320,7.558276309,9.201676891,6.138077111,9.780301779,,,,,,,
3,1380,7.206877578,8.829566958,5.761649444,9.313438524,,,,,,,
4,0,6.789403902,8.670567023,5.180497301,9.244431038,,,,,,,
4,60,6.567537284,8.493189565,4.95822892,9.011889851,,,,,,,
4,120,6.282984168,8.379621563,4.623023329,8.91041786,,,,,,,
4,180,5.967961842,8.290283305,4.254572569,8.848705627,,,,,,,
4,240,5.603342888,8.231692423,3.830455868,8.831493876,,,,,,,
4,300,5.158127965,8.217660858,3.321260514,8.870860937,,,,,,,
4,360,4.576561003,8.285895564,2.696824084,9.001732197,,,,,,,
4,420,4.864346364,8.274531354,3.309427359,9.080122035,,,,,,,
4,480,7.821052466,8.613949403,7.660558128,9.165848725,,,,,,,
4,540,13.36279834,10.10488841,16.30692387,9.651741685,,,,,,,
4,600,18.93424935,13.11940874,24.60974781,12.0522939,,,,,,,
4,660,23.18819235,16.35620007,30.28671313,14.84726088,,,,,,,
4,720,25.2934278,19.23880459,32.67357857,17.96208612,,,,,,,
4,780,26.10856652,20.45341087,33.30388257,19.56301436,,,,,,,
4,840,24.6330387,19.67581228,30.9733614,19.03361231,,,,,,,
4,900,21.04301324,17.60757411,25.88178073,17.68203006,,,,,,,
4,960,15.66628963,14.5303892,17.88584868,15.19997117,,,,,,,
4,1020,11.66876608,12.15437131,11.82884492,12.96597923,,,,,,,
4,1080,10.09636746,11.15736772,9.30487963,11.76450629,,,,,,,
4,1140,9.163357424,10.44712102,8.075600904,11.02065384,,,,,,,
4,1200,8.460663033,9.899202207,7.216528953,10.48088398,,,,,,,
4,1260,7.899229355,9.39812181,6.551000681,9.913861715,,,,,,,
4,1320,7.561220653,9.087644498,6.282825574,9.666981054,,,,,,,
4,1380,6.855960925,8.716142772,5.126821897,9.199840911,,,,,,,
5,0,6.98263794,8.559193674,5.727055692,9.134085815,,,,,,,
5,60,6.476799916,8.382205969,4.889256353,8.901549494,,,,,,,
5,120,6.169800844,8.269406991,4.506248739,8.800924481,,,,,,,
5,180,5.839994373,8.180890878,4.108136863,8.740146547,,,,,,,
5,240,5.496322123,8.123207567,3.724767582,8.723990917,,,,,,,
5,300,5.046621075,8.110223447,3.206917433,8.764579012,,,,,,,
5,360,4.500773639,8.179371538,2.642689588,8.896560288,,,,,,,
5,420,4.476545928,8.167401002,2.724387625,8.974541332,,,,,,,
5,480,7.709105306,8.510003345,7.541444297,9.062677977,,,,,,,
5,540,13.26306995,9.998552391,16.21911874,9.547567004,,,,,,,
5,600,18.93292638,13.00640791,24.74899273,11.94522837,,,,,,,
5,660,23.36076299,16.23201463,30.84631891,14.73002384,,,,,,,
5,720,25.17201105,19.10508614,32.58303375,17.83618764,,,,,,,
5,780,25.94960123,20.31447411,33.12692975,19.4296525,,,,,,,
5,840,24.71981782,19.53783589,31.38339239,18.89772756,,,,,,,
5,900,20.86997476,17.47757491,25.65277065,17.55280627,,,,,,,
5,960,15.51824278,14.41028482,17.69925408,15.07850655,,,,,,,
5,1020,11.54573592,12.03506874,11.70078002,12.84704999,,,,,,,
5,1080,9.979234395,11.04092934,9.185889127,11.64798935,,,,,,,
