julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,14.39482054,14.23431944,14.38978121,14.08009965
1,60,14.07167747,15.74040521,13.9473586,17.08989178
1,120,13.81582966,16.20680781,13.64137838,18.021879
1,180,13.59905531,16.51070641,13.38387015,18.55037254
1,240,13.41623527,16.84083788,13.17398617,19.01986822
1,300,13.24092937,17.47150861,12.99087173,19.71571942
1,360,13.11031329,18.07841759,12.85857197,20.43117325
1,420,14.17112524,17.79325338,14.44648325,20.56092389
1,480,19.65398061,18.35880951,22.50566177,20.18042227
1,540,27.12848953,20.24743373,33.57638932,20.637301
1,600,34.25012572,23.100726,43.85706308,22.0847672
1,660,39.36141199,26.29112159,50.70205516,24.34333451
1,720,42.0453912,29.07187416,54.44717034,26.84648603
1,780,43.20262913,30.48185794,55.75890747,28.69593075
1,840,41.97823072,30.09913115,54.13320334,29.04675347
1,900,38.10954739,28.28054299,48.96079313,28.36120805
1,960,31.94590268,25.3148137,40.3422797,26.55370795
1,1020,24.59585162,21.93263352,29.68678417,24.19377312
1,1080,20.07085192,19.94369583,22.39949608,22.1394295
1,1140,17.99790725,18.94137177,19.12792744,21.04077414
1,1200,16.8375653,18.1605025,17.53422547,20.19220881
1,1260,15.9922278,17.57977069,16.42960172,19.58921517
1,1320,15.32555816,17.15626774,15.56741205,19.17522438
1,1380,14.81104418,16.80996533,14.91693323,18.81579081
2,0,14.42820027,16.48935496,14.45418627,18.43111569
2,60,14.102086,16.40167528,14.0005461,18.33109603
2,120,13.8499304,16.39030029,13.69687774,18.35103873
2,180,13.61392164,16.45418236,13.43057348,18.47032308
2,240,13.38578763,16.61616601,13.18662328,18.70082181
2,300,13.14454322,17.04909683,12.94422673,19.1507759
2,360,12.93231609,17.4884716,12.73885587,19.68495436
2,420,14.3126477,17.31831123,14.72519089,19.79937419
2,480,19.67930464,17.92608743,22.59239465,19.44469863
2,540,27.16139479,19.87237813,33.67696033,19.97050018
2,600,34.2991583,22.78325782,43.9866682,21.49857135
2,660,39.41520011,26.02549322,50.83918717,23.83643131
2,720,42.09567487,28.85981072,54.58017849,26.42186659
2,780,43.25032186,30.29894191,55.88447597,28.33138295
2,840,42.01827247,29.91766774,54.2434391,28.68966584
2,900,38.1343773,28.10123765,49.0434693,28.01642787
2,960,31.94937588,25.12825719,40.38746726,26.20399713
2,1020,24.57518309,21.73956409,29.69038641,23.84189065
2,1080,20.03278411,19.74354494,22.37474172,21.78318394
2,1140,17.95534618,18.73952127,19.09541978,20.68528536
2,1200,16.79404316,17.95699929,17.50079202,19.83731063
2,1260,15.94815012,17.37421492,16.39576744,19.23395276
2,1320,15.28049159,16.94805468,15.53210168,18.81834632
2,1380,14.76572419,16.59869418,14.88143327,18.45655082
3,0,14.38414078,16.27509259,14.42128246,18.06975566
3,60,14.05647075,16.18018185,13.96438401,17.96361091
3,120,13.80444167,16.15657416,13.66061709,17.96971956
3,180,13.56881111,16.20375276,13.39455128,18.06966694
3,240,13.34131507,16.34313423,13.15109788,18.27462355
3,300,13.10154885,16.73494161,12.90966565,18.68526687
3,360,12.89024876,17.13387948,12.70478616,19.17597696
3,420,14.28377826,16.98804927,14.71419442,19.28007459
3,480,19.67813314,17.64204587,22.62937764,18.97354324
3,540,27.18544402,19.63368071,33.75892115,19.55756047
3,600,34.34055112,22.58887421,44.09977725,21.15018536
3,660,39.46404485,25.86735807,50.96512006,23.54388409
3,720,42.14025892,28.73643471,54.69998798,26.18353997
3,780,43.29237629,30.19365468,55.99709958,28.12975308
3,840,42.05280028,29.81259722,54.34095961,28.49165659
3,900,38.15409369,27.99485708,49.11397912,27.82207527
3,960,31.94833525,25.01381903,40.42125775,26.00159782
3,1020,24.55053836,21.61669816,29.68317911,23.63193661
3,1080,19.99045735,19.61239074,22.33868771,21.56543755
3,1140,17.90847505,18.60563098,19.05144387,20.46492091
3,1200,16.74624104,17.82092284,17.45597335,19.61519436
3,1260,15.89983322,17.23579245,16.35068436,19.00960758
3,1320,15.23116595,16.77583394,15.48557967,18.52971294
3,1380,14.71617069,16.39787459,14.834868,18.11502924
4,0,14.33599916,16.11659948,14.37771983,17.81335954
4,60,14.0064275,16.02698642,13.9172111,17.7222211
4,120,13.7541596,15.99697224,13.61303631,17.72181742
4,180,13.51843759,16.03379717,13.34681028,17.80958085
4,240,13.29096092,16.15888448,13.10334473,17.99794651
4,300,13.05146437,16.52523321,12.86199561,18.38406846
4,360,12.84030371,16.89868993,12.65705352,18.84748184
4,420,14.24927343,16.76712431,14.69147612,18.94323867
4,480,19.6733634,17.44948702,22.65757487,18.66409903
4,540,27.20678999,19.47129418,33.8337022,19.28537092
4,600,34.37949092,22.45706351,44.20638359,20.92122365
4,660,39.51054115,25.7613651,51.08494956,23.35383148
4,720,42.18275258,28.65451298,54.81412445,26.03076074
4,780,43.33241709,30.12396848,56.10433625,28.00137594
4,840,42.08549278,29.74206211,54.43337903,28.36408479
4,900,38.17236221,27.92130562,49.17984466,27.69388094
4,960,31.94642471,24.93183301,40.45105586,25.86379915
4,1020,24.52555753,21.52555279,29.67248164,23.48431504
4,1080,19.94751468,19.51243842,22.29858259,21.40866745
4,1140,17.86094683,18.50265747,19.00320093,20.30435618
4,1200,16.69782194,17.71571057,17.40692569,19.45218335
4,1260,15.85095027,17.12831307,16.30146237,18.84393863
4,1320,15.18126169,16.66625765,15.43490136,18.36163569
4,1380,14.66607638,16.28631248,14.78424574,17.94472473
5,0,14.28749394,16.00278449,14.33048332,17.64032487
5,60,13.95575069,15.90877191,13.86599193,17.54399034
5,120,13.70303479,15.87281933,13.5612028,17.53629033
5,180,13.46695895,15.90188512,13.29457002,17.61459846
5,240,13.23915919,16.01677083,13.05078916,17.79099657
5,300,12.99927405,16.36471681,12.80901731,18.15922416
5,360,12.78780981,16.71935694,12.60366729,18.60252097
5,420,14.21375703,16.59805237,14.6647024,18.69169172
5,480,19.66883318,17.3013841,22.68373285,18.43177213
5,540,27.2285909,19.34652989,33.90710284,19.08099273
5,600,34.41862966,22.35672502,44.3115303,20.75074584
5,660,39.55695922,25.68197619,51.2031158,23.21454845
5,720,42.22507061,28.59416039,54.92650753,25.92097922
5,780,43.37222354,30.07306341,56.2098167,27.91022707
5,840,42.11807074,29.6898709,54.52417573,28.2725225
5,900,38.19087674,27.8654155,49.24445442,27.59982979
5,960,31.945333,24.86745766,40.48019981,25.75952044
5,1020,24.50194057,21.45184218,29.66161087,23.36934713
5,1080,19.9056612,19.42968548,22.25770987,21.28402082
5,1140,17.81447064,18.41687905,18.95394962,20.17555916
5,1200,16.65049844,17.62778773,17.35688505,19.32079514
5,1260,15.80321974,17.03829188,16.25131957,18.70990227
5,1320,15.1325018,16.57434295,15.38326316,18.22526534
5,1380,14.61717458,16.19263932,14.73275181,17.8062383
6,0,14.24038234,15.90715093,14.28277245,17.49933375
6,60,13.90622812,15.80958822,13.81391087,17.3986967
6,120,13.65292913,15.76894329,13.50835578,17.38516613
6,180,13.41633546,15.79193165,13.24114893,17.4560136
6,240,13.18800072,15.8988952,12.99685474,17.62306856
6,300,12.94732372,16.23249035,12.7543369,17.97738655
6,360,12.73527808,16.57220765,12.548343,18.4049095
6,420,14.17943019,16.45904045,14.63745033,18.48850538
6,480,19.6663726,17.17928522,22.7109944,18.24327009
6,540,27.25234523,19.24421521,33.98180207,18.91570891
6,600,34.45921899,22.27550838,44.41752631,20.61443013
6,660,39.60436899,25.61906334,51.32163825,23.10539119
6,720,42.2681292,28.54742846,55.03893198,25.83704464
6,780,43.41265902,30.03420704,56.31522253,27.84174621
6,840,42.15138467,29.64949272,54.61498961,28.20294662
6,900,38.21049609,27.82103674,49.30944619,27.52680931
6,960,31.9459419,24.81464838,40.51034949,25.67597604
6,1020,24.48060094,21.38970849,29.65226125,23.27473992
6,1080,19.86582737,19.35837191,22.21776806,21.17950517
6,1140,17.76998653,18.34261278,18.90538863,20.06679839
6,1200,16.60521741,17.55150853,17.30754833,19.20948005
6,1260,15.75759732,16.96008511,16.20195526,18.59606286
6,1320,15.08584885,16.49443128,15.33236222,18.10925101
6,1380,14.57044011,16.1111672,14.68209141,17.68828009
7,0,14.19566457,15.82394905,14.23632558,17.37910056
7,60,13.85887383,15.72342011,13.7626945,17.27482977
7,120,13.60489976,15.67890005,13.45625937,17.25646632
7,180,13.3676809,15.69689818,13.18836268,17.32117576
7,240,13.13867369,15.79740172,12.94342325,17.48060433
7,300,12.89694222,16.11920516,12.6999436,17.82357416
7,360,12.68413232,16.44645674,12.49313942,18.23810228
7,420,14.14755724,16.34020139,14.61171598,18.31684866
7,480,19.66703257,17.07495006,22.74110409,18.08363418
7,540,27.2789051,19.15754144,34.05926412,18.77653137
7,600,34.50196369,22.20788926,44.52561292,20.50128628
7,660,39.65337037,25.56807053,51.4415886,23.01695487
7,720,42.31245239,28.5107488,55.15235794,25.77112678
7,780,43.45422618,30.00436278,56.42146736,27.7892378
7,840,42.18594119,29.61796846,54.70673384,28.14887868
7,900,38.2317479,27.78536981,49.37576336,27.46873042
7,960,31.94881186,24.77063671,40.54249642,25.60719407
7,1020,24.46213755,21.33645924,29.6454785,23.19473046
7,1080,19.82863284,19.29583445,22.17981953,21.08946251
7,1140,17.72812472,18.27721983,18.85858796,19.97251515
7,1200,16.56261585,17.48423383,17.25998938,19.11272994
7,1260,15.71472854,16.89103998,16.15445102,18.49693843
7,1320,15.0419547,16.42384544,15.28328292,18.00811808
