julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,0.734851871,0.138004023,-0.18370448,-1.44677079
1,60,0.550265016,1.5576309,-0.437909894,1.641748916
1,120,0.310329559,1.687128626,-0.71307098,2.051694394
1,180,0.062295544,1.700283972,-1.014596625,2.172679047
1,240,-0.174934548,1.694476017,-1.29054957,2.215489055
1,300,-0.457662911,1.748277562,-1.626949818,2.328435683
1,360,-0.805562495,1.915204514,-1.996204127,2.570376429
1,420,-0.962186312,2.005809534,-2.175172642,2.731623955
1,480,1.727551329,2.091811245,1.998936384,2.675752764
1,540,6.900142113,3.69749487,10.00630309,3.605959074
1,600,12.17468522,6.17416362,17.77024082,5.101164072
1,660,16.43715804,9.355527376,23.56493879,7.928800527
1,720,18.47911408,12.02622024,25.93628697,10.634729
1,780,19.30345589,13.27029059,26.63012485,12.32385685
1,840,17.84289715,12.69814948,24.33084858,12.23496838
1,900,14.28492997,10.61780788,19.27199952,10.72584883
1,960,9.198254281,7.683025129,11.89363544,8.394460515
1,1020,5.319816378,5.537127433,5.848285958,6.345417616
1,1080,3.8293441,4.587303988,3.495860716,5.212925076
1,1140,2.957312627,3.910630819,2.37233398,4.51012008
1,1200,2.299929517,3.375311064,1.584453873,3.970589346
1,1260,1.870550562,2.925734507,1.182789211,3.498421084
1,1320,1.175801612,2.584456996,0.109593455,3.165480627
1,1380,0.9539477,2.286317942,-0.008235272,2.847429827
2,0,0.667552348,2.067315863,-0.326125635,2.636093532
2,60,0.428106988,1.931522558,-0.618013886,2.485686187
2,120,0.181517628,1.829944316,-0.909743151,2.400409415
2,180,-0.082300405,1.751174216,-1.216744714,2.350784695
2,240,-0.372856197,1.702059333,-1.548635103,2.342594198
2,300,-0.706515054,1.697316319,-1.919630874,2.390186328
2,360,-1.143621481,1.785964261,-2.378462912,2.538549123
2,420,-1.259163299,1.821245129,-2.42914385,2.665905493
2,480,1.496698412,2.033078875,1.686677355,2.683498745
2,540,6.713553698,3.335661079,9.771832053,3.020571964
2,600,11.99911206,6.075345807,17.56040759,5.052723952
2,660,16.26407261,9.16679121,23.36666613,7.695652749
2,720,18.30757854,11.91577457,25.74632061,10.58994273
2,780,19.13156186,13.11783447,26.44259324,12.18271838
2,840,17.67481722,12.48314157,24.14930977,11.94335129
2,900,14.12383368,10.57056624,19.0986427,10.81799883
2,960,9.044441504,7.466120543,11.72719398,8.082393204
2,1020,5.158244708,5.415764697,5.666940326,6.256044073
2,1080,3.663986727,4.358009411,3.303448481,4.875639696
2,1140,2.792429393,3.854497671,2.179128702,4.560736641
2,1200,2.136200054,3.140253352,1.392417486,3.62024144
2,1260,1.705883895,2.87728781,0.987675712,3.558306634
2,1320,1.016847252,2.356834113,-0.073770252,2.833095284
2,1380,1.047800228,2.235328111,0.349713217,2.894891185
3,0,0.544678889,1.848100729,-0.43392471,2.324363574
3,60,0.268259211,1.785531292,-0.803314891,2.328888566
3,120,0.017254405,1.692544999,-1.102993763,2.260931475
3,180,-0.250205894,1.616053743,-1.415668511,2.215379948
3,240,-0.542037291,1.566500296,-1.747944503,2.205907314
3,300,-0.874613155,1.56299398,-2.114340496,2.255327473
3,360,-1.315214176,1.653113886,-2.575897133,2.406126014
3,420,-1.435145644,1.685516437,-2.634812686,2.529512881
3,480,1.343295437,1.897747892,1.512690116,2.543328471
3,540,6.572004747,3.203360602,9.620385825,2.886761752
3,600,11.85814334,5.938076866,17.41533194,4.914551044
3,660,16.1202296,9.024336661,23.22344199,7.554896461
3,720,18.16021439,11.7659349,25.60245036,10.44028486
3,780,18.982492,12.96639972,26.29783975,12.03243471
3,840,17.52885626,12.33312506,24.00869536,11.79326775
3,900,13.98411524,10.42511227,18.96450124,10.67053525
3,960,8.911088905,7.329655593,11.59804575,7.946076868
3,1020,5.015563036,5.274932298,5.520122969,6.113454034
3,1080,3.516696863,4.222254866,3.143514427,4.741828752
3,1140,2.645286395,3.716056797,2.017479261,4.41858889
3,1200,1.990063031,3.008516475,1.231401667,3.491165815
3,1260,1.558885866,2.741125233,0.823525479,3.4179219
3,1320,0.875129075,2.227584357,-0.227367506,2.706531876
3,1380,0.899292232,2.101318382,0.180788831,2.757028069
4,0,0.400010886,1.720144635,-0.59508385,2.198556981
4,60,0.123493386,1.65584886,-0.964372527,2.198901943
4,120,-0.128489875,1.563115579,-1.265572489,2.130971049
4,180,-0.3973242,1.487061389,-1.58024378,2.085819754
4,240,-0.691158714,1.438045317,-1.915260877,2.076920279
4,300,-1.026745922,1.435070873,-2.285494433,2.126847736
4,360,-1.471153846,1.525115563,-2.751435746,2.277513348
4,420,-1.582472242,1.556283024,-2.797458621,2.399776452
4,480,1.214737313,1.772394734,1.378939562,2.415799122
4,540,6.45173566,3.078716066,9.504142621,2.760763403
4,600,11.73631954,5.809848773,17.30200277,4.78653036
4,660,15.99406973,8.890060009,23.10934615,7.421983974
4,720,18.02876696,11.62565653,25.48465168,10.30137396
4,780,18.84897451,12.82328474,26.17817135,11.8898466
4,840,17.39820011,12.19260401,23.89253921,11.65378125
4,900,13.8592898,10.28808596,18.8540177,10.5315261
4,960,8.791974519,7.201347053,11.49137404,7.818132944
4,1020,4.885809441,5.142513719,5.393735917,5.980976964
4,1080,3.38162922,4.092369675,3.002360791,4.612432287
4,1140,2.510131176,3.587186841,1.874035725,4.289265058
4,1200,1.855843587,2.881329194,1.088371225,3.3637622
4,1260,1.423945325,2.615288257,0.677588893,3.291989724
4,1320,0.745053984,2.102466888,-0.363759484,2.580924282
4,1380,0.763117631,1.977406321,0.03045747,2.633004193
5,0,0.267408545,1.59698761,-0.73835671,2.075299508
5,60,-0.008997006,1.53311506,-1.107372203,2.076016058
5,120,-0.261607422,1.440901816,-1.409683215,2.008647048
5,180,-0.531362345,1.36538129,-1.725816987,1.964064063
5,240,-0.826602462,1.316940493,-2.062878945,1.955775907
5,300,-1.164386514,1.314619835,-2.436032118,2.006381597
5,360,-1.611194325,1.404764929,-2.904916374,2.157156453
5,420,-1.712077613,1.434632376,-2.935379442,2.278256529
5,480,1.103045312,1.654742199,1.270299871,2.296368707
5,540,6.347243801,2.962086436,9.411763659,2.642941037
5,600,11.62945133,5.690074528,17.2112037,4.667036002
5,660,15.88225114,8.76458808,23.01660307,7.297884191
5,720,17.91076943,11.49443194,25.38662636,10.17153909
5,780,18.72876438,12.68929649,26.07781656,11.75640173
5,840,17.28068733,12.06113738,23.79531564,11.52339575
5,900,13.74725898,10.15991161,18.7618587,10.40150599
5,960,8.685060185,7.08146467,11.40202534,7.69873217
5,1020,4.76705542,5.017868679,5.282909538,5.85669025
5,1080,3.25684257,3.969914517,2.875135,4.490532783
5,1140,2.385015025,3.465890191,1.743978871,4.167839311
5,1200,1.731591451,2.761436107,0.95855625,3.243680715
5,1260,1.299111164,2.496904566,0.545149279,3.173775274
5,1320,0.624646454,1.984590857,-0.487658726,2.462593573
5,1380,0.637305975,1.860865932,-0.105922081,2.51656258
6,0,0.144866558,1.481039375,-0.868395761,1.959285158
6,60,-0.131325152,1.417641253,-1.237066955,1.960486952
6,120,-0.384360952,1.325948997,-1.540240172,1.893684006
6,180,-0.654777247,1.250961723,-1.857517224,1.849668368
6,240,-0.951078829,1.203099166,-2.196205055,1.84199334
6,300,-1.290587216,1.201447353,-2.571720429,1.893293737
6,360,-1.738955401,1.291685304,-3.042664786,2.044176259
6,420,-1.827613941,1.320138034,-3.054838195,2.164006519
6,480,1.005350959,1.544576696,1.181138834,2.184329127
6,540,6.256388398,2.853387038,9.338628402,2.532771518
6,600,11.53590242,5.578794994,17.13910903,4.555767539
6,660,15.78348027,8.648022039,22.94196046,7.182405245
6,720,17.80529929,11.37244061,25.30573902,10.05073837
6,780,18.62102948,12.56462783,25.99435506,11.63209163
6,840,17.17551987,11.93892365,23.71470539,11.40211869
6,900,13.64725542,10.04078857,18.68579368,10.28048526
