julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-6.471136062,-6.710734894,-7.062922025,-7.574766771
1,60,-6.719802332,-5.863562477,-7.451561138,-5.666708198
1,120,-6.962657363,-5.844244439,-7.731233567,-5.46269092
1,180,-7.205856554,-5.880822284,-8.028775948,-5.423113577
1,240,-7.423391898,-5.913596664,-8.280161513,-5.416242929
1,300,-7.684101358,-5.890121315,-8.600506799,-5.342596882
1,360,-8.005608562,-5.748690991,-8.947081851,-5.13753211
1,420,-8.318950108,-5.612920429,-9.316500729,-4.943926557
1,480,-6.713489184,-5.659774223,-7.005684487,-5.055769216
1,540,-2.401213422,-4.278802343,-0.881190617,-4.641441505
1,600,2.773524013,-1.271569574,6.190847283,-2.397508079
1,660,7.168486317,2.223514376,11.64530855,0.640192273
1,720,9.716922439,5.312615762,14.43839738,3.879435855
1,780,10.72148292,6.694794883,15.39108453,5.73743251
1,840,9.414242087,5.888235412,13.6492544,5.268727688
1,900,5.834409543,3.76724567,8.978068199,4.108559492
1,960,0.907093005,0.178387065,2.476124851,0.775326472
1,1020,-2.150788058,-1.748250591,-1.931437779,-1.000855281
1,1080,-3.417493184,-2.732340755,-3.70421267,-2.135910472
1,1140,-4.266500025,-3.464760585,-4.715159877,-2.898798565
1,1200,-4.934835092,-4.049204774,-5.477104519,-3.492084161
1,1260,-5.477475262,-4.520728294,-6.086232792,-3.965664099
1,1320,-5.901172902,-4.918370277,-6.535289189,-4.382294741
1,1380,-6.346042978,-5.221315063,-7.111199468,-4.677316117
2,0,-6.55081802,-5.487014179,-7.233143188,-4.960584503
2,60,-6.855077598,-5.631886094,-7.660814813,-5.11097278
2,120,-7.103419751,-5.751534461,-7.956426448,-5.214150488
2,180,-7.363132344,-5.850855986,-8.25948524,-5.285301244
2,240,-7.637901545,-5.923312384,-8.571125886,-5.318196864
2,300,-7.939128712,-5.955388421,-8.902187938,-5.298744154
2,360,-8.362507753,-5.878166742,-9.353429482,-5.160736479
2,420,-8.722319629,-5.784617247,-9.733333196,-4.983495866
2,480,-6.983065049,-5.717406305,-7.384116469,-5.041838743
2,540,-2.610106364,-4.385628852,-1.15258053,-4.708063822
2,600,2.57721692,-1.395449466,5.952199243,-2.480745587
2,660,6.971394906,2.064920005,11.41936396,0.50272301
2,720,9.51676888,5.145451801,14.21802143,3.741697607
2,780,10.51861948,6.508487828,15.17081821,5.560113484
2,840,9.216011671,5.710328169,13.43399779,5.104567375
2,900,5.647013793,3.607082632,8.772389083,3.968624732
2,960,0.730858098,0.001671247,2.276959751,0.575597125
2,1020,-2.336185205,-1.860984345,-2.14899463,-1.05078565
2,1080,-3.603020555,-2.880601164,-3.926200857,-2.273124592
2,1140,-4.449742179,-3.613169877,-4.935296511,-3.040619205
2,1200,-5.11591368,-4.170123504,-5.694973971,-3.575773747
2,1260,-5.656857252,-4.69941201,-6.302294005,-4.180828718
2,1320,-6.079903207,-5.020096787,-6.75135649,-4.430373113
2,1380,-6.522270587,-5.404852243,-7.322754563,-4.905406187
3,0,-6.729136856,-5.584609233,-7.449839373,-5.005545497
3,60,-7.033101471,-5.765341005,-7.875917782,-5.233952631
3,120,-7.283226696,-5.887546502,-8.173974708,-5.343725605
3,180,-7.545496449,-5.986331182,-8.480471746,-5.415045632
3,240,-7.8240386,-6.056529227,-8.797082001,-5.444883207
3,300,-8.130923242,-6.086663022,-9.135296732,-5.423296926
3,360,-8.564059783,-6.007729372,-9.597302481,-5.283856571
3,420,-8.926883718,-5.912966414,-9.980478424,-5.104101455
3,480,-7.157827131,-5.842258493,-7.593259912,-5.158380488
3,540,-2.76609215,-4.517068564,-1.326004128,-4.83204882
3,600,2.421310455,-1.537753088,5.789483123,-2.613076719
3,660,6.808452982,1.906487584,11.25783553,0.353903179
3,720,9.344761253,4.974269058,14.05125419,3.580378794
3,780,10.3424336,6.329633756,15.00042872,5.386516763
3,840,9.043641513,5.537476177,13.2665365,4.938694725
3,900,5.484469311,3.442387503,8.612373855,3.805106355
3,960,0.578143563,-0.148531965,2.120905923,0.425947208
3,1020,-2.500176416,-2.007323094,-2.327130971,-1.188487862
3,1080,-3.767775644,-3.027647767,-4.110372434,-2.417305499
3,1140,-4.612474237,-3.757273499,-5.118400386,-3.182132234
3,1200,-5.276630113,-4.312169052,-5.876366955,-3.715990475
3,1260,-5.720604744,-4.837895585,-6.27109727,-4.315816381
3,1320,-6.425736643,-5.158347448,-7.341915414,-4.56714455
3,1380,-6.40056554,-5.539397299,-6.898383335,-5.035930323
4,0,-6.915812899,-5.720045518,-7.692559596,-5.139563845
4,60,-7.192301454,-5.898602397,-8.059593148,-5.364362024
4,120,-7.441388858,-6.01952831,-8.355005464,-5.472541128
4,180,-7.704106244,-6.11699549,-8.661662228,-5.542288737
4,240,-7.986460945,-6.185742481,-8.984439086,-5.570427796
4,300,-8.301531383,-6.214105301,-9.335692279,-5.546762797
4,360,-8.742907813,-6.133269815,-9.807762889,-5.405098933
4,420,-9.096640095,-6.038833684,-10.17601577,-5.224942974
4,480,-7.303155535,-5.964918829,-7.754551328,-5.277398335
