julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-6.855466244,-7.607053463,-7.520039883,-9.195792209
1,60,-6.753564158,-6.381146436,-7.255858806,-6.44682592
1,120,-6.910428746,-6.302361437,-7.411876994,-6.128701661
1,180,-7.083518394,-6.315550717,-7.620529208,-6.052466794
1,240,-7.248188579,-6.350623014,-7.818202376,-6.054564917
1,300,-7.431282572,-6.338506144,-8.044856549,-5.995246451
1,360,-7.697796919,-6.231548615,-8.362402229,-5.822344069
1,420,-7.897196677,-6.143971392,-8.581099784,-5.694589966
1,480,-6.644420512,-6.185895153,-6.685634816,-5.809813863
1,540,-3.228011565,-4.786567506,-1.649886905,-4.891571929
1,600,0.833493763,-2.486048824,4.06901078,-3.280858162
1,660,4.414131994,-0.081491055,8.761123747,-1.704983071
1,720,6.231232874,2.786600316,10.59240792,1.914363368
1,780,6.893027223,3.643690803,11.0144312,2.828395172
1,840,5.940948481,3.07291913,9.802022096,2.642276525
1,900,3.093469355,1.204008064,5.969452603,1.296883863
1,960,-0.814661609,-1.43334443,0.658563102,-0.85656059
1,1020,-3.208070978,-3.030321476,-2.912777117,-2.481855699
1,1080,-4.204317884,-3.804536036,-4.329425826,-3.37034118
1,1140,-4.872900775,-4.381233125,-5.128265447,-3.961537398
1,1200,-5.399475716,-4.836877805,-5.729018568,-4.409050203
1,1260,-5.76064576,-5.240127668,-6.055266966,-4.84841878
1,1320,-6.293646248,-5.517067537,-6.865921815,-5.087579799
1,1380,-6.310424773,-5.805410687,-6.568310665,-5.426795784
2,0,-6.917088575,-5.967137345,-7.657434135,-5.53940586
2,60,-6.921927149,-6.105810067,-7.481784726,-5.708794019
2,120,-7.093444207,-6.205875998,-7.670422117,-5.797253339
2,180,-7.280956619,-6.289371969,-7.882984952,-5.858006043
2,240,-7.499235861,-6.351965382,-8.142703789,-5.887842171
2,300,-7.726494907,-6.38450994,-8.396326776,-5.878302496
2,360,-8.043155298,-6.331308811,-8.739640905,-5.774849044
2,420,-8.327499658,-6.256984266,-9.043938983,-5.632792757
