julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-14.53749531,-16.42120948,-16.78712899,-20.39301587
1,60,-14.78285731,-13.47734731,-17.21024726,-14.7614385
1,120,-15.15083705,-12.89008298,-17.62831368,-13.48223466
1,180,-15.56680297,-12.72622884,-18.12635926,-13.04784999
1,240,-15.99953034,-12.68572825,-18.62602195,-12.87341726
1,300,-16.45809882,-12.58927863,-19.1166586,-12.634225
1,360,-17.1695211,-12.5394456,-19.83174196,-12.50539059
1,420,-17.7490385,-12.58229881,-20.48089016,-12.54095455
1,480,-15.3689176,-12.39977966,-17.54697283,-12.48125332
1,540,-9.13054494,-10.80787795,-8.576065966,-11.62449286
1,600,-1.790731918,-8.154352254,2.17699493,-9.95092942
1,660,4.057643555,-5.038886671,10.40848749,-7.612347142
1,720,6.792812915,-1.660045372,13.8977131,-3.917445662
1,780,7.83816136,-0.22761058,14.96017918,-2.039160311
1,840,6.1481261,-0.61782411,12.45080269,-1.70564905
1,900,1.617138766,-2.632669444,5.95922936,-2.866201984
1,960,-4.692777754,-5.599109383,-3.124930673,-4.992552314
1,1020,-8.972072331,-7.716262216,-9.655598941,-7.088475147
1,1080,-10.7933885,-8.656898524,-12.40268969,-8.071358548
1,1140,-11.83210173,-9.431078332,-13.71311061,-8.887184554
1,1200,-12.6114584,-10.00458144,-14.63050319,-9.437453093
1,1260,-13.32988878,-10.50051042,-15.5284519,-9.944383168
1,1320,-13.82711257,-10.88635314,-16.07094125,-10.3231517
1,1380,-14.37798407,-11.16421723,-16.78134151,-10.56346185
2,0,-14.72213796,-11.40825701,-17.14057991,-10.79700615
2,60,-15.13791317,-11.61954056,-17.67296248,-11.07274367
2,120,-15.54449301,-11.75336675,-18.15908753,-11.20490584
2,180,-15.98665004,-11.85680337,-18.67464191,-11.28839103
2,240,-16.48271256,-11.93130586,-19.23751719,-11.33192903
2,300,-17.06233576,-11.97096125,-19.87260414,-11.33412734
2,360,-17.90469478,-11.92322814,-20.71186291,-11.25125411
2,420,-18.48921966,-11.87244719,-21.30508815,-11.135151
2,480,-15.94676072,-11.75427452,-18.29119768,-11.1407807
2,540,-9.599092539,-10.38623466,-9.161791655,-10.5915796
2,600,-2.189220764,-8.09267236,1.693456224,-9.549899015
2,660,3.702888158,-4.750411951,9.987430001,-6.74633662
2,720,6.472617696,-1.831194068,13.52952678,-3.9558737
2,780,7.528551237,-0.234624313,14.61057729,-1.736401351
2,840,5.836995868,-0.842011356,12.10347592,-1.85872565
2,900,1.291457126,-2.702974706,5.595482636,-2.692380401
