julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-12.73715404,-14.87461099,-15.07475381,-19.09325461
1,60,-12.93776359,-11.8188823,-15.43080618,-13.36813843
1,120,-13.28361543,-11.12488731,-15.81816423,-11.92420827
1,180,-13.68111378,-10.90584444,-16.28777474,-11.40315733
1,240,-14.09809966,-10.8336919,-16.76179391,-11.17722915
1,300,-14.54189335,-10.72460023,-17.22753658,-10.91640507
1,360,-15.21376625,-10.68545141,-17.88386612,-10.79221046
1,420,-15.71470475,-10.73371378,-18.43779717,-10.83026793
1,480,-13.31104033,-10.5175996,-15.44612655,-10.73878469
1,540,-7.140733516,-9.107686574,-6.462097441,-9.982240856
1,600,0.065750757,-6.769522998,4.311193846,-8.489998859
1,660,5.702101563,-4.014200704,12.50168292,-6.383714832
1,720,8.218608284,-1.300731376,15.95056766,-3.687233175
1,780,9.121587976,0.059451409,16.8548972,-1.839722328
1,840,7.461796984,-0.124324047,14.29510003,-1.24492607
1,900,3.090994932,-1.808955452,7.840022876,-2.124928875
1,960,-3.029481931,-4.339085285,-1.227856871,-3.871321046
1,1020,-7.331472974,-6.168375799,-7.928694196,-5.599045086
1,1080,-9.173225912,-7.043600164,-10.77921906,-6.547659
1,1140,-10.17370694,-7.690278476,-12.08219866,-7.188431038
1,1200,-10.92270749,-8.225810069,-12.99742016,-7.728631066
1,1260,-11.57809264,-8.64112586,-13.81584657,-8.129320116
1,1320,-12.07889251,-8.994712358,-14.40303942,-8.487137739
1,1380,-12.55937868,-9.272102634,-15.00425297,-8.760236319
2,0,-12.93217813,-9.481774195,-15.44140656,-8.954515182
2,60,-13.31007624,-9.640167572,-15.90954166,-9.143251639
2,120,-13.69886129,-9.753123683,-16.37030648,-9.251073453
2,180,-14.12225555,-9.841733171,-16.85871843,-9.321457424
2,240,-14.59705304,-9.905272489,-17.39012489,-9.358153014
2,300,-15.1495353,-9.93726458,-17.98431643,-9.357713192
2,360,-15.94173906,-9.895165891,-18.75205579,-9.287457117
2,420,-16.45000263,-9.858403254,-19.26177288,-9.193884714
2,480,-13.90176682,-9.743002914,-16.1996536,-9.19476932
2,540,-7.623254843,-8.587067966,-7.062300452,-8.786027281
2,600,-0.341219494,-6.624063015,3.818569728,-7.938568777
2,660,5.344575827,-3.769142532,12.0780795,-5.620097378
2,720,7.898192377,-1.220227511,15.58150775,-3.209540971
2,780,8.814467951,0.175168409,16.50887657,-1.294810977
2,840,7.152341286,-0.275726056,13.95080992,-1.249711075
2,900,2.763262661,-1.885965634,7.47495753,-1.970446006
2,960,-3.388539238,-4.508477397,-1.633197652,-3.891538553
2,1020,-7.731110607,-6.323138381,-8.392945485,-5.575624552
2,1080,-9.591033259,-7.22419953,-11.27360748,-6.575327807
2,1140,-10.5983437,-7.876869907,-12.5858641,-7.228191236
2,1200,-11.35185509,-8.413157853,-13.50637735,-7.770652148
2,1260,-12.01054636,-8.839331972,-14.32799737,-8.193657467
2,1320,-12.51519958,-9.174889349,-14.91974879,-8.518426572
2,1380,-12.99791715,-9.458061943,-15.52244367,-8.804707532
3,0,-13.37473048,-9.713358024,-15.96459391,-9.087126858
3,60,-13.75712375,-9.842130144,-16.43694123,-9.224975932
3,120,-14.15230337,-9.942759802,-16.90474896,-9.31587997
3,180,-14.58344887,-10.01935517,-17.40166704,-9.371610352
3,240,-15.06777726,-10.06776609,-17.94331117,-9.390418833
3,300,-15.63228779,-10.07827025,-18.54987775,-9.364719684
3,360,-16.4413125,-10.00118663,-19.33333667,-9.257611483
3,420,-16.95369583,-9.93578861,-19.84809116,-9.128002835
3,480,-14.35659951,-9.845279311,-16.73048486,-9.134963297
3,540,-8.011491274,-8.712347909,-7.501132683,-8.753781821
3,600,-0.674019816,-6.797803016,3.456668826,-7.994003494
3,660,5.048787637,-3.961249478,11.76562899,-5.716006974
3,720,7.628370314,-1.432335503,15.30678009,-3.346432402
3,780,8.553696139,-0.043336792,16.24842162,-1.450230705
3,840,6.887914004,-0.49569964,13.6887788,-1.40565671
3,900,2.480250335,-2.11540792,7.190888136,-2.136454532
3,960,-3.703288678,-4.747935492,-1.958956007,-4.0634176
3,1020,-8.088216479,-6.577590298,-8.78097921,-5.761159379
3,1080,-9.967204192,-7.483749231,-11.69419669,-6.769095349
3,1140,-10.98165729,-8.138474335,-13.01696999,-7.4249224
3,1200,-11.73973621,-8.676591175,-13.94350495,-7.970379835
3,1260,-12.40188038,-9.103232953,-14.76922931,-8.394150404
3,1320,-12.91021321,-9.437944356,-15.36583208,-8.717527652
3,1380,-13.3951983,-9.720642854,-15.97072427,-9.003423552
4,0,-13.7756799,-9.976698236,-16.41787482,-9.287995048
4,60,-14.16174425,-10.10171906,-16.8940924,-9.421185015
4,120,-14.56196574,-10.19707459,-17.36780152,-9.505278744
4,180,-14.99912573,-10.26663166,-17.8716465,-9.551925586
4,240,-15.49076199,-10.30567686,-18.42145579,-9.55887716
4,300,-16.06441435,-10.30347222,-19.03773593,-9.517664264
4,360,-16.88484781,-10.20627078,-19.83237158,-9.388440201
4,420,-17.39757335,-10.12422643,-20.34866696,-9.236654829
4,480,-14.75731736,-10.04349079,-17.17731697,-9.243834148
4,540,-8.352966201,-8.918938947,-7.864567801,-8.875538638
4,600,-1.07743866,-7.025362824,2.953952165,-8.15979416
4,660,4.519467561,-4.191681996,10.9910151,-5.896732572
4,720,7.454424051,-1.66857182,15.21864556,-3.544597529
4,780,8.325920263,-0.279809725,16.04525973,-1.6541239
4,840,6.558366669,-0.732669852,13.28320834,-1.607689686
4,900,2.17888171,-2.359932546,6.858975921,-2.344277703
4,960,-4.002014161,-5.002027078,-2.263144411,-4.275807937
4,1020,-8.425216948,-6.846254347,-9.138751972,-5.985233303
4,1080,-10.32227515,-7.757144401,-12.08286375,-7.000407411
4,1140,-11.34299098,-8.413502244,-13.4147173,-7.658076394
4,1200,-12.10481751,-8.953186958,-14.34596837,-8.205706679
4,1260,-12.76992564,-9.380220713,-15.17515255,-8.629760357
4,1320,-13.28127744,-9.714142184,-15.77563778,-8.951493876
4,1380,-13.76820307,-9.996449776,-16.38241884,-9.236774504
5,0,-14.15175832,-10.25338413,-16.83376294,-9.523303785
5,60,-14.54085512,-10.37563791,-17.31320811,-9.652815767
5,120,-14.94523983,-10.46722955,-17.79182654,-9.731875712
5,180,-15.3873717,-10.53178582,-18.30144164,-9.771912928
5,240,-15.88505625,-10.56418195,-18.85805722,-9.770303443
5,300,-16.46628964,-10.55294857,-19.48243811,-9.717938772
5,360,-17.29517803,-10.44194554,-20.28561188,-9.573266681
5,420,-17.80570452,-10.3491167,-20.80087165,-9.40646352
5,480,-15.12385317,-10.27299321,-17.57455464,-9.413115521
5,540,-8.663301365,-9.151262299,-8.18139882,-9.052547065
5,600,-1.34335827,-7.267684726,2.69861326,-8.363528411
5,660,4.282786541,-4.431098116,10.77397088,-6.105955131
5,720,7.233588313,-1.908115017,15.02265313,-3.761816496
5,780,8.112945496,-0.517324792,15.86129725,-1.872274299
5,840,6.341110148,-0.970439998,13.09591021,-1.823343271
5,900,1.94437165,-2.604588299,6.651285083,-2.564278729
5,960,-4.267499705,-5.256194065,-2.512053703,-4.500177551
5,1020,-8.735414698,-7.115182172,-9.45392658,-6.22080585
5,1080,-10.65257291,-8.030809034,-12.4333988,-7.243197962
5,1140,-11.68045655,-8.688653826,-13.77647318,-7.902359186
5,1200,-12.44645617,-9.229901232,-14.71359505,-8.452063044
5,1260,-13.1149134,-9.657363076,-15.54729018,-8.876357176
5,1320,-13.62931522,-9.990528806,-16.15200127,-9.196378475
5,1380,-14.11836085,-10.2725641,-16.76129406,-9.481112062
6,0,-14.50483693,-10.53068393,-17.2168129,-9.769993015
6,60,-14.89674259,-10.6507299,-17.69950375,-9.896452387
6,120,-15.30483969,-10.73942216,-18.18268133,-9.971569796
6,180,-15.75134598,-10.80012842,-18.69753077,-10.00646559
6,240,-16.2543082,-10.82739153,-19.26022444,-9.998203242
6,300,-16.8421314,-10.80916086,-19.891766,-9.937164199
6,360,-17.67739257,-10.68786258,-20.70171526,-9.78080375
6,420,-18.1837118,-10.5876129,-21.21389748,-9.603097692
6,480,-15.46089275,-10.51335628,-17.930898,-9.609075572
6,540,-8.946250949,-9.391458701,-8.459164293,-9.253597804
6,600,-1.585012083,-7.511959888,2.478164844,-8.581986358
6,660,4.067724086,-4.669338419,10.58798494,-6.324673708
6,720,7.031739051,-2.143533092,14.85378,-3.983521773
6,780,7.918411925,-0.749561065,15.703421,-2.092369729
6,840,6.141932973,-1.202895516,12.9336435,-2.040829164
