julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-19.72021135,-20.885736,-21.8990157,-24.21606542
1,60,-20.01125662,-18.38688861,-22.38839947,-19.22926059
1,120,-20.3896275,-17.95288626,-22.84332212,-18.21848682
1,180,-20.81305375,-17.84575708,-23.37205312,-17.89367002
1,240,-21.26734898,-17.82527779,-23.92323944,-17.76883163
1,300,-21.77610555,-17.7356466,-24.50620388,-17.55617431
1,360,-22.56518578,-17.65504644,-25.34881912,-17.4070734
1,420,-23.15983979,-17.66140972,-26.04970231,-17.40140187
1,480,-20.28974686,-17.52197529,-22.23878502,-17.37166051
1,540,-13.79770795,-15.9478982,-12.45523672,-16.50108901
1,600,-6.777282157,-13.39395724,-1.831957776,-14.93076528
1,660,-1.568225469,-10.10434283,5.515614354,-12.09631166
1,720,1.064955334,-7.204491463,9.042475865,-9.182232594
1,780,1.92496815,-5.722288408,9.754276229,-7.099211642
1,840,0.329127648,-6.351068144,7.320306446,-7.287934916
1,900,-3.927435798,-8.205923506,1.104668237,-8.176799906
1,960,-9.977103699,-11.32092066,-7.849069629,-10.74020995
1,1020,-14.33422136,-13.29221277,-14.78234349,-12.55965287
1,1080,-16.15435842,-14.32290319,-17.65781471,-13.78569729
1,1140,-17.14705173,-14.96265093,-18.93702461,-14.36105346
1,1200,-17.87295355,-15.59372159,-19.79015938,-15.06105151
1,1260,-18.57759615,-16.00917376,-20.70427645,-15.42805962
1,1320,-19.0172087,-16.4182331,-21.15783667,-15.87421269
1,1380,-19.5787052,-16.70219286,-21.92395363,-16.13957509
2,0,-19.86524941,-16.96137585,-22.1873497,-16.41448219
2,60,-20.28988035,-17.107095,-22.76234841,-16.57206788
2,120,-20.69665601,-17.22239713,-23.26979985,-16.67516241
2,180,-21.14485221,-17.31515171,-23.81555376,-16.74378394
2,240,-21.6565101,-17.38076156,-24.42246335,-16.77545475
2,300,-22.26886206,-17.40833872,-25.12468411,-16.76068559
2,360,-23.16417173,-17.34701421,-26.0636718,-16.65700448
2,420,-23.77769982,-17.29273901,-26.73318366,-16.5295691
2,480,-20.74952529,-17.1630851,-22.84189496,-16.5355525
2,540,-14.16132078,-15.74740804,-12.91117038,-15.89494992
2,600,-7.181910998,-13.45123786,-2.392901668,-14.80030503
2,660,-1.890991298,-10.13435835,5.09791692,-11.90377957
2,720,0.800240757,-7.345790951,8.731201811,-9.213424832
2,780,1.672162673,-5.829618808,9.466540583,-7.05888832
2,840,0.002551227,-6.517898653,6.875218961,-7.377332762
2,900,-4.219185489,-8.337292494,0.746176014,-8.183435064
2,960,-10.26021169,-11.50993808,-8.17421785,-10.86175712
2,1020,-14.64299134,-13.45599121,-15.14363901,-12.61275811
2,1080,-16.47348642,-14.53037665,-18.03755233,-13.93111428
2,1140,-17.46933507,-15.141146,-19.32076131,-14.44561618
2,1200,-18.19680052,-15.80177362,-20.17490573,-15.20758505
2,1260,-18.90385591,-16.19818414,-21.09187438,-15.53596313
