julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-29.67908328,-30.56719192,-46.03295673,-47.41043415
1,60,-30.83493914,-19.78359946,-47.83440671,-30.6904041
1,120,-31.83429685,-14.61772395,-49.39367623,-22.6806682
1,180,-32.69310119,-11.72247921,-50.73537632,-18.19173993
1,240,-33.43320467,-9.872198588,-51.89616436,-15.32396447
1,300,-34.0855768,-8.438477588,-52.91205784,-13.09930053
1,360,-31.6491741,-7.411458939,-49.120023,-11.50270248
1,420,-20.4238701,-6.755988787,-31.69175229,-10.48327874
1,480,-3.223107746,-6.192007484,-5.000286941,-9.606198926
1,540,13.89306828,-5.577542798,21.54914383,-8.651168306
1,600,27.4008604,-5.070806459,42.49204689,-7.863583211
1,660,36.75795821,-4.776982402,56.99100154,-7.406423662
1,720,42.03112235,-4.532928017,65.1400931,-7.025159847
1,780,43.49506907,-4.17759608,67.40892677,-6.474464215
1,840,41.35809549,-3.827427361,64.1016205,-5.932195215
1,900,35.75999019,-3.657463549,55.42898671,-5.669170975
1,960,26.49007765,-3.58227474,41.0632986,-5.553023259
1,1020,14.04299291,-3.378729917,21.77014461,-5.237874816
1,1080,-1.069464959,-3.073083774,-1.658056077,-4.764387259
1,1140,-13.53753264,-2.923167157,-20.98955213,-4.532285983
1,1200,-20.43082598,-2.96620194,-31.67966365,-4.599338266
1,1260,-24.04664165,-2.901314599,-37.28893956,-4.49904591
1,1320,-26.49124801,-2.598591736,-41.08269891,-4.029903078
1,1380,-28.3234875,-2.387617129,-43.9272691,-3.702986793
2,0,-29.86171459,-2.508340673,-46.3162222,-3.890495424
2,60,-31.01803012,-2.39671982,-48.11843433,-3.718044145
2,120,-32.01229532,-2.311780355,-49.66985137,-3.586927632
2,180,-32.86476504,-2.237263217,-51.00176836,-3.471936593
2,240,-33.59829772,-2.168891153,-52.15242743,-3.366627066
2,300,-34.24453364,-2.105094258,-53.15882447,-3.267801434
2,360,-31.80944081,-2.046790786,-49.36877023,-3.176652637
2,420,-20.57018119,-1.994199162,-31.91878941,-3.094402646
2,480,-3.334158591,-1.945506224,-5.172570567,-3.018233224
2,540,13.81855838,-1.898155668,21.43357631,-2.944175742
