julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,0.666240293,0.122092818,0.005521268,-1.158965256
1,60,0.580368494,1.120836927,-0.085066773,1.04358733
1,120,0.421354506,1.231679413,-0.270374353,1.376325073
1,180,0.255570867,1.246300776,-0.476002258,1.476068965
1,240,0.089877613,1.2410329,-0.678139047,1.510055511
1,300,-0.076185566,1.284392441,-0.866669001,1.609931648
1,360,-0.328303762,1.378235836,-1.135927302,1.747669845
1,420,-0.575778292,1.44504881,-1.415377562,1.833447967
1,480,0.580783981,1.404901075,0.245662642,1.769346952
1,540,3.723372043,2.374502113,5.052099244,2.349777862
1,600,7.389994996,3.962669868,10.5976265,3.31346394
1,660,10.45820082,5.648394771,14.99012868,4.270124951
1,720,11.82870932,7.903545129,16.58448293,7.154944952
1,780,12.32891495,8.415783978,16.92245497,7.521824744
1,840,11.41626969,8.148816197,15.53190839,7.750151185
1,900,8.95096065,6.822451751,11.91781958,6.893739348
1,960,5.587240858,4.901253313,6.989678832,5.385406898
1,1020,3.50745438,3.648926882,3.677316428,4.00501291
1,1080,2.650128881,3.217840598,2.373119993,3.67512018
1,1140,2.120587009,2.667688198,1.710219819,2.952061512
1,1200,1.709385545,2.459659221,1.223171551,2.907978527
1,1260,1.388420994,2.052854413,0.86369654,2.339105468
1,1320,1.067787932,1.949153696,0.446142649,2.380450057
1,1380,0.892707979,1.660796665,0.300451119,1.965559883
2,0,0.608641706,1.599244478,-0.117740866,2.002168958
2,60,0.489695868,1.480557985,-0.229437912,1.839764565
2,120,0.326648596,1.409384611,-0.42529144,1.774978714
2,180,0.150025018,1.354821456,-0.635774207,1.738063925
2,240,-0.047409888,1.318587643,-0.868938747,1.727614782
2,300,-0.275136167,1.306582586,-1.13174757,1.747338141
2,360,-0.595559496,1.362891382,-1.47103431,1.838042415
2,420,-0.844777361,1.44044569,-1.711520927,1.965262766
2,480,0.417125687,1.453569234,0.016248965,1.932952863
2,540,3.589226316,2.386292094,4.876769639,2.46660568
2,600,7.254700925,3.887461189,10.42914076,3.272621003
2,660,10.31328925,5.876736271,14.81491429,4.927232372
2,720,11.68368184,7.644412446,16.42044336,6.717824942
2,780,12.1747552,8.458700076,16.74260703,7.816372753
2,840,11.27128505,8.067428425,15.36835915,7.738872028
2,900,8.819558404,6.725848525,11.77109657,6.829672927
2,960,5.470909683,4.836304051,6.858939598,5.374984806
2,1020,3.389324189,3.535422384,3.540555547,3.878931983
2,1080,2.533275879,3.164173274,2.235212936,3.681977925
2,1140,2.00628012,2.535195774,1.574850635,2.775293914
2,1200,1.597329756,2.419212955,1.090304678,2.935735624
2,1260,1.277954794,1.924769215,0.73237218,2.168517962
2,1320,0.959495612,1.901232391,0.318090609,2.384695348
2,1380,0.784437118,1.554105473,0.17129795,1.839674812
3,0,0.502859918,1.531107544,-0.24232999,1.957938194
3,60,0.382920426,1.402266065,-0.355977494,1.772478373
3,120,0.219259239,1.331003031,-0.55272974,1.706202166
3,180,0.041691484,1.277664817,-0.764479804,1.670416163
3,240,-0.157119776,1.243392692,-0.999326487,1.662333815
3,300,-0.386916455,1.233588426,-1.264454919,1.684512141
3,360,-0.711076556,1.293130369,-1.607503988,1.778731266
3,420,-0.961551079,1.373275807,-1.850100555,1.909745451
3,480,0.316006281,1.385525904,-0.100910555,1.877510873
3,540,3.492136976,2.312109497,4.771282493,2.406736381
3,600,7.148053165,3.799278426,10.31602674,3.198510685
3,660,10.19284124,5.772909412,14.68761183,4.837167671
3,720,11.55821258,7.526525285,16.29531753,6.61175496
3,780,12.0394532,8.334448678,16.59982109,7.700905953
3,840,11.14425972,7.946655014,15.23961027,7.625667438
3,900,8.705211528,6.61372597,11.65720148,6.721448521
3,960,5.370452843,4.737321702,6.758632944,5.278250961
3,1020,3.285469394,3.439943866,3.431205275,3.78895209
3,1080,2.430131252,3.069111728,2.123329472,3.588509826
3,1140,1.905431979,2.446554688,1.464830837,2.692879835
3,1200,1.498583068,2.328429101,0.982315236,2.845476407
3,1260,1.180731771,1.840893076,0.625617686,2.091282375
3,1320,0.864331952,1.813948953,0.214169512,2.297905293
3,1380,0.68939878,1.473076,0.066298261,1.76491193
4,0,0.410206837,1.447103919,-0.343219941,1.875390451
4,60,0.289697639,1.320953685,-0.458389943,1.694736249
4,120,0.125948708,1.250968453,-0.655495865,1.630148561
4,180,-0.051879066,1.198866492,-0.867777146,1.595865037
4,240,-0.25117436,1.16594226,-1.103346718,1.589370907
4,300,-0.481796847,1.157813019,-1.36945609,1.613538429
4,360,-0.807267802,1.219342833,-1.713918246,1.710056596
4,420,-1.056983691,1.299999538,-1.956829905,1.84227243
4,480,0.233791294,1.313005429,-0.186606386,1.810386346
4,540,3.411917281,2.234751288,4.695030933,2.335864576
4,600,7.056866782,3.711063391,10.23003698,3.118392769
4,660,10.08685075,5.671927705,14.58562358,4.746279614
4,720,11.44585697,7.412382797,16.19323466,6.505996977
4,780,11.91626236,8.215318103,16.47748163,7.588884557
4,840,11.28101873,7.829739883,15.73057885,7.513120443
4,900,8.502363686,6.506706007,11.32670145,6.617388995
4,960,5.252040633,4.641279196,6.609375864,5.181386616
4,1020,3.183730336,3.348600595,3.320831227,3.702630329
4,1080,2.33471251,2.976141841,2.023490757,3.494197784
4,1140,1.813282361,2.361759506,1.36910965,2.613775197
4,1200,1.408432647,2.239624343,0.888386304,2.754459423
4,1260,1.092003103,1.760594946,0.532664871,2.016961065
4,1320,0.777287564,1.728627903,0.123171638,2.21057041
4,1380,0.603189059,1.395349359,-0.024300286,1.692604597
5,0,0.325186568,1.365103698,-0.432369217,1.792581258
5,60,0.204950655,1.242040936,-0.547464527,1.617680439
5,120,0.041418884,1.173254587,-0.744533327,1.55472792
5,180,-0.13631803,1.122220228,-0.956928034,1.521732536
5,240,-0.335688868,1.090400846,-1.192778129,1.516502622
5,300,-0.56661962,1.083630553,-1.459347686,1.54225469
5,360,-0.892203739,1.146533191,-1.804027269,1.640369462
5,420,-1.139899896,1.226904934,-2.04596577,1.772851584
5,480,0.163592174,1.241511536,-0.253700022,1.741621202
5,540,3.343530711,2.159125651,4.637758209,2.263644099
5,600,6.97736241,3.625896352,10.16291499,3.038566765
5,660,9.992376468,5.575726604,14.50210016,4.658557587
5,720,11.34444995,7.303506405,16.10860884,6.403788647
5,780,11.8034035,8.102269806,16.37090979,7.482184504
5,840,11.17538679,7.718201618,15.63566122,7.404439496
5,900,8.419151968,6.405367737,11.27042366,6.518507677
5,960,5.171599437,4.549757797,6.54164581,5.087802302
5,1020,3.09624573,3.261659689,3.237273554,3.62031825
5,1080,2.246937237,2.886913524,1.935250608,3.402574997
5,1140,1.727445504,2.280935575,1.282029031,2.538027376
5,1200,1.324505478,2.154435427,0.802958156,2.666135552
5,1260,1.00951034,1.684000446,0.448278284,1.945618925
5,1320,0.696701669,1.646794874,0.041240577,2.125834585
5,1380,0.522836237,1.321182543,-0.10714221,1.623114298
6,0,0.247073136,1.286439122,-0.511527176,1.712173813
6,60,0.126606927,1.166462381,-0.627714157,1.543085439
6,120,-0.036629042,1.098789538,-0.824687685,1.481660392
6,180,-0.21413394,1.048707081,-1.037037726,1.449797797
6,240,-0.413345962,1.017843763,-1.272870445,1.445632219
6,300,-0.644272516,1.012239871,-1.539522895,1.472717082
6,360,-0.969366812,1.07614254,-1.883827497,1.571999679
6,420,-1.214458223,1.155725069,-2.124278002,1.704169306
6,480,0.102294774,1.172504677,-0.308078001,1.673781311
6,540,3.284752059,2.086595913,4.594839091,2.192625836
6,600,6.907910998,3.544858945,10.11097484,2.961083227
6,660,9.908194902,5.484993622,14.43402194,4.5752089
6,720,11.25313596,7.200600505,16.03900203,6.306404406
6,780,11.7002078,7.995764753,16.27809587,7.381479427
6,840,11.08003113,7.612745413,15.55611347,7.300895369
6,900,8.344631012,6.3100703,11.22621015,6.425297954
6,960,5.098956252,4.46340416,6.484610247,4.99872136
6,1020,3.015188567,3.179399444,3.162137142,3.542393572
6,1080,2.165137461,2.802045087,1.854528967,3.314808798
6,1140,1.647393387,2.204349542,1.202148476,2.466004666
6,1200,1.246246833,2.073458957,0.724554907,2.581619955
6,1260,0.932642372,1.611377421,0.370881224,1.877636771
6,1320,0.621571364,1.569033332,-0.0340351,2.04477392
6,1380,0.448077458,1.250856604,-0.18299937,1.556854725
7,0,0.174276024,1.211678246,-0.584291582,1.635195822
7,60,0.053740585,1.094681006,-0.701256188,1.471740877
7,120,-0.109139196,1.028043428,-0.898050581,1.411735309
7,180,-0.286339342,0.978823831,-1.110262764,1.380885586
7,240,-0.485304575,0.94881009,-1.345975538,1.377643373
7,300,-0.716124524,0.944236951,-1.612608336,1.405883999
7,360,-1.040407409,1.008876369,-1.956219285,1.506034005
7,420,-1.28239336,1.087299093,-2.194642826,1.637475578
7,480,0.048542456,1.106708696,-0.352378367,1.608070002
7,540,3.234627196,2.017862016,4.564194726,2.124030346
7,600,6.847854085,3.468557595,10.07259377,2.886981429
7,660,9.833859961,5.400175076,14.38010283,4.496902566
7,720,11.17165115,7.104146526,15.9833991,6.2145827
7,780,11.60651536,7.896176357,16.19825399,7.287232634
7,840,10.99474195,7.513858642,15.49105785,7.203239697
7,900,8.278531408,6.221119691,11.19309108,6.338126993
7,960,5.033846394,4.382643905,6.437368053,4.914848746
7,1020,2.940275589,3.102055558,3.094498565,3.469135711
