julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,0.894259409,-0.904034479,0.242492991,-3.477101578
1,60,0.815920313,0.940000646,0.015243432,0.265757802
1,120,0.651927097,1.318918752,-0.167998327,1.142715504
1,180,0.467639924,1.450170779,-0.394793994,1.477412863
1,240,0.28891751,1.514257644,-0.603515789,1.648587207
1,300,0.115817466,1.627951985,-0.782523864,1.876532053
1,360,-0.128177244,1.741005008,-1.036106414,2.058637578
1,420,0.05118306,1.75397114,-0.709957907,2.100655942
1,480,2.052004046,1.911222586,2.39646707,2.138228832
1,540,6.151828731,2.956432347,8.948078189,2.67518113
1,600,10.91718859,4.571292401,16.74050687,3.621084237
1,660,13.9385551,6.378424778,21.17835312,4.871106496
1,720,15.35487678,8.044656781,23.2684164,6.390317696
1,780,15.878964,9.249382614,23.69826725,8.391651448
1,840,14.9369567,8.716224081,22.19655068,7.952116044
1,900,12.19927452,7.77113163,17.93895241,7.885382452
1,960,8.17805533,5.73728426,11.57496041,6.082127571
1,1020,4.874552002,4.452391592,6.12426422,5.182844392
1,1080,3.34221924,3.641193658,3.414608982,4.075045564
1,1140,2.560732133,3.306727275,2.259724136,3.891522418
1,1200,2.032790064,2.833370869,1.565404509,3.298796192
1,1260,1.618357828,2.601533447,1.039724346,3.145900664
1,1320,1.273476255,2.320812135,0.601879502,2.820655031
1,1380,0.998561,2.150010591,0.264077311,2.67512082
2,0,0.75547674,1.988532416,-0.04456535,2.505889403
2,60,0.564101192,1.905922757,-0.289615074,2.419280166
2,120,0.370434412,1.847613609,-0.526200332,2.376137409
2,180,0.165537341,1.809234677,-0.768372578,2.362776123
2,240,-0.058621365,1.79566831,-1.024560528,2.38194471
2,300,-0.314985585,1.817917369,-1.305428223,2.442508784
2,360,-0.628056455,1.90037677,-1.624556323,2.562748363
2,420,-0.42717604,1.922394257,-1.219368493,2.661234177
2,480,1.685488528,2.075678938,1.958753999,2.674851608
2,540,5.914869463,2.986894003,8.761710465,3.010985976
2,600,10.40683399,4.40604662,16.00683984,3.59487493
2,660,13.66140628,6.414838405,20.94201689,5.303501679
2,720,15.02343626,8.062961528,22.92200008,6.843394322
2,780,15.54152064,8.956198644,23.34179891,8.12979107
2,840,14.59714296,8.563088685,21.83066936,8.006880079
2,900,11.86511326,7.455048945,17.57488756,7.557476841
2,960,7.852562507,5.564275969,11.21577768,6.063619469
2,1020,4.555113231,4.163818731,5.772830657,4.899826132
2,1080,3.019653333,3.446403186,3.051914883,3.995051763
2,1140,2.237114981,3.043798592,1.891978476,3.657346185
2,1200,1.710485422,2.620249519,1.198641182,3.169333736
2,1260,1.297548171,2.358703492,0.674890876,2.949140048
2,1320,0.953431759,2.096892824,0.237845686,2.661334247
2,1380,0.678948535,1.919360604,-0.099473934,2.498979017
3,0,0.435892601,1.761880939,-0.408163197,2.335682767
3,60,0.243028916,1.68223161,-0.654843586,2.25179993
3,120,0.046867334,1.628522296,-0.894607687,2.214127371
3,180,-0.161484636,1.596246741,-1.141143518,2.208301183
3,240,-0.390479193,1.590823795,-1.403276258,2.237520773
3,300,-0.65343349,1.624316019,-1.691630647,2.31156339
3,360,-0.975584714,1.722991231,-2.020114705,2.450103034
3,420,-0.756286667,1.753702734,-1.585292891,2.56298777
3,480,1.375115775,1.893730993,1.618434022,2.570724457
3,540,5.613072066,2.78841356,8.441552014,2.890974846
3,600,10.10409392,4.177824737,15.6951443,3.431257253
3,660,13.35256794,6.16743531,20.62945762,5.115852334
3,720,14.70759963,7.794783788,22.60268815,6.626145425
3,780,15.22214143,8.679575757,23.01812657,7.897286907
3,840,14.27946673,8.286779887,21.50667764,7.770828528
3,900,11.55387279,7.182733441,17.25415595,7.320276284
3,960,7.549842858,5.298956712,10.89926474,5.828849235
3,1020,4.258605634,3.901869075,5.464453878,4.668167937
3,1080,2.719122033,3.186683346,2.729806455,3.763628809
3,1140,1.935059689,2.788035938,1.563340511,3.430889821
3,1200,1.409775965,2.365921593,0.870642986,2.942760446
3,1260,0.998410529,2.107636206,0.348579497,2.726931548
3,1320,0.654981963,1.847128824,-0.088237766,2.439565127
3,1380,0.38123006,1.672161811,-0.424854366,2.280614446
4,0,0.138240667,1.516192107,-0.733930098,2.118668141
4,60,-0.055452955,1.439247469,-0.981671491,2.038262293
4,120,-0.253393933,1.388927039,-1.224067025,2.005078856
4,180,-0.464192864,1.360871759,-1.474032886,2.004824909
4,240,-0.69628305,1.360868874,-1.740091153,2.04106459
4,300,-0.963359956,1.401667125,-2.033108727,2.124207714
4,360,-1.291355158,1.510471406,-2.367806469,2.274643354
4,420,-1.051096025,1.546577283,-1.899362151,2.396807144
4,480,1.094544861,1.68004102,1.326602323,2.402286202
4,540,5.336197275,2.564603573,8.163097714,2.714005497
4,600,9.822836846,3.934773388,15.41978047,3.228827959
4,660,13.06286039,5.910406838,20.34934898,4.898555025
4,720,14.40850752,7.522124066,22.31200581,6.388481963
4,780,14.91879542,8.400376881,22.72143952,7.648768407
4,840,13.97764716,8.008148912,21.20909793,7.519533029
4,900,11.25847086,6.908761603,16.95962687,7.069542604
4,960,7.262926254,5.031980365,10.60873672,5.580773316
4,1020,3.978354794,3.638388671,5.183285423,4.424065594
4,1080,2.433976875,2.925440395,2.432652501,3.519844903
4,1140,1.647911562,2.530937935,1.25832944,3.192584566
4,1200,1.12417343,2.110268088,0.566459585,2.704475343
4,1260,0.714367916,1.855247184,0.045819835,2.493162329
4,1320,0.371463984,1.596007177,-0.391346642,2.206317995
4,1380,0.098868257,1.423485171,-0.726590876,2.05070126
5,0,-0.144209465,1.268903341,-1.036604662,1.890052272
5,60,-0.338433814,1.194190209,-1.285189444,1.81261118
5,120,-0.537549813,1.146524433,-1.529461414,1.782986218
5,180,-0.749947282,1.121695568,-1.781749822,1.787025615
5,240,-0.984389648,1.125767435,-2.050994305,1.828580929
5,300,-1.254981576,1.171997237,-2.348392516,1.918542831
5,360,-1.587474909,1.288092664,-2.688176835,2.077696312
5,420,-1.322004577,1.327836238,-2.179207584,2.206423317
5,480,0.836585901,1.45745115,1.069456389,2.210762752
5,540,4.960642045,2.334517456,7.682494778,2.516694446
5,600,9.734126494,3.689899813,15.53427312,3.013584706
5,660,12.7156263,5.653920195,19.93506222,4.67254312
5,720,14.11095957,7.252239481,22.01367515,6.146006523
5,780,14.62197593,8.124842553,22.42861887,7.397482144
5,840,13.68725805,7.733180379,20.92667565,7.265562761
5,900,10.9757598,6.63875426,16.68308508,6.816948557
5,960,6.988898945,4.768837844,10.33662144,5.330713135
5,1020,3.711704007,3.378672521,4.92242216,4.178325276
5,1080,2.16155541,2.667868898,2.153612969,3.27419638
5,1140,1.373012138,2.27763944,0.970192157,2.952707198
5,1200,0.850851611,1.858344335,0.279055562,2.464490765
5,1260,0.442613834,1.606604159,-0.240294909,2.257777342
5,1320,0.100436575,1.348551404,-0.677525103,1.971345489
5,1380,-0.170967919,1.17840282,-1.011462671,1.818992263
6,0,-0.4140093,1.025094399,-1.322293425,1.65949621
6,60,-0.608464276,0.952324619,-1.571335674,1.58466956
