julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.487378114,3.030131723,4.466405377,1.609212522
1,60,4.49467949,4.399078932,4.407092175,4.224145622
1,120,4.39979917,4.782516731,4.297119292,5.009705912
1,180,4.295431558,4.972531117,4.161777778,5.383134643
1,240,4.201818342,5.120258901,4.044090303,5.638935239
1,300,4.10926348,5.36895825,3.945953446,5.967042429
1,360,4.010024721,5.65446838,3.843877337,6.291347636
1,420,4.305564702,5.544535197,4.281068494,6.372220164
1,480,6.984341738,5.874017498,8.486067529,6.478802233
1,540,11.08521469,6.541669945,15.2143461,6.576314631
1,600,14.91852701,7.543107321,21.54044042,6.938138464
1,660,17.70661027,8.815139339,26.08521824,7.866810726
1,720,18.93447712,10.18036696,28.40951674,9.428768774
1,780,19.11819314,10.61017953,28.34234274,9.895183727
1,840,18.2274641,10.54092492,26.75512222,10.21517425
1,900,16.04566395,9.733049177,23.22632096,9.748779912
1,960,12.75782538,8.606903973,17.89677027,9.105891226
1,1020,8.914746492,7.252321044,11.56782418,8.07645318
1,1080,6.949562625,6.605364762,8.075752171,7.359117582
1,1140,6.087008098,6.227209357,6.680883347,6.970174949
1,1200,5.577771222,5.920635443,5.946413277,6.64729722
1,1260,5.20085739,5.694241992,5.425068395,6.423872956
1,1320,4.905020155,5.534190586,5.022475432,6.283280678
1,1380,4.653610787,5.395552291,4.673823311,6.144874704
2,0,4.437132139,5.253625748,4.367889133,5.968771262
2,60,4.333828648,5.224300042,4.242997109,5.946799427
2,120,4.21239102,5.218239911,4.087548435,5.959715532
2,180,4.090797832,5.239505764,3.937790643,6.008598742
2,240,3.966768344,5.297548582,3.79137648,6.099969066
2,300,3.822912446,5.475190102,3.637337642,6.289599123
2,360,3.682331316,5.731921676,3.500587674,6.55348282
2,420,4.05771598,5.600439895,4.01161168,6.617368053
2,480,6.749681167,5.888684274,8.238523742,6.680757524
2,540,10.8587837,6.453498362,14.98491069,6.602625251
2,600,14.69349243,7.347109828,21.31744272,6.759631872
2,660,17.48044214,8.600288626,25.86284125,7.650653721
2,720,18.70490248,10.05873101,28.18112265,9.415713985
2,780,18.88635101,10.40428527,28.10873248,9.699494326
2,840,17.99478741,10.37491787,26.5184516,10.10579314
2,900,15.81314306,9.523335715,22.98733009,9.545392678
2,960,12.52616516,8.419251322,17.6557484,8.949693927
2,1020,8.682696314,7.04280833,11.32170093,7.874388678
2,1080,6.715975073,6.403494459,7.825523761,7.174315837
2,1140,5.853999801,6.018032987,6.430604044,6.769383254
2,1200,5.345855131,5.713824617,5.697798416,6.450686982
2,1260,4.969802966,5.485498026,5.17786574,6.222769669
2,1320,4.674403886,5.315230124,4.775963682,6.061255116
2,1380,4.422846075,5.172561679,4.426919588,5.914666712
3,0,4.205801082,5.046460614,4.119865976,5.76952208
3,60,4.103391047,5.015464222,3.997344144,5.743865349
3,120,3.981354551,5.009360219,3.841474341,5.756287924
3,180,3.858716303,5.031087181,3.69070185,5.805566486
3,240,3.733148863,5.090015399,3.542763292,5.8979418
3,300,3.586008516,5.269460228,3.38595991,6.089598117
3,360,3.442281895,5.527852624,3.246937267,6.356039649
3,420,3.829249379,5.395804996,3.771837634,6.419851591
3,480,6.534504344,5.684395676,8.022654146,6.483343203
3,540,10.65022864,6.247862781,14.78554184,6.401618084
3,600,14.48421376,7.139601684,21.12142425,6.55399168
3,660,17.26834411,8.39315487,25.66482915,7.445712124
3,720,18.48764645,9.856328993,27.97447368,9.22250934
3,780,18.66618447,10.19927899,27.89548001,9.500708835
3,840,17.77358043,10.17151011,26.30153915,9.910971789
3,900,15.59205073,9.316088223,22.76781735,9.342313401
3,960,12.30594052,8.212236869,17.43401599,8.747557739
3,1020,8.461906942,6.831988425,11.09431406,7.664682419
3,1080,6.493156058,6.192080531,7.592958275,6.964926598
3,1140,5.631611422,5.806079281,6.19745649,6.558121532
3,1200,5.124564405,5.502579508,5.466129306,6.240279868
3,1260,4.749407305,5.274397637,4.947493194,6.012189043
3,1320,4.454475168,5.103277366,4.546164842,5.848604549
3,1380,4.202768261,4.960576029,4.196557059,5.701667388
4,0,3.98513178,4.836682516,3.888167469,5.560616147
4,60,3.883921341,4.805711532,3.768307959,5.534846355
4,120,3.761607076,4.799976907,3.612274622,5.547820751
4,180,3.638328723,4.822232544,3.460821145,5.597906896
4,240,3.511748169,4.881914041,3.311787639,5.691394599
4,300,3.362446544,5.062571063,3.153049451,5.884821335
4,360,3.216769151,5.321689543,3.012494709,6.15321633
4,420,3.614436665,5.190085607,3.551695564,6.21714394
4,480,6.332124532,5.479927344,7.825919244,6.281559925
4,540,10.45329423,6.043687054,14.60384148,6.198838757
4,600,14.28542453,6.935161954,20.94140728,6.349504778
4,660,17.06589217,8.18955812,25.48152884,7.242814844
4,720,18.27917572,9.656658262,27.78125412,9.029519936
4,780,18.45451316,9.99822386,27.69503574,9.304804588
4,840,17.56082943,9.971597073,26.09725358,9.718048373
4,900,15.3794874,9.11294305,22.56095135,9.142381044
4,960,12.09434868,8.009131597,17.22500126,8.548110197
4,1020,8.249661969,6.625357163,10.8793265,7.458221878
4,1080,6.27843632,5.984754069,7.371872289,6.758681858
4,1140,5.417202815,5.598338464,5.975375069,6.350173865
4,1200,4.911281998,5.295624829,5.245447585,6.033281147
4,1260,4.537072618,5.067650222,4.728093453,5.80509427
4,1320,4.242651089,4.895745988,4.327315527,5.639538284
4,1380,3.990804116,4.753067878,3.977057779,5.49233889
5,0,3.77255504,4.631387893,3.667192276,5.355384204
5,60,3.67277684,4.600418063,3.550296171,5.329474044
5,120,3.550371681,4.595007907,3.394275148,5.342943953
5,180,3.426677302,4.617721835,3.242345033,5.393748378
5,240,3.299365144,4.678052479,3.092464359,5.488220521
5,300,3.148481953,4.85968236,2.932240373,5.683181732
5,360,3.001491832,5.119112606,2.790574067,5.953168288
5,420,3.40977938,4.988181719,3.344878554,6.017097716
5,480,6.139701906,5.279479624,7.642714969,6.082515707
5,540,10.26572536,5.843937821,14.43499887,5.999394393
5,600,14.09531609,6.735540186,20.77324365,6.149065755
5,660,16.87162152,7.990860065,25.30933543,7.044151519
5,720,18.07838102,9.461669805,27.59839004,8.840313143
5,780,18.25039068,9.802122602,27.50468109,9.11329507
5,840,17.35566252,9.776540402,25.90306061,9.529298553
5,900,15.17463707,8.914802275,22.36433815,8.946869677
5,960,11.89062304,7.811057269,17.0264342,8.353075464
5,1020,8.04524449,6.423820562,10.67459056,7.25625789
5,1080,6.071120549,5.78249583,7.160182455,6.556978159
5,1140,5.210089968,5.395698494,5.762320915,6.146735148
