julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,3.583150482,1.970150707,3.245661692,-0.068609674
1,60,3.542401664,3.547968669,3.072611992,3.083756655
1,120,3.413575456,3.907766204,2.929693592,3.890344241
1,180,3.268151538,4.055752892,2.749676982,4.229472539
1,240,3.129570425,4.152744323,2.587870019,4.433442923
1,300,2.941311252,4.337637196,2.40997282,4.712740255
1,360,2.70531273,4.571396397,2.210060066,4.982657519
1,420,2.917425455,4.450393904,2.359003193,5.015858463
1,480,5.319517373,4.898371122,5.986193257,5.196919569
1,540,9.505527935,5.84713451,12.79028176,5.536920697
1,600,13.65042102,7.195023877,19.58587668,6.198854455
1,660,16.58473194,8.764522316,24.20412941,7.362620051
1,720,17.73262411,10.37087757,26.03568753,9.170060457
1,780,18.15338311,11.41990079,26.38316723,10.95688203
1,840,17.33805337,10.75032638,25.01900273,10.04965585
1,900,14.94974569,9.889782548,21.17808725,9.77700549
1,960,11.34035049,8.446986069,15.30961441,8.846966441
1,1020,7.579206572,6.806542625,9.298021733,7.587714248
1,1080,5.929058099,6.059010154,6.377633087,6.6626033
1,1140,5.169170332,5.657409474,5.242280222,6.302573029
1,1200,4.683748783,5.257906602,4.608304892,5.842634942
1,1260,4.235415702,5.010686539,3.97875147,5.62795301
1,1320,3.971173338,4.771346189,3.681211279,5.364733086
1,1380,3.66361105,4.611175334,3.246169504,5.216913791
2,0,3.499335523,4.471550704,3.073444981,5.071080061
2,60,3.313863801,4.408198212,2.814004037,5.00457241
2,120,3.150585476,4.37297377,2.610907081,4.986609124
2,180,2.98261763,4.362824437,2.412057854,5.004352014
2,240,2.802108681,4.385521041,2.208149286,5.062594483
2,300,2.538030793,4.526909108,1.944438571,5.225346638
2,360,2.243887381,4.789520276,1.699463435,5.48515074
2,420,2.568785029,4.628141641,1.953405166,5.524474856
2,480,4.984776654,5.02480645,5.598970194,5.674028888
2,540,9.178849121,5.809771138,12.42070793,5.737506175
2,600,13.32269935,6.948713032,19.22086702,5.995711387
2,660,16.25383073,8.865966964,23.83972617,7.920765936
2,720,17.46718158,10.12417807,25.82445407,8.992385245
2,780,17.8501888,10.94075285,26.08805026,10.24983076
2,840,17.01450031,10.57247548,24.67433918,10.02799415
2,900,14.6298186,9.752533585,20.83334496,9.837874357
2,960,11.02982516,8.164066663,14.97442892,8.56998845
2,1020,7.274605697,6.615426216,8.964707324,7.504822446
2,1080,5.624397396,5.794715331,6.043063561,6.416748067
2,1140,4.866150598,5.44055828,4.90865815,6.156727495
2,1200,4.382822418,5.014003094,4.277388616,5.635000632
2,1260,3.935152302,4.78249714,3.64788916,5.451317799
2,1320,3.672562932,4.538638768,3.353017847,5.176097654
2,1380,3.364982276,4.380188557,2.917343588,5.029795499
3,0,3.201740005,4.332674758,2.746544548,5.071411586
3,60,3.015105997,4.196828976,2.485666334,4.852210421
3,120,2.850122377,4.153503928,2.280458583,4.814588144
3,180,2.679779646,4.146017488,2.078760271,4.833602218
3,240,2.495947509,4.176128076,1.871082341,4.900824951
3,300,2.224217184,4.330689235,1.600176028,5.076058865
3,360,1.921287829,4.613191674,1.348147635,5.355239029
3,420,2.259082751,4.444341314,1.610765384,5.402264297
3,480,4.688645691,4.835391976,5.27871345,5.554018121
3,540,8.886231916,5.596998977,12.11265291,5.584398186
3,600,13.02406815,6.701601191,18.9096899,5.784419241
3,660,15.94827486,8.621049927,23.52302198,7.726142876
3,720,17.15606743,9.857844467,25.50094319,8.762119624
3,780,17.53668749,10.67529648,25.76171051,10.02478195
3,840,16.70332968,10.30070711,24.35027322,9.785414829
3,900,14.32595301,9.48912124,20.51726833,9.606997741
3,960,10.73639112,7.900943249,14.66989876,8.329751195
3,1020,6.987211297,6.362057675,8.662000212,7.276728723
3,1080,5.336820988,5.539317631,5.738698266,6.183219731
3,1140,4.580386709,5.189969053,4.605228794,5.930418027
3,1200,4.099405512,4.763877338,3.97685124,5.40680592
3,1260,3.652522132,4.535618634,3.347319418,5.227792694
3,1320,3.39183917,4.292805015,3.055314197,4.952782901
3,1380,3.084340758,4.136497387,2.618878021,4.809288725
4,0,2.922389907,4.00137978,2.450200586,4.669349268
4,60,2.735093344,3.942018337,2.188238244,4.606328738
4,120,2.569167332,3.913662926,1.981669163,4.596789565
4,180,2.397432779,3.912709404,1.778104546,4.626079399
4,240,2.211567623,3.947812171,1.567921346,4.699630648
4,300,1.935127583,4.113741879,1.292329018,4.888283014
4,360,1.627388184,4.409905165,1.036036146,5.182278893
4,420,1.974669868,4.233985371,1.306891643,5.229140969
4,480,4.414817701,4.618636133,4.994198849,5.376780624
4,540,8.613207499,5.365871378,11.83665117,5.388093443
4,600,12.74278833,6.452282989,18.62711135,5.561123653
4,660,15.65841477,8.368758257,23.23224328,7.507733895
4,720,16.85893176,9.591193688,25.20067197,8.522341744
4,780,17.23662238,10.40701635,25.45739291,9.78450766
4,840,16.40547589,10.02963779,24.04780301,9.535759001
4,900,14.03543996,9.224086116,20.22266993,9.363862868
4,960,10.45637144,7.638719933,14.38677843,8.082977588
4,1020,6.712907065,6.107918097,8.379805327,7.038492091
4,1080,5.061948843,5.284643862,5.453968863,5.943090633
4,1140,4.307318207,4.939124109,4.321147181,5.695371412
4,1200,3.828819554,4.5143504,3.695715554,5.171754344
4,1260,3.38275534,4.288875795,3.065997549,4.996482799
4,1320,3.12417245,4.047397842,2.777062647,4.72238633
4,1380,2.816793576,3.893031108,2.339741346,4.581388201
5,0,2.656344423,3.759313375,2.173427852,4.442989801
5,60,2.468656052,3.701890242,1.910580869,4.38248711
5,120,2.302215491,3.6759524,1.703096835,4.376172101
5,180,2.12963812,3.678003683,1.498245087,4.409425964
5,240,1.942455432,3.717001808,1.286292466,4.487966053
5,300,1.662896517,3.890000998,1.007415171,4.684462868
5,360,1.352769588,4.194726154,0.748780663,4.988205235
5,420,1.707045294,4.016174211,1.02648107,5.037596754
5,480,4.157123108,4.397897984,4.733174898,5.185375865
5,540,8.355098386,5.134213541,11.58262841,5.183114704
5,600,12.47520039,6.509165514,18.36463359,5.965821699
5,660,15.38133059,8.056912549,22.96009249,7.151859738
5,720,16.57363724,9.421161977,24.91758867,8.494449746
5,780,16.94813872,10.06570306,25.16968422,9.366596073
5,840,16.11919545,9.831395056,23.76182882,9.442126553
5,900,13.7565997,8.903333039,19.94466919,8.985181861
5,960,10.18812854,7.430425681,14.12036584,7.947296466
5,1020,6.450092993,5.818534201,8.11358632,6.71260574
5,1080,4.798200726,5.063915597,5.18443597,5.768358034
5,1140,4.045368953,4.671546578,4.052038837,5.414740594
5,1200,3.569491696,4.282833489,3.429670732,4.966389646
5,1260,3.124272446,4.038315274,2.799655613,4.748017249
