julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.462254712,2.98033816,1.154983729,1.154983729
1,60,4.395927483,4.484860008,4.16543095,4.16543095
1,120,4.260409897,4.832111804,4.942719488,4.942719488
1,180,4.113682836,4.980953512,5.277942048,5.277942048
1,240,3.976687887,5.087495339,5.49087099,5.49087099
1,300,3.800431573,5.299525943,5.793588612,5.793588612
1,360,3.594281994,5.56714691,6.099015282,6.099015282
1,420,3.834658437,5.429114928,6.138528953,6.138528953
1,480,6.492261748,5.911190394,6.325017072,6.325017072
1,540,10.83350486,6.907767204,6.63176955,6.63176955
1,600,15.14975475,8.328352016,7.271869964,7.271869964
1,660,18.24002623,10.3150226,9.152978918,9.152978918
1,720,19.54007229,11.76270194,10.48795471,10.48795471
1,780,19.9708191,12.60402631,11.74593981,11.74593981
1,840,19.11244269,12.26391186,11.64002277,11.64002277
1,900,16.58568992,11.33810171,11.34834471,11.34834471
1,960,12.8578121,9.659396912,10.07597886,10.07597886
1,1020,8.825747411,7.946691134,8.857198499,8.857198499
1,1080,6.991832534,7.05903893,7.726225309,7.726225309
1,1140,6.163312386,6.650645029,7.388950138,7.388950138
1,1200,5.648660663,6.20559872,6.860419363,6.860419363
1,1260,5.159894684,5.944368009,6.637776273,6.637776273
1,1320,4.889825488,5.687643899,6.354792599,6.354792599
1,1380,4.55330764,5.512994434,6.189202103,6.189202103
2,0,4.391260583,5.438754249,6.186321242,6.186321242
2,60,4.194887891,5.310789649,5.989555363,5.989555363
2,120,4.028881574,5.265400648,5.952552943,5.952552943
2,180,3.860646144,5.255635976,5.970752019,5.970752019
2,240,3.68260459,5.284755709,6.038274247,6.038274247
2,300,3.432891522,5.442310593,6.217340105,6.217340105
2,360,3.168984999,5.714540369,6.495558371,6.495558371
2,420,3.52140478,5.555755395,6.541764037,6.541764037
2,480,6.193591086,5.995475185,6.701480139,6.701480139
2,540,10.54575203,6.850720305,6.768070132,6.768070132
2,600,14.86470202,8.393652475,7.684744644,7.684744644
2,660,17.95439065,10.10631887,9.010476449,9.010476449
2,720,19.25319265,11.61880943,10.50687077,10.50687077
2,780,19.68294542,12.33652132,11.48519477,11.48519477
2,840,18.82611826,12.08392897,11.57522152,11.57522152
2,900,16.30367953,11.07587232,11.09201998,11.09201998
2,960,12.58148074,9.466345053,9.966197843,9.966197843
2,1020,8.551344348,7.701348936,8.623883014,8.623883014
2,1080,6.714990968,6.854096635,7.581185089,7.581185089
2,1140,5.887097603,6.416314344,7.177083915,7.177083915
2,1200,5.374087989,5.991896944,6.690485465,6.690485465
2,1260,4.885520031,5.719232593,6.441354063,6.441354063
2,1320,4.616854458,5.469835857,6.171990428,6.171990428
2,1380,4.280117271,5.29304709,6.000307014,6.000307014
3,0,4.118882986,5.19793655,5.95330035,5.95330035
3,60,3.921423118,5.09058516,5.796796161,5.796796161
3,120,3.753852008,5.051086983,5.769193767,5.769193767
3,180,3.583472171,5.045875117,5.793376017,5.793376017
3,240,3.402461829,5.080273803,5.867200507,5.867200507
3,300,3.146116094,5.248813029,6.057917938,6.057917938
3,360,2.875156965,5.534919166,6.350565564,6.350565564
3,420,3.240104984,5.369334457,6.398615798,6.398615798
3,480,5.926984975,5.802958056,6.555391445,6.555391445
3,540,10.28639808,6.641851086,6.598818856,6.598818856
3,600,14.60385172,8.172497069,7.499864655,7.499864655
3,660,17.68977688,9.874000448,8.811275574,8.811275574
3,720,18.98408053,11.37688203,10.29563858,10.29563858
3,780,19.41171568,12.08872318,11.26285684,11.26285684
3,840,18.55608736,11.83731336,11.35321455,11.35321455
3,900,16.03790558,10.83042268,10.86678606,10.86678606
3,960,12.32143515,9.225891647,9.744385744,9.744385744
3,1020,8.292967218,7.46442847,8.402453987,8.402453987
3,1080,6.453741593,6.618314368,7.362361729,7.362361729
3,1140,5.626421506,6.181768095,6.958264087,6.958264087
3,1200,5.115169108,5.759550109,6.474149958,6.474149958
3,1260,4.626791286,5.488237669,6.226060869,6.226060869
3,1320,4.359719825,5.240404331,5.958430842,5.958430842
3,1380,4.022765225,5.064899151,5.78810054,5.78810054
4,0,3.862565776,4.970664259,5.741774703,5.741774703
4,60,3.664392009,4.865334073,5.588029876,5.588029876
4,120,3.495873071,4.828114731,5.563443346,5.563443346
4,180,3.324154041,4.825736348,5.591315017,5.591315017
4,240,3.141239273,4.86384043,5.669818123,5.669818123
4,300,2.88069035,5.039120193,5.867921348,5.867921348
4,360,2.605601878,5.333179562,6.16961349,6.16961349
4,420,2.980142825,5.16499979,6.219925436,6.219925436
4,480,5.679660174,5.595690481,6.376245261,6.376245261
4,540,10.04400883,6.424359728,6.406374882,6.406374882
4,600,14.35790074,7.946184403,7.297719662,7.297719662
4,660,17.43851253,9.639184413,8.599781537,8.599781537
4,720,18.72677003,11.13425062,10.07519923,10.07519923
4,780,19.15178994,11.84157302,11.03445597,11.03445597
4,840,18.29728705,11.59116132,11.12477486,11.12477486
4,900,15.78350459,10.58619634,10.63678965,10.63678965
4,960,12.07297998,8.986525686,9.517432688,9.517432688
4,1020,8.046063728,7.229117051,8.177001849,8.177001849
4,1080,6.203621966,6.383934147,7.139266376,7.139266376
4,1140,5.376868271,5.948895606,6.735711969,6.735711969
4,1200,4.867525508,5.528875526,6.254059299,6.254059299
4,1260,4.37934724,5.259028498,6.007264338,6.007264338
4,1320,4.114084825,5.012750895,5.741384617,5.741384617
4,1380,3.776912481,4.838529597,5.57246251,5.57246251
5,0,3.617975793,4.745227775,5.527008535,5.527008535
5,60,3.419297129,4.641593387,5.375599063,5.375599063
5,120,3.250186068,4.606238481,5.353498967,5.353498967
5,180,3.077583802,4.606129357,5.384343194,5.384343194
5,240,2.893357356,4.647155985,5.466558693,5.466558693
5,300,2.629910822,4.82746865,5.670301261,5.670301261
5,360,2.352307299,5.126881454,5.978601588,5.978601588
5,420,2.735182179,4.957464142,6.030645275,6.030645275
5,480,5.446556683,5.386183873,6.186801427,6.186801427
5,540,9.814642012,6.207088533,6.20749109,6.20749109
5,600,14.12372459,7.721723274,7.091985703,7.091985703
5,660,17.19807754,9.407199727,8.386542614,8.386542614
5,720,18.47939426,10.89525635,9.854452992,9.854452992
5,780,18.9015403,11.5985193,10.8068524,10.8068524
5,840,18.04819209,11.34907086,10.89705677,10.89705677
5,900,15.53902434,10.34630836,10.40806176,10.40806176
5,960,11.83472594,8.751515153,9.291681603,9.291681603
5,1020,7.809306002,6.998367308,7.953141326,7.953141326
5,1080,5.96333815,6.153998936,6.917664858,6.917664858
5,1140,5.137154755,5.7205776,6.514796575,6.514796575
5,1200,4.6298821,5.302788138,6.035611343,6.035611343
5,1260,4.141909792,5.034455877,5.790179483,5.790179483
5,1320,3.878675319,4.789732238,5.526031617,5.526031617
5,1380,3.541272727,4.616786622,5.358505566,5.358505566
6,0,3.383823529,4.524420771,5.313951382,5.313951382
6,60,3.184772992,4.42229452,5.164620064,5.164620064
6,120,3.015311104,4.388548914,5.144658739,5.144658739
6,180,2.842130635,4.390360686,5.178010199,5.178010199
6,240,2.656983423,4.433827984,5.263319999,5.263319999
6,300,2.391474948,4.61812396,5.47160412,5.47160412
6,360,2.112418166,4.92124022,5.784958462,5.784958462
6,420,2.503051407,4.751402362,5.83833703,5.83833703
6,480,5.225996348,5.178725964,5.994440191,5.994440191
6,540,9.597051162,5.993359435,6.008008924,6.008008924
6,600,13.90040115,7.501788883,6.887384956,6.887384956
6,660,16.9677967,9.180302504,8.175517111,8.175517111
6,720,18.24155647,10.66181174,9.636763039,9.636763039
6,780,18.66066995,11.36127241,10.58294393,10.58294393
6,840,17.80854503,11.11276086,10.67296519,10.67296519
6,900,15.3042344,10.11238382,10.18329242,10.18329242
6,960,11.60646762,8.522499022,9.069854186,9.069854186
6,1020,7.582521589,6.773754167,7.733452119,7.733452119
6,1080,5.732732333,5.930099992,6.700154478,6.700154478
6,1140,4.907121925,5.498378074,6.298040673,6.298040673
6,1200,4.402078536,5.082863863,5.821338391,5.821338391
6,1260,3.914309507,4.816088423,5.577306011,5.577306011
6,1320,3.6533202,4.572927533,5.314875742,5.314875742
6,1380,3.315660632,4.401255916,5.148727993,5.148727993
7,0,3.159919414,4.309824614,5.105072447,5.105072447
7,60,2.960587994,4.209078142,4.957636236,4.957636236
7,120,2.790957773,4.176760799,4.939557532,4.939557532
7,180,2.617427925,4.180244468,4.975073694,4.975073694
7,240,2.431650244,4.22580714,5.063024487,5.063024487
7,300,2.164687634,4.413327644,5.275046507,5.275046507
7,360,1.88496706,4.718922295,5.592299198,5.592299198
7,420,2.283106906,4.549256189,5.646693702,5.646693702
7,480,5.017544,4.975601797,5.802796529,5.802796529
7,540,9.390982513,5.785051729,5.810918402,5.810918402
7,600,13.68782148,7.287985883,6.686427822,6.686427822
7,660,16.74767804,8.959924346,7.96889517,7.96889517
7,720,18.01340625,10.43520322,9.424065268,9.424065268
7,780,18.42937852,11.13103503,10.36447092,10.36447092
7,840,17.57856285,10.88343873,10.45424844,10.45424844
7,900,15.07936321,9.885587778,9.964140165,9.964140165
7,960,11.38844594,8.300644445,8.853623353,8.853623353
