julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,8.067882132,6.600989605,7.792881155,4.740622109
1,60,8.056625741,8.142615447,7.685771276,7.85993942
1,120,7.943214241,8.487374428,7.559051321,8.628104507
1,180,7.813855846,8.638033723,7.395972346,8.958822289
1,240,7.692021454,8.747103268,7.251579471,9.168732277
1,300,7.538160878,8.965100907,7.105687433,9.476616971
1,360,7.365624337,9.226169463,6.949039001,9.784578482
1,420,7.757757366,9.092749658,7.460043075,9.808746276
1,480,10.63846803,9.503879997,12.12385341,9.967359059
1,540,14.80763985,10.33511336,19.19525837,10.20279656
1,600,18.52570405,11.49867235,25.45708534,10.67747798
1,660,21.2784082,13.19153219,30.00166392,12.33494289
1,720,22.19668695,14.35653779,31.60048768,13.372332
1,780,22.54305887,15.07253313,31.83946504,14.4706748
1,840,21.63518645,14.74414945,30.16885865,14.28037707
1,900,19.41123272,13.99572854,26.47941082,14.1000213
1,960,16.09183891,12.54078934,20.96319443,12.91767917
1,1020,12.26216004,11.13368461,14.49816131,11.96483945
1,1080,10.43469593,10.31394113,11.17547266,10.90696486
1,1140,9.631131129,9.995864218,9.884912662,10.68792506
1,1200,9.13696748,9.587541294,9.188998557,10.17082181
1,1260,8.770418318,9.39032572,8.699870473,10.03622998
1,1320,8.462222309,9.154111873,8.280735399,9.755598214
1,1380,8.239798646,9.019965925,8.000866074,9.644432232
2,0,8.030020531,8.889605944,7.71410005,9.502695536
2,60,7.887767103,8.837615662,7.525957254,9.449957435
2,120,7.745893384,8.812785523,7.347515066,9.443838244
2,180,7.599587131,8.813280806,7.17147595,9.473556872
2,240,7.442950717,8.847810646,6.991284599,9.545121624
2,300,7.222931559,9.004425153,6.766452028,9.725679315
2,360,7.002668886,9.245546364,6.567827231,9.987217159
2,420,7.500124789,9.109363966,7.191457092,10.02222133
2,480,10.39181461,9.498302728,11.8703842,10.17259692
2,540,14.57616987,10.22629106,18.96556367,10.2229658
2,600,18.30626484,11.24331486,25.24665455,10.39789153
2,660,21.06691124,13.03281355,29.80401587,12.26089984
2,720,21.98798901,14.12916684,31.4078656,13.14610294
2,780,22.33519944,14.89689104,31.64791946,14.36331629
2,840,21.42579243,14.51304051,29.97512093,14.04503898
2,900,19.19733209,13.80802575,26.27911382,13.96608421
2,960,15.87050486,12.30667702,20.75178736,12.68151544
2,1020,12.02927908,10.93131023,14.26766038,11.804088
2,1080,10.19152157,10.07804992,10.92681099,10.67462568
2,1140,9.384568702,9.781865474,9.629514111,10.50378293
2,1200,8.889332173,9.355626714,8.931727998,9.947306969
2,1260,8.522103059,9.169645741,8.441507963,9.8367649
2,1320,8.213409299,8.925617914,8.021663423,9.539115077
2,1380,7.990432902,8.795508983,7.740929935,9.436176516
3,0,7.780394564,8.663043323,7.453947547,9.289688679
3,60,7.637357767,8.612085101,7.264816715,9.238321382
3,120,7.494537352,8.588356924,7.085209286,9.233492627
3,180,7.347059585,8.590386253,6.90778504,9.265050643
3,240,7.188914919,8.627113666,6.725909886,9.339234494
3,300,6.965918853,8.788214704,6.498273466,9.524450196
3,360,6.743247866,9.034219578,6.297532791,9.791587715
3,420,7.251686454,8.8960767,6.935448136,9.827649478
3,480,10.159465,9.284084725,11.63987295,9.97700975
3,540,14.35905199,10.00794067,18.7601457,10.01828625
3,600,18.09944323,11.02037993,25.05802993,10.18173226
3,660,20.86656642,12.81507567,29.6259517,12.05312837
3,720,21.78894659,13.90990269,31.23258354,12.93364351
3,780,22.1364991,14.67950569,31.47266164,14.15392642
3,840,21.22550944,14.29428778,29.79735765,13.83318552
3,900,18.99269671,13.58867419,26.0947777,13.75460405
3,960,15.65868002,12.0847934,20.55644726,12.46759525
3,1020,11.80595565,10.70671905,14.05291916,11.58776621
3,1080,9.957474295,9.851101851,10.69288284,10.4565948
3,1140,9.147068293,9.554058316,9.388424127,10.2835764
3,1200,8.6508399,9.128549023,8.688695999,9.728623917
3,1260,8.28302707,8.941972049,8.197372678,9.61651051
3,1320,7.973918392,8.698803735,7.776797324,9.32052283
3,1380,7.750482569,8.568424432,7.495214306,9.216746726
4,0,7.540260167,8.436647365,7.208002275,9.071461596
4,60,7.39665372,8.386196921,7.018042641,9.020641035
4,120,7.253185537,8.363400306,6.837551304,9.017067998
4,180,7.104918644,8.366711128,6.659112641,9.050342281
4,240,6.945766098,8.405208471,6.476033876,9.126807924
4,300,6.720927709,8.569529177,6.246563273,9.315589311
4,360,6.497101173,8.81860908,6.044602582,9.586745213
4,420,7.015685773,8.679985608,6.697181052,9.624046786
