julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-32.68892298,-35.50396429,-50.70128895,-55.06748428
1,60,-33.49988176,-25.90021777,-51.96679445,-40.17779234
1,120,-34.23223962,-21.18947591,-53.1107161,-32.8750982
1,180,-34.87350841,-18.46863646,-54.11362135,-28.65799416
1,240,-35.43504673,-16.67170534,-54.99307503,-25.87349043
1,300,-35.92500186,-15.24765627,-55.76401722,-23.66793382
1,360,-36.36513376,-14.18796495,-56.45094837,-22.02450519
1,420,-33.64334426,-13.4627454,-52.21370857,-20.89387605
1,480,-22.71098679,-12.82673393,-35.23875262,-19.90217809
1,540,-6.531579301,-12.16563555,-10.1321516,-18.87201517
1,600,8.260786285,-11.61088795,12.81160751,-18.00726156
1,660,18.96986144,-11.23944854,29.41338257,-17.4271278
1,720,25.21459791,-10.91155574,39.07773963,-16.91079649
1,780,27.10119994,-10.49680977,42.00160711,-16.26802064
1,840,24.89694427,-10.10726268,38.58820031,-15.66541952
1,900,18.69503199,-9.869626005,28.97782337,-15.29819683
1,960,8.344871646,-9.691061859,12.93570977,-15.02249152
1,1020,-5.368481943,-9.406748885,-8.322487165,-14.58280901
1,1080,-17.23088799,-9.076520453,-26.71408567,-14.0718775
1,1140,-23.8615436,-8.893154611,-36.99663199,-13.78857856
1,1200,-27.21841037,-8.826358371,-42.20436737,-13.68598923
1,1260,-29.42165642,-8.643720674,-45.62393303,-13.4037502
1,1320,-31.03974435,-8.328121694,-48.13651932,-12.9152736
1,1380,-32.39144669,-8.144789924,-50.23632048,-12.63186176
2,0,-33.46103548,-8.16429598,-51.89885362,-12.66301523
2,60,-34.25692775,-7.969961194,-53.14116606,-12.36342717
2,120,-34.96959273,-7.82234218,-54.25470992,-12.13622672
2,180,-35.59038598,-7.690907496,-55.22601375,-11.93407015
2,240,-36.13161334,-7.568274376,-56.07411194,-11.74551107
2,300,-36.60189783,-7.449886327,-56.81471831,-11.56396849
2,360,-37.02301965,-7.338866656,-57.47219321,-11.39239226
2,420,-34.25902518,-7.239121354,-53.1692188,-11.23494977
2,480,-23.24766002,-7.145877727,-36.07145677,-11.08766298
2,540,-6.970416996,-7.056235527,-10.81289949,-10.94602598
2,600,7.911200117,-6.970325216,12.26943481,-10.81023733
2,660,18.68725281,-6.890987195,28.97518645,-10.68469726
2,720,24.97592855,-6.81943444,38.70784837,-10.56880163
2,780,26.88743225,-6.744003623,41.67030862,-10.45189848
2,840,24.6927432,-6.668455877,38.27170558,-10.33555397
2,900,18.48743553,-6.59596665,28.65604304,-10.22393311
2,960,8.120908817,-6.527454597,12.58853628,-10.11846099
2,1020,-5.624308878,-6.458488051,-8.719082777,-10.01226873
2,1080,-17.53133955,-6.388050792,-27.17989386,-9.903780711
2,1140,-24.1930974,-6.322240579,-37.51069656,-9.80245084
2,1200,-27.56267541,-6.262898857,-42.73817843,-9.711135977
2,1260,-29.7715479,-6.202341037,-46.16650702,-9.617921849
2,1320,-31.39180312,-6.137147257,-48.682493,-9.517504531
2,1380,-32.74407712,-6.076170155,-50.78321966,-9.42361217
3,0,-33.81253649,-6.0247181,-52.44403996,-9.34447958
3,60,-34.60596655,-5.966092094,-53.68261547,-9.2549193
3,120,-35.3157189,-5.909704293,-54.79172243,-9.168803222
3,180,-35.93317613,-5.854737882,-55.75793103,-9.084865469
3,240,-36.47072055,-5.800992808,-56.60039403,-9.002796592
3,300,-36.93703213,-5.747935876,-57.33492524,-8.922142758
3,360,-37.35402316,-5.697020888,-57.98600463,-8.843692103
3,420,-34.56222206,-5.650328183,-53.63975949,-8.76917706
3,480,-23.49422397,-5.606543943,-36.45402162,-8.699205148
3,540,-7.154883005,-5.56576378,-11.09905152,-8.633921605
3,600,7.776422217,-5.526221204,12.06040697,-8.570583598
3,660,18.58643303,-5.487414039,28.81885964,-8.508411199
3,720,24.89525971,-5.45239738,38.5828273,-8.450159146
3,780,26.81595007,-5.415799213,41.55952509,-8.393439081
3,840,24.62153365,-5.37911587,38.16133667,-8.33718381
3,900,18.40866988,-5.340214654,28.53395408,-8.277482335
3,960,8.026209346,-5.300954622,12.44173895,-8.217215721
3,1020,-5.746468876,-5.263728686,-8.908461269,-8.160093467
3,1080,-17.6927825,-5.227649169,-27.4301886,-8.104740036
3,1140,-24.38208934,-5.190711482,-37.80372309,-8.048047759
3,1200,-27.76325015,-5.153372507,-43.04918594,-7.99072479
3,1260,-29.97836797,-5.117601452,-46.48722129,-7.935824639
3,1320,-31.60234339,-5.083494394,-49.00899942,-7.883496827
3,1380,-32.95730536,-5.049138688,-51.11391813,-7.830775567
4,0,-34.02718315,-5.013855338,-52.77696197,-7.776607642
4,60,-34.82075886,-4.97894251,-54.01581476,-7.723600666
4,120,-35.53040521,-4.944333278,-55.12480866,-7.671047496
4,180,-36.1474094,-4.910081106,-56.09036566,-7.619031329
4,240,-36.68418644,-4.876212179,-56.93168901,-7.567593077
4,300,-37.14945097,-4.842395495,-57.66464903,-7.516531991
4,360,-37.56520166,-4.809848858,-58.31380565,-7.466500355
4,420,-34.74749012,-4.780321858,-53.92727607,-7.418945532
4,480,-23.62760884,-4.752806812,-36.66097519,-7.374530947
4,540,-7.237035076,-4.727486874,-11.22648827,-7.33353858
4,600,7.730460375,-4.702839406,11.98912333,-7.293604638
4,660,18.56271268,-4.678364189,28.78207777,-7.253952815
4,720,24.88316417,-4.656736163,38.56408156,-7.217038477
4,780,26.80750903,-4.633516475,41.54644312,-7.18105246
4,840,24.61034281,-4.609961823,38.1439918,-7.14505878
4,900,18.38896585,-4.584109571,28.50341228,-7.105498272
4,960,7.991508936,-4.557563672,12.3879485,-7.064856526
4,1020,-5.806135354,-4.532575419,-9.000959204,-7.026623382
4,1080,-17.7894101,-4.508432906,-27.5799962,-6.989695653
4,1140,-24.50458814,-4.483208418,-37.99365392,-6.951084757
4,1200,-27.89632612,-4.457219094,-43.2555311,-6.91128209
4,1260,-30.11739956,-4.432415609,-46.70281649,-6.873312299
4,1320,-31.74522967,-4.409048004,-49.23058786,-6.837563545
4,1380,-33.10330916,-4.3852168,-51.34035736,-6.801090382
5,0,-34.17525702,-4.360100572,-53.00662803,-6.762618614
5,60,-34.96966523,-4.335271845,-54.24680846,-6.725104741
5,120,-35.68003978,-4.310508141,-55.35696862,-6.687679312
5,180,-36.29750224,-4.285868122,-56.32327339,-6.65043342
5,240,-36.83447595,-4.26138332,-57.16493874,-6.613416104
5,300,-37.29969776,-4.236773356,-57.89786723,-6.576464583
5,360,-37.7152079,-4.213111225,-58.54664517,-6.540160898
5,420,-34.87139104,-4.191936294,-54.11955105,-6.505783207
5,480,-23.70058888,-4.172376407,-36.77420293,-6.473924233
5,540,-7.263438118,-4.154600933,-11.26744385,-6.444844988
5,600,7.733706635,-4.137286349,11.99415612,-6.416490916
5,660,18.58233438,-4.119998195,28.81249892,-6.388187896
5,720,24.91009681,-4.105092926,38.60582195,-6.36209838
5,780,26.83532491,-4.088664594,41.58955235,-6.336637649
5,840,24.63395911,-4.071829314,38.1805951,-6.310997989
5,900,18.40372048,-4.052860296,28.52628237,-6.282047011
5,960,7.991921828,-4.033161835,12.38858854,-6.251960863
5,1020,-5.829326796,-4.014723137,-9.036911729,-6.223823071
5,1080,-17.8487991,-3.996935216,-27.67207056,-6.196689911
5,1140,-24.58931764,-3.978101754,-38.12502456,-6.16793151
5,1200,-27.99110937,-3.958485097,-43.40250025,-6.137954312
5,1260,-30.21791586,-3.939804112,-46.85868634,-6.109423494
5,1320,-31.84957794,-3.922310459,-49.39241143,-6.082729646
5,1380,-33.21091366,-3.90434445,-51.50724259,-6.055299133
6,0,-34.28518213,-3.885146182,-53.17712447,-6.025953175
6,60,-35.08066844,-3.866088224,-54.41900494,-5.997282363
6,120,-35.79211292,-3.847013852,-55.53085301,-5.968576406
6,180,-36.41042402,-3.82796938,-56.49850286,-5.939907177
6,240,-36.94801861,-3.808983565,-57.34116023,-5.911319338
6,300,-37.41365568,-3.789808284,-58.07475662,-5.882670103
6,360,-37.8293717,-3.771406833,-58.72384362,-5.854485422
6,420,-34.95857462,-3.755159077,-54.25484036,-5.827913709
6,480,-23.73640435,-3.740288291,-36.82976487,-5.803488021
6,540,-7.254832457,-3.726948314,-11.25409185,-5.781445528
6,600,7.768333017,-3.713960153,12.047856,-5.759956096
6,660,18.6299444,-3.700937562,28.88631664,-5.73842047
6,720,24.962496,-3.689995862,38.68703053,-5.718778384
6,780,26.88699885,-3.677624888,41.66963694,-5.699605774
6,840,24.68062717,-3.664832693,38.25292673,-5.680186955
6,900,18.44138948,-3.650070249,28.58467037,-5.657711152
6,960,8.015708781,-3.634592537,12.42546162,-5.634123108
6,1020,-5.828365282,-3.620187079,-9.035421142,-5.612193693
6,1080,-17.88406774,-3.606317452,-27.72674966,-5.591091615
6,1140,-24.65000953,-3.591463176,-38.21912558,-5.568459597
6,1200,-28.06163481,-3.575848445,-43.51185572,-5.544644945
6,1260,-30.29405578,-3.561012977,-46.97675592,-5.522035036
6,1320,-31.92952036,-3.547201842,-49.51638635,-5.501010191
6,1380,-33.29417562,-3.532937371,-51.63637465,-5.479279012
7,0,-34.3708827,-3.517513799,-53.31004807,-5.455746695
7,60,-35.16753741,-3.502149958,-54.55376324,-5.432722156
7,120,-35.8802088,-3.486731817,-55.66753743,-5.409605474
7,180,-36.49955635,-3.471296835,-56.63681846,-5.38645475
7,240,-37.0379804,-3.455871023,-57.48078631,-5.363310355
7,300,-37.50425758,-3.440230857,-58.21539198,-5.340044059
7,360,-37.92040736,-3.425252904,-58.86513795,-5.317136569
7,420,-35.02146372,-3.412190328,-54.35242407,-5.295632908
7,480,-23.74684187,-3.400340248,-36.84594935,-5.276017975
7,540,-7.221815732,-3.389843047,-11.20287194,-5.258508244
7,600,7.825156371,-3.379631445,12.13598087,-5.241447024
7,660,18.6975954,-3.369356275,28.99120832,-5.224292621
7,720,25.03330746,-3.360942216,38.79677457,-5.208809011
7,780,26.9560559,-3.351192113,41.77666198,-5.193698241
7,840,24.74419007,-3.341027154,38.35144395,-5.178315204
7,900,18.49591491,-3.329037952,28.66918633,-5.160102097
7,960,8.056704708,-3.3163624,12.489011,-5.140822209
7,1020,-5.809716967,-3.304628525,-9.006511598,-5.12299916
7,1080,-17.90209894,-3.293355269,-27.75470452,-5.105887453
7,1140,-24.69388184,-3.281160007,-38.28714832,-5.087343524
7,1200,-28.11530026,-3.268238046,-43.59506836,-5.067669908
7,1260,-30.35329353,-3.255988118,-47.06861543,-5.049035369
7,1320,-31.9925493,-3.244647499,-49.6141318,-5.031808099
7,1380,-33.36056854,-3.232880205,-51.73934431,-5.013916409
8,0,-34.43978268,-3.220025542,-53.41691357,-4.994335407
8,60,-35.23763425,-3.207185721,-54.66250391,-4.975158116
8,120,-35.95161116,-3.19427312,-55.77832247,-4.955861237
8,180,-36.57209423,-3.181318986,-56.74938477,-4.936493219
8,240,-37.11145998,-3.168347057,-57.59483364,-4.917090887
8,300,-37.57849818,-3.15515377,-58.33063079,-4.897537649
8,360,-37.99520467,-3.142544603,-58.98122344,-4.878276798
