julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.948239334,4.465691723,3.745374529,2.712231916
1,60,4.721301403,5.927899204,3.445949188,5.964256488
1,120,4.439193337,6.060159077,3.126444217,6.414406291
1,180,4.148808716,6.069389975,2.779209397,6.55010239
1,240,3.865601155,6.061048467,2.453692119,6.602657716
1,300,3.529832168,6.115887007,2.062585946,6.725939458
1,360,3.121138665,6.282452471,1.632139613,6.975416502
1,420,3.163652837,6.350628082,1.764370122,7.125167538
1,480,6.163405029,6.575899001,6.359355625,7.136509045
1,540,11.89784045,8.527366715,15.07305401,8.247177376
1,600,17.88851605,11.46094074,23.74989023,9.998740426
1,660,22.58244977,15.29774613,29.85563717,13.55613186
1,720,25.04351259,18.34317766,32.66845768,16.56332548
1,780,26.03721588,19.88356211,33.56242105,18.77130859
1,840,24.54284737,19.11037877,31.36268203,18.41779265
1,900,20.56109646,16.75109273,25.81151593,16.81370391
1,960,14.82524329,13.33873043,17.61348799,14.13525794
1,1020,10.38572313,10.67951648,10.96732555,11.64819982
1,1080,8.586589702,9.541684395,8.077114136,10.26866752
1,1140,7.545262113,8.740752068,6.717408125,9.432371791
1,1200,6.776866019,8.10854668,5.8007032,8.792602518
1,1260,6.266347822,7.581073009,5.318285549,8.239134644
1,1320,5.482722612,7.177278592,4.120585204,7.841373902
1,1380,5.21198439,6.830271039,3.963409866,7.473294321
2,0,4.877599568,6.569931759,3.594133591,7.217445491
2,60,4.598653902,6.411113554,3.258937587,7.041707105
2,120,4.310984364,6.290486553,2.924101553,6.939220606
2,180,4.001519146,6.195957865,2.56932417,6.877731479
2,240,3.658369176,6.135522865,2.182874948,6.863897541
2,300,3.260601496,6.126605143,1.746940122,6.914570861
2,360,2.753717988,6.214418283,1.221259551,7.070544145
2,420,2.95091163,6.213533719,1.686607552,7.176877519
2,480,5.931997089,6.569379875,6.047759699,7.248828908
2,540,11.6978202,8.197304932,14.81833732,7.728378959
2,600,17.79733881,11.45881682,23.73408396,10.17266214
2,660,22.41707181,15.07927642,29.69508374,13.27629144
2,720,24.84904795,18.27609733,32.45144941,16.65259401
2,780,25.83810698,19.66584549,33.3392613,18.50350908
2,840,24.43090789,18.94414387,31.34266022,18.26846703
2,900,20.40110967,16.70601955,25.66369039,16.93731135
2,960,14.66214032,13.12331493,17.44185253,13.84123887
2,1020,10.22419205,10.5494859,10.79813688,11.55201025
2,1080,8.419803961,9.297672192,7.891739166,9.906078181
2,1140,7.378394187,8.698526944,6.528705899,9.526717707
2,1200,6.611607353,7.855405119,5.613201024,8.407638058
2,1260,6.101675117,7.550297579,5.130228675,8.348532641
2,1320,5.321657956,6.932588276,3.939081336,7.476232239
2,1380,5.050456505,6.795144405,3.779844838,7.5638603
3,0,4.716480223,6.339983172,3.410744576,6.886674506
3,60,4.436897338,6.265051688,3.074589076,6.89004371
3,120,4.14809325,6.155036372,2.738045826,6.808678789
3,180,3.83700301,6.063966608,2.380985401,6.752994272
3,240,3.491510546,6.004220687,1.99146975,6.739254248
3,300,3.090262489,5.998424293,1.551341461,6.794253337
3,360,2.578865208,6.09042587,1.020701447,6.955963722
3,420,2.79730477,6.087940094,1.520230378,7.060114203
3,480,5.785721978,6.44096805,5.89080886,7.125791511
3,540,11.54750799,8.066129264,14.65729614,7.605255376
3,600,17.63697637,11.31692918,23.56217802,10.03929797
3,660,22.2480934,14.92619001,29.51744642,13.13351558
3,720,24.67287475,18.11090785,32.26797969,16.49545644
3,780,25.65882545,19.49643659,33.15329107,18.34120453
3,840,24.25622597,18.77697741,31.16284741,18.10650637
3,900,20.2384034,16.54614153,25.49942034,16.77968343
3,960,14.5138584,12.97522591,17.29525107,13.6950736
3,1020,10.07938834,10.40192723,10.65924837,11.40674019
3,1080,8.269509373,9.153678254,7.735929762,9.764734456
3,1140,7.228059612,8.55626132,6.369464806,9.385813368
3,1200,6.463033517,7.716511942,5.455280228,8.27147803
3,1260,5.953931868,7.412002749,4.972057322,8.211364937
3,1320,5.17732382,6.797255583,3.78675688,7.343686207
3,1380,4.906001645,6.659821,3.625931663,7.429766619
4,0,4.572623914,6.207136235,3.257117397,6.756631531
4,60,4.292950047,6.132549414,2.920555475,6.759852827
4,120,4.0037634,6.023436388,2.583159855,6.679488195
4,180,3.692009754,5.933399299,2.224914968,6.625001886
4,240,3.345436668,5.874854203,1.833755295,6.612677382
4,300,2.942433417,5.870508068,1.39130991,6.669357459
4,360,2.429246736,5.963804534,0.858438389,6.832617134
4,420,2.672552606,5.961026319,1.398004089,6.936945673
4,480,5.664295945,6.316372336,5.774678342,7.003966953
4,540,11.41845312,7.938212498,14.53197703,7.481274633
4,600,17.49568826,11.18066089,23.42255695,9.909232748
4,660,22.09659715,14.77857519,29.36934926,12.9931943
4,720,24.51229511,17.95298734,32.11087876,16.34450992
4,780,25.49471405,19.33340216,32.99260835,18.18288768
4,840,24.09647522,18.61734756,31.00765469,17.95140729
4,900,20.09024859,16.39275588,25.35888619,16.62666732
4,960,14.3795259,12.83404684,17.17112193,13.55487178
4,1020,9.948084899,10.26060616,10.54270405,11.26699018
4,1080,8.131483254,9.01505655,7.599542513,9.627009427
4,1140,7.089557422,8.420827723,6.228575776,9.251935564
4,1200,6.3262068,7.582288362,5.315432734,8.137518084
4,1260,5.818097766,7.280882133,4.83222045,8.082044045
4,1320,5.044444476,6.666424168,3.651645035,7.213118837
4,1380,4.773310324,6.531434517,3.489785985,7.303007918
5,0,4.440636915,6.079192829,3.121348416,6.629565323
5,60,4.161142803,6.005659905,2.784667809,6.634214638
5,120,3.871947006,5.897456399,2.446859658,6.55492517
5,180,3.560009921,5.808365353,2.087997715,6.501531363
5,240,3.21298628,5.750868599,1.695926521,6.490410847
5,300,2.809086978,5.747779952,1.252124775,6.548522644
5,360,2.295499679,5.84202529,0.718439606,6.712928195
5,420,2.56747805,5.838614967,1.304320101,6.816963981
5,480,5.560458282,6.196956643,5.685432884,6.885655704
5,540,11.3052339,7.816479924,14.43106151,7.362014379
5,600,17.36936994,11.0513205,23.30600036,9.784818413
5,660,21.95937475,14.63847876,29.24306532,12.85934989
5,720,24.36500805,17.80295392,31.97393171,16.20054712
5,780,25.34370721,19.17846306,32.85154144,18.03197956
5,840,23.94964836,18.46569462,30.87162434,17.80353691
5,900,19.95463615,16.2472703,25.23673675,16.48097549
5,960,14.25710308,12.70045364,17.06417062,13.42169029
5,1020,9.828379059,10.12616487,10.44361824,11.13377147
5,1080,8.003717556,8.883151556,7.477516363,9.495535302
5,1140,6.960827059,8.292012486,6.100926696,9.124167871
5,1200,6.199045072,7.454706929,5.188566659,8.009777255
5,1260,5.692082787,7.156230341,4.705677602,7.958607223
5,1320,4.920869994,6.542169028,3.528642862,7.088705529
5,1380,4.650222651,6.409453602,3.36635504,7.182065303
6,0,4.318327195,5.957717697,2.998389339,6.508472443
6,60,4.039164584,5.885161105,2.661766684,6.514418636
6,120,3.750164675,5.777801686,2.323800288,6.436106734
6,180,3.438307152,5.689577813,1.964645638,6.383691362
6,240,3.091176945,5.633028256,1.572077248,6.373632392
6,300,2.686848205,5.631059419,1.127457374,6.432988004
6,360,2.173647204,5.726000073,0.593778083,6.598234501
6,420,2.478429804,5.721697952,1.232860434,6.701633702
6,480,5.471255855,6.083625091,5.617250895,6.772292024
6,540,11.20563485,7.701633899,14.34972332,7.248549639
6,600,17.25640473,10.92957492,23.20861002,9.667033778
6,660,21.83523074,14.5065216,29.13537144,12.73281375
6,720,24.23024335,17.66144775,31.85460351,16.06441363
6,780,25.2051455,19.03221846,32.72779888,17.88920504
6,840,23.81509905,18.32264301,30.75254201,17.66370096
6,900,19.83088955,16.1102364,25.13076799,16.34329838
6,960,14.14586356,12.57495527,16.97217567,13.29619488
6,1020,9.719693525,9.999093347,10.36017755,11.00774271
6,1080,7.885504227,8.758390517,7.367773616,9.370839719
6,1140,6.841097423,8.170314334,5.984334117,9.003211792
6,1200,6.080754083,7.334145541,5.072483876,7.88869194
6,1260,5.575087597,7.038551283,4.590256039,7.84177841
6,1320,4.805743731,6.424850396,3.415487317,6.970856585
6,1380,4.535881845,6.294367089,3.253412568,7.067632578
7,0,4.204817826,5.843087005,2.886007727,6.393804723
7,60,3.926076609,5.771477138,2.549556985,6.401015879
7,120,3.637391652,5.664909885,2.211587705,6.323607022
7,180,3.325766922,5.577488047,1.852337696,6.27207677
7,240,2.978730495,5.521802474,1.459522637,6.262962132
7,300,2.574243066,5.520843979,1.014407824,6.323412051
