julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-9.735127003,-11.97434901,-10.49156702,-14.9717248,,,,,,,
1,60,-9.797832917,-9.882619198,-10.69187097,-10.85784557,,,,,,,
1,120,-9.963693074,-9.486181837,-10.87727531,-9.964897238,,,,,,,
1,180,-10.157657,-9.378433408,-11.11838575,-9.669721058,,,,,,,
1,240,-10.34672598,-9.356567089,-11.3424368,-9.558985699,,,,,,,
1,300,-10.52614033,-9.295110038,-11.53130109,-9.396678172,,,,,,,
1,360,-10.83187286,-9.277131056,-11.8493579,-9.325242319,,,,,,,
1,420,-11.18429014,-9.330125669,-12.25320131,-9.382106517,,,,,,,
1,480,-9.715600101,-9.240277003,-10.18793717,-9.354129304,,,,,,,
1,540,-5.99220408,-8.307877977,-4.448312853,-8.812730421,,,,,,,
1,600,-1.787319006,-6.721989646,2.063846354,-7.743704777,,,,,,,
1,660,1.431222345,-4.88874464,6.777360618,-6.33386323,,,,,,,
1,720,2.868967541,-3.195119621,8.737251102,-4.728297026,,,,,,,
1,780,3.383731394,-2.021153939,9.156175705,-2.845588392,,,,,,,
1,840,2.389340241,-2.554791521,7.597035027,-3.295724149,,,,,,,
1,900,-0.267586812,-3.492916433,3.616135881,-3.432463968,,,,,,,
1,960,-4.022329714,-5.495930162,-2.079000497,-5.272544247,,,,,,,
1,1020,-6.55746945,-6.428798999,-6.282268243,-6.005822015,,,,,,,
1,1080,-7.636534363,-7.121780359,-7.991130515,-6.895070542,,,,,,,
1,1140,-8.230597102,-7.440370302,-8.760979892,-7.093957823,,,,,,,
1,1200,-8.668279984,-7.865558748,-9.282305925,-7.605247507,,,,,,,
1,1260,-9.080334456,-8.088763822,-9.814984423,-7.764179803,,,,,,,
1,1320,-9.344606884,-8.352675986,-10.09417842,-8.064138389,,,,,,,
1,1380,-9.663065421,-8.519183118,-10.52507011,-8.209748357,,,,,,,
2,0,-9.829937384,-8.678944307,-10.68126035,-8.378393295,,,,,,,
2,60,-10.04957044,-8.769883142,-10.98084057,-8.47578955,,,,,,,
2,120,-10.24905692,-8.843548778,-11.22737441,-8.541923887,,,,,,,
2,180,-10.46021169,-8.904621508,-11.48051414,-8.588581178,,,,,,,
2,240,-10.69115368,-8.950857898,-11.74931166,-8.614875636,,,,,,,
2,300,-10.95513091,-8.976712484,-12.04651404,-8.616152725,,,,,,,
2,360,-11.33317051,-8.949868832,-12.43507198,-8.565887645,,,,,,,
2,420,-11.66164461,-8.902480006,-12.75986133,-8.484202043,,,,,,,
2,480,-10.10772125,-8.880615369,-10.65366247,-8.500541295,,,,,,,
2,540,-6.342514941,-8.099474492,-4.843586342,-8.15537463,,,,,,,
2,600,-2.124739645,-6.777830249,1.698263225,-7.550123959,,,,,,,
