julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-1.388074555,-3.423797651,-1.554928087,-5.868298118,,,,,,,
1,60,-1.478510321,-1.788911519,-1.873861817,-2.516083031,,,,,,,
1,120,-1.585241188,-1.5458032,-1.990198309,-1.910731551,,,,,,,
1,180,-1.710757557,-1.493731889,-2.151197042,-1.726783156,,,,,,,
1,240,-1.807271722,-1.501317721,-2.256483944,-1.678536609,,,,,,,
1,300,-1.940947858,-1.470628516,-2.42511418,-1.572890245,,,,,,,
1,360,-2.104947877,-1.467024985,-2.59786347,-1.526370825,,,,,,,
1,420,-2.298508648,-1.533456946,-2.806244832,-1.604787956,,,,,,,
1,480,-1.73223205,-1.484395168,-2.065400675,-1.613586446,,,,,,,
1,540,0.52110791,-0.711135985,1.299813123,-1.138278437,,,,,,,
1,600,3.572021741,0.643799857,6.004772614,-0.14499533,,,,,,,
1,660,5.897924381,2.194593888,9.278671625,1.120573902,,,,,,,
1,720,7.195223314,3.514140152,11.05621804,2.314826588,,,,,,,
1,780,7.531813087,4.527125566,11.19396071,4.05879189,,,,,,,
1,840,6.722977913,3.910335418,9.887542949,3.26529469,,,,,,,
1,900,4.727587055,3.007557887,6.915142783,2.901007805,,,,,,,
1,960,2.136058537,1.567561121,3.15366137,1.838981572,,,,,,,
1,1020,0.661746072,0.724626585,0.827197864,0.971244359,,,,,,,
1,1080,0.006280151,0.267478903,-0.122947053,0.469570205,,,,,,,
1,1140,-0.417103158,-0.067473902,-0.637024442,0.148059067,,,,,,,
1,1200,-0.713276665,-0.368388469,-0.941696379,-0.175421958,,,,,,,
1,1260,-1.083516644,-0.581810057,-1.470201029,-0.367758546,,,,,,,
1,1320,-1.167965093,-0.781957411,-1.420428211,-0.581964808,,,,,,,
1,1380,-1.557956991,-0.926466819,-2.071366251,-0.716193031,,,,,,,
2,0,-1.471928184,-0.994187663,-1.732600449,-0.720345073,,,,,,,
2,60,-1.724164701,-1.12307029,-2.157457222,-0.913808613,,,,,,,
2,120,-1.862227865,-1.19338066,-2.33265325,-0.984983005,,,,,,,
2,180,-2.00038164,-1.249789048,-2.498934354,-1.031161929,,,,,,,
2,240,-2.140830278,-1.293842185,-2.658437703,-1.05861534,,,,,,,
2,300,-2.29367814,-1.324436192,-2.825634139,-1.069591107,,,,,,,
2,360,-2.523064127,-1.312103349,-3.070048889,-1.036059185,,,,,,,
2,420,-2.768026227,-1.267695282,-3.322870951,-0.964237384,,,,,,,
2,480,-1.84168949,-1.270250948,-2.031108976,-0.988998823,,,,,,,
2,540,0.272413065,-0.585122211,1.0855818,-0.611429649,,,,,,,
2,600,3.203177059,0.566499051,5.544676685,0.006635894,,,,,,,
2,660,5.679041351,1.816966714,9.144101087,0.635866329,,,,,,,
2,720,6.739287185,3.659537,10.37427329,3.060931011,,,,,,,
2,780,7.182060045,4.014933906,10.76573132,3.244901356,,,,,,,
2,840,6.40554954,3.842779534,9.53504178,3.501170078,,,,,,,
2,900,4.420467048,2.822452294,6.583418727,2.854074191,,,,,,,
2,960,1.829620922,1.346263828,2.819708008,1.701930921,,,,,,,
2,1020,0.346972181,0.434132897,0.478682625,0.678348148,,,,,,,
2,1080,-0.310305929,0.082560269,-0.476290706,0.414899261,,,,,,,
2,1140,-0.733841836,-0.357272292,-0.991140323,-0.145571314,,,,,,,
2,1200,-1.02933255,-0.546219733,-1.294503353,-0.22113103,,,,,,,
2,1260,-1.400495768,-0.859717118,-1.825066552,-0.636778931,,,,,,,
2,1320,-1.483593047,-0.972493081,-1.772201415,-0.662030155,,,,,,,
2,1380,-1.875487048,-1.184820034,-2.426941408,-0.944788659,,,,,,,
3,0,-1.787758148,-1.263058612,-2.084116096,-0.972372071,,,,,,,
3,60,-2.042489378,-1.353124047,-2.51278463,-1.086542763,,,,,,,
3,120,-2.182828374,-1.414126635,-2.690916411,-1.142120545,,,,,,,
3,180,-2.32383424,-1.463206915,-2.860764383,-1.177945578,,,,,,,
3,240,-2.467990923,-1.4989718,-3.024754538,-1.1946393,,,,,,,
3,300,-2.625911201,-1.516970088,-3.197850476,-1.189039767,,,,,,,
3,360,-2.864850869,-1.481564881,-3.452141106,-1.128716222,,,,,,,
3,420,-3.117474211,-1.41095858,-3.71262358,-1.026805851,,,,,,,
3,480,-2.162910936,-1.43688264,-2.386857708,-1.062328672,,,,,,,
3,540,-0.043657114,-0.759596549,0.733016428,-0.684069803,,,,,,,
3,600,2.920658686,0.365582859,5.259911966,-0.107339434,,,,,,,
3,660,5.38331733,1.892302517,8.833421075,1.142191476,,,,,,,
3,720,6.451737722,3.269644863,10.08414241,2.527839699,,,,,,,
3,780,6.895418679,3.918732728,10.47925468,3.410717992,,,,,,,
3,840,6.119841417,3.602632391,9.24929136,3.322742794,,,,,,,
3,900,4.135644828,2.590510385,6.296114517,2.690210471,,,,,,,
3,960,1.54286686,1.089932121,2.524098054,1.476682667,,,,,,,
3,1020,0.050590593,0.190476222,0.165820099,0.486263729,,,,,,,
3,1080,-0.609060399,-0.181838027,-0.795625574,0.173490765,,,,,,,
3,1140,-1.032600863,-0.606829247,-1.311270653,-0.355228762,,,,,,,
3,1200,-1.327861219,-0.808254602,-1.614687502,-0.460243397,,,,,,,
3,1260,-1.698921667,-1.104990327,-2.145402145,-0.840329352,,,,,,,
3,1320,-1.782060802,-1.236081925,-2.092845433,-0.906922452,,,,,,,
3,1380,-2.17389714,-1.423341602,-2.747526365,-1.136867152,,,,,,,
4,0,-2.086618869,-1.527028518,-2.405601205,-1.21993898,,,,,,,
4,60,-2.342227933,-1.602778621,-2.835332255,-1.305510722,,,,,,,
4,120,-2.48402726,-1.659081663,-3.015485804,-1.353450377,,,,,,,
4,180,-2.626919291,-1.70375909,-3.187857072,-1.382907485,,,,,,,
4,240,-2.773604601,-1.734260728,-3.35511249,-1.392414193,,,,,,,
4,300,-2.935043297,-1.744704274,-3.532537889,-1.376664776,,,,,,,
4,360,-3.180185015,-1.695923846,-3.7934647,-1.300447012,,,,,,,
4,420,-3.436761106,-1.610535304,-4.058343561,-1.180621347,,,,,,,
4,480,-2.761549507,-1.647410381,-3.2536848,-1.220276047,,,,,,,
4,540,-0.383221244,-0.9736671,0.328021239,-0.8409263,,,,,,,
4,600,2.66878947,0.136532422,5.032611518,-0.287366618,,,,,,,
4,660,5.024193348,1.641599113,8.375211033,0.922362952,,,,,,,
4,720,6.251154189,3.013578549,9.991358926,2.303360789,,,,,,,
4,780,6.650643403,3.650682744,10.28297537,3.159221516,,,,,,,
4,840,5.83690821,3.345326218,8.961044253,3.094874454,,,,,,,
4,900,3.860353814,2.323066676,6.022324194,2.434759035,,,,,,,
4,960,1.26776059,0.837989015,2.247111646,1.253268257,,,,,,,
4,1020,-0.234226796,-0.077706672,-0.128172832,0.230373855,,,,,,,
4,1080,-0.89598685,-0.436005595,-1.095702428,-0.052282606,,,,,,,
4,1140,-1.319436454,-0.872822149,-1.612134042,-0.609298066,,,,,,,
4,1200,-1.614245039,-1.060408804,-1.915312089,-0.684826009,,,,,,,
4,1260,-1.985439207,-1.368153418,-2.446896912,-1.090515226,,,,,,,
4,1320,-2.06802148,-1.486791485,-2.39353634,-1.131052423,,,,,,,
4,1380,-2.46037525,-1.68307637,-3.049594762,-1.38155611,,,,,,,
5,0,-2.372563263,-1.776904048,-2.706669135,-1.444591927,,,,,,,
5,60,-2.629185168,-1.85432945,-3.138092393,-1.535061795,,,,,,,
5,120,-2.772071523,-1.908746154,-3.319883472,-1.580612304,,,,,,,
5,180,-2.916349262,-1.950562672,-3.494221148,-1.606085997,,,,,,,
5,240,-3.064891195,-1.977185581,-3.663972696,-1.610208685,,,,,,,
5,300,-3.228951558,-1.982450459,-3.84472431,-1.587567532,,,,,,,
5,360,-3.478551251,-1.924628137,-4.110579701,-1.500562322,,,,,,,
5,420,-3.737197552,-1.829427183,-4.378280389,-1.36817115,,,,,,,
5,480,-3.047207082,-1.872060144,-3.555034104,-1.409338992,,,,,,,
5,540,-0.64429479,-1.200228369,0.071623944,-1.029257324,,,,,,,
5,600,2.409984304,-0.100556195,4.782870155,-0.49219781,,,,,,,
5,660,4.772266191,1.390807931,8.144336271,0.693453106,,,,,,,
5,720,5.990221374,2.757723129,9.744991556,2.069090152,,,,,,,
5,780,6.388979684,3.387231429,10.03627174,2.908310054,,,,,,,
5,840,5.577670794,3.088529193,8.718459392,2.858065373,,,,,,,
5,900,3.601195703,2.060859471,5.776342631,2.181680092,,,,,,,
5,960,1.005384242,0.586171276,1.990115012,1.020693204,,,,,,,
5,1020,-0.508604269,-0.340954724,-0.40701248,-0.022973111,,,,,,,
5,1080,-1.172865601,-0.690414156,-1.381691326,-0.287305578,,,,,,,
5,1140,-1.596237041,-1.133938728,-1.899090105,-0.861041996,,,,,,,
5,1200,-1.890549369,-1.312684631,-2.20207033,-0.918205037,,,,,,,
5,1260,-2.261841173,-1.626685437,-2.734577834,-1.338936509,,,,,,,
5,1320,-2.34381134,-1.737454652,-2.680417414,-1.363362148,,,,,,,
5,1380,-2.736579333,-1.938739567,-3.337752676,-1.625642248,,,,,,,
6,0,-2.648219581,-2.026420865,-2.993914388,-1.676458922,,,,,,,
6,60,-2.905645634,-2.104406808,-3.42677346,-1.769204215,,,,,,,
6,120,-3.049385498,-2.157218215,-3.609928042,-1.812646082,,,,,,,
6,180,-3.194761253,-2.196752054,-3.785894255,-1.834933189,,,,,,,
6,240,-3.344798058,-2.220338456,-3.957723404,-1.834846938,,,,,,,
6,300,-3.511009978,-2.221553325,-4.141274576,-1.806811525,,,,,,,
6,360,-3.764108773,-2.156907203,-4.411101049,-1.711599432,,,,,,,
6,420,-4.023629568,-2.055028929,-4.680555997,-1.570218652,,,,,,,
6,480,-3.319159294,-2.100885999,-3.837636788,-1.612154551,,,,,,,
6,540,-0.892041069,-1.429934894,-0.166027026,-1.231455728,,,,,,,
6,600,2.16409717,-0.337814188,4.551445997,-0.706261231,,,,,,,
6,660,4.532707051,1.143875645,7.930875287,0.463152281,,,,,,,
6,720,5.741079517,2.506211957,9.515233977,1.833727966,,,,,,,
6,780,6.138869196,3.130230989,9.805580724,2.661278201,,,,,,,
6,840,5.329841963,2.836219011,8.491510804,2.620582293,,,,,,,
6,900,3.353241831,1.805432027,5.545556758,1.933463177,,,,,,,
6,960,0.753734862,0.338511095,1.747340814,0.787146561,,,,,,,
6,1020,-0.773234879,-0.597742831,-0.673426919,-0.271423595,,,,,,,
6,1080,-1.440138192,-0.941076554,-1.655725142,-0.523664083,,,,,,,
6,1140,-1.863408695,-1.388582511,-2.174169713,-1.107994223,,,,,,,
6,1200,-2.157094057,-1.561134412,-2.476777187,-1.152713131,,,,,,,
6,1260,-2.528616057,-1.878886023,-3.010605806,-1.582943693,,,,,,,
6,1320,-2.609609746,-1.984160733,-2.954946844,-1.596424919,,,,,,,
6,1380,-3.003143642,-2.188409825,-3.614409299,-1.866049672,,,,,,,
7,0,-2.913639681,-2.271804424,-3.26847253,-1.908567296,,,,,,,
7,60,-3.172016545,-2.349846649,-3.703199609,-2.002372289,,,,,,,
7,120,-3.316478694,-2.401252911,-3.887579681,-2.043945646,,,,,,,
7,180,-3.462774968,-2.438870811,-4.064968606,-2.063568634,,,,,,,
7,240,-3.614068452,-2.459946198,-4.238588973,-2.060019997,,,,,,,
7,300,-3.782114814,-2.457820802,-4.424563307,-2.027548813,,,,,,,
7,360,-4.038087974,-2.387755301,-4.69772433,-1.925778629,,,,,,,
7,420,-4.297677769,-2.281231797,-4.968231842,-1.777719555,,,,,,,
7,480,-3.578531829,-2.328664293,-4.104298996,-1.819964571,,,,,,,
7,540,-1.126979972,-1.657916557,-0.386833301,-1.438766846,,,,,,,
7,600,1.930482274,-0.571457901,4.336034155,-0.92256371,,,,,,,
7,660,4.305192845,0.903203884,7.733116805,0.235747812,,,,,,,
7,720,5.503877827,2.261237162,9.301327875,1.601364674,,,,,,,
7,780,5.900553802,2.881154726,9.590375227,2.420520725,,,,,,,
7,840,5.093555698,2.590526725,8.27941739,2.386344163,,,,,,,
7,900,3.116667214,1.558123517,5.329264535,1.692121849,,,,,,,
7,960,0.512945711,0.09722708,1.517962368,0.556623852,,,,,,,
7,1020,-1.027776389,-0.846746581,-0.927772328,-0.513083583,,,,,,,
7,1080,-1.697539169,-1.185740122,-1.91833283,-0.75737861,,,,,,,
7,1140,-2.120687913,-1.635393592,-2.437900174,-1.348219617,,,,,,,
7,1200,-2.413611604,-1.803499269,-2.739942632,-1.384435186,,,,,,,
7,1260,-2.785488983,-2.12332039,-3.275464344,-1.820470926,,,,,,,
7,1320,-2.865174757,-2.224677521,-3.217667725,-1.826460068,,,,,,,
7,1380,-3.259782847,-2.430521967,-3.880000477,-2.10046699,,,,,,,
8,0,-3.168622838,-2.510875735,-3.530943983,-2.137325235,,,,,,,
8,60,-3.42808706,-2.58863664,-3.967916267,-2.231383365,,,,,,,
8,120,-3.573181416,-2.638776538,-4.15342997,-2.27126511,,,,,,,
8,180,-3.720275689,-2.674732259,-4.332100127,-2.288595228,,,,,,,
8,240,-3.872656073,-2.693659743,-4.507302143,-2.282109305,,,,,,,
8,300,-4.042320536,-2.688685228,-4.695439504,-2.245875327,,,,,,,
8,360,-4.300748165,-2.614184795,-4.97151409,-2.138710017,,,,,,,
8,420,-4.559755937,-2.504477579,-5.242476171,-1.985632183,,,,,,,
8,480,-3.825505247,-2.552286826,-4.356104296,-2.027866496,,,,,,,
8,540,-1.327133304,-1.88124748,-0.548110385,-1.646282014,,,,,,,
8,600,1.742884456,-0.799112158,4.206623475,-1.13706945,,,,,,,
8,660,4.062081811,0.67043538,7.489138204,0.01385564,,,,,,,
8,720,5.310719295,2.024339343,9.178392775,1.374543623,,,,,,,
8,780,5.679016247,2.641142904,9.401386029,2.187641528,,,,,,,
8,840,4.86421418,2.352965623,8.070257835,2.157815518,,,,,,,
8,900,2.909878284,1.320013708,5.169310838,1.45906462,,,,,,,
8,960,0.290653587,-0.136092629,1.318505456,0.331663146,,,,,,,
8,1020,-1.270045075,-1.086871369,-1.166186296,-0.746585305,,,,,,,
8,1080,-1.94365147,-1.422773401,-2.167430929,-0.985878785,,,,,,,
8,1140,-2.366907443,-1.873261717,-2.68877946,-1.580343627,,,,,,,
8,1200,-2.658832107,-2.03813412,-2.989849559,-1.610819906,,,,,,,
8,1260,-3.031823808,-2.358825449,-3.528843184,-2.05004944,,,,,,,
8,1320,-3.109130245,-2.457372954,-3.46665965,-2.050990631,,,,,,,
8,1380,-3.50625168,-2.663832745,-4.135048098,-2.327273762,,,,,,,
9,0,-3.411614115,-2.742031684,-3.779059946,-2.360361231,,,,,,,
9,60,-3.673008234,-2.819272077,-4.220148819,-2.454105187,,,,,,,
9,120,-3.818731719,-2.868249962,-4.406877393,-2.492435844,,,,,,,
9,180,-3.966549853,-2.902732205,-4.586774009,-2.50775508,,,,,,,
9,240,-4.119858965,-2.91978331,-4.763357665,-2.498730454,,,,,,,
