julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,
1,0,-5.595739095,-7.862763466,-6.037764825,-10.86596866,,,,,,,
1,60,-5.649471615,-5.894224036,-6.225890927,-6.734340815,,,,,,,
1,120,-5.813130488,-5.52023679,-6.400015867,-5.808233682,,,,,,,
1,180,-5.992183878,-5.404097385,-6.617962425,-5.466731879,,,,,,,
1,240,-6.160036987,-5.360541524,-6.815510642,-5.307188902,,,,,,,
1,300,-6.314887578,-5.264908195,-6.979714077,-5.085990541,,,,,,,
1,360,-6.538232945,-5.169671425,-7.220489042,-4.914667859,,,,,,,
1,420,-6.697114176,-5.166156601,-7.419760329,-4.892742282,,,,,,,
1,480,-5.047825403,-5.02835303,-4.909774246,-4.873492799,,,,,,,
1,540,-1.15638177,-3.760373541,1.01967161,-4.207888923,,,,,,,
1,600,3.196949574,-1.735754866,7.487659361,-2.985334814,,,,,,,
1,660,6.846595249,0.529491961,12.6235171,-1.413499035,,,,,,,
1,720,8.720361505,2.978511293,15.07376456,1.356900536,,,,,,,
1,780,9.469287283,3.895344103,15.82834733,2.512601036,,,,,,,
1,840,8.419969375,3.604689019,14.26860118,2.863885369,,,,,,,
1,900,5.643091431,1.998945808,10.39115971,1.836618999,,,,,,,
1,960,1.604183413,-0.192034059,4.557693566,0.379708376,,,,,,,
1,1020,-1.577878693,-1.938259846,-0.532855296,-1.363156325,,,,,,,
1,1080,-2.975608789,-2.621006721,-2.859407828,-2.050447819,,,,,,,
1,1140,-3.74258278,-3.239649999,-3.889158022,-2.753516177,,,,,,,
1,1200,-4.298041747,-3.642778312,-4.564419081,-3.100520206,,,,,,,
1,1260,-4.784964099,-4.040536598,-5.185400108,-3.540719319,,,,,,,
1,1320,-5.125597559,-4.304420232,-5.562315937,-3.769069218,,,,,,,
1,1380,-5.466357752,-4.559063364,-6.002095207,-4.04482444,,,,,,,
2,0,-5.693097696,-4.733991216,-6.245114679,-4.20245398,,,,,,,
2,60,-5.906745684,-4.847197177,-6.529328233,-4.328584793,,,,,,,
2,120,-6.103868259,-4.929798929,-6.767633916,-4.396357994,,,,,,,
2,180,-6.307199164,-4.991587219,-7.005350607,-4.431599663,,,,,,,
2,240,-6.523941729,-5.028395095,-7.251618506,-4.433040237,,,,,,,
2,300,-6.765217827,-5.029902859,-7.517534183,-4.392810297,,,,,,,
2,360,-7.061755173,-4.96215374,-7.824443315,-4.284689498,,,,,,,
2,420,-7.232254435,-4.924185005,-7.987948496,-4.173925219,,,,,,,
2,480,-5.469802411,-4.794214098,-5.432113789,-4.172014334,,,,,,,
2,540,-1.533919562,-3.667421701,0.577140889,-3.710550002,,,,,,,
2,600,2.832508075,-1.87121606,7.077210375,-2.920846998,,,,,,,
2,660,6.483911378,0.603541206,12.22540639,-0.856337037,,,,,,,
