julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,10.50999357,12.38182655,9.911420314,13.87642951
1,60,10.11010155,13.34235876,9.446929181,15.99205877
1,120,9.80539648,13.8683457,9.036823166,16.81535861
1,180,9.387595699,15.03016525,8.587740592,18.06374779
1,240,9.007914935,16.3400315,8.147643479,19.6897995
1,300,9.38369894,15.88050432,8.556351046,19.98182265
1,360,12.84772135,15.4524593,14.08773807,18.9879584
1,420,18.32403645,15.87065446,23.29974316,18.44450759
1,480,23.9719913,17.06109695,32.82962081,18.57718265
1,540,29.1375585,18.86362188,41.45470012,19.50987092
1,600,33.20094191,20.88770249,48.03630937,20.91537924
1,660,35.99571735,22.7641277,52.42332566,22.4700202
1,720,36.7195717,24.15483408,53.64095598,23.81340987
1,780,37.18773347,24.78781062,54.07784547,24.64155464
1,840,36.29553001,24.53581184,52.39401559,24.7151417
1,900,34.20194874,23.50011353,49.13855906,24.17097759
1,960,30.58227498,21.76834699,43.33006041,22.95379505
1,1020,25.91749365,19.6293768,35.75152645,21.35119679
1,1080,20.66525203,17.32235081,27.04374102,19.46284847
1,1140,15.46071883,15.20161446,18.22309311,17.64145683
1,1200,13.18934837,14.17838751,14.15067266,16.34747001
1,1260,12.14494999,13.67568077,12.45259692,15.81521413
1,1320,11.50161811,13.24312853,11.48689807,15.26861304
1,1380,11.03978974,13.00830006,10.80747402,15.03068386
2,0,10.67648976,12.81108728,10.26410079,14.78571083
2,60,10.41374046,12.85986429,9.885519807,14.84075768
2,120,10.15118467,13.07502917,9.545445025,15.14891837
2,180,9.766323033,13.8198695,9.136229126,15.9383912
2,240,9.401688151,14.70810014,8.727744636,17.07179986
2,300,9.774012037,14.43112613,9.115810236,17.29689039
2,360,13.21290749,14.31086553,14.62193579,16.68506096
2,420,18.67903561,14.99089161,23.8211774,16.53143091
2,480,24.32873688,16.4061935,33.355266,17.03775675
2,540,29.49986315,18.37476539,41.99001545,18.2592587
2,600,33.56588774,20.5851896,48.57557003,20.024433
2,660,36.36110878,22.65598603,52.96348707,21.98276662
2,720,37.07280844,23.93733231,54.16463652,23.02911935
2,780,37.53610976,24.74240356,54.5883711,24.26296416
2,840,36.64552564,24.35488312,52.90922704,24.02379685
2,900,34.5364968,23.47465003,49.6224998,23.85303113
2,960,30.89917652,21.60565309,43.78290392,22.32920142
2,1020,26.21222712,19.60317971,36.16621591,21.05271963
2,1080,20.9353001,17.17390821,27.41620588,18.89840552
2,1140,15.71026466,15.16223806,18.56224218,17.33376052
2,1200,13.43723126,14.04779406,14.48624304,15.84051469
2,1260,12.39243463,13.61890599,12.78843109,15.47899964
2,1320,11.74857876,13.12479164,11.82152619,14.80598785
2,1380,11.2865979,12.92745466,11.14113103,14.65676391
3,0,10.92399171,12.69617472,10.59821045,14.34728804
3,60,10.66773682,12.72560738,10.22622082,14.39014199
3,120,10.41708144,12.88899081,9.900146592,14.63293519
3,180,10.06230872,13.49928827,9.518813885,15.28183483
3,240,9.726796895,14.23531579,9.143785319,16.2249973
3,300,10.07366516,14.00259579,9.516741354,16.4108321
3,360,13.49047494,13.98458628,14.9926136,15.91996653
3,420,18.95882043,14.75377362,24.19537514,15.89441631
3,480,24.62133678,16.24735646,33.75047912,16.52585556
3,540,29.80654886,18.27587104,42.40859812,17.84625623
3,600,33.88203652,20.52696283,49.00962305,19.67639417
3,660,36.68307014,22.62402679,53.40779165,21.6730036
3,720,37.38867543,24.2724978,54.6024276,23.55972741
3,780,37.85092226,24.62552251,55.02206927,23.72086775
3,840,36.96195809,24.60051133,53.34822973,24.33993952
3,900,34.83884136,23.33842384,50.03411095,23.28268572
3,960,31.18440247,21.8327496,44.16531752,22.60908109
3,1020,26.47562089,19.48456847,36.51191301,20.54801751
3,1080,21.1743409,17.36428138,27.72107257,19.10540831
3,1140,15.92939596,15.0749275,18.83569109,16.92297951
3,1200,13.65556309,14.19061783,14.75832395,15.94346157
3,1260,12.61039442,13.57372525,13.06155413,15.17196207
3,1320,11.96575134,13.21529457,12.09361099,14.79972239
3,1380,11.5032882,12.91393524,11.41230156,14.43069261
4,0,11.14099196,12.74285141,10.86981264,14.25416456
4,60,10.88881298,12.73331844,10.50217305,14.23004161
4,120,10.64588588,12.86214706,10.1855007,14.42472898
4,180,10.31062275,13.39433809,9.822656008,14.98929283
4,240,9.994217456,14.04281512,9.470059374,15.82125507
4,300,10.32248581,13.83176174,9.829837981,15.98046697
4,360,13.72484721,13.86864582,15.28406458,15.55362039
4,420,19.20203411,14.68601946,24.4995931,15.59609903
4,480,24.88266437,16.22281319,34.08389596,16.29485644
4,540,30.08596103,18.28534303,42.77189117,17.66903337
4,600,34.17395926,20.56042083,49.39353873,19.53493089
4,660,36.98327541,22.67361275,53.80629919,21.55274861
4,720,37.68857298,24.34060248,55.00615791,23.46287474
4,780,38.151327,24.73104676,55.42542689,23.71126481
4,840,37.26328857,24.68836291,53.75547293,24.29061269
4,900,35.12562457,23.44780457,50.41319037,23.28953763
4,960,31.45338312,21.91805427,44.51391013,22.566637
4,1020,26.72208489,19.58705748,36.82251283,20.55354979
4,1080,21.39633579,17.443714,27.99084631,19.0656432
4,1140,16.13211303,15.16803386,19.07565509,16.92064001
4,1200,13.85803595,14.26850473,14.99808574,15.90599743
4,1260,12.81252754,13.6608371,13.3027921,15.15866168
4,1320,12.16688803,13.28923779,12.3337313,14.76109299
4,1380,11.70367955,12.99083655,11.65133057,14.40182583
5,0,11.34140499,12.81082032,11.10906224,14.20954214
5,60,11.09200028,12.79028866,10.74445154,14.17281967
5,120,10.85460436,12.89750434,10.43465916,14.33852769
5,180,10.53340441,13.37692391,10.0853376,14.84581122
5,240,10.23088639,13.96588521,9.749348109,15.60127639
5,300,10.54358391,13.76809891,10.09621685,15.74113269
5,360,13.93462084,13.84058454,15.53182969,15.35577074
5,420,19.42371894,14.68927176,24.76423295,15.44203396
5,480,25.12515544,16.2546771,34.38186909,16.18441673
5,540,30.34861348,18.3403603,43.10312762,17.59376524
5,600,34.45067456,20.63241577,49.7480201,19.48340389
