julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-8.721345113,-9.622285566,-9.532980027,-11.44614182
1,60,-8.768427693,-8.110593619,-9.615910564,-8.252729742
1,120,-8.983608217,-7.948534112,-9.849631213,-7.762396542
1,180,-9.220995487,-7.934669851,-10.14160277,-7.626736165
1,240,-9.445714742,-7.946388039,-10.40797397,-7.580399757
1,300,-9.708627923,-7.915841898,-10.72777067,-7.491172162
1,360,-10.05140224,-7.79118766,-11.10146806,-7.300050939
1,420,-10.25818248,-7.687943428,-11.31314718,-7.139374904
1,480,-8.373672855,-7.654009024,-8.508691155,-7.178900104
1,540,-3.845034876,-6.128777696,-1.746048366,-6.303060026
1,600,1.252218652,-3.695786333,5.585426194,-4.868527398
1,660,5.515204073,-0.497404251,11.26695399,-2.037108824
1,720,7.730670101,2.206174903,13.83377257,0.681138066
1,780,8.440911796,3.525352876,14.23303639,2.530148159
1,840,7.242578413,2.859361357,12.59178128,2.2454137
1,900,3.8315356,0.824119726,7.929869836,0.893608264
1,960,-0.963454804,-2.110509188,1.24924229,-1.409986176
1,1020,-4.296214902,-4.050883095,-3.890312666,-3.326924261
1,1080,-5.66584832,-4.978437991,-5.966738576,-4.403590739
1,1140,-6.493564128,-5.653845762,-6.986431781,-5.09634454
1,1200,-7.132648929,-6.194997142,-7.729134563,-5.640930253
1,1260,-7.632059188,-6.640801663,-8.280040545,-6.096795249
1,1320,-8.121363265,-6.995319547,-8.90230839,-6.450780041
1,1380,-8.399174531,-7.264405648,-9.13964442,-6.698959342
2,0,-8.81973939,-7.472931654,-9.741921884,-6.881953615
2,60,-9.001227376,-7.653126722,-9.91486132,-7.120972233
2,120,-9.239822469,-7.766483112,-10.19594066,-7.224176334
2,180,-9.496403467,-7.855029275,-10.4966133,-7.286178381
2,240,-9.780473222,-7.91560593,-10.82737588,-7.307974432
2,300,-10.10464922,-7.938484636,-11.19756186,-7.282643661
2,360,-10.54618393,-7.86010076,-11.66635344,-7.151092359
2,420,-10.85265878,-7.782746064,-11.97685712,-6.990700274
2,480,-8.780804339,-7.683207833,-9.037418431,-7.010144051
2,540,-4.182339211,-6.487593094,-2.155877733,-6.752796256
2,600,0.936603609,-3.854870453,5.220096182,-4.895077624
2,660,5.205308718,-0.76529182,10.92179128,-2.277466998
2,720,7.427442076,1.990755416,13.51239494,0.582241492
2,780,8.133753842,3.235946292,13.90781331,2.259284136
2,840,6.939664961,2.591757888,12.27263698,2.020156974
2,900,3.535727404,0.66226044,7.617073926,0.901035636
2,960,-1.254224795,-2.421062347,0.936140171,-1.766233658
2,1020,-4.600047602,-4.307411392,-4.228340983,-3.556988443
2,1080,-5.973135805,-5.265093843,-6.315155236,-4.706670634
2,1140,-6.799592797,-5.865707928,-7.334503075,-5.234494361
2,1200,-7.437247709,-6.479919296,-8.075956048,-5.945964647
2,1260,-7.936332827,-6.84658082,-8.627585975,-6.229661634
2,1320,-8.423028422,-7.272482735,-9.244970478,-6.742413803
2,1380,-8.703573124,-7.493923289,-9.488898693,-6.889520871
3,0,-9.11968365,-7.789614006,-10.08162462,-7.259716403
3,60,-9.305233305,-7.898858066,-10.26186126,-7.349755342
3,120,-9.546613627,-8.000973482,-10.54688338,-7.431974543
3,180,-9.806735796,-8.08403863,-10.85230072,-7.485661691
3,240,-10.09536395,-8.140482608,-11.18877095,-7.502582985
3,300,-10.4257512,-8.155783298,-11.56620864,-7.46710763
3,360,-10.8779951,-8.065808499,-12.04635217,-7.321557328
3,420,-11.18855001,-7.98246461,-12.362085,-7.153375562
3,480,-9.084242345,-7.891669088,-9.382181991,-7.180316303
3,540,-4.460965944,-6.710923087,-2.458081502,-6.941968218
3,600,0.665980429,-4.095946925,4.938646598,-5.106513545
3,660,4.933721258,-1.023995185,10.64863816,-2.510790056
3,720,7.155128657,1.717216932,13.24957683,0.329480066
3,780,7.856666023,2.955791219,13.63898557,1.994850855
3,840,6.665632798,2.317049651,12.00681205,1.762918077
3,900,3.267969983,0.393464087,7.355624581,0.64375761
3,960,-1.517891686,-2.674989947,0.67237044,-2.004844322
3,1020,-4.878603098,-4.563756271,-4.520466196,-3.798852431
3,1080,-6.255728705,-5.517889047,-6.619359648,-4.944771435
3,1140,-7.081097491,-6.115721647,-7.639109782,-5.470318419
3,1200,-7.717372506,-6.727714242,-8.379796582,-6.179903902
3,1260,-8.2160526,-7.091757202,-8.932353827,-6.46066594
3,1320,-8.700214601,-7.515727091,-9.545427218,-6.971345422
3,1380,-8.983128525,-7.735919152,-9.795557298,-7.117821617
4,0,-9.3949446,-8.028661628,-10.37952759,-7.483284599
4,60,-9.583706028,-8.136882929,-10.5660686,-7.572755589
4,120,-9.826883628,-8.236870414,-10.85392956,-7.652285103
4,180,-10.08927619,-8.317258811,-11.16264161,-7.702491198
4,240,-10.38080802,-8.370311059,-11.50294326,-7.715012007
4,300,-10.71517954,-8.381164249,-11.88517841,-7.673920502
4,360,-11.17382861,-8.284775857,-12.37233358,-7.520802276
4,420,-11.48565199,-8.1971618,-12.69051772,-7.346135496
4,480,-9.353413568,-8.107977524,-9.672169677,-7.373458446
4,540,-4.709744747,-6.937243438,-2.711219597,-7.147809172
4,600,0.42181093,-4.335260051,4.700790726,-5.326920464
4,660,4.686162714,-1.278159308,10.41470325,-2.748504843
4,720,6.904443791,1.450875519,13.02185894,0.077035446
4,780,7.599700591,2.683684453,13.40152563,1.732658935
4,840,6.412093348,2.050312229,11.77317538,1.50798192
4,900,3.020276977,0.132605593,7.125517112,0.389266075
4,960,-1.762022928,-2.921416399,0.439071364,-2.240953056
4,1020,-5.139202757,-4.813346208,-4.784826218,-4.038666751
4,1080,-6.520797292,-5.763842263,-6.896966322,-5.180557143
4,1140,-7.345150737,-6.35917272,-7.917459973,-5.70437269
4,1200,-7.980022707,-6.968581602,-8.657510637,-6.411187024
4,1260,-8.47818037,-7.330471824,-9.210920741,-6.689959802
4,1320,-8.959852112,-7.752144321,-9.819984585,-7.197691767
4,1380,-9.24480582,-7.971463975,-10.07579399,-7.344255408
5,0,-9.652485147,-8.261181623,-10.6515814,-7.704737294
5,60,-9.843920053,-8.368643709,-10.84367526,-7.793993459
5,120,-10.08835159,-8.466861753,-11.13371091,-7.87133475
5,180,-10.35233402,-8.545050369,-11.44489156,-7.918726628
5,240,-10.64590585,-8.595358084,-11.78800364,-7.927737182
5,300,-10.98312028,-8.602674262,-12.17373949,-7.882242124
5,360,-11.44592441,-8.501614707,-12.66559399,-7.723604303
5,420,-11.75715693,-8.411540607,-12.98419468,-7.544755801
5,480,-9.598367261,-8.321958704,-9.926811311,-7.571584941
5,540,-4.9360525,-7.158037943,-2.930995607,-7.354284756
5,600,0.198579256,-4.566857172,4.49380374,-5.5447984
5,660,4.337031863,-1.522817116,9.941818955,-2.980802784
5,720,6.592160207,1.195145332,12.6305355,-0.168310979
5,780,7.416533161,2.422935782,13.32139457,1.479239654
5,840,6.179264078,1.794400205,11.57092317,1.260767259
5,900,2.797952225,-0.117179768,6.937807935,0.143601444
5,960,-1.985445304,-3.157762498,0.237647991,-2.469845472
5,1020,-5.383587972,-5.053126661,-5.026717284,-4.270677317
5,1080,-6.770955232,-6.00053233,-7.155194575,-5.409759755
5,1140,-7.594455541,-6.593035123,-8.176893181,-5.931065363
5,1200,-8.227844823,-7.200175417,-8.916226592,-6.635784151
5,1260,-8.725341953,-7.559725049,-9.47028226,-6.91210963
5,1320,-9.204495475,-7.979376564,-10.07539242,-7.417466113
5,1380,-9.49127853,-8.197605928,-10.3365226,-7.563596466
6,0,-9.894829103,-8.484710067,-10.90428266,-7.919936024
6,60,-10.08863355,-8.591396753,-11.10148517,-8.008827223
6,120,-10.33399972,-8.68804817,-11.39327642,-8.08426469
6,180,-10.59917997,-8.764328111,-11.70642201,-8.129261663
6,240,-10.89430405,-8.812290214,-12.05174095,-8.135326783
6,300,-11.23373189,-8.816619003,-12.44023593,-8.086174769
6,360,-11.69941197,-8.711962813,-12.93545491,-7.923287286
6,420,-12.00874005,-8.620613424,-13.25295211,-7.741754048
6,480,-9.823360186,-8.529330029,-10.15481932,-7.767604544
6,540,-5.142867677,-7.370077571,-3.124318729,-7.555916799
6,600,-0.005845648,-4.788075867,4.312130463,-5.755605578
6,660,4.128498532,-1.755788262,9.763086581,-3.204046146
6,720,6.375395481,0.951933829,12.44707689,-0.403370892
6,780,7.19611651,2.175171779,13.13383121,1.237114279
6,840,5.960833861,1.551127083,11.3839273,1.02422948
6,900,2.584403424,-0.354359946,6.752536555,-0.090948725
6,960,-2.196029016,-3.382255279,0.048641291,-2.688682246
6,1020,-5.613463722,-5.281580424,-5.25132665,-4.492661485
6,1080,-7.006069004,-6.226215145,-7.39501407,-5.629656074
6,1140,-7.828692897,-6.815762161,-8.417946539,-6.148136049
6,1200,-8.460648233,-7.420772541,-9.15675277,-6.851057478
6,1260,-8.957414577,-7.777941092,-9.711377954,-7.124819922
6,1320,-9.434272194,-8.195689428,-10.31311203,-7.628044014
6,1380,-9.722454948,-8.412749689,-10.57870725,-7.773538898
7,0,-10.12238802,-8.697475333,-11.13963562,-8.126217263
7,60,-10.31811954,-8.803398596,-11.34114688,-8.214691863
7,120,-10.56419963,-8.898630099,-11.63440423,-8.288438275
7,180,-10.83031907,-8.973207632,-11.94918953,-8.331342733
7,240,-11.12668979,-9.019104339,-12.29635308,-8.334864093
7,300,-11.46794255,-9.020829531,-12.68716722,-8.282582268
7,360,-11.93561216,-8.913345668,-13.18483054,-8.116352229
7,420,-12.24192105,-8.821601488,-13.49987665,-7.933235402
7,480,-10.02944386,-8.727617247,-10.35898008,-7.957770619
7,540,-5.330805136,-7.571359055,-3.29337686,-7.74967625
