julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-2.133370523,-2.724922067,-3.33722874,-4.604609096
1,60,-2.243338306,-1.128814286,-3.358731805,-1.031105392
1,120,-2.531065029,-0.980351495,-3.676683215,-0.529351621
1,180,-2.826881551,-0.970372161,-4.028745618,-0.381688623
1,240,-3.125358763,-0.975891008,-4.383620474,-0.319648457
1,300,-3.431187514,-0.910842563,-4.726572451,-0.18003741
1,360,-3.817000613,-0.720662727,-5.136620028,0.098971459
1,420,-3.629971163,-0.640137334,-4.759248556,0.274149931
1,480,-0.646418437,-0.390914542,-0.192066169,0.28966703
1,540,5.383705753,1.487545557,8.816938494,0.920656261
1,600,11.84921066,5.122390716,18.01093424,3.608864701
1,660,16.88853389,9.197125629,24.3396472,7.117077549
1,720,19.63451727,12.76180427,27.38115127,10.84866544
1,780,20.78366584,14.35199081,28.47335385,13.00179607
1,840,19.33772928,13.54007482,26.55879973,12.73293784
1,900,15.08046284,11.05296372,20.81349803,11.2946982
1,960,8.943717571,7.062875652,12.2908982,7.88663307
1,1020,4.030517957,4.164158963,4.978536865,5.28848738
1,1080,2.017626159,2.788119436,1.732491611,3.501777814
1,1140,0.873027191,2.08161458,0.247438258,2.994165376
1,1200,0.032733416,1.181564033,-0.744294081,1.838666515
1,1260,-0.588338144,0.795819018,-1.404314527,1.672984682
1,1320,-1.281214725,0.153072495,-2.348609807,0.802912711
1,1380,-1.536074651,-0.048701075,-2.432290599,0.795886402
2,0,-2.208539181,-0.505796249,-3.498275197,0.149797347
2,60,-2.361006348,-0.612391111,-3.547926321,0.103958294
2,120,-2.652459869,-0.736478596,-3.878735496,0.009922976
2,180,-2.970389044,-0.837219061,-4.241598409,-0.051089789
2,240,-3.329809284,-0.901705006,-4.653853087,-0.063135931
2,300,-3.747262122,-0.906118368,-5.124443654,0.000668539
2,360,-4.252894035,-0.801018328,-5.653828119,0.182728493
2,420,-4.082967472,-0.799776611,-5.223447907,0.305863371
2,480,-0.895805478,-0.407033262,-0.543433601,0.37823426
2,540,5.186300065,1.405562117,8.561267098,0.898522619
2,600,11.65806945,5.017278483,17.77575069,3.55783105
2,660,16.69547265,9.05522337,24.11311501,7.005599752
2,720,19.4392433,12.60958406,27.15945613,10.73169411
2,780,20.5862377,14.17808021,28.25216793,12.83826769
2,840,19.14509788,13.38166846,26.3438496,12.60056355
2,900,14.8996769,10.88733306,20.61236899,11.13004217
2,960,8.777443365,6.922217559,12.10576714,7.761782277
2,1020,3.867237405,4.014640626,4.799295787,5.141141636
2,1080,1.849806397,2.648058122,1.538691264,3.371597198
2,1140,0.705264518,1.940092488,0.05056337,2.856742361
2,1200,-0.133317787,1.043702491,-0.939774449,1.706394553
2,1260,-0.753154868,0.658808573,-1.598915991,1.540002562
2,1320,-1.444847379,0.018934672,-2.541947571,0.674181154
2,1380,-1.699750171,-0.18484489,-2.626693553,0.66103497
3,0,-2.3703687,-0.635372319,-3.689256178,0.027693221
3,60,-2.524506754,-0.744094196,-3.741764685,-0.023738793
3,120,-2.817653793,-0.867643317,-4.075045662,-0.117659691
3,180,-3.137919477,-0.967468446,-4.441134586,-0.1778328
3,240,-3.500541044,-1.030774497,-4.85750162,-0.18862632
3,300,-3.922542991,-1.033811079,-5.333450595,-0.123399896
3,360,-4.434625361,-0.927463524,-5.869842455,0.059994527
3,420,-4.244781849,-0.926601711,-5.407354901,0.18316377
3,480,-1.04403582,-0.531909422,-0.709313272,0.256543498
3,540,5.039968459,1.276158248,8.402622697,0.773696733
3,600,11.50434787,4.877924642,17.61307707,3.425733422
3,660,16.53329227,8.902652408,23.94716135,6.861520818
3,720,19.26893802,12.44521374,26.98788033,10.57545888
3,780,20.41209047,14.00786796,28.0769895,12.67355369
3,840,18.97495993,13.21508318,26.17273978,12.43880755
3,900,14.74066799,10.72820473,20.45321165,10.97120535
3,960,8.632120682,6.776695279,11.96064514,7.61646602
3,1020,3.724028767,3.870163982,4.658883348,4.997767484
3,1080,1.700726343,2.506534976,1.380412367,3.230556562
3,1140,0.555675485,1.80174798,-0.112321991,2.719238999
3,1200,-0.281358435,0.90720163,-1.101891199,1.570061924
3,1260,-0.900101285,0.524800227,-1.760743681,1.40675103
3,1320,-1.59075177,-0.113788938,-2.703120962,0.54177994
3,1380,-1.845072702,-0.315977255,-2.787884788,0.530451275
4,0,-2.514425973,-0.76521407,-3.848618833,-0.10142408
4,60,-2.66934445,-0.87317036,-3.902770382,-0.152085435
4,120,-2.963347923,-0.995859101,-4.237580724,-0.245059048
4,180,-3.28487685,-1.09477579,-4.605678122,-0.304230638
4,240,-3.649295064,-1.157088929,-5.024587611,-0.313929084
4,300,-4.073919525,-1.158977532,-5.503812169,-0.247452778
4,360,-4.589367447,-1.051874832,-6.044115372,-0.06317347
4,420,-4.375831749,-1.051799063,-5.543410506,0.05946992
4,480,-1.165837901,-0.654073665,-0.830833714,0.134510865
4,540,4.915793786,1.151178952,8.282091852,0.650927979
4,600,11.37020041,4.7439956,17.4843106,3.297078098
4,660,16.38886739,8.756350862,23.81190138,6.722245473
4,720,19.11431294,12.28753004,26.84345962,10.42462292
4,780,20.25314304,13.84470347,27.92773762,12.51504261
4,840,18.81978144,13.05536031,26.02689122,12.28290346
4,900,14.59626093,10.57604192,20.31851529,10.81871468
4,960,8.500832845,6.63773959,11.83885609,7.476966241
4,1020,3.594322413,3.73167879,4.54161535,4.860124078
4,1080,1.563890492,2.370660555,1.242310615,3.094561825
4,1140,0.417844397,1.669183074,-0.256208489,2.587167154
4,1200,-0.4177321,0.776271626,-1.245299665,1.438749509
4,1260,-1.035261516,0.396481366,-1.903701334,1.278836035
4,1320,-1.72516728,-0.241001778,-2.846203432,0.41435506
4,1380,-1.978235424,-0.441448612,-2.929656265,0.405203473
5,0,-2.647133236,-0.889604992,-3.990461559,-0.225637023
5,60,-2.802044115,-0.996734532,-4.044890927,-0.275367978
5,120,-3.096431102,-1.118589411,-4.380624745,-0.367419266
5,180,-3.418647043,-1.216642623,-4.75002087,-0.425646578
5,240,-3.784143152,-1.278024777,-5.17063312,-0.434332305
5,300,-4.210449592,-1.27884469,-5.652104579,-0.366709649
5,360,-4.727662363,-1.171166813,-6.194669492,-0.181747665
5,420,-4.486442722,-1.172099983,-5.649161656,-0.059903223
5,480,-1.269399739,-0.770784908,-0.923672714,0.01705554
5,540,4.807463431,1.032386722,8.186571922,0.533464532
5,600,11.25094439,4.616909279,17.37903077,3.174481419
5,660,16.25851772,8.617377229,23.69860153,6.589620593
5,720,18.97269268,12.13750868,26.71914049,10.28088396
5,780,20.10699424,13.68934083,27.79799715,12.36387964
5,840,18.67724179,12.90336823,25.90015974,12.1342859
5,900,14.46416087,10.43147437,20.20230576,10.67349039
5,960,8.38128789,6.506050027,11.73455529,7.344435594
5,1020,3.475995895,3.599710039,4.442124084,4.728985406
5,1080,1.437091626,2.241013649,1.11889085,2.964519893
5,1140,0.289512299,1.542899573,-0.386638059,2.461265552
5,1200,-0.544714129,0.651416461,-1.375506681,1.313205337
5,1260,-1.160913649,0.274323037,-2.033229323,1.156936052
5,1320,-1.85048334,-0.362231754,-2.97680738,0.292588494
5,1380,-2.101501025,-0.560835619,-3.057267665,0.285868706
6,0,-2.771017,-1.008072896,-4.120534703,-0.344263947
6,60,-2.925140224,-1.11435133,-4.173738744,-0.392988866
6,120,-3.21961274,-1.235403354,-4.509977156,-0.48415819
6,180,-3.542172178,-1.332636217,-4.880222626,-0.541502028
6,240,-3.908351614,-1.393141993,-5.302071425,-0.549252394
6,300,-4.33582377,-1.392959401,-5.785217653,-0.480575022
6,360,-4.853834998,-1.284859789,-6.329013992,-0.295106201
6,420,-4.580700916,-1.287011038,-5.731655227,-0.174314368
6,480,-1.358032625,-0.881588602,-0.994314544,-0.095215335
6,540,4.712585414,0.920193917,8.110906062,0.421817677
6,600,11.14470329,4.497097435,17.29282559,3.058447995
6,660,16.14080305,8.486188198,23.603545,6.464145351
6,720,18.84309705,11.99564089,26.61194851,10.14477435
6,780,19.9727886,13.54227275,27.68507244,12.22058141
6,840,18.54650896,12.75959349,25.78995225,11.99347889
6,900,14.34352353,10.29494193,20.10203825,10.53600378
6,960,8.272616447,6.382017554,11.64522991,7.219303785
6,1020,3.368354549,3.474615805,4.358354461,4.604738476
6,1080,1.319521583,2.117940255,1.007871439,2.840803222
6,1140,0.169806032,1.423235409,-0.506002424,2.341900603
6,1200,-0.663205163,0.532960776,-1.494927584,1.193774296
6,1260,-1.278002694,0.158647244,-2.151803572,1.041398286
6,1320,-1.96746139,-0.477161991,-3.096967565,0.176821218
6,1380,-2.216097603,-0.673827956,-3.173732375,0.172778877
7,0,-2.886647355,-1.120311362,-4.240396755,-0.456978308
7,60,-3.039646665,-1.22571545,-4.291749952,-0.50462217
7,120,-3.334031257,-1.345996517,-4.628248156,-0.59495033
7,180,-3.656726147,-1.442452423,-4.999065088,-0.651470943
7,240,-4.023335265,-1.502135789,-5.421834123,-0.658361436
7,300,-4.451628603,-1.501014726,-5.906244279,-0.588717087
7,360,-4.969795169,-1.392640615,-6.450574109,-0.402908807
7,420,-4.660215902,-1.396211452,-5.793767809,-0.283413321
7,480,-1.433081754,-0.986166657,-1.04553615,-0.201952557
7,540,4.630180913,0.81493054,8.052801666,0.31633115
7,600,11.05072657,4.384933243,17.22369398,2.949356536
7,660,16.03519748,8.36320396,23.52506296,6.346236942
7,720,18.72524288,11.86238996,26.52058681,10.01675913
7,780,19.85031032,13.40397604,27.58780743,12.08562615
7,840,18.42737083,12.62450162,25.69515464,11.8609563
7,900,14.23411248,10.16687338,20.0166051,10.40669957
7,960,8.174548928,6.26601735,11.56977191,7.101963025
7,1020,3.271328055,3.356744787,4.289700403,4.487748705
7,1080,1.210976473,2.001774713,0.908358929,2.723757604
7,1140,0.058443367,1.310520012,-0.615349881,2.229419522
7,1200,-0.773643749,0.421220807,-1.604938281,1.080782449
7,1260,-1.387139118,0.049771174,-2.261155689,0.932559321
7,1320,-2.076248584,-0.585483429,-3.207368734,0.067377078
7,1380,-2.322398032,-0.780121036,-3.280207314,0.066253499
8,0,-2.994630382,-1.226019439,-4.351682809,-0.563465252
8,60,-3.145986931,-1.330526454,-4.400127317,-0.609952098
8,120,-3.440143829,-1.450069016,-4.736664944,-0.69947937
8,180,-3.762825795,-1.545791383,-5.107842382,-0.755235691
8,240,-4.129705241,-1.604705532,-5.531332839,-0.761339355
8,300,-4.558612461,-1.60270785,-6.016764676,-0.690811457
8,360,-5.076469758,-1.494200392,-6.561112866,-0.504822411
8,420,-4.725346443,-1.499384214,-5.836266596,-0.386856429
8,480,-1.494978219,-1.084203086,-1.078389906,-0.302811517
8,540,4.559844241,0.716926091,8.011127963,0.217346952
8,600,10.96876402,4.280789602,17.17070649,2.847584593
8,660,15.94158597,8.248844708,23.46240706,6.236312239
8,720,18.61916109,11.738219,26.44451481,9.897302876
8,780,19.73963251,13.27492747,27.50574187,11.9594921
8,840,18.31989597,12.4985583,25.615323,11.73719222
8,900,14.1359674,10.04769775,19.94555165,10.28602274
8,960,8.087089077,6.158425426,11.50771337,6.992806816
8,1020,3.185152678,3.246445643,4.236267916,4.378381589
8,1080,1.111535439,1.892851704,0.820110341,2.613729729
8,1140,-0.044575032,1.205082804,-0.715085446,2.124169639
8,1200,-0.875942988,0.316513141,-1.70573314,0.974556733
8,1260,-1.487975653,-0.051983525,-2.36088811,0.830765765
8,1320,-2.177178232,-0.686899994,-3.309104173,-0.035448554
8,1380,-2.420361666,-0.879398472,-3.376951678,-0.033362243
9,0,-3.094840816,-1.324905315,-4.454461136,-0.663429476
9,60,-3.244243308,-1.428484652,-4.499360818,-0.708664384
9,120,-3.53807977,-1.54732076,-4.835789066,-0.797428538
9,180,-3.860646495,-1.642352869,-5.207177585,-0.852477886
9,240,-4.227683942,-1.700550361,-5.631243979,-0.857865626
9,300,-4.657069162,-1.697735687,-6.117538806,-0.786533232
9,360,-5.174280354,-1.589229882,-6.661538767,-0.600513392
9,420,-4.775888906,-1.596212255,-5.858967488,-0.484300068
9,480,-1.543707458,-1.175381687,-1.093086449,-0.397447882
9,540,4.501486103,0.626510097,7.985395761,0.125206318
9,600,10.8988089,4.185039871,17.13345515,2.75351001
9,660,15.86005086,8.143530473,23.41527144,6.134787358
9,720,18.52503333,11.6235911,26.38355524,9.786869929
9,780,19.64096705,13.15560332,27.43875015,11.84265627
9,840,18.22428811,12.38222907,25.55033626,11.62266021
9,900,14.04926124,9.937843877,19.88873857,10.17441728
9,960,8.010373007,6.05961791,11.45889634,6.892228171
9,1020,3.110237576,3.144066591,4.198565168,4.277001806
9,1080,1.021422682,1.79150498,0.743216396,2.511064278
9,1140,-0.139117257,1.107252892,-0.805315482,2.026497742
9,1200,-0.970000727,0.219153138,-1.797471858,0.875421418
9,1260,-1.580422098,-0.146298381,-2.451174283,0.736357287
9,1320,-2.270176986,-0.781111765,-3.402373543,-0.131351785
9,1380,-2.509874217,-0.971348489,-3.464064522,-0.125733078
10,0,-3.18728788,-1.416675511,-4.54908788,-0.756572064
10,60,-3.347250295,-1.523698596,-4.599646342,-0.800121817
10,120,-3.658299631,-1.643772721,-4.953227273,-0.884820965
10,180,-4.003511883,-1.735331111,-5.348129361,-0.930067684
10,240,-4.402062991,-1.781043744,-5.804067796,-0.915336318
10,300,-5.065343419,-1.626375584,-6.50675734,-0.692614154
10,360,-5.868217579,-1.203622379,-7.177174801,-0.245433163
10,420,-5.369168281,-1.545498827,-7.113757399,-0.318760713
10,480,-1.279830604,-0.921477041,-1.236893679,-0.542834211
10,540,5.126729998,1.397270353,8.389119054,0.709918343
10,600,11.44526446,4.865449026,17.54165446,3.319927789
10,660,16.15890232,8.621758701,23.68215178,6.716397603
10,720,18.59648629,11.6795782,26.51397288,9.879593899
10,780,19.57599308,13.11826589,27.43833387,11.90823284
10,840,18.26584348,12.36995515,25.60857959,11.55215335
10,900,14.39745401,10.27416449,20.19301485,10.45035487
10,960,8.706615768,6.692456971,12.07323942,7.35800717
10,1020,2.809021106,3.128544123,3.814833673,4.555707578
10,1080,0.72568588,1.686076575,0.413226736,2.618021001
10,1140,-0.403715789,0.775774852,-1.054602599,1.625332509
10,1200,-1.231922177,0.090524432,-2.044313947,0.928267447
10,1260,-1.840774384,-0.490798897,-2.705858819,0.294724016
10,1320,-2.506386703,-0.912084484,-3.61952843,-0.117238996
10,1380,-2.756257114,-1.280674233,-3.721097498,-0.519256464
11,0,-3.387122271,-1.547489313,-4.724016558,-0.783561838
11,60,-3.545960159,-1.703438602,-4.796951626,-0.957909507
11,120,-3.839265585,-1.812888558,-5.136812549,-1.044628969
11,180,-4.166105317,-1.887516229,-5.516163444,-1.078209594
11,240,-4.545552273,-1.914260598,-5.954510927,-1.047388355
11,300,-5.189991661,-1.744137274,-6.639406367,-0.813464171
11,360,-5.97208696,-1.314514643,-7.294668846,-0.360256532
11,420,-5.452938275,-1.635378649,-7.206776527,-0.419305876
11,480,-1.333757875,-1.001134675,-1.275090558,-0.630680304
11,540,5.081344635,1.321071517,8.374655737,0.630500924
11,600,11.39274857,4.785603419,17.52360097,3.240818704
11,660,16.09745894,8.534742685,23.65758344,6.632545663
11,720,18.52466798,11.58524574,26.47821241,9.788826404
11,780,19.50073681,13.02056305,27.39811014,11.81322172
11,840,18.19316979,12.27424682,25.57020339,11.45813759
11,900,14.33191418,10.18412955,20.16107948,10.360045
11,960,8.648858273,6.610542916,12.04671185,7.274688951
11,1020,2.745936158,3.053593117,3.765448307,4.478843864
11,1080,0.647878679,1.604401796,0.342476044,2.538498813
11,1140,-0.482350314,0.694928378,-1.130107384,1.544931044
11,1200,-1.309762066,0.011636413,-2.120370415,0.849996369
11,1260,-1.917437397,-0.56887632,-2.781219131,0.216360429
