julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-9.055388512,-9.953152799,-9.513803925,-11.57585053
1,60,-9.273745839,-8.76213317,-9.937299833,-8.7934227
1,120,-9.506724929,-8.744588539,-10.2007888,-8.547262273
1,180,-9.746448733,-8.789385618,-10.50177029,-8.495101694
1,240,-9.94550436,-8.849843651,-10.72649333,-8.518959032
1,300,-10.20311635,-8.850943204,-11.05902094,-8.463081039
1,360,-10.51659585,-8.781588051,-11.40693649,-8.345791567
1,420,-10.86841083,-8.653903365,-11.82846838,-8.149639926
1,480,-9.440092767,-8.643029181,-9.725836785,-8.171566546
1,540,-5.437090063,-7.127024095,-4.057872378,-7.663813958
1,600,-0.510435996,-3.844299328,2.538028598,-5.058328727
1,660,3.825599704,-0.156742046,7.741304115,-1.821483827
1,720,6.491736684,3.098811614,10.54531976,1.699669412
1,780,7.558138434,4.453122676,11.5804227,3.485376938
1,840,6.297669893,3.54800253,9.982287342,2.881085587
1,900,2.807489263,1.092602654,5.573922455,1.188151071
1,960,-1.98467668,-2.427556972,-0.590646589,-1.711910799
1,1020,-4.795132238,-4.46866258,-4.627625103,-3.80969592
1,1080,-6.003297706,-5.470352557,-6.273288561,-4.952499518
1,1140,-6.853950754,-6.225799958,-7.267538915,-5.728305823
1,1200,-7.532290745,-6.813955826,-8.031716119,-6.29211015
1,1260,-8.084019445,-7.369807922,-8.643699351,-6.935227542
1,1320,-8.500584196,-7.691097019,-9.056964204,-7.145359874
1,1380,-8.987329874,-8.131729597,-9.731925036,-7.738553244
2,0,-9.138257557,-8.267430484,-9.704143232,-7.70396787
2,60,-9.47062798,-8.491556232,-10.21060583,-8.021666952
2,120,-9.718367568,-8.631616155,-10.50964,-8.152062479
2,180,-9.976499392,-8.749831138,-10.81508023,-8.24356797
2,240,-10.24646374,-8.841341345,-11.12375362,-8.293474451
2,300,-10.56224366,-8.897292948,-11.49123331,-8.296144227
2,360,-10.98123992,-8.851002223,-11.94452032,-8.185614387
2,420,-11.43007478,-8.762334494,-12.45043509,-8.013828704
2,480,-9.810653998,-8.714656852,-10.23468365,-8.096421369
2,540,-5.732588587,-7.242530643,-4.43382121,-7.656873511
2,600,-0.783609286,-3.997962511,2.207441942,-5.118799285
2,660,3.559318472,-0.331204794,7.429981446,-1.914763641
2,720,6.229898193,2.872157028,10.24695192,1.4911222
2,780,7.295844255,4.301330065,11.28425573,3.475596563
2,840,6.03708734,3.244878633,9.687608306,2.474984278
2,900,2.551238968,0.873977419,5.28226694,0.991803648
2,960,-2.237469979,-2.634103067,-0.882444077,-1.886834164
2,1020,-5.059110368,-4.681947353,-4.936057537,-3.990924684
2,1080,-6.267110213,-5.682914431,-6.583207691,-5.135105524
2,1140,-7.11693093,-6.437280317,-7.576751377,-5.910981751
2,1200,-7.794727086,-7.024364007,-8.340539628,-6.474559704
2,1260,-8.346093779,-7.579454976,-8.952234114,-7.117985756
2,1320,-8.761395522,-7.899121834,-9.362767939,-7.326109259
2,1380,-9.25106416,-8.33980646,-10.04461933,-7.921167974
3,0,-9.398031203,-8.472976169,-10.00735236,-7.882220071
3,60,-9.734581796,-8.696189509,-10.52167107,-8.199724278
3,120,-9.985428927,-8.833935367,-10.82539564,-8.327029632
3,180,-10.24761896,-8.949076353,-11.13672926,-8.414278365
3,240,-10.52286162,-9.036381256,-11.45260964,-8.45831405
3,300,-10.84644512,-9.086336511,-11.83039016,-8.452781947
3,360,-11.27934043,-9.029168675,-12.29960354,-8.328610048
3,420,-11.741175,-8.930548735,-12.82279457,-8.143067165
3,480,-10.0809228,-8.890869863,-10.5556452,-8.232649693
3,540,-5.973754587,-7.430763048,-4.703674434,-7.814914607
3,600,-1.016107687,-4.191785106,1.957711336,-5.282596731
3,660,3.326978709,-0.536285417,7.18662235,-2.095093636
3,720,5.995546564,2.658441007,10.00432175,1.300437633
3,780,7.059605445,4.086818943,11.03998164,3.286319441
3,840,5.801949355,3.01768972,9.442962494,2.249344709
3,900,2.319739912,0.658426054,5.038834204,0.788271695
3,960,-2.466448049,-2.84475484,-1.128152539,-2.086334531
3,1020,-5.301200201,-4.898881257,-5.201926229,-4.193547544
3,1080,-6.509465901,-5.89878781,-6.851937979,-5.337883447
3,1140,-7.358569401,-6.651768711,-7.845385233,-6.112724607
3,1200,-8.035830891,-7.23703621,-8.60916004,-6.673928857
3,1260,-8.586782466,-7.792172448,-9.220815943,-7.319272015
3,1320,-9.000702048,-8.108589955,-9.628737064,-7.521194962
3,1380,-9.493176336,-8.551139847,-10.31763203,-8.122042282
4,0,-9.635921569,-8.679494838,-10.27072587,-8.073113836
4,60,-9.975967125,-8.903281415,-10.7922146,-8.393198635
4,120,-10.22888155,-9.039531001,-11.09933355,-8.518495998
