julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,4.725424095,3.610245174,4.65899613,2.269578939
1,60,4.523356192,4.867083232,4.284514655,5.000937721
1,120,4.339184275,5.09046722,4.076728493,5.594483514
1,180,4.166977633,5.182099508,3.871600784,5.849587165
1,240,4.019645584,5.267849483,3.704413486,6.033418446
1,300,3.854251804,5.540098292,3.540884832,6.391610017
1,360,3.649119178,6.000811606,3.359375653,6.851003292
1,420,3.747254325,5.669520401,3.445343716,6.861289777
1,480,6.507352496,6.184989934,7.359103096,6.734671498
1,540,11.35934095,7.922981632,14.55336463,7.476208559
1,600,16.39801947,10.5740381,21.82651887,9.235189041
1,660,20.32664838,13.48522516,27.06279238,11.65846718
1,720,22.39195526,15.9397205,29.63394504,14.11155681
1,780,23.24650366,17.11225347,30.52226414,15.76486358
1,840,22.28229153,16.60491798,29.26527227,15.72506213
1,900,19.26730861,14.95715296,25.16182198,14.97409393
1,960,14.72138984,12.2193008,18.74041032,12.88090226
1,1020,9.848662469,9.384383963,11.83314903,10.75626731
1,1080,7.923957459,8.102685445,8.542240189,8.952688189
1,1140,6.928225136,7.564276286,7.182420121,8.628077471
1,1200,6.265599793,6.806423946,6.407148106,7.623203131
1,1260,5.606423872,6.49150708,5.504147824,7.47204889
1,1320,5.287895381,6.024661758,5.25026224,6.869267886
1,1380,4.781740431,5.814029068,4.500489388,6.741129513
2,0,4.652887368,5.54452319,4.503576674,6.414023437
2,60,4.372182981,5.44823367,4.084996596,6.32745031
2,120,4.171352333,5.381475554,3.845783048,6.289657961
2,180,3.975078927,5.349746652,3.625347052,6.30229901
2,240,3.77652057,5.366547225,3.412507308,6.376380455
2,300,3.524251238,5.573516426,3.159566075,6.626591844
2,360,3.245382893,6.026119857,2.924392271,7.05844905
2,420,3.487786348,5.710699756,3.12462596,7.078134052
2,480,6.260335561,6.145208662,7.054649466,6.831454176
2,540,11.10723182,7.834565388,14.24455903,7.498609387
2,600,16.13187102,10.43896287,21.50045625,9.181322949
2,660,20.04946457,13.3221314,26.72555976,11.5639389
2,720,22.11144316,15.74831025,29.29472278,13.97161991
2,780,22.96412337,16.9099324,30.18372578,15.60458805
2,840,22.00584391,16.4006614,28.93632192,15.5552535
2,900,19.00690642,14.75744586,24.85641137,14.80245793
2,960,14.48406792,12.02775338,18.46874185,12.71094367
2,1020,9.63102015,9.202578301,11.58695495,10.59225854
2,1080,7.708345881,7.9207344,8.301088161,8.789291574
2,1140,6.715432207,7.384222515,6.943696137,8.46516191
2,1200,6.055949031,6.628278654,6.172715663,7.460777415
2,1260,5.398234814,6.31551455,5.270595384,7.311902687
2,1320,5.082307823,5.849569501,5.02109033,6.708588385
2,1380,4.576599276,5.640967938,4.270845566,6.583110795
3,0,4.449700339,5.372019173,4.277651306,6.255513757
3,60,4.168290003,5.277449196,3.857819179,6.171113091
3,120,3.966538483,5.212547205,3.617378983,6.13558331
3,180,3.76883845,5.183094702,3.395159475,6.15103403
3,240,3.568114717,5.202853403,3.179796525,6.228741786
3,300,3.310021031,5.415376003,2.921273219,6.485012501
3,360,3.02277117,5.874063607,2.679328411,6.924196631
3,420,3.279006421,5.55640671,2.89071934,6.944609939
3,480,6.054722778,5.984998266,6.826146614,6.690856165
3,540,10.88941274,7.665903203,14.00112597,7.350617843
3,600,15.89489971,10.25793653,21.23124246,9.022031238
3,660,19.79786698,13.12791186,26.43882563,11.39240256
3,720,21.85261692,15.54103061,28.99939337,13.78545709
3,780,22.70213377,16.69605842,29.88587643,15.40836743
3,840,21.74908152,16.18837408,28.6461744,15.35834068
3,900,18.76538772,14.55076612,24.5878961,14.60675158
3,960,14.26462693,11.83120211,18.2317747,12.52219064
3,1020,9.42993095,9.015938624,11.37263623,10.41058053
3,1080,7.508220864,7.735087689,8.089715962,8.611685288
3,1140,6.517834644,7.200493226,6.733846531,8.288289127
3,1200,5.861462826,6.447512833,5.966839916,7.28697533
3,1260,5.205048929,6.13687351,5.064972983,7.140499189
3,1320,4.891874026,5.672528031,4.819910362,6.538371113
3,1380,4.386487497,5.46595212,4.068629663,6.415713694
4,0,4.261798259,5.197960987,4.079407066,6.088657099
4,60,3.980080947,5.104972502,3.658513614,6.006488781
4,120,3.77811497,5.041663336,3.417546152,5.973079672
4,180,3.579931204,5.01405551,3.194515052,5.990954288
4,240,3.378317774,5.036105061,2.977933048,6.071603682
4,300,3.117495431,5.252435006,2.716616227,6.332273318
4,360,2.826420267,5.713917365,2.470977199,6.776092803
4,420,3.092017514,5.39627398,2.691918174,6.797219467
4,480,5.868884995,5.82179693,6.631232277,6.539785096
4,540,10.68966086,7.496577552,13.78906541,7.195462082
4,600,15.67476024,10.07818214,20.99146555,8.858632463
4,660,19.5620931,12.936246,26.17975936,11.21880531
4,720,21.60817018,15.33748471,28.72936814,13.59919115
4,780,22.45410727,16.48647422,29.61222063,15.21326142
4,840,21.50597496,15.98033771,28.37944917,15.16259157
4,900,18.53699073,14.34841653,24.34172102,14.41272646
4,960,14.05750539,11.63864283,18.01563206,12.33481971
4,1020,9.239989696,8.833120835,11.17688474,10.2304944
4,1080,7.318288461,7.552761634,7.895217213,8.435187724
4,1140,6.330194518,7.020088918,6.540242837,8.112600608
4,1200,5.676953126,6.269987371,5.777155554,7.114230179
4,1260,5.021684143,5.961477079,4.875080429,6.970217547
4,1320,4.711458057,5.498671228,4.634778808,6.369195329
4,1380,4.206234894,5.294100072,3.881981425,6.249365677
5,0,4.084044604,5.02700927,3.897219724,5.922776933
5,60,3.802177099,4.93547823,3.475286784,5.842692204
5,120,3.600366871,4.873576408,3.234196553,5.811156282
5,180,3.402194039,4.847562064,3.01090659,5.83112016
5,240,3.200357551,4.871556748,2.793834024,5.914263822
5,300,2.938373136,5.09090993,2.531188741,6.178492397
5,360,2.645802399,5.553598356,2.283484721,6.625595618
5,420,2.918878123,5.236896129,2.513707287,6.647232682
5,480,5.696582815,5.660604636,6.45731111,6.387378493
5,540,10.5032626,7.330441548,13.59804272,7.040428745
5,600,15.46782981,9.902664275,20.77253874,8.696776474
5,660,19.33929808,12.74958795,25.94107756,11.04780062
5,720,21.37605545,15.13964168,28.47868477,13.41653331
5,780,22.21826851,16.28292719,29.3574322,15.02242923
5,840,21.27484852,15.77827171,28.13112766,14.97109247
5,900,18.32008202,14.15197073,24.11306835,14.22314534
5,960,13.86108043,11.45163139,17.81564054,12.15159174
5,1020,9.059578359,8.655543688,10.99515682,10.05448159
5,1080,7.136939956,7.37518954,7.713130047,8.262303168
5,1140,6.150897942,6.844364407,6.358475365,7.940412501
5,1200,5.50080357,6.097077518,5.599310554,6.944895771
5,1260,4.846504328,5.790649063,4.69658423,6.80328347
5,1320,4.539423919,5.329340431,4.461426138,6.203312366
5,1380,4.034171971,5.1267273,3.706622428,6.08624533
6,0,3.914766719,4.860492259,3.726870677,5.760062189
6,60,3.632792487,4.770322084,3.303817154,5.681926926
6,120,3.43135697,4.709697094,3.06285647,5.652078636
6,180,3.233491991,4.685104693,2.839657148,5.673892837
6,240,3.031834278,4.71081287,2.622554297,5.759220379
6,300,2.769612758,4.932671385,2.359470873,6.026439845
6,360,2.476937202,5.395445634,2.110698159,6.475881914
6,420,2.75665782,5.080335802,2.350463554,6.497867691
6,480,5.535572859,5.503139671,6.299516254,6.236418543
6,540,10.32861735,7.168962577,13.42412407,6.887892251
6,600,15.27298776,9.732663751,20.57127601,8.538473785
6,660,19.12870878,12.56912137,25.72015398,10.88118206
6,720,21.15584789,14.94858623,28.24527815,13.23906778
6,780,21.99430808,16.08645748,29.11970605,14.83732942
6,840,21.05541988,15.58321505,27.89950897,14.78530788
6,900,18.11436561,13.96241478,23.90027589,14.03938319
6,960,13.67501795,11.27113231,17.63013872,11.97388387
6,1020,8.888328228,8.484108484,10.82580025,9.883824318
6,1080,6.963790082,7.203275573,7.541796573,8.094322429
6,1140,5.97954129,6.674198133,6.186879536,7.772959855
6,1200,5.332597351,5.929668957,5.431644479,6.780226741
6,1260,4.679070218,5.625257931,4.527806373,6.640911832
6,1320,4.375323194,5.165413095,4.298186885,6.041955791
6,1380,3.869822284,4.964702857,3.540858251,5.927563699
7,0,3.753478508,4.699287581,3.566678167,5.601737839
7,60,3.4713771,4.610395532,3.1423535,5.525430542
7,120,3.270453345,4.550942635,2.901683012,5.497117194
7,180,3.073087935,4.527637153,2.678806855,5.520590045
7,240,2.87187191,4.554878738,2.461984404,5.607856157
7,300,2.610013527,4.778841924,2.19905221,5.877621532
7,360,2.318144901,5.240796648,1.949872966,6.328642008
7,420,2.604194221,4.927811945,2.199700786,6.350844148
7,480,5.385028675,5.35048002,6.155720552,6.088447736
7,540,10.16523353,7.013122645,13.26565525,6.739227594
7,600,15.09000872,9.569101195,20.38642339,8.384956117
7,660,18.93029661,12.39574663,25.51603607,10.7201052
7,720,20.94770859,14.76519542,28.0284907,13.06787933
7,780,21.78244868,15.89793291,28.89851534,14.65900607
7,840,20.84791525,15.39603346,27.68410313,14.6062892
7,900,17.92003658,13.78057988,23.70283989,13.86244901
7,960,13.49946013,11.0979489,17.45857759,11.80269586
7,1020,8.72633485,8.319570645,10.6682365,9.719466586
7,1080,6.798910014,7.037770656,7.380604622,7.932185271
7,1140,5.816174649,6.51032619,6.024819457,7.611155054
7,1200,5.172369844,5.768498084,5.273511039,6.621142898
7,1260,4.519395876,5.466029612,4.368074154,6.484001389
