julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-5.089957031,-6.797821909,-5.594488311,-9.553928627
1,60,-5.01203545,-4.954718829,-5.499871643,-5.370604919
1,120,-5.163933398,-4.795083818,-5.642500519,-4.835889177
1,180,-5.338113243,-4.777213397,-5.855198801,-4.670944162
1,240,-5.488237834,-4.808898988,-6.02586244,-4.649271957
1,300,-5.667956792,-4.796216588,-6.251081666,-4.570822608
1,360,-5.885897964,-4.745848238,-6.494361815,-4.471272964
1,420,-6.010751689,-4.694628007,-6.612230395,-4.376155813
1,480,-4.770666505,-4.583768034,-4.694779866,-4.325284233
1,540,-1.37290486,-3.061739499,0.32705072,-3.319980564
1,600,2.698456094,-0.656509964,6.066810369,-1.664419542
1,660,6.297855437,1.832220715,10.76688394,-0.074594763
1,720,8.241045569,4.790522777,12.82363942,3.731033403
1,780,9.006800284,5.664575934,13.4727011,4.665476498
1,840,7.976636744,5.08733297,12.06333768,4.521964161
1,900,5.151533506,3.183509651,8.294784453,3.208481465
1,960,1.245674901,0.485302067,3.005670777,1.060475465
1,1020,-1.337000461,-1.244160779,-0.892040086,-0.657037261
1,1080,-2.426669152,-2.069657928,-2.508172907,-1.614356079
1,1140,-3.139606463,-2.683117851,-3.373755333,-2.24387444
1,1200,-3.696072107,-3.169600194,-4.011621198,-2.723949994
1,1260,-4.116582737,-3.588415878,-4.446208984,-3.170362592
1,1320,-4.57044608,-3.891643983,-5.062132957,-3.443626964
1,1380,-4.752125983,-4.18066988,-5.11182468,-3.767772378
2,0,-5.183906261,-4.366662471,-5.812296157,-3.91763338
2,60,-5.28461495,-4.504361598,-5.8376196,-4.077969871
2,120,-5.466713476,-4.608443466,-6.04326712,-4.166528272
2,180,-5.661261468,-4.695316229,-6.265251093,-4.226089806
2,240,-5.87662159,-4.760146746,-6.514933269,-4.253045737
2,300,-6.120734642,-4.792532822,-6.796845529,-4.23765474
2,360,-6.43054043,-4.740936942,-7.129733273,-4.131168298
2,420,-6.659835592,-4.686824878,-7.356840908,-4.001744401
2,480,-5.237260786,-4.592050417,-5.307075209,-4.030965368
2,540,-1.768926635,-3.417602445,-0.15852699,-3.719898394
2,600,2.327307364,-0.932132077,5.633738085,-1.879149405
2,660,5.934535453,1.884767504,10.35612039,0.522279226
2,720,7.886886259,4.356712959,12.43838629,3.13440537
2,780,8.644044197,5.424055615,13.06818117,4.581710452
2,840,7.620569006,4.762928768,11.67346582,4.213557631
2,900,4.79841443,3.028147405,7.904285733,3.328363076
2,960,0.894390228,0.084531527,2.610140647,0.538028699
2,1020,-1.697598524,-1.467803715,-1.305354254,-0.723591017
2,1080,-2.78810797,-2.440020254,-2.925948894,-2.054340867
2,1140,-3.500360459,-2.982584541,-3.791437373,-2.50966875
2,1200,-4.05618728,-3.459857229,-4.428801255,-2.970051794
2,1260,-4.475708054,-3.87637363,-4.861597399,-3.413626552
2,1320,-4.930905442,-4.167901106,-5.480972548,-3.661436954
2,1380,-5.110515471,-4.462801287,-5.52560622,-4.001981128
3,0,-5.545785804,-4.639326384,-6.233847672,-4.132059178
3,60,-5.647382124,-4.777502146,-6.258866,-4.29685523
3,120,-5.83300766,-4.877567516,-6.469566023,-4.380154785
3,180,-6.032361729,-4.958749536,-6.698361504,-4.431771095
3,240,-6.254346291,-5.015682068,-6.957139853,-4.447662772
3,300,-6.507875392,-5.036905971,-7.251299103,-4.41715663
3,360,-6.834230976,-4.965571393,-7.603070937,-4.286468835
3,420,-7.072300166,-4.894238491,-7.840394348,-4.133084296
3,480,-5.611825755,-4.817618106,-5.745507481,-4.174015599
3,540,-2.112047151,-3.670441749,-0.539965247,-3.907339299
3,600,1.996596819,-1.199891944,5.281892055,-2.087637784
3,660,5.605576154,1.599199028,10.01518464,0.28480758
3,720,7.560009985,4.059574717,12.10911691,2.882157395
3,780,8.309498745,5.11912872,12.72198383,4.312339656
3,840,7.290543081,4.457590987,11.33590508,3.939369326
3,900,4.470568856,2.734385189,7.564018636,3.075550379
3,960,0.567426397,-0.223677084,2.262532485,0.238118995
3,1020,-2.035366118,-1.746478286,-1.673721524,-0.942251365
3,1080,-3.127044606,-2.76441297,-3.300042883,-2.391890301
3,1140,-3.838662017,-3.280437433,-4.166007412,-2.783916451
3,1200,-4.393793895,-3.753114799,-4.803185698,-3.235735768
3,1260,-4.812202551,-4.169641267,-5.234358796,-3.681744987
3,1320,-5.268601956,-4.455716034,-5.857345432,-3.918600907
3,1380,-5.445993567,-4.753106477,-5.897065255,-4.266967335
4,0,-5.884567958,-4.923681734,-6.613152265,-4.384880564
4,60,-5.986331862,-5.06153055,-6.63717249,-4.551064859
4,120,-6.174372243,-5.158750912,-6.851548305,-4.630351781
4,180,-6.377057571,-5.236097557,-7.085283712,-4.676399025
4,240,-6.603733748,-5.287852583,-7.350758728,-4.684844206
4,300,-6.863986816,-5.301869656,-7.653922335,-4.644371774
4,360,-7.201875021,-5.218309739,-8.019139585,-4.498341983
4,420,-7.444963241,-5.137138243,-8.262672351,-4.330515264
