julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm
1,0,-3.321931579,-5.562208069,-4.022299796,-8.78168194
1,60,-3.39839697,-3.455604446,-4.23806605,-4.356615979
1,120,-3.590102748,-3.039725388,-4.443178238,-3.333887975
1,180,-3.799534017,-2.904851421,-4.694920218,-2.947796677
1,240,-4.001397124,-2.849627469,-4.929412168,-2.761866947
1,300,-4.196859981,-2.739660343,-5.135630806,-2.514143462
1,360,-4.475676398,-2.627875586,-5.427186164,-2.318569763
1,420,-4.632065694,-2.62014184,-5.614081191,-2.287288992
1,480,-2.728718971,-2.464068109,-2.760782946,-2.267973397
1,540,1.622280248,-1.090761324,3.865522904,-1.572837619
1,600,6.428881398,1.099433927,11.0119481,-0.280547493
1,660,10.41168776,3.558441818,16.60397651,1.411987031
1,720,12.49155872,6.190480337,19.35037136,4.341081326
1,780,13.33297739,7.20280388,20.23474039,5.632549065
1,840,12.20372311,6.884386191,18.56957351,6.007096448
1,900,9.183398633,5.171320189,14.3601683,4.968593804
1,960,4.755742706,2.79393027,7.952777838,3.402402985
1,1020,1.196009527,0.892225702,2.256837346,1.558871494
1,1080,-0.383100258,0.123982561,-0.398874272,0.754780039
1,1140,-1.241365937,-0.530463255,-1.567481917,0.033433286
1,1200,-1.860124483,-0.987301599,-2.329675386,-0.384921985
1,1260,-2.397907797,-1.404875229,-3.018241099,-0.830059229
1,1320,-2.780567661,-1.703780743,-3.450332261,-1.104958727
1,1380,-3.153175846,-1.971453921,-3.927982152,-1.385155841
2,0,-3.413415732,-2.167604503,-4.216654399,-1.569975856
2,60,-3.652704909,-2.28837019,-4.530222154,-1.70332872
2,120,-3.878024841,-2.377149087,-4.800417147,-1.776330843
2,180,-4.112551975,-2.443062317,-5.072242209,-1.813839342
2,240,-4.365298982,-2.481520826,-5.356599718,-1.814493115
2,300,-4.650153636,-2.48126982,-5.666499415,-1.769925271
2,360,-5.005046973,-2.406843017,-6.026934168,-1.653644533
2,420,-5.186688866,-2.372820113,-6.19719727,-1.539750863
2,480,-3.157696311,-2.215107923,-3.290360053,-1.53359388
2,540,1.257164383,-0.986629398,3.446709417,-1.055084215
2,600,6.097144922,0.972480327,10.65701268,-0.211615231
2,660,10.09488124,3.660601067,16.27893172,2.002137579
2,720,12.18064988,5.926191547,19.03587099,4.122797696
2,780,13.02335502,7.11723202,19.92275797,5.84025226
2,840,11.89105369,6.580592856,18.25024989,5.696373692
2,900,8.864150434,5.052276178,14.02556628,5.093932833
2,960,4.425932844,2.484899716,7.594111032,3.087591448
2,1020,0.849304069,0.734979075,1.866519414,1.603598934
